id,posicao,idade,liga,altura,jogos,minutos,gols,assistencias,finalizacoes,passes_certos_pct,dribles_certos,desarmes,interceptacoes,duelos_ganhos_pct,velocidade,indice_popularidade,valor_mercado_milhoes
1,ZAG,23,C,1.79,17,1526,0,2,7,97.0,1.6,3.9,2.8,54.3,74,47,2.3
2,LAT,21,B,1.76,32,2191,2,6,12,96.7,1.6,2.6,1.0,50.3,74,52,1.4
3,MEI,28,B,1.73,39,3474,9,13,34,75.0,2.2,1.4,1.6,49.2,71,89,5.3
4,LAT,20,A,1.8,34,2736,3,11,19,95.8,1.7,0.9,2.0,48.4,81,52,2.4
5,ATA,18,B,1.76,28,2215,20,7,121,82.7,2.2,0.9,0.7,59.1,88,52,1.8
6,ZAG,18,B,1.84,36,2503,3,3,25,86.0,0.0,3.5,2.8,68.6,86,41,2.1
7,VOL,25,A,1.8,30,2271,4,1,32,72.2,2.8,4.0,3.8,54.7,80,78,3.9
8,ATA,24,B,1.86,21,1256,8,9,34,81.3,2.0,2.4,3.0,55.3,92,45,3.0
9,ZAG,28,B,1.94,20,1180,2,0,10,82.1,1.3,2.7,2.4,49.1,71,33,0.3
10,LAT,24,A,1.89,21,1284,4,3,32,71.2,1.6,0.9,2.1,38.2,84,61,0.2
11,LAT,23,A,1.66,35,2826,1,11,3,74.9,0.4,1.3,1.1,65.8,89,52,1.5
12,ZAG,27,B,1.96,33,1654,2,3,15,86.9,0.0,3.9,2.7,44.5,80,49,1.1
13,ATA,25,B,1.82,45,3119,18,7,130,74.7,2.7,2.9,1.1,42.5,75,95,3.4
14,VOL,23,B,1.71,20,1526,1,4,0,80.2,1.6,2.9,2.7,67.5,65,57,1.2
15,ATA,30,A,1.82,25,2208,14,1,60,76.2,3.6,2.7,0.1,57.9,88,73,2.6
16,VOL,20,B,1.67,24,1111,1,3,2,81.6,0.4,4.2,1.4,62.3,91,65,1.8
17,ZAG,26,B,1.83,42,2932,0,2,0,83.3,1.8,2.9,1.3,49.8,87,56,1.6
18,ZAG,27,A,1.7,25,1944,0,2,0,79.4,2.2,2.5,3.5,37.1,76,42,2.2
