y_real,score
0,0.4761
0,0.1043
0,0.3716
0,0.3286
0,0.369
0,0.7804
0,0.5122
0,0.4943
0,0.5731
0,0.2874
0,0.4481
1,0.6949
0,0.1195
1,1.0
0,0.4295
0,0.2458
0,0.2643
0,0.4954
0,0.5589
0,0.1025
0,0.5259
0,0.2965
1,0.7365
0,0.3592
0,0.2391
0,0.0739
0,0.3667
0,0.6361
0,0.4206
0,0.5966
0,0.3522
0,0.3104
0,0.3615
0,0.2229
0,0.2282
0,0.4969
0,0.394
0,0.2787
0,0.5257
0,0.6067
1,0.4803
0,0.7522
0,0.3674
1,0.6346
0,0.1449
0,0.4276
0,0.1386
0,0.4086
0,0.425
0,0.4155
0,0.4563
0,0.3429
0,0.4125
1,0.5456
0,0.5217
0,0.4719
0,0.5696
0,0.5457
0,0.2541
0,0.4292
0,0.0636
0,0.3455
0,0.2913
0,0.3877
0,0.4326
0,0.5613
0,0.4245
0,0.595
0,0.4336
0,0.4242
0,0.4167
0,0.2547
0,0.3994
0,0.4011
0,0.5258
0,0.2595
0,0.4687
0,0.3671
0,0.431
0,0.6417
1,0.3961
0,0.4364
0,0.4501
0,0.2997
0,0.3384
0,0.5461
0,0.4554
0,0.2291
0,0.538
0,0.3164
0,0.3133
0,0.4601
0,0.4173
0,0.5085
0,0.4214
0,0.4589
0,0.5176
0,0.4494
0,0.3949
0,0.6805
0,0.2977
0,0.2868
0,0.2677
0,0.5492
0,0.777
0,0.5651
0,0.4898
0,0.5772
0,0.2713
0,0.3588
0,0.3821
0,0.1836
0,0.2469
0,0.3152
0,0.5562
0,0.5444
0,0.3546
0,0.4871
0,0.3022
0,0.3602
0,0.4105
0,0.6007
0,0.4342
0,0.4228
0,0.108
0,0.2298
0,0.4858
0,0.5478
0,0.5273
0,0.3887
0,0.2669
0,0.4553
0,0.4075
0,0.5035
0,0.4991
0,0.402
0,0.3774
0,0.6112
0,0.4271
0,0.2474
0,0.3441
0,0.9072
0,0.3248
1,0.3221
0,0.4361
0,0.4685
0,0.4104
0,0.405
0,0.4525
0,0.6955
0,0.4822
0,0.4777
0,0.5267
0,0.5702
0,0.4808
1,0.3843
0,0.6035
0,0.43
1,0.3581
0,0.1716
