y_real,score
0,0.6114
0,0.3611
0,0.6428
0,0.2897
0,0.2708
0,0.7919
0,0.3721
0,0.5697
0,0.3832
0,0.3666
0,0.3714
0,0.3823
1,0.8264
0,0.683
0,0.5724
0,0.3701
1,0.7175
0,0.6668
0,0.5865
0,0.407
0,0.3919
0,0.3079
0,0.376
0,0.453
0,0.2505
0,0.6672
0,0.4418
1,0.8711
0,0.4446
0,0.3779
0,0.3484
0,0.6809
0,0.5917
0,0.3102
0,0.3721
0,0.785
0,0.591
0,0.676
0,0.4184
1,0.6795
0,0.4555
0,0.5393
0,0.3282
0,0.5886
0,0.4492
0,0.5564
0,0.4871
1,0.6726
0,0.4831
0,0.5303
0,0.4535
0,0.6512
0,0.3873
0,0.8054
0,0.6569
0,0.682
0,0.463
0,0.5124
0,0.4438
0,0.335
0,0.2009
0,0.4866
1,0.7761
0,0.4891
0,0.6214
0,0.1736
0,0.5642
0,0.1943
0,0.5944
0,0.4639
0,0.3309
0,0.484
0,0.7198
0,0.5204
0,0.3296
0,0.6898
0,0.1628
0,0.7568
0,0.5177
0,0.3375
0,0.4325
0,0.3943
0,0.6111
0,0.4542
0,0.4474
0,0.3934
0,0.4069
0,0.3435
0,0.5004
0,0.3687
0,0.8355
0,0.7127
0,0.5999
0,0.5006
0,0.4386
0,0.7916
0,0.5446
1,0.8422
0,0.3197
0,0.6263
0,0.5081
0,0.6743
0,0.6301
0,0.234
0,0.5864
0,0.4211
0,0.4367
0,0.6192
0,0.5767
0,0.381
0,0.5089
1,0.6555
0,0.5906
0,0.6608
0,0.496
0,0.5662
0,0.5637
0,0.3256
0,0.581
0,0.4346
0,0.2787
0,0.687
0,0.3326
1,0.6616
0,0.516
0,0.5594
0,0.4765
0,0.4854
0,0.6435
0,0.6131
0,0.3029
0,0.4198
0,0.3518
0,0.4355
0,0.5283
1,0.7742
0,0.3989
0,0.3563
0,0.6968
0,0.5781
0,0.39
0,0.4969
0,0.5867
0,0.4637
0,0.6481
0,0.4446
0,0.4767
0,0.5929
0,0.7374
0,0.4549
0,0.6163
0,0.7239
0,0.4519
0,0.3678
0,0.2691
0,0.5822
0,0.3497
1,0.8009
0,0.3923
0,0.4416
0,0.4846
0,0.6283
0,0.4104
0,0.5285
0,0.6225
0,0.7102
1,0.5667
0,0.4832
0,0.4116
0,0.6639
0,0.6781
0,0.5085
0,0.6358
0,0.3256
0,0.5541
0,0.5842
0,0.2102
0,0.5976
0,0.2826
0,0.6714
0,0.501
0,0.2255
0,0.4876
0,0.5224
