y_real,score
0,0.6947
1,0.6218
0,0.3617
0,0.5809
0,0.6743
1,0.7555
0,0.6619
0,0.4218
0,0.4932
0,0.474
1,0.5296
0,0.6733
0,0.4418
0,0.5985
0,0.4566
0,0.5419
0,0.5139
0,0.4102
0,0.4515
0,0.4795
0,0.5606
0,0.5187
0,0.4964
0,0.6423
0,0.6782
0,0.4577
0,0.8859
0,0.2818
0,0.2204
0,0.448
1,0.9071
0,0.2743
0,0.4074
0,0.6608
0,0.6339
0,0.5133
0,0.6861
0,0.4821
0,0.5448
0,0.4838
0,0.3287
0,0.7417
0,0.3796
0,0.7215
0,0.3307
0,0.7216
1,0.5987
0,0.2473
0,0.4998
0,0.4374
0,0.6709
0,0.4662
0,0.2961
1,0.3804
0,0.5421
1,0.7013
0,0.4019
0,0.7081
0,0.7088
1,0.7587
1,0.7618
0,0.5624
1,0.9209
0,0.3875
0,0.4683
0,0.6556
0,0.5823
0,0.2476
0,0.6655
0,0.6709
0,0.5168
0,0.5637
0,0.5912
0,0.4494
0,0.556
0,0.4245
0,0.2366
0,0.4109
0,0.6315
0,0.7643
0,0.8084
0,0.5395
0,0.2005
1,0.4737
0,0.4476
0,0.6234
0,0.5393
0,0.8317
0,0.5183
0,0.6531
0,0.3763
0,0.6854
0,0.5797
0,0.559
0,0.6074
0,0.3751
0,0.1118
0,0.4526
0,0.5767
0,0.7626
0,0.5537
0,0.524
0,0.6236
0,0.528
0,0.3787
0,0.3922
0,0.3974
0,0.2808
0,0.7156
0,0.56
1,0.7143
0,0.3662
0,0.5322
0,0.4817
0,0.7763
0,0.6945
1,0.7442
0,0.5027
0,0.5389
0,0.6274
0,0.424
1,0.9275
0,0.4491
0,0.2805
0,0.7619
0,0.476
0,0.4514
1,0.8804
0,0.3822
0,0.5674
0,0.3789
0,0.2781
0,0.2755
0,0.439
0,0.6081
0,0.6391
0,0.467
0,0.5498
0,0.5742
0,0.377
0,0.3334
0,0.7042
0,0.3658
0,0.6647
0,0.3117
0,0.7043
0,0.6915
0,0.6564
0,0.1364
0,0.7161
0,0.4324
0,0.4834
0,0.3906
0,0.4936
0,0.4271
0,0.635
0,0.7896
0,0.5573
0,0.6555
0,0.5343
0,0.329
0,0.3817
0,0.5113
0,0.5881
0,0.4914
0,0.4042
0,0.5366
0,0.3806
0,0.878
0,0.5409
0,0.3552
0,0.4351
0,0.4972
0,0.8738
0,0.6341
0,0.5354
0,0.3907
0,0.4356
1,0.6179
0,0.6758
0,0.6622
0,0.5002
0,0.444
0,0.5979
0,0.4821
0,0.3199
0,0.5508
0,0.5825
0,0.3036
0,0.6666
0,0.4139
0,0.7136
0,0.5067
0,0.1975
0,0.4517
0,0.2931
0,0.4676
0,0.5956
0,0.342
0,0.4477
0,0.6989
0,0.9029
0,0.4702
0,0.6385
0,0.7694
1,0.801
0,0.5203
0,0.3025
0,0.3142
0,0.7177
0,0.7597
0,0.4885
0,0.3734
0,0.7975
0,0.6397
0,0.4126
0,0.6557
0,0.2492
0,0.5967
0,0.6168
0,0.5799
0,0.4514
0,0.7839
0,0.9086
1,0.7209
0,0.6459
0,0.5262
0,0.379
0,0.7432
0,0.7284
0,0.5331
0,0.3931
0,0.3727
0,0.4609
0,0.3926
0,0.2955
0,0.4202
0,0.3955
0,0.2876
0,0.6775
0,0.2159
0,0.7136
0,0.6347
0,0.7173
0,0.6714
0,0.178
0,0.4322
0,0.469
0,0.5076
0,0.163
0,0.3937
1,0.7206
0,0.2225
0,0.5187
0,0.6803
0,0.4902
0,0.345
0,0.5999
0,0.5089
0,0.524
0,0.1874
0,0.5991
0,0.339
1,0.7631
0,0.5918
0,0.5238
0,0.4657
0,0.3235
0,0.5099
0,0.565
0,0.3798
0,0.7587
0,0.4462
0,0.6343
0,0.2187
0,0.308
0,0.5529
0,0.5944
1,0.6267
0,1.0
0,0.7429
0,0.465
0,0.4696
0,0.6422
0,0.3989
0,0.4295
0,0.6429
0,0.5948
0,0.5295
0,0.5206
0,0.6202
0,0.6816
0,0.3478
0,0.4553
0,0.3585
0,0.8887
0,0.3365
0,0.4075
0,0.715
0,0.5098
0,0.3819
0,0.4653
0,0.5793
0,0.5972
0,0.4218
0,0.3792
0,0.5667
0,0.4465
1,0.7883
0,0.298
0,0.5459
0,0.44
0,0.551
0,0.5498
0,0.5638
1,0.9395
0,0.4698
0,0.6453
0,0.669
0,0.6785
0,0.4963
0,0.5708
0,0.3053
0,0.5971
0,0.5332
0,0.2022
0,0.5294
0,0.3234
0,0.6637
0,0.4365
0,0.5126
0,0.6848
1,0.417
0,0.5106
1,0.643
0,0.4396
0,0.7728
0,0.2309
0,0.8488
0,0.7469
0,0.6172
0,0.3009
0,0.6257
0,0.2482
0,0.1722
0,0.3574
0,0.5136
0,0.3795
0,0.1539
0,0.6821
0,0.357
0,0.3135
1,0.5498
0,0.7123
0,0.4603
0,0.6477
0,0.4665
0,0.3967
0,0.5231
0,0.4804
0,0.3503
0,0.6348
0,0.3539
0,0.7731
0,0.5143
0,0.5164
0,0.5613
0,0.7181
0,0.6126
0,0.566
0,0.2674
0,0.3912
0,0.6424
0,0.76
1,0.743
0,0.6941
0,0.4985
0,0.3046
0,0.4574
0,0.2508
0,0.7119
0,0.5543
0,0.2765
0,0.3445
0,0.6521
0,0.4356
0,0.5782
1,0.9298
0,0.2636
