y_real,score
0,0.4695
0,0.528
0,0.6188
0,0.6816
0,0.3342
0,0.538
0,0.4971
1,0.3546
0,0.3081
0,0.5553
0,0.3821
0,0.5393
1,0.8602
0,0.4311
0,0.3913
0,0.3974
0,0.5321
0,0.4939
0,0.6789
0,0.6463
0,0.6951
0,0.5152
0,0.6404
0,0.5777
0,0.6773
0,0.5399
0,0.6441
0,0.4751
0,0.3728
0,0.6012
0,0.7548
0,0.571
0,0.3371
0,0.4469
0,0.5185
0,0.4311
0,0.5106
0,0.5186
0,0.2016
1,0.6207
1,0.5072
0,0.5354
0,0.6442
0,0.2751
0,0.474
0,0.4321
0,0.7454
0,0.7127
0,0.4504
0,0.5793
0,0.5688
0,0.5489
0,0.7078
0,0.6552
0,0.5163
0,0.3902
0,0.574
0,0.5824
0,0.3999
0,0.6756
0,0.5395
0,0.5337
0,0.3716
0,0.3783
0,0.7003
0,0.5567
0,0.6212
0,0.6436
0,0.6834
0,0.4865
0,0.5616
0,0.5183
0,0.6474
0,0.5494
0,0.4436
0,0.5356
0,0.5201
0,0.5207
0,0.4632
0,0.5391
0,0.3598
0,0.535
0,0.242
0,0.4711
0,0.5182
0,0.4973
0,0.5939
0,0.1844
0,0.4336
0,0.4733
0,0.6382
0,0.4212
0,0.4251
0,0.5185
0,0.4915
0,0.4622
1,0.76
0,0.314
0,0.6066
0,0.4655
0,0.4707
0,0.4052
0,0.5259
0,0.6769
0,0.4427
0,0.6279
0,0.2993
0,0.4666
0,0.5215
1,0.8231
0,0.3531
0,0.3685
0,0.4223
0,0.4003
0,0.5774
0,0.5985
0,0.4239
0,0.3559
0,0.2965
0,0.4804
0,0.4735
0,0.485
0,0.4055
0,0.3101
0,0.661
0,0.4061
0,0.4327
1,0.5635
1,0.8573
0,0.5621
0,0.4899
0,0.5486
0,0.2316
0,0.3914
0,0.2966
0,0.2928
0,0.6512
0,0.296
0,0.4864
1,0.8458
0,0.4158
0,0.3178
1,0.7103
0,0.3259
0,0.7666
0,0.6755
0,0.5265
0,0.4258
0,0.6364
0,0.6309
1,0.3924
0,0.3953
0,0.5151
1,1.0
0,0.4175
0,0.5206
0,0.4666
0,0.3762
0,0.4845
0,0.3212
0,0.294
0,0.5685
0,0.3746
0,0.5967
0,0.53
0,0.7236
0,0.5991
0,0.7643
0,0.412
0,0.3637
0,0.3685
0,0.54
0,0.4311
0,0.6266
0,0.6291
0,0.511
0,0.4537
0,0.5975
0,0.4757
0,0.5718
0,0.5418
1,0.6726
0,0.2831
0,0.5289
0,0.5792
0,0.3642
0,0.3648
0,0.6058
0,0.4546
1,0.4235
0,0.6615
0,0.61
0,0.433
0,0.5436
0,0.6358
0,0.51
0,0.5871
0,0.6157
0,0.6482
0,0.361
0,0.5078
0,0.5769
0,0.4847
0,0.4132
0,0.451
0,0.7105
0,0.6466
0,0.5703
0,0.1985
0,0.53
0,0.5362
0,0.6884
0,0.5094
0,0.5996
0,0.6449
0,0.7085
0,0.5019
