y_real,score
0,0.302
0,0.8188
0,0.4718
1,0.721
0,0.4856
0,0.7122
0,0.3497
0,0.402
1,0.7263
0,0.1975
0,0.2925
0,0.3349
0,0.188
0,0.7672
0,0.4056
0,0.5682
0,0.638
0,0.2112
0,0.5565
0,0.5645
0,0.5006
0,0.6178
0,0.62
0,0.5888
0,0.4882
0,0.4484
1,0.781
0,0.5632
0,0.4768
0,0.0087
0,0.401
0,0.5751
0,0.4946
0,0.5834
0,0.4587
1,0.4316
0,0.5662
0,0.4438
0,0.4675
0,0.216
0,0.4323
0,0.8821
0,0.1615
0,0.6372
0,0.5748
0,0.4168
0,0.6505
0,0.1154
0,0.6705
0,0.6932
0,0.5607
0,0.2753
1,0.7622
0,0.1656
1,0.9659
0,0.4515
0,0.4086
0,0.4566
1,0.7868
0,0.3819
0,0.5169
0,0.5909
0,0.5441
0,0.5197
0,0.3828
0,0.8594
0,0.5757
0,0.6444
0,0.4001
0,0.5176
0,0.4164
0,0.2948
0,0.499
0,0.4892
0,0.3732
0,0.5197
0,0.4558
0,0.4568
0,0.3484
1,0.7492
0,0.6396
0,0.6266
0,0.3792
0,0.5717
0,0.6478
0,0.2722
0,0.6069
0,0.4554
0,0.361
0,0.4251
0,0.5453
0,0.5735
0,0.2782
0,0.326
0,0.5608
0,0.5691
0,0.5069
0,0.6946
0,0.3586
0,0.4489
0,0.1173
0,0.6696
0,0.6109
0,0.6225
1,0.486
0,0.3472
0,0.5309
0,0.6323
0,0.5895
1,0.7111
0,0.4457
1,0.7806
0,0.6073
0,0.49
1,0.7193
0,0.3769
0,0.4954
0,0.5965
0,0.3536
0,0.7475
0,0.5306
0,0.3132
0,0.3812
0,0.1829
0,0.3807
0,0.4021
0,0.86
1,0.502
0,0.1317
0,0.4866
0,0.6864
0,0.2867
1,0.5488
0,0.4865
0,0.6453
0,0.4658
0,0.4358
0,0.6349
1,0.6393
0,0.4658
0,0.4766
1,0.6504
0,0.5309
0,0.4975
0,0.4712
0,0.5095
0,0.6586
0,0.5161
0,0.3244
0,0.368
0,0.6125
0,0.5721
0,0.2254
0,0.3548
0,0.5524
0,0.4556
0,0.4832
0,0.2899
0,0.6042
0,0.526
0,0.5863
0,0.3161
0,0.4803
1,0.509
0,0.4596
0,0.4458
0,0.5333
0,0.6554
1,0.5111
0,0.7523
0,0.8922
0,0.5834
0,0.5005
0,0.6639
0,0.5781
0,0.6805
0,0.4625
0,0.4889
0,0.3898
0,0.4454
0,0.445
0,0.5918
0,0.639
0,0.5501
0,0.3268
0,0.1167
0,0.7854
0,0.5376
0,0.6329
0,0.4587
0,0.2374
0,0.1932
0,0.4619
