y_real,score
0,0.5358
0,0.3911
0,0.4052
0,0.435
0,0.3873
0,0.5641
0,0.3223
0,0.4774
0,0.0608
0,0.3757
0,0.4093
0,0.1899
0,0.4686
1,0.3192
0,0.5685
0,0.5442
0,0.5206
0,0.3412
0,0.0234
0,0.4039
0,0.2112
0,0.5367
0,0.6678
0,0.4118
0,0.6203
0,0.648
1,0.7365
0,0.5348
0,0.0724
0,0.313
0,0.4726
1,0.2957
0,0.4226
0,0.4799
0,0.17
0,0.4235
0,0.4666
0,0.5842
0,0.5048
0,0.4393
0,0.479
0,0.3017
0,0.5681
1,0.9205
0,0.4651
0,0.3845
0,0.122
0,0.6243
0,0.4155
0,0.4548
0,0.3377
0,0.499
0,0.5606
0,0.2635
0,0.3118
0,0.4018
0,0.0829
0,0.6298
0,0.5371
0,0.4308
0,0.5545
0,0.4716
0,0.3714
0,0.2672
0,0.3639
0,0.7944
0,0.1265
0,0.648
1,0.791
0,0.6041
0,0.5677
0,0.522
1,0.5397
0,0.581
1,0.997
0,0.346
0,0.5149
0,0.4379
0,0.3018
0,0.4724
0,0.4946
0,0.6229
0,0.4456
0,0.609
0,0.4152
0,0.4639
0,0.7109
0,0.3793
0,0.3098
0,0.2312
0,0.6853
0,0.4693
0,0.3613
0,0.386
0,0.4547
1,0.7152
0,0.5385
0,0.3345
0,0.4271
0,0.4666
0,0.1849
1,0.8754
0,0.328
0,0.3979
0,0.4606
0,0.5945
0,0.3212
1,0.6969
1,0.5557
0,0.2975
0,0.5219
0,0.1688
0,0.4567
0,0.3071
0,0.6235
0,0.38
0,0.51
0,0.4884
0,0.7259
0,0.6925
0,0.4481
0,0.4986
0,0.0924
0,0.3575
1,0.493
0,0.2894
0,0.343
0,0.1515
0,0.6944
0,0.4423
1,0.5486
0,0.3379
0,0.635
0,0.5899
1,0.6988
0,0.5782
0,0.4246
0,0.6433
1,0.5137
0,0.4702
0,0.2344
0,0.3346
0,0.4233
0,0.2754
0,0.1626
1,0.8085
0,0.4958
0,0.7187
1,0.5089
0,0.2838
0,0.5036
0,0.2991
0,0.5618
0,0.2118
0,0.7705
1,0.6238
0,0.3118
0,0.6059
0,0.3182
0,0.328
1,0.8657
1,0.5278
0,0.1575
1,0.7341
0,0.2466
0,0.4045
0,0.2436
0,0.385
0,0.4739
0,0.3039
0,0.4373
0,0.4384
0,0.3357
0,0.8382
0,0.2888
0,0.5152
0,0.1719
0,0.4025
1,0.4547
0,0.489
0,0.5537
0,0.423
1,0.5707
0,0.5561
0,0.4237
0,0.3626
1,0.5533
0,0.5019
0,0.4772
0,0.3885
1,0.4498
0,0.6398
0,0.6398
1,0.6956
0,0.2999
0,0.2639
1,0.8334
0,0.1166
1,0.7716
0,0.5412
1,0.728
0,0.3638
0,0.3209
0,0.1452
1,0.5726
0,0.5406
0,0.5169
0,0.1854
0,0.5316
1,0.6043
0,0.5258
0,0.5892
0,0.18
0,0.8395
0,0.3528
0,0.266
0,0.5937
0,0.435
0,0.4793
0,0.2122
1,0.5856
0,0.3814
0,0.3138
0,0.4445
0,0.4922
1,0.9542
0,0.5632
0,0.4936
0,0.4446
1,0.6259
0,0.2725
0,0.4063
0,0.6633
0,0.7839
1,0.6911
0,0.48
0,0.7463
1,0.7493
0,0.1859
0,0.5301
0,0.4906
0,0.3951
0,0.3853
0,0.6976
0,0.4547
1,0.6055
0,0.2977
1,0.5193
0,0.3382
0,0.3364
1,0.5756
0,0.7329
0,0.2588
0,0.4087
1,0.5488
0,0.389
0,0.3839
0,0.5743
1,0.8444
0,0.4682
0,0.465
0,0.1712
0,0.064
0,0.3427
0,0.4637
0,0.271
0,0.4447
0,0.5327
0,0.2043
0,0.6341
1,0.6697
1,0.7958
0,0.5882
