y_real,score
0,0.4661
0,0.5274
0,0.6446
0,0.3344
0,0.4562
0,0.5423
0,0.436
0,0.6041
0,0.523
0,0.3897
0,0.5513
0,0.5605
0,0.4284
0,0.5553
0,0.553
0,0.4978
0,0.4659
0,0.3875
0,0.4677
0,0.448
0,0.2425
1,0.6366
0,0.4212
0,0.2566
0,0.5049
0,0.3671
0,0.3552
1,0.681
0,0.3764
0,0.2624
0,0.3334
0,0.7227
0,0.3632
1,0.8529
0,0.5336
0,0.5528
0,0.2007
0,0.2895
1,0.6364
0,0.212
0,0.4034
0,0.5315
0,0.6507
0,0.1107
0,0.5506
0,0.4287
0,0.4967
0,0.273
0,0.3554
0,0.5187
0,0.4226
0,0.5271
0,0.2777
1,0.568
0,0.3703
0,0.5726
0,0.4942
0,0.5165
1,0.6858
0,0.29
0,0.4415
0,0.3404
0,0.2965
0,0.6556
0,0.4963
0,0.605
0,0.484
0,0.5378
0,0.6639
0,0.3064
0,0.5453
0,0.4691
0,0.3553
0,0.4296
0,0.2867
0,0.577
0,0.3696
0,0.4591
0,0.5333
0,0.4708
0,0.3728
0,0.442
0,0.3861
0,0.5373
0,0.6262
0,0.4116
0,0.5673
0,0.3538
0,0.1568
0,0.5344
0,0.5132
0,0.4581
0,0.7167
0,0.4911
0,0.4054
0,0.5094
0,0.6079
0,0.324
0,0.3648
0,0.5657
0,0.5558
0,0.4195
0,0.3333
0,0.1811
0,0.4132
0,0.5899
0,0.4421
0,0.3482
0,0.4822
0,0.7029
0,0.6506
0,0.5054
0,0.3377
0,0.4291
0,0.3725
0,0.684
0,0.6962
0,0.2401
0,0.473
0,0.3462
0,0.6004
0,0.5178
0,0.5377
0,0.4857
0,0.3172
0,0.3736
0,0.4666
0,0.4462
0,0.4313
0,0.0371
0,0.4493
0,0.5231
0,0.634
0,0.4386
0,0.5376
0,0.6287
0,0.7507
0,0.676
0,0.3168
0,0.2282
0,0.6236
0,0.3272
0,0.2838
0,0.5125
0,0.4582
0,0.3513
0,0.2461
0,0.1903
0,0.3911
0,0.4494
0,0.6601
0,0.5764
0,0.503
0,0.5797
0,0.6549
0,0.4956
0,0.4898
0,0.5964
1,0.8389
0,0.6552
0,0.5917
0,0.3548
0,0.5259
0,0.5333
0,0.4243
0,0.3367
0,0.6084
0,0.4264
0,0.525
0,0.3452
1,0.4998
1,0.9644
0,0.5685
0,0.4654
0,0.4983
0,0.3308
0,0.3409
0,0.2434
0,0.6205
0,0.4997
1,0.4895
0,0.4422
0,0.4826
0,0.57
1,0.6459
0,0.6706
0,0.321
0,0.6064
0,0.3988
0,0.4547
0,0.5997
0,0.5589
0,0.6454
0,0.3575
0,0.4217
0,0.1616
0,0.4794
0,0.6452
0,0.4787
0,0.5057
0,0.5409
0,0.5872
0,0.5042
1,0.6107
0,0.4674
0,0.5174
0,0.6521
0,0.3032
0,0.7009
0,0.2906
0,0.4555
0,0.3837
0,0.2957
0,0.242
1,0.7215
0,0.6665
1,0.5111
0,0.4065
0,0.5153
0,0.5183
0,0.2873
0,0.3264
0,0.5342
0,0.6495
1,0.5286
0,0.3881
0,0.3908
0,0.4351
1,0.6773
0,0.5656
0,0.2486
0,0.3354
0,0.4931
0,0.5712
0,0.3919
0,0.421
0,0.4468
0,0.5834
0,0.3979
0,0.5879
0,0.523
0,0.5862
0,0.3629
0,0.4548
0,0.4772
0,0.4989
0,0.162
0,0.421
0,0.3999
0,0.2689
0,0.404
0,0.6282
0,0.5716
0,0.3542
0,0.2273
0,0.4113
0,0.3524
0,0.6441
0,0.5618
0,0.3698
0,0.3225
0,0.3132
0,0.1498
0,0.3475
1,0.6643
0,0.1885
0,0.4709
0,0.5279
0,0.3126
0,0.4883
0,0.4297
1,0.873
0,0.5447
0,0.5027
0,0.2956
0,0.0
0,0.5328
0,0.4139
0,0.4078
0,0.9365
0,0.6229
0,0.3385
0,0.3759
0,0.3678
0,0.5151
0,0.4616
0,0.6055
0,0.6339
0,0.5079
0,0.6399
0,0.415
0,0.5424
0,0.6907
1,0.5593
0,0.5951
0,0.4281
0,0.3994
0,0.4649
0,0.3584
0,0.5357
0,0.477
0,0.3412
0,0.4423
0,0.4556
0,0.5517
1,0.6109
0,0.4174
0,0.5144
0,0.3515
0,0.5638
0,0.3449
0,0.6454
0,0.5529
0,0.6403
0,0.3401
0,0.3922
0,0.4736
0,0.311
0,0.5095
1,0.5948
0,0.3476
0,0.4281
0,0.3691
0,0.2582
0,0.4718
0,0.4815
0,0.326
0,0.534
0,0.3543
0,0.458
0,0.3451
0,0.5234
0,0.3624
0,0.3693
1,0.6914
0,0.5012
