y_real,score
0,0.5083
0,0.596
0,0.3974
0,0.444
0,0.7478
0,0.2485
0,0.5326
0,0.4428
0,0.4646
0,0.469
0,0.4164
0,0.5558
0,0.4515
0,0.3939
0,0.4758
0,0.3926
0,0.5229
0,0.2466
0,0.4216
0,0.3463
0,0.4038
0,0.3137
0,0.4855
0,0.2515
0,0.3487
0,0.6422
0,0.5266
0,0.5926
1,0.6927
0,0.5533
1,0.5469
0,0.4266
1,0.8793
0,0.628
0,0.7175
0,0.5571
0,0.4887
0,0.5048
0,0.5275
0,0.4982
0,0.3174
0,0.6607
0,0.4827
1,0.8987
0,0.6795
0,0.6918
0,0.4938
0,0.3612
1,0.6285
0,0.5444
0,0.3932
0,0.4801
0,0.1297
0,0.4861
0,0.5076
0,0.3949
0,0.498
0,0.5531
0,0.6612
0,0.4527
0,0.4667
0,0.6139
0,0.8045
0,0.5754
0,0.7482
0,0.4584
0,0.7702
0,0.7074
0,0.5757
0,0.3913
0,0.4887
0,0.5977
0,0.5045
0,0.3247
0,0.5941
0,0.3403
0,0.6661
0,0.2342
0,0.5663
0,0.6348
0,0.6927
0,0.4559
0,0.6263
0,0.3701
0,0.5736
1,0.5295
0,0.3817
0,0.4414
0,0.4151
0,0.5114
0,0.4892
0,0.6369
0,0.4983
0,0.5583
0,0.3052
0,0.392
0,0.711
0,0.8956
1,0.8137
0,0.6658
0,0.2748
0,0.4638
0,0.8408
0,0.4585
0,0.3913
0,0.5061
0,0.4872
0,0.7051
0,0.5214
0,0.3341
0,0.4641
0,0.5834
0,0.665
0,0.4831
1,0.8718
0,0.7188
0,0.4937
0,0.3149
0,0.5377
0,0.776
1,0.7904
0,0.1769
0,0.7417
0,0.6263
0,0.3858
0,0.6139
0,0.7119
0,0.4067
0,0.5499
0,0.5915
0,0.5992
0,0.3205
0,0.7106
0,0.3978
0,0.8082
0,0.5009
0,0.4215
0,0.4163
0,0.4698
0,0.5633
0,0.3297
0,0.5099
0,0.4052
0,0.0704
0,0.5346
0,0.1072
0,0.5793
0,0.3063
0,0.4295
0,0.425
0,0.4884
0,0.2669
1,0.8985
0,0.5346
1,0.7999
0,0.5433
0,0.5282
0,0.4331
0,0.323
0,0.2855
1,0.6724
0,0.4744
0,0.2044
0,0.5855
0,0.4065
0,0.5366
0,0.5724
0,0.4903
0,0.596
1,0.8733
0,0.5243
0,0.2595
0,0.5932
0,0.6673
0,0.5896
0,0.4605
0,0.205
0,0.9005
0,0.5978
0,0.3453
0,0.5111
0,0.3217
0,0.6765
0,0.1085
0,0.4602
0,0.6322
0,0.5916
0,0.3473
0,0.5632
0,0.4799
0,0.4644
0,0.3393
0,0.306
0,0.4267
0,0.3116
0,0.0
1,0.6362
0,0.2635
0,0.4702
0,0.5702
0,0.6416
0,0.6836
0,0.7704
0,0.3928
1,0.8426
0,0.3366
0,0.4072
0,0.3113
0,0.5075
0,0.3191
0,0.707
0,0.4093
0,0.5593
1,0.6606
0,0.5417
0,0.4861
0,0.3901
0,0.6999
0,0.423
0,0.6024
0,0.4359
0,0.7785
0,0.3048
1,0.752
