y_real,score
0,0.7051
1,0.4555
0,0.2972
0,0.426
0,0.4026
1,0.638
0,0.6744
0,0.4189
0,0.2952
0,0.5132
0,0.5794
0,0.4492
0,0.695
0,0.5436
0,0.6758
0,0.5249
0,0.644
0,0.5301
0,0.438
0,0.4939
0,0.4527
0,0.6358
0,0.5785
0,0.6097
0,0.3631
0,0.4441
1,0.5943
0,0.3586
0,0.2226
0,0.5871
0,0.6077
1,0.6907
0,0.5558
1,0.8716
0,0.4186
0,0.6707
0,0.261
0,0.4596
0,0.3671
0,0.2535
0,0.3993
0,0.5405
0,0.6339
0,0.7358
0,0.4203
0,0.4373
0,0.4915
0,0.6758
0,0.4008
0,0.5993
0,0.2248
0,0.5818
0,0.3158
0,0.6593
0,0.4435
0,0.7322
0,0.5868
0,0.2175
0,0.3887
0,0.4945
0,0.4684
0,0.5227
0,0.499
0,0.5759
0,0.2622
0,0.4459
0,0.3077
0,0.5278
0,0.6138
1,0.5896
0,0.4959
0,0.4091
0,0.4023
0,0.4371
0,0.3903
0,0.5297
0,0.3997
0,0.414
0,0.3194
0,0.3085
0,0.2974
0,0.2632
0,0.438
0,0.4064
0,0.6219
1,0.5682
0,0.2696
0,0.5743
0,0.2771
0,0.5658
0,0.5465
0,0.5449
0,0.6151
0,0.6098
0,0.5128
0,0.5525
0,0.2531
0,0.5931
0,0.2408
0,0.5833
0,0.4771
0,0.33
0,0.4981
0,0.4339
0,0.6424
0,0.5563
0,0.0659
0,0.4113
1,0.3936
0,0.3027
0,0.2643
1,0.7466
0,0.4139
0,0.1613
0,0.4015
0,0.547
0,0.3389
0,0.2974
0,0.1686
0,0.5002
0,0.4618
0,0.4725
0,0.4877
0,0.5718
0,0.2246
0,0.6221
0,0.519
1,0.5589
0,0.2481
0,0.5318
0,0.4198
0,0.6523
0,0.5295
0,0.2587
0,0.3164
0,0.6056
0,0.5698
1,0.5824
0,0.3438
0,0.5576
0,0.4422
0,0.5837
0,0.4329
0,0.3945
0,0.4845
0,0.4755
0,0.4717
0,0.3041
0,0.4885
0,0.3345
0,0.7382
0,0.4216
0,0.5436
0,0.6714
0,0.7109
0,0.4595
0,0.5421
0,0.4732
0,0.6659
0,0.3466
0,0.4939
0,0.5005
0,0.2042
0,0.4987
1,0.734
0,0.5828
0,0.6508
0,0.4714
1,0.817
0,0.5397
0,0.3614
0,0.5609
0,0.4928
0,0.4373
0,0.0299
0,0.3155
0,0.3956
0,0.5207
1,0.613
0,0.3985
0,0.3093
0,0.5748
0,0.4697
1,0.6567
0,0.4371
0,0.4208
0,0.5517
0,0.7741
0,0.4716
0,0.3726
0,0.402
0,0.5047
0,0.4311
0,0.7191
0,0.5495
0,0.4621
0,0.3955
0,0.524
0,0.5044
0,0.3673
0,0.4411
0,0.4704
1,0.8369
0,0.6416
0,0.2578
0,0.4388
0,0.5428
0,0.5675
0,0.5967
0,0.7101
0,0.5208
0,0.4221
0,0.1786
0,0.3623
0,0.3994
0,0.1698
1,0.673
0,0.6094
0,0.4915
0,0.4642
0,0.3547
0,0.4229
0,0.5624
0,0.2821
0,0.387
0,0.4436
0,0.3321
0,0.4962
0,0.7082
0,0.4368
0,0.5876
1,0.749
0,0.5024
0,0.2774
0,0.3907
0,0.5544
0,0.8202
0,0.6867
0,0.5481
0,0.2806
0,0.3259
0,0.4199
0,0.397
0,0.3165
0,0.4709
0,0.6851
0,0.4312
0,0.443
0,0.7135
0,0.4363
0,0.4524
0,0.4946
0,0.4718
0,0.4244
0,0.4431
0,0.5312
0,0.4911
0,0.422
0,0.4284
0,0.4402
0,0.6769
0,0.6448
0,0.3295
0,0.5956
1,0.4419
0,0.5157
0,0.4705
0,0.5634
0,0.5812
0,0.4888
0,0.5928
0,0.5361
0,0.4527
0,0.4197
0,0.5634
0,0.4319
0,0.3698
0,0.4273
0,0.1577
0,0.3091
0,0.4878
0,0.4515
0,0.5637
0,0.5652
0,0.3241
