y_real,score
0,0.0
1,0.5943
0,0.4534
1,0.4238
0,0.5522
0,0.6467
0,0.4015
0,0.326
0,0.5376
0,0.4339
0,0.2896
0,0.4897
0,0.2335
1,0.4789
0,0.3111
0,0.6683
0,0.4834
0,0.2839
0,0.1778
1,0.4393
0,0.4163
0,0.4009
0,0.5492
0,0.2248
0,0.5461
1,0.4118
0,0.3435
0,0.4966
1,0.3494
0,0.4272
0,0.5304
0,0.504
0,0.744
0,0.2942
0,0.2696
0,0.4917
1,0.5209
0,0.5092
0,0.4097
0,0.32
0,0.4963
0,0.2737
0,0.193
0,0.5139
0,0.44
0,0.2863
0,0.1599
0,0.5071
1,0.6767
0,0.5382
0,0.5618
0,0.3084
0,0.6095
0,0.5944
0,0.7465
0,0.4343
0,0.5848
0,0.598
0,0.54
0,0.504
0,0.3271
0,0.3589
1,0.9843
0,0.453
0,0.73
0,0.6167
0,0.2612
0,0.4967
0,0.4885
0,0.4697
0,0.5501
0,0.26
0,0.1849
0,0.5865
0,0.4763
0,0.3155
0,0.4508
1,0.4874
0,0.5026
0,0.5914
0,0.4523
0,0.3218
1,0.7207
0,0.4953
0,0.4083
0,0.5921
0,0.3294
0,0.1902
0,0.5619
0,0.4988
0,0.5237
0,0.3534
0,0.4589
0,0.7833
0,0.6664
0,0.6227
0,0.4854
0,0.2403
0,0.5483
0,0.5112
0,0.5611
0,0.5535
0,0.6097
0,0.6413
0,0.5489
0,0.5826
0,0.54
1,0.659
0,0.5365
0,0.452
0,0.6434
0,0.3819
0,0.5327
1,0.7297
0,0.5377
0,0.5856
0,0.4181
0,0.3224
0,0.3785
0,0.6619
0,0.3484
0,0.572
0,0.7726
0,0.4211
0,0.5789
0,0.4461
1,0.6276
0,0.4475
0,0.5058
1,0.7818
0,0.6677
0,0.573
0,0.3324
0,0.4738
0,0.5615
0,0.4874
0,0.4466
0,0.496
0,0.3855
0,0.3019
0,0.5354
0,0.427
0,0.522
0,0.3419
0,0.1493
0,0.4985
0,0.1748
0,0.5934
0,0.7201
0,0.5024
0,0.3623
0,0.3169
0,0.5554
0,0.3442
0,0.4021
0,0.6449
0,0.6055
0,0.5223
0,0.4278
0,0.4665
0,0.3578
0,0.518
0,0.3378
1,0.8394
0,0.4485
1,0.6136
0,0.5514
0,0.5762
0,0.2349
0,0.5399
1,0.4917
0,0.4174
0,0.356
0,0.4484
0,0.5839
0,0.4503
0,0.554
0,0.6274
1,0.6864
0,0.2581
0,0.6073
0,0.4964
0,0.5174
0,0.3353
0,0.4797
0,0.5567
0,0.5425
0,0.3214
0,0.617
0,0.427
1,0.5185
0,0.4259
0,0.459
0,0.3664
0,0.3449
1,0.5895
0,0.2969
0,0.5405
0,0.5001
0,0.5875
0,0.4228
0,0.7288
0,0.7562
0,0.4684
0,0.2432
0,0.5157
0,0.5394
0,0.5611
0,0.5543
0,0.2762
1,0.5775
0,0.4545
0,0.5257
0,0.6032
0,0.4322
0,0.4671
0,0.4263
0,0.5526
1,0.8382
0,0.2178
0,0.5528
0,0.2265
0,0.1974
0,0.4809
1,0.7936
0,0.7209
0,0.6297
0,0.5747
0,0.5343
0,0.2316
0,0.5057
0,0.6258
1,0.6649
0,0.3295
0,0.5018
0,0.5492
0,0.5293
0,0.2089
0,0.6603
0,0.6626
0,0.4648
0,0.5414
0,0.2988
0,0.5162
0,0.3296
0,0.2887
1,0.7928
0,0.5721
0,0.3386
0,0.5792
0,0.3828
0,0.3462
0,0.3844
0,0.4667
0,0.5149
0,0.4181
0,0.257
0,0.4553
0,0.466
0,0.4286
0,0.2723
0,0.5441
0,0.689
0,0.1671
0,0.2276
0,0.4738
0,0.3659
0,0.6734
0,0.2351
0,0.4577
0,0.4882
0,0.4919
0,0.5816
1,0.6583
0,0.2461
0,0.3064
0,0.3856
0,0.6168
0,0.5092
0,0.3676
0,0.323
0,0.3509
1,0.2532
0,0.5285
0,0.6305
0,0.4902
0,0.4147
0,0.4868
0,0.4837
1,0.7633
0,0.2257
0,0.4883
0,0.5862
0,0.2979
0,0.4379
0,0.5301
0,0.5181
0,0.5058
0,0.2312
0,0.5457
0,0.5334
0,0.3823
0,0.5349
0,0.3621
0,0.5273
1,0.7932
0,0.4551
0,0.614
0,0.2441
0,0.7102
0,0.289
0,0.6333
0,0.4415
0,0.5233
0,0.4629
0,0.4753
0,0.6101
0,0.5359
0,0.3793
0,0.4625
0,0.5538
0,0.6565
0,0.6496
0,0.3781
1,0.4313
0,0.5262
0,0.2933
0,0.6115
0,0.3893
0,0.441
0,0.6312
0,0.6253
0,0.3907
0,0.4095
0,0.4932
0,0.7621
0,0.4341
0,0.4409
0,0.4557
0,0.4426
0,0.7001
0,0.552
0,0.5131
0,0.4523
0,0.6016
0,0.552
0,0.4921
0,0.4362
0,0.4132
0,0.414
0,0.513
0,0.5237
0,0.4994
0,0.4245
0,0.5196
0,0.7067
0,0.3301
0,0.431
0,0.6019
1,0.4158
0,0.6453
0,0.435
0,0.3877
0,0.5438
0,0.39
0,0.7032
0,0.5503
0,0.2633
0,0.543
0,0.6623
0,0.6105
0,0.5732
0,0.6247
0,0.2787
0,0.3993
1,0.3757
0,0.4425
0,0.3317
0,0.5207
0,0.4457
1,0.7537
0,0.7368
0,0.3294
0,0.3119
0,0.4885
0,0.6892
