y_real,score
0,0.3375
1,0.4606
0,0.5469
0,0.3016
1,0.5539
0,0.4448
0,0.6079
0,0.2394
0,0.7271
1,0.4541
0,0.4674
0,0.475
0,0.5595
0,0.4465
0,0.2863
0,0.388
0,0.3444
0,0.477
0,0.5045
0,0.1975
0,0.2346
0,0.7319
0,0.4426
0,0.437
0,0.4643
0,0.3379
0,0.4595
0,0.2946
0,0.2005
0,0.5752
0,0.582
0,0.5024
0,0.3771
0,0.584
0,0.5183
0,0.6295
0,0.4993
0,0.5257
1,0.6342
0,0.5069
0,0.6049
0,0.3203
0,0.4173
0,0.5445
0,0.5822
0,0.6955
0,0.5404
0,0.4791
1,0.7761
1,0.7715
0,0.4605
0,0.4741
0,0.5512
0,0.6275
0,0.3846
1,0.6696
0,0.5493
0,0.342
0,0.1555
0,0.6024
0,0.5229
0,0.2902
0,0.4405
0,0.6893
0,0.3841
1,0.8151
1,0.5294
0,0.5702
0,0.3626
0,0.6487
0,0.4193
0,0.5888
1,0.811
0,0.4204
0,0.2988
0,0.3703
0,0.5682
0,0.5445
0,0.3528
1,0.5885
0,0.6676
0,0.3874
0,0.396
0,0.6549
0,0.4572
0,0.5055
0,0.3366
1,0.3217
0,0.5768
0,0.6336
0,0.2316
0,0.3834
0,0.2642
0,0.3688
0,0.6018
0,0.4994
0,0.3374
0,0.2036
0,0.5366
0,0.5355
0,0.3264
0,0.5049
0,0.5592
0,0.5295
0,0.6124
0,0.3467
0,0.5526
0,0.5375
0,0.345
0,0.5492
0,0.3516
0,0.5658
0,0.3852
1,0.6592
0,0.5973
0,0.4554
0,0.357
0,0.4794
0,0.7133
0,0.7046
0,0.4463
0,0.6817
0,0.5081
0,0.4114
0,0.2146
0,0.4836
0,0.4518
0,0.4828
0,0.5132
0,0.1619
0,0.5535
0,0.2535
0,0.3589
0,0.4861
0,0.5644
0,0.4206
0,0.5214
0,0.2903
0,0.5622
1,0.7189
0,0.3325
0,0.5581
1,0.8938
0,0.4991
0,0.4574
0,0.3182
0,0.3593
0,0.4236
0,0.5019
0,0.4919
0,0.4613
0,0.4402
0,0.311
0,0.3459
0,0.4679
0,0.4343
0,0.5855
0,0.2195
0,0.5024
0,0.2587
0,0.302
0,0.333
0,0.5971
0,0.5366
0,0.3758
1,0.7523
0,0.4308
0,0.5575
0,0.5298
0,0.429
0,0.3353
0,0.4674
0,0.4615
0,0.4175
0,0.4505
1,0.6972
0,0.1749
0,0.4803
0,0.5949
0,0.5343
0,0.4437
0,0.541
0,0.5156
0,0.4619
1,0.566
1,0.7206
0,0.2433
0,0.7109
0,0.3648
0,0.2096
0,0.2676
0,0.3945
0,0.6794
1,0.5967
0,0.3068
0,0.4141
1,0.5207
0,0.4377
0,0.471
0,0.6601
0,0.5821
0,0.8506
1,0.6234
0,0.2417
0,0.683
0,0.7702
1,0.5737
0,0.4446
0,0.2968
0,0.5849
0,0.4234
0,0.3766
0,0.6614
0,0.4851
1,0.9238
0,0.2072
0,0.6023
0,0.3309
1,0.7738
0,0.2937
0,0.4984
0,0.3004
0,0.3506
0,0.1968
0,0.4646
0,0.5251
0,0.6117
0,0.5365
0,0.2354
0,0.2981
0,0.3867
0,0.623
0,0.0162
0,0.7659
1,0.8649
0,0.7428
0,0.4129
0,0.4222
0,0.6856
0,0.6334
0,0.464
0,0.436
0,0.4603
0,0.7523
0,0.5238
0,0.344
0,0.3599
0,0.5122
0,0.3238
0,0.502
1,0.5464
1,0.5183
0,0.3971
0,0.4526
0,0.3126
1,0.5163
0,0.6988
0,0.5747
0,0.3996
0,0.6092
0,0.4722
0,0.6971
0,0.481
0,0.4923
0,0.3692
0,0.4785
0,0.435
1,0.4752
0,0.6641
0,0.5016
0,0.5398
0,0.4444
0,0.388
0,0.3656
0,0.3525
0,0.3457
0,0.3713
0,0.457
0,0.5002
0,0.4291
0,0.4967
0,0.5643
0,0.3452
1,0.8255
0,0.5793
0,0.3606
0,0.5442
0,0.469
1,0.7021
0,0.417
0,0.01
0,0.2747
