y_real,score
0,0.1668
0,0.376
0,0.1196
0,0.4164
0,0.251
0,0.2697
1,0.4732
0,0.6668
0,0.3485
0,0.3221
0,0.6332
0,0.2091
0,0.47
0,0.5472
0,0.273
0,0.5907
0,0.5955
0,0.4667
0,0.2915
0,0.3546
0,0.4428
1,0.7332
0,0.2375
0,0.6473
0,0.4701
0,0.4279
0,0.2575
0,0.459
0,0.3823
0,0.4875
0,0.2591
0,0.2248
0,0.3598
0,0.4487
0,0.5281
0,0.1917
0,0.549
0,0.3642
0,0.3314
0,0.2398
1,0.7004
1,0.7372
0,0.4378
0,0.2096
0,0.7347
0,0.426
0,0.39
0,0.4325
0,0.3669
0,0.5715
0,0.5213
0,0.2735
0,0.2625
0,0.3458
0,0.2508
1,0.3906
0,0.2393
1,0.7483
0,0.0439
0,0.1765
0,0.2978
0,0.1698
0,0.7099
0,0.1554
0,0.3737
0,0.3288
0,0.3736
0,0.2612
0,0.2808
0,0.3956
0,0.4281
0,0.346
1,0.5566
0,0.1804
0,0.4991
0,0.2521
0,0.5092
0,0.1321
0,0.5543
0,0.255
0,0.429
0,0.5167
0,0.2365
0,0.3336
1,0.651
0,0.4066
1,0.3973
0,0.3976
0,0.7452
0,0.3725
1,0.5274
0,0.2554
0,0.2842
0,0.3904
0,0.1126
0,0.2553
0,0.1372
0,0.348
1,0.5495
0,0.5531
0,0.2514
0,0.6825
0,0.351
0,0.3404
1,0.4364
0,0.3895
0,0.4616
0,0.6355
0,0.4889
0,0.3853
0,0.3073
0,0.1623
0,0.2356
0,0.1543
0,0.3492
0,0.316
0,0.3136
0,0.2931
1,0.5011
0,0.5011
1,0.7914
0,0.2159
0,0.0667
0,0.214
0,0.3528
0,0.5806
1,0.7204
0,0.8677
0,0.6479
1,0.6501
0,0.5155
0,0.6045
0,0.2849
1,0.6701
1,0.5087
0,0.4952
0,0.6787
0,0.5309
0,0.3307
0,0.2653
0,0.3134
0,0.4577
0,0.0748
0,0.2035
0,0.8315
0,0.3768
0,0.5371
0,0.2701
0,0.263
0,0.2659
0,0.5049
0,0.2987
1,0.6912
1,0.7123
0,0.6525
1,0.6014
0,0.2671
0,0.4166
0,0.5189
0,0.7989
0,0.2665
0,0.6761
0,0.4487
0,0.2171
0,0.2102
0,0.2739
0,0.3935
0,0.3346
1,0.8033
0,0.2277
0,0.2944
0,0.5434
0,0.5248
0,0.313
0,0.5346
0,0.1759
0,0.0218
0,0.6817
0,0.2932
0,0.5474
0,0.2357
0,0.458
0,0.0971
1,0.3412
0,0.4942
0,0.5205
0,0.2558
0,0.3927
0,0.5188
0,0.2186
0,0.5034
0,0.6167
1,0.8861
1,0.6351
0,0.3357
0,0.2
0,0.246
0,0.5679
0,0.3399
1,0.5798
0,0.3294
0,0.455
0,0.4962
1,0.3767
0,0.6046
0,0.6524
0,0.1743
0,0.4982
0,0.468
0,0.5929
0,0.5043
0,0.4733
0,0.4117
1,0.619
0,0.2488
0,0.3523
0,0.5208
0,0.1474
0,0.3421
0,0.5001
0,0.0932
0,0.505
0,0.8261
0,0.5067
1,0.7084
0,0.0412
0,0.4723
0,0.2835
0,0.364
0,0.3867
0,0.4524
0,0.2207
0,0.2679
0,0.2329
0,0.4109
0,0.2726
1,0.7947
0,0.2854
0,0.2247
0,0.3286
0,0.356
0,0.3072
0,0.3706
1,0.7541
0,0.3518
0,0.2992
1,0.6884
0,0.3784
0,0.2771
1,0.7958
0,0.4126
0,0.7061
0,0.3362
0,0.2583
0,0.363
0,0.4408
0,0.4434
0,0.489
0,0.4458
0,0.2766
0,0.4936
0,0.345
0,0.321
0,0.483
1,0.7812
0,0.3248
0,0.2291
1,0.6839
0,0.226
0,0.3124
0,0.0179
0,0.5341
0,0.3696
0,0.3732
0,0.5583
0,0.3861
0,0.2958
0,0.1747
0,0.1936
0,0.6933
0,0.3283
0,0.3902
1,0.4124
0,0.2278
0,0.657
1,0.2203
0,0.3407
0,0.2182
0,0.508
0,0.3124
0,0.6548
0,0.0711
0,0.4457
0,0.3262
0,0.3297
0,0.3441
0,0.4841
1,0.5161
0,0.3509
0,0.4692
0,0.0183
0,0.1838
0,0.2131
0,0.4013
0,0.515
0,0.549
0,0.503
0,0.2633
0,0.1286
1,0.6926
0,0.4527
1,0.7608
0,0.4013
0,0.1141
0,0.2281
0,0.0375
1,0.6012
1,0.6555
0,0.4553
1,0.6629
0,0.1965
0,0.282
1,0.6374
1,0.4781
0,0.3882
0,0.5522
0,0.3233
0,0.3946
0,0.2053
0,0.2189
1,0.5407
0,0.424
0,0.4416
0,0.1911
0,0.5841
0,0.3993
0,0.433
0,0.2409
0,0.2343
0,0.6
0,0.2401
0,0.3926
0,0.432
0,0.2401
0,0.3956
0,0.1153
0,0.5709
0,0.2306
0,0.3997
0,0.1317
0,0.4941
0,0.4524
0,0.3461
0,0.5842
0,0.5871
0,0.4432
0,0.3032
0,0.5231
0,0.0921
0,0.4388
0,0.1326
0,0.3384
0,0.6183
0,0.5656
1,0.6724
0,0.2494
0,0.3789
0,0.2536
0,0.4227
0,0.4036
0,0.4754
0,0.4399
0,0.1925
0,0.3481
0,0.6325
0,0.1985
0,0.6117
0,0.6085
0,0.4555
1,0.5925
0,0.3328
0,0.1682
0,0.4169
0,0.2318
0,0.7317
0,0.3463
0,0.374
0,0.4008
0,0.4366
0,0.2996
0,0.4361
0,0.3363
0,0.4445
1,0.6204
0,0.5138
0,0.3214
0,0.376
0,0.4307
0,0.5047
0,0.3815
0,0.4294
0,0.5782
0,0.326
0,0.2933
0,0.601
0,0.2003
1,0.7639
0,0.3829
1,0.4355
0,0.1824
0,0.3032
0,0.2259
0,0.3551
1,0.5744
0,0.2373
0,0.2924
0,0.3039
0,0.1666
0,0.3854
0,0.4608
0,0.4528
0,0.1306
0,0.4633
0,0.4008
0,0.3807
0,0.3133
0,0.4252
0,0.3545
0,0.4534
0,0.2039
0,0.0978
0,0.474
0,0.2524
0,0.2169
1,0.6915
0,0.2884
0,0.4027
0,0.4476
0,0.3864
0,0.2761
0,0.3022
1,0.6477
1,0.4718
0,0.4948
0,0.364
0,0.28
0,0.4189
0,0.7479
0,0.3473
0,0.4696
1,0.7679
0,0.1196
0,0.4974
1,0.543
0,0.1879
0,0.3156
0,0.5683
1,0.6314
0,0.6785
0,0.4554
0,0.3859
0,0.4073
0,0.4384
0,0.2217
0,0.1761
0,0.5833
0,0.3854
0,0.4619
0,0.4177
1,0.5558
0,0.5757
0,0.2195
0,0.5752
0,0.2924
0,0.1065
0,0.4478
1,0.603
0,0.2936
0,0.7264
0,0.4615
1,0.7784
0,0.6425
0,0.6341
0,0.33
0,0.4697
0,0.3722
0,0.3824
0,0.4093
0,0.1637
0,0.4611
0,0.6497
0,0.2476
0,0.405
1,0.6434
0,0.5094
0,0.3597
1,1.0
0,0.532
0,0.5064
0,0.3605
1,0.5686
0,0.7971
0,0.2191
0,0.3045
0,0.2682
0,0.1806
0,0.5842
1,0.8643
0,0.3899
0,0.5274
1,0.5578
0,0.2696
0,0.3777
0,0.5092
0,0.5197
0,0.6389
0,0.6106
1,0.4343
0,0.3179
0,0.2197
0,0.4137
0,0.1385
0,0.2557
1,0.6109
0,0.4302
1,0.4969
0,0.2251
0,0.1477
0,0.3661
0,0.4651
0,0.0788
0,0.2758
0,0.4701
0,0.3204
0,0.5555
0,0.0167
0,0.4745
0,0.3286
0,0.1772
0,0.1089
0,0.2783
1,0.7245
0,0.5598
0,0.3223
0,0.5382
0,0.1913
0,0.1394
0,0.3001
0,0.5801
0,0.3998
0,0.5056
0,0.4352
0,0.3952
0,0.2837
0,0.5967
0,0.2388
1,0.5808
0,0.3485
0,0.3473
0,0.103
1,0.7787
0,0.4258
0,0.3407
0,0.3105
0,0.2545
0,0.543
0,0.2473
0,0.3354
0,0.6199
0,0.175
0,0.5682
0,0.1222
0,0.3263
0,0.2837
0,0.3034
0,0.5329
1,0.7465
1,0.4907
0,0.4046
0,0.3078
1,0.8971
0,0.4449
0,0.408
0,0.4839
0,0.3923
0,0.3431
0,0.7441
0,0.2899
0,0.4115
0,0.4606
0,0.2032
0,0.2521
0,0.3818
1,0.71
0,0.1927
0,0.5306
1,0.5911
0,0.1236
0,0.4584
1,0.6898
0,0.5105
0,0.3785
0,0.1628
0,0.7239
0,0.7042
0,0.409
0,0.4076
0,0.477
0,0.2145
0,0.419
0,0.7646
0,0.4321
0,0.2415
0,0.449
1,0.4678
0,0.151
0,0.3788
0,0.3433
1,0.5901
0,0.6299
0,0.3304
0,0.5277
0,0.3537
1,0.5421
0,0.5723
0,0.0939
0,0.3801
0,0.3635
1,0.7063
0,0.3428
0,0.3957
0,0.2543
0,0.4741
0,0.0181
0,0.3041
0,0.4183
0,0.2709
0,0.2504
1,0.9131
0,0.4683
0,0.2271
0,0.5043
0,0.2955
0,0.3679
0,0.493
0,0.0317
0,0.2068
0,0.2451
0,0.5042
0,0.4905
0,0.0815
0,0.1935
0,0.4196
0,0.2194
0,0.2601
1,0.6869
0,0.4171
0,0.2928
0,0.2503
0,0.2953
0,0.627
1,0.5501
0,0.4198
0,0.2527
0,0.5964
1,0.3114
1,0.8423
0,0.3178
0,0.4051
0,0.2467
1,0.5111
0,0.0985
0,0.5363
0,0.201
0,0.3056
0,0.2716
0,0.6317
0,0.3205
0,0.3316
0,0.3266
1,0.511
1,0.4481
0,0.4771
0,0.1969
0,0.3681
0,0.3872
0,0.1183
0,0.1894
0,0.5479
0,0.3693
0,0.3792
1,0.7864
0,0.2973
0,0.2216
1,0.3904
0,0.3212
0,0.2733
0,0.5204
0,0.1692
0,0.6983
0,0.3404
0,0.5237
0,0.3849
0,0.5206
1,0.5755
0,0.2596
0,0.4673
1,0.4949
0,0.1957
1,0.6115
0,0.429
0,0.3911
0,0.4627
1,0.8135
0,0.6478
0,0.3907
0,0.7811
0,0.581
0,0.3118
0,0.4017
0,0.6937
0,0.3214
1,0.8334
0,0.1635
0,0.4675
0,0.4186
0,0.7078
1,0.7734
1,0.6405
0,0.4342
0,0.5488
1,0.5977
0,0.821
0,0.641
0,0.6023
0,0.3348
0,0.2207
0,0.53
0,0.3887
0,0.3738
1,0.6166
0,0.5287
0,0.3762
0,0.2924
0,0.1438
0,0.4318
0,0.2639
0,0.268
0,0.1237
0,0.3773
0,0.3285
0,0.3938
1,0.5239
0,0.4168
0,0.0
0,0.2717
0,0.3687
0,0.2273
0,0.6029
0,0.5016
0,0.1289
0,0.4485
0,0.4761
0,0.4921
0,0.3008
1,0.3682
0,0.4579
0,0.4076
0,0.2951
0,0.2685
0,0.4604
0,0.3796
0,0.6212
0,0.2961
0,0.7761
0,0.3625
0,0.0587
0,0.4006
0,0.2723
0,0.3302
0,0.5325
0,0.3844
0,0.4376
0,0.4148
0,0.4382
0,0.249
0,0.3409
0,0.3365
0,0.4925
0,0.2932
0,0.2988
0,0.2693
0,0.6079
0,0.5187
0,0.2907
0,0.4836
0,0.1241
0,0.4021
0,0.4091
0,0.405
0,0.1603
0,0.453
0,0.3283
0,0.621
0,0.4948
0,0.1948
1,0.5148
0,0.2903
0,0.3903
0,0.5249
0,0.1613
0,0.2472
1,0.9003
0,0.4242
0,0.6596
1,0.6211
0,0.2459
0,0.4161
1,0.4098
0,0.4895
1,0.572
1,0.5592
0,0.315
0,0.4087
0,0.3009
0,0.4532
0,0.5191
0,0.5345
0,0.3264
1,0.5762
0,0.2297
0,0.5166
0,0.4558
0,0.4699
0,0.2304
0,0.295
0,0.3813
0,0.4014
0,0.4659
0,0.3135
1,0.5021
1,0.8504
0,0.4055
1,0.5131
0,0.2325
0,0.6611
0,0.5543
1,0.804
0,0.1669
0,0.318
1,0.3803
0,0.7815
0,0.5989
0,0.5683
0,0.2561
0,0.7053
1,0.895
0,0.4144
0,0.4716
0,0.6074
0,0.4782
0,0.6826
0,0.5639
1,0.4248
0,0.5471
0,0.1894
0,0.263
0,0.6321
0,0.363
0,0.0707
1,0.3411
0,0.4791
1,0.4471
0,0.094
0,0.4184
0,0.6627
0,0.6278
0,0.3777
0,0.3943
0,0.4555
0,0.4602
0,0.708
0,0.3262
0,0.3969
0,0.3294
1,0.7218
0,0.2582
0,0.4931
0,0.4145
