y_real,score
0,0.3876
0,0.3886
0,0.371
1,0.5491
0,0.398
0,0.5866
0,0.4145
0,0.4199
0,0.3587
0,0.6821
0,0.4387
0,0.6083
0,0.4231
0,0.5821
0,0.5668
0,0.4645
0,0.4779
0,0.6208
0,0.2211
0,0.5151
0,0.2841
0,0.3255
0,0.4421
0,0.4131
0,0.2289
0,0.4351
0,0.4601
1,0.6585
0,0.6616
0,0.5346
0,0.6602
0,0.3768
0,0.376
0,0.4384
0,0.5861
0,0.4957
0,0.5367
0,0.4606
0,0.588
0,0.2844
0,0.4394
0,0.6616
0,0.3516
0,0.5578
1,0.7865
0,0.3833
0,0.2506
0,0.4776
0,0.3035
0,0.3908
0,0.5593
0,0.4208
0,0.3825
0,0.4313
0,0.2903
0,0.4342
0,0.3454
0,0.4782
0,0.4788
0,0.2112
0,0.1873
0,0.5188
0,0.4097
0,0.1824
1,0.7469
1,0.7409
0,0.5452
0,0.485
0,0.4219
0,0.6036
0,0.1544
0,0.5865
0,0.4417
0,0.681
0,0.6445
0,0.3996
0,0.372
0,0.4285
0,0.3512
0,0.4668
0,0.5808
0,0.5844
0,0.6345
0,0.3963
0,0.4445
0,0.3741
0,0.4983
0,0.5347
0,0.5638
0,0.2755
0,0.3242
0,0.5065
0,0.6455
0,0.5049
1,0.4243
0,0.4976
0,0.6141
0,0.4031
0,0.286
0,0.4808
0,0.3475
0,0.1325
0,0.4031
0,0.4713
0,0.3369
0,0.4815
0,0.3676
0,0.5251
0,0.4461
0,0.2136
0,0.4164
0,0.5108
0,0.7591
0,0.2605
0,0.5085
0,0.4154
0,0.3614
0,0.2506
0,0.3322
0,0.5089
0,0.6875
0,0.3024
1,0.5912
1,0.488
0,0.4135
0,0.438
0,0.3949
1,0.6931
0,0.488
0,0.3217
0,0.3549
0,0.5768
1,0.4544
0,0.3981
0,0.4959
0,0.3703
0,0.2484
0,0.6608
0,0.493
0,0.3915
0,0.2128
0,0.3671
0,0.417
0,0.429
0,0.3663
0,0.1938
0,0.382
0,0.3964
0,0.4322
0,0.4009
0,0.3233
0,0.4234
0,0.373
0,0.5532
0,0.142
0,0.4018
0,0.4938
0,0.3118
0,0.421
0,0.3281
0,0.1269
0,0.4788
0,0.4014
1,0.5199
0,0.3764
0,0.3783
0,0.3774
0,0.4717
0,0.6062
0,0.478
1,0.5519
0,0.2641
0,0.4761
0,0.5785
0,0.6469
0,0.5168
0,0.3255
0,0.4937
0,0.3449
0,0.6186
0,0.4208
0,0.511
0,0.6706
0,0.3892
0,0.1842
0,0.2947
1,0.4203
0,0.5689
0,0.2559
0,0.4562
0,0.5357
0,0.3076
0,0.4949
0,0.644
0,0.4728
0,0.2893
0,0.5759
0,0.3439
0,0.5094
0,0.3221
0,0.5224
0,0.5016
0,0.4912
0,0.3466
0,0.683
0,0.4342
0,0.4397
0,0.5036
0,0.5584
0,0.4744
0,0.4889
0,0.3173
0,0.509
0,0.312
0,0.6653
0,0.6538
0,0.3921
0,0.4572
0,0.4566
0,0.4581
0,0.2844
0,0.3963
0,0.4728
0,0.3062
0,0.2768
0,0.4132
0,0.265
0,0.7089
0,0.4467
0,0.6129
0,0.7583
0,0.5026
1,0.6214
0,0.4802
0,0.405
0,0.6024
0,0.34
0,0.5447
0,0.2867
0,0.4206
0,0.3083
0,0.4667
0,0.6203
0,0.298
0,0.6024
0,0.442
0,0.397
0,0.43
0,0.471
0,0.3456
0,0.2759
0,0.696
0,0.4597
1,0.577
0,0.4669
0,0.3949
0,0.3574
0,0.6782
0,0.6003
0,0.603
1,0.6463
1,0.6569
0,0.3519
0,0.2557
0,0.5532
0,0.3472
0,0.1121
0,0.3271
0,0.2187
0,0.3682
0,0.6655
0,0.3167
0,0.5373
0,0.2163
0,0.4958
0,0.39
0,0.2969
0,0.5456
0,0.5995
1,0.7147
0,0.4849
0,0.3223
0,0.4901
0,0.6376
0,0.461
1,0.8184
0,0.461
1,0.5922
0,0.6009
0,0.6345
0,0.4209
0,0.4555
0,0.4498
1,0.4692
0,0.2186
0,0.4687
0,0.3753
0,0.5059
0,0.2409
1,1.0
0,0.6289
0,0.3573
0,0.443
0,0.4573
0,0.427
0,0.2787
0,0.2055
0,0.2299
0,0.4509
0,0.3191
0,0.3678
0,0.468
0,0.4736
0,0.4566
0,0.5151
0,0.4417
0,0.3528
0,0.4175
0,0.3929
0,0.4177
0,0.4028
0,0.6969
0,0.4322
0,0.5933
1,0.661
0,0.3366
0,0.3566
0,0.4343
0,0.3891
0,0.2818
0,0.4989
0,0.2788
0,0.3902
0,0.3388
0,0.28
0,0.2702
1,0.6538
0,0.6013
0,0.3884
0,0.5177
0,0.2199
0,0.4381
0,0.5386
0,0.3767
0,0.4813
0,0.4115
0,0.2929
0,0.3359
0,0.4154
0,0.5435
0,0.4977
0,0.4342
0,0.5661
0,0.4632
0,0.5364
0,0.1987
0,0.3352
0,0.4168
0,0.2353
0,0.4569
0,0.2958
0,0.4408
0,0.481
0,0.4721
0,0.3039
0,0.5886
1,0.7313
0,0.5243
0,0.4797
0,0.3585
1,0.5207
0,0.6076
0,0.3394
0,0.539
0,0.3694
0,0.654
0,0.2745
0,0.6003
1,0.5185
0,0.4686
0,0.4652
1,0.5345
0,0.3439
0,0.79
0,0.2963
0,0.51
0,0.459
0,0.6064
1,0.5859
0,0.5194
0,0.396
0,0.3161
0,0.3719
0,0.802
0,0.3543
0,0.6617
0,0.4301
0,0.4447
0,0.8814
0,0.5305
0,0.5566
0,0.6267
0,0.3279
0,0.3805
0,0.4888
0,0.4343
0,0.2961
0,0.4107
0,0.4652
0,0.3866
1,0.5848
0,0.5106
0,0.4297
1,0.5915
0,0.3924
0,0.2784
0,0.3569
0,0.5853
0,0.6019
0,0.3092
0,0.2949
0,0.3938
0,0.3674
0,0.5641
0,0.3508
0,0.3349
0,0.4847
0,0.6044
0,0.3455
0,0.4027
0,0.4771
0,0.3678
0,0.5088
0,0.4514
0,0.5355
0,0.4881
0,0.4479
0,0.5055
0,0.4128
0,0.3764
1,0.7469
0,0.4735
0,0.388
0,0.55
0,0.4899
0,0.3518
0,0.4234
0,0.5669
0,0.6492
0,0.2754
0,0.4331
0,0.3753
0,0.4496
0,0.5603
0,0.492
0,0.3755
0,0.3265
0,0.3418
0,0.5784
0,0.5454
0,0.5476
0,0.5374
0,0.4464
0,0.3605
0,0.4828
0,0.6036
0,0.5283
0,0.5106
0,0.3535
1,0.673
0,0.3059
0,0.2728
0,0.5311
1,0.8691
0,0.3069
0,0.0
0,0.6329
0,0.6521
0,0.488
0,0.3283
0,0.5578
0,0.5594
0,0.6488
0,0.5755
1,0.6655
0,0.5494
0,0.5967
0,0.4528
0,0.2769
0,0.6819
0,0.4713
1,0.5243
0,0.5877
0,0.6551
0,0.5009
0,0.5345
0,0.3656
0,0.5713
0,0.4877
0,0.4433
0,0.5771
0,0.7046
0,0.297
0,0.3606
0,0.438
0,0.6072
0,0.3602
0,0.5012
0,0.4681
0,0.3632
0,0.319
0,0.242
1,0.6722
0,0.4333
0,0.6237
0,0.5033
0,0.3149
0,0.4288
1,0.702
0,0.6378
1,0.5817
0,0.6357
0,0.55
0,0.4978
1,0.7032
0,0.3989
0,0.6096
1,0.6214
0,0.5716
0,0.3345
0,0.753
0,0.4305
1,0.8617
0,0.522
0,0.4964
0,0.3761
0,0.2471
0,0.5027
0,0.5177
0,0.38
0,0.2304
0,0.412
0,0.4384
0,0.4242
1,0.4489
1,0.4612
0,0.5207
0,0.5071
0,0.5803
0,0.4804
1,0.6733
0,0.4017
0,0.4436
1,0.545
0,0.5032
0,0.3647
0,0.6109
0,0.3412
0,0.184
0,0.464
0,0.4301
0,0.3775
0,0.3955
0,0.4225
0,0.4356
0,0.362
0,0.2795
0,0.602
0,0.3726
0,0.2314
0,0.5546
0,0.3662
0,0.3367
0,0.5673
0,0.6849
0,0.3695
0,0.5018
0,0.3811
0,0.3043
0,0.3821
0,0.3868
0,0.4091
0,0.5605
0,0.417
0,0.5432
0,0.4145
0,0.4445
0,0.5201
0,0.6029
0,0.291
0,0.4172
0,0.6075
0,0.5063
0,0.3664
0,0.563
1,0.6387
0,0.3832
0,0.48
0,0.2582
0,0.3916
0,0.4294
0,0.6422
0,0.4549
1,0.7241
0,0.3937
0,0.3173
0,0.4076
0,0.4079
0,0.2787
0,0.6639
0,0.3128
0,0.2185
0,0.5779
0,0.5208
0,0.5226
0,0.3045
0,0.4492
0,0.4904
0,0.3676
0,0.4585
0,0.6222
0,0.4763
0,0.4291
1,0.6121
