y_real,score
0,0.5833
0,0.4813
0,0.4187
0,0.1224
0,0.5058
1,0.5376
0,0.3778
0,0.2928
0,0.4316
0,0.5603
0,0.3466
0,0.2111
0,0.2865
0,0.6525
0,0.3654
0,0.3661
0,0.2892
0,0.5816
0,0.3932
0,0.3098
0,0.2414
0,0.1055
0,0.3338
0,0.6634
0,0.607
0,0.5853
0,0.5212
0,0.5318
0,0.5641
0,0.4378
0,0.2752
0,0.2756
0,0.4432
0,0.5215
0,0.4246
0,0.4247
0,0.319
1,0.7177
0,0.3594
0,0.3994
0,0.5325
0,0.3271
0,0.5457
0,0.7104
0,0.4507
0,0.45
0,0.4312
0,0.5517
0,0.4086
0,0.6454
0,0.736
0,0.6422
0,0.5652
0,0.5543
0,0.5504
0,0.6213
0,0.4322
0,0.5804
0,0.4617
0,0.5912
1,0.5007
0,0.3554
0,0.5709
0,0.4045
0,0.5382
0,0.4117
0,0.3952
0,0.4135
0,0.6146
1,0.6445
0,0.2803
0,0.5061
0,0.4827
0,0.5772
0,0.3381
0,0.4639
0,0.4439
0,0.3678
0,0.6209
0,0.4524
0,0.5502
0,0.2488
0,0.6567
0,0.284
0,0.538
0,0.5969
0,0.4137
0,0.7229
0,0.5498
1,0.7356
0,0.7578
0,0.3538
0,0.3976
0,0.3812
0,0.0947
0,0.7584
0,0.7087
0,0.57
0,0.5472
0,0.2714
0,0.6147
0,0.4816
0,0.3624
0,0.5693
0,0.4187
0,0.4697
0,0.8077
0,0.3439
0,0.388
0,0.6655
0,0.4691
0,0.5938
0,0.6623
0,0.3027
0,0.4291
0,0.6644
0,0.4855
0,0.4381
0,0.187
0,0.5108
0,0.314
0,0.4222
0,0.5147
0,0.3932
0,0.3109
0,0.4185
0,0.3469
0,0.3249
0,0.5476
0,0.4687
0,0.6618
0,0.3486
0,0.7238
0,0.3807
0,0.5372
0,0.4048
0,0.4994
0,0.6394
0,0.5962
0,0.4509
0,0.6067
0,0.3258
0,0.6498
0,0.4924
0,0.5722
0,0.6415
0,0.2022
0,0.5915
0,0.4791
0,0.638
0,0.5203
0,0.3723
1,0.6192
0,0.362
0,0.6296
0,0.3804
0,0.3255
0,0.6929
0,0.5092
0,0.5483
0,0.6011
0,0.6126
0,0.5451
0,0.1108
0,0.6108
0,0.4198
0,0.6631
0,0.5633
0,0.1821
0,0.4645
0,0.3763
0,0.6417
0,0.4165
0,0.6067
0,0.4565
0,0.4811
0,0.2842
0,0.3586
0,0.4923
1,0.5707
0,0.3738
0,0.546
0,0.5765
0,0.6631
0,0.5144
0,0.3307
0,0.3064
0,0.4059
0,0.3946
0,0.5344
0,0.4498
0,0.5434
0,0.5509
0,0.5464
0,0.6689
0,0.5191
0,0.5052
0,0.4995
0,0.4815
0,0.3728
0,0.4536
0,0.3651
0,0.5239
0,0.411
0,0.6868
0,0.3997
0,0.3873
0,0.4258
0,0.5169
0,0.6202
0,0.5718
0,0.3254
0,0.3969
0,0.6244
0,0.5708
0,0.7168
0,0.4938
0,0.2873
0,0.6498
0,0.5698
0,0.4096
0,0.479
0,0.5414
0,0.4883
0,0.5281
0,0.6354
0,0.6904
0,0.5657
0,0.4022
0,0.424
0,0.4101
1,0.5586
0,0.2347
1,0.6824
0,0.4223
0,0.1601
0,0.2926
0,0.4575
0,0.2517
0,0.5459
0,0.9589
0,0.3898
0,0.3118
0,0.5709
0,0.266
0,0.6116
0,0.4148
0,0.3736
0,0.5262
0,0.2969
0,0.2746
0,0.5424
0,0.5079
0,0.5851
0,0.355
0,0.3844
0,0.512
0,0.7415
0,0.4663
0,0.518
0,0.8012
0,0.6428
0,0.3735
0,0.558
0,0.5334
0,0.3972
0,0.734
0,0.4856
0,0.584
0,0.5474
0,0.4425
1,0.4759
0,0.3673
0,0.4209
0,0.3816
0,0.4399
0,0.4685
0,0.3056
0,0.3986
0,0.4982
1,0.6287
0,0.4911
0,0.3751
0,0.4847
0,0.4084
0,0.4639
0,0.4765
0,0.4684
0,0.7123
0,0.673
0,0.5889
0,0.3218
0,0.5048
0,0.6787
0,0.4073
0,0.579
0,0.5705
0,0.3435
0,0.3125
0,0.3572
0,0.5596
1,0.5585
0,0.4017
0,0.242
1,0.5528
0,0.545
0,0.3638
0,0.482
0,0.5925
0,0.5108
0,0.694
0,0.4336
0,0.4282
0,0.2526
0,0.0625
0,0.2444
0,0.5097
0,0.4537
0,0.4968
0,0.4871
0,0.4939
0,0.5066
0,0.5402
0,0.3481
0,0.5372
0,0.7006
1,0.5323
0,0.3919
0,0.6262
0,0.5552
0,0.3749
0,0.594
0,0.3527
0,0.538
0,0.656
0,0.677
0,0.436
0,0.4076
0,0.6789
0,0.4363
0,0.6875
0,0.2666
0,0.6207
0,0.5648
0,0.5933
0,0.5018
0,0.2959
0,0.357
0,0.5247
0,0.5797
1,0.7328
0,0.7027
0,0.4806
0,0.4068
0,0.5899
0,0.4049
0,0.5959
0,0.4633
0,0.5765
0,0.6411
0,0.5159
0,0.8039
0,0.7674
0,0.8345
0,0.3395
0,0.2702
0,0.6144
0,0.5717
0,0.4772
0,0.3353
0,0.6133
1,0.5335
0,0.5983
0,0.7619
0,0.7709
0,0.3677
0,0.4629
0,0.6676
0,0.4728
0,0.5137
0,0.6095
0,0.593
0,0.5023
0,0.5081
0,0.2797
0,0.3553
0,0.3847
0,0.6753
0,0.727
0,0.2592
0,0.2308
0,0.3922
0,0.4987
0,0.4975
0,0.1309
0,0.4174
0,0.3129
0,0.3455
0,0.7547
0,0.5079
0,0.6489
0,0.6564
0,0.347
0,0.3931
0,0.6011
0,0.3439
0,0.2683
0,0.5212
0,0.6398
0,0.3717
0,0.7264
0,0.8463
0,0.3334
0,0.6076
0,0.5864
0,0.5297
0,0.5298
0,0.447
0,0.4725
0,0.588
0,0.4345
0,0.4562
0,0.5961
0,0.4331
0,0.6729
0,0.3975
0,0.6597
0,0.3885
0,0.5888
0,0.2863
0,0.2664
0,0.5372
0,0.5
0,0.6472
0,0.6282
0,0.6818
0,0.478
0,0.4712
0,0.4298
0,0.5779
0,0.4425
0,0.4164
0,0.5477
1,0.4474
0,0.7347
0,0.2211
0,0.3611
0,0.4977
0,0.6246
0,0.8032
0,0.6807
0,0.4923
0,0.4526
0,0.4491
0,0.3816
0,0.7123
0,0.5287
0,0.3894
0,0.4299
0,0.2515
0,0.3826
0,0.4225
0,0.6316
0,0.5253
0,0.6899
0,0.4128
0,0.4261
0,0.5368
0,0.1056
0,0.5898
0,0.4445
0,0.7406
0,0.4098
0,0.4765
0,0.3868
0,0.6552
0,0.2331
1,0.8606
0,0.5968
0,0.5038
0,0.241
0,0.331
0,0.6598
0,0.53
0,0.765
0,0.4445
0,0.3789
0,0.4385
0,0.5094
0,0.4009
0,0.4261
0,0.3904
0,0.3123
0,0.4952
0,0.3857
0,0.5319
1,0.7998
0,0.5732
0,0.7627
0,0.3349
0,0.5601
0,0.5551
0,0.2172
0,1.0
0,0.6544
0,0.6713
0,0.6669
0,0.3865
0,0.4699
0,0.5437
0,0.345
0,0.4882
0,0.5354
0,0.7084
0,0.6423
0,0.3386
0,0.4051
0,0.3153
0,0.3608
0,0.6491
0,0.4804
0,0.5707
0,0.4462
0,0.443
0,0.5541
0,0.3648
0,0.4977
0,0.4384
0,0.4829
1,0.817
0,0.2406
0,0.5333
0,0.487
0,0.4429
0,0.5875
0,0.4726
0,0.5326
0,0.5998
0,0.4182
0,0.5177
1,0.5867
0,0.3921
1,0.661
0,0.66
0,0.5089
0,0.5268
0,0.3962
0,0.7405
0,0.5582
0,0.6391
0,0.5428
0,0.6869
0,0.6034
0,0.3302
0,0.6396
0,0.5689
0,0.5183
0,0.5566
0,0.426
0,0.4459
0,0.404
0,0.4947
0,0.4157
0,0.4218
0,0.6398
0,0.3614
0,0.496
0,0.699
0,0.6622
0,0.2173
0,0.1812
0,0.278
0,0.3556
0,0.4046
0,0.5308
1,0.6675
0,0.4657
0,0.4759
0,0.3982
0,0.6986
0,0.4564
0,0.4382
0,0.3372
0,0.3078
0,0.6483
0,0.5054
0,0.5081
0,0.6022
0,0.3244
0,0.3419
0,0.5108
0,0.4132
0,0.7091
0,0.359
0,0.2649
0,0.6007
0,0.5408
0,0.3169
0,0.3342
0,0.5764
0,0.6855
0,0.343
0,0.7739
0,0.3903
0,0.4504
0,0.5395
0,0.013
0,0.2432
0,0.5457
0,0.7728
0,0.4581
0,0.3655
0,0.5547
1,0.7891
0,0.8229
0,0.2551
0,0.4468
1,0.8472
0,0.3137
0,0.5314
1,0.6463
0,0.5277
0,0.3115
0,0.3688
0,0.4742
0,0.5862
0,0.8016
0,0.2466
0,0.473
1,0.6679
0,0.4987
0,0.7371
0,0.6328
0,0.6264
0,0.5914
0,0.7303
0,0.5569
1,0.7658
0,0.7838
0,0.4866
0,0.3538
0,0.5168
0,0.5964
0,0.4013
0,0.632
0,0.7255
0,0.8505
0,0.379
0,0.6816
0,0.2196
0,0.7034
0,0.3214
0,0.4576
0,0.5808
0,0.3607
0,0.4213
0,0.5198
0,0.3657
0,0.3129
0,0.4653
1,0.7323
0,0.5286
0,0.7013
0,0.4634
0,0.5202
0,0.4399
0,0.2739
0,0.279
0,0.2178
0,0.4243
1,0.7229
0,0.4037
0,0.422
0,0.6583
0,0.4565
0,0.6951
0,0.6468
0,0.3169
0,0.4716
0,0.7102
0,0.5173
0,0.4201
0,0.4142
0,0.3882
0,0.4526
0,0.3318
0,0.4959
0,0.2635
0,0.2891
0,0.4929
0,0.3575
0,0.5151
0,0.4726
0,0.3593
0,0.5832
0,0.3301
0,0.6151
0,0.4452
0,0.6065
0,0.5211
0,0.8085
0,0.5138
0,0.5268
0,0.3591
0,0.6198
0,0.1307
0,0.416
0,0.6107
0,0.5408
0,0.5486
0,0.6618
0,0.2431
0,0.6883
0,0.4726
0,0.5062
0,0.5502
0,0.3388
0,0.5203
0,0.4829
0,0.2956
0,0.2849
0,0.5654
0,0.5712
0,0.4798
0,0.6263
0,0.4531
0,0.4816
0,0.312
0,0.5167
0,0.2979
0,0.316
0,0.235
0,0.4778
0,0.4557
0,0.5776
0,0.6597
0,0.6424
0,0.3765
0,0.6119
0,0.6044
0,0.6092
0,0.5009
0,0.3453
0,0.3551
0,0.3631
1,0.3898
0,0.538
0,0.506
0,0.6396
0,0.3324
0,0.476
0,0.6227
0,0.5567
0,0.5215
1,0.6783
0,0.3828
1,0.7623
0,0.3508
0,0.3021
0,0.6146
0,0.492
0,0.5796
0,0.6713
0,0.307
0,0.5854
0,0.4148
0,0.423
0,0.5749
0,0.3315
0,0.1039
0,0.446
0,0.2806
0,0.6007
0,0.5993
0,0.5481
0,0.4259
0,0.3955
0,0.5318
0,0.5566
0,0.5497
1,0.649
0,0.6595
0,0.4132
0,0.3747
0,0.6392
0,0.492
0,0.781
0,0.4619
1,0.9006
0,0.3371
0,0.7007
0,0.4721
0,0.5455
0,0.5006
0,0.2806
0,0.5221
0,0.5934
0,0.4176
0,0.4111
0,0.7795
0,0.3901
0,0.5832
0,0.7409
0,0.5432
0,0.5129
0,0.3146
0,0.5755
0,0.3006
0,0.4872
0,0.392
0,0.3308
0,0.5837
0,0.408
0,0.2116
0,0.5865
0,0.4904
0,0.372
0,0.4792
0,0.4212
0,0.2338
0,0.3646
0,0.5841
0,0.5924
0,0.3308
0,0.4361
0,0.3305
0,0.2759
1,0.6563
0,0.1707
0,0.6459
