y_real,score
0,0.4632
0,0.5854
0,0.4989
0,0.4039
0,0.6182
0,0.3733
0,0.5498
0,0.3306
0,0.2573
0,0.6889
0,0.218
0,0.6513
0,0.3393
0,0.5091
0,0.4668
0,0.5056
1,0.7363
0,0.2736
0,0.4394
1,0.3295
0,0.6087
0,0.5825
0,0.419
0,0.4583
0,0.3286
0,0.3441
0,0.2895
1,0.8356
0,0.7788
0,0.4687
0,0.5082
0,0.3059
0,0.4005
0,0.3651
0,0.2463
0,0.378
0,0.3985
0,0.7382
0,0.4979
0,0.2236
0,0.2865
0,0.2124
0,0.461
0,0.5749
0,0.3317
0,0.579
0,0.5158
0,0.7485
1,0.6649
0,0.2311
0,0.6206
0,0.3517
0,0.3998
0,0.1921
0,0.3091
0,0.2966
0,0.3785
1,0.7465
0,0.2023
0,0.4825
0,0.3983
0,0.411
0,0.4435
0,0.5359
0,0.4373
0,0.6714
0,0.6457
0,0.6036
0,0.4248
0,0.3748
0,0.4783
0,0.7769
0,0.4543
0,0.6298
0,0.3335
0,0.4189
0,0.419
0,0.6209
0,0.2196
0,0.2782
0,0.4439
0,0.4693
0,0.345
0,0.3158
0,0.4237
0,0.4882
0,0.4857
0,0.5064
0,0.2481
0,0.4596
0,0.435
0,0.6106
0,0.3249
0,0.2201
0,0.4297
0,0.506
0,0.2562
0,0.3427
0,0.773
0,0.3306
0,0.6726
0,0.5681
0,0.0637
0,0.2689
0,0.3381
0,0.211
0,0.4282
0,0.4594
0,0.3568
1,0.7249
0,0.4633
0,0.1841
0,0.5229
0,0.3098
0,0.4649
1,0.5901
0,0.2583
0,0.6163
0,0.178
0,0.3962
0,0.3583
0,0.2574
0,0.6922
0,0.3218
0,0.2428
0,0.6045
0,0.5375
0,0.4511
0,0.5847
0,0.2844
0,0.2864
0,0.4859
0,0.4644
0,0.5565
0,0.5223
0,0.4464
0,0.5101
0,0.3597
0,0.54
0,0.3711
0,0.2644
0,0.42
0,0.0777
0,0.4521
0,0.4908
0,0.5273
0,0.347
0,0.2735
1,0.9025
0,0.6842
0,0.3145
0,0.6203
0,0.2047
0,0.5206
0,0.4322
0,0.6581
0,0.3365
0,0.5042
0,0.5337
0,0.3947
0,0.3151
0,0.4519
0,0.375
0,0.5597
0,0.2443
0,0.5914
0,0.498
0,0.5461
0,0.4183
0,0.748
0,0.525
0,0.2738
0,0.3272
0,0.2694
1,0.568
0,0.1156
0,0.2239
0,0.4565
0,0.4146
1,0.6492
0,0.3297
0,0.4772
0,0.3518
0,0.5576
0,0.3096
0,0.4812
0,0.4445
0,0.4804
0,0.4797
0,0.298
0,0.316
0,0.6284
0,0.5851
0,0.6288
0,0.5793
0,0.6223
0,0.4411
0,0.7205
0,0.4266
0,0.6155
0,0.5226
0,0.6421
0,0.6039
0,0.498
0,0.2525
0,0.2896
0,0.2933
0,0.4573
0,0.4444
0,0.4463
0,0.5557
0,0.6121
0,0.6884
0,0.5746
0,0.0941
0,0.3604
0,0.3917
0,0.6867
0,0.4621
0,0.645
0,0.3767
0,0.1468
0,0.1216
0,0.3348
0,0.3413
0,0.3096
0,0.3741
0,0.4686
0,0.3971
0,0.4422
0,0.3638
0,0.5967
0,0.4244
0,0.2216
0,0.5581
0,0.394
0,0.3979
0,0.39
0,0.4378
0,0.5479
0,0.3748
0,0.3928
0,0.6677
0,0.337
0,0.5116
0,0.4835
0,0.1587
0,0.4984
0,0.407
0,0.4016
0,0.551
0,0.6129
0,0.2471
0,0.579
0,0.5168
0,0.4311
0,0.5055
0,0.4022
1,0.7907
0,0.3308
0,0.5043
0,0.5198
0,0.4906
0,0.5373
0,0.5695
0,0.3158
0,0.5336
0,0.7454
0,0.361
0,0.4805
0,0.5476
0,0.6096
0,0.5424
0,0.4963
0,0.4824
0,0.1662
0,0.5291
0,0.4825
0,0.326
0,0.4614
0,0.3995
0,0.549
0,0.5016
0,0.4745
0,0.6037
0,0.4362
0,0.3749
0,0.5202
0,0.3216
0,0.439
0,0.5339
0,0.3773
0,0.6108
0,0.2685
0,0.6643
0,0.5168
0,0.2628
0,0.5542
0,0.4833
0,0.5765
0,0.5194
0,0.4192
0,0.7031
0,0.3283
0,0.3446
0,0.5699
0,0.0
0,0.5349
0,0.5167
0,0.248
0,0.3639
0,0.5171
0,0.2691
0,0.2019
0,0.226
0,0.3414
0,0.7039
0,0.7096
0,0.4257
0,0.3677
0,0.597
0,0.5776
0,0.6256
1,0.6921
0,0.3541
0,0.2374
0,0.4833
0,0.3687
0,0.5978
0,0.4219
0,0.4053
0,0.2612
0,0.3753
0,0.5611
1,0.3769
0,0.3333
0,0.652
0,0.5366
0,0.3957
0,0.2496
0,0.2414
0,0.4318
0,0.5635
0,0.5834
1,0.9335
0,0.484
0,0.3772
0,0.4754
0,0.4147
0,0.3102
0,0.3692
0,0.2247
0,0.3097
0,0.3923
1,0.5317
0,0.4146
0,0.4817
0,0.8858
0,0.5873
0,0.4266
1,0.7003
0,0.5164
0,0.4839
0,0.5707
0,0.4229
0,0.1062
0,0.628
0,0.4078
0,0.2918
0,0.51
0,0.1377
0,0.4071
0,0.3955
0,0.3428
0,0.415
0,0.3935
0,0.4677
0,0.5457
0,0.2573
