y_real,score
0,0.7176
0,0.7368
0,0.4192
0,0.6278
0,0.3316
0,0.2826
0,0.2678
0,0.319
0,0.545
0,0.5487
0,0.5687
1,0.838
0,0.5097
0,0.5214
0,0.4146
0,0.5809
0,0.5056
1,0.8324
0,0.6297
0,0.4482
0,0.4909
0,0.2573
0,0.6355
0,0.46
0,0.2891
0,0.3544
0,0.4007
0,0.0464
0,0.6519
0,0.7408
0,0.3336
0,0.6803
0,0.3036
0,0.4296
0,0.5134
0,0.5175
0,0.6138
0,0.2842
0,0.5919
0,0.4749
0,0.3131
1,0.8377
0,0.6659
0,0.9048
0,0.2694
0,0.6492
0,0.4381
0,0.4737
0,0.4222
0,0.5671
0,0.1798
0,0.4633
1,0.6582
0,0.7229
0,0.4389
0,0.7043
0,0.4217
0,0.3506
0,0.4121
0,0.4424
0,0.4059
0,0.2224
0,0.5896
1,0.7098
0,0.391
0,0.6803
0,0.5353
0,0.493
0,0.4881
0,0.462
0,0.2241
0,0.5503
0,0.5715
0,0.5368
0,0.3339
0,0.6248
0,0.2331
0,0.5125
1,0.6836
0,0.323
0,0.5213
0,0.532
0,0.5403
1,0.715
0,0.5067
0,0.5933
0,0.5344
0,0.5198
0,0.6061
1,0.5117
0,0.4066
0,0.2333
0,0.0899
0,0.6887
0,0.4263
0,0.7305
0,0.2942
0,0.3426
0,0.4652
0,0.8138
0,0.7729
1,0.7141
0,0.6057
1,0.6726
0,0.3531
0,0.5137
0,0.2997
0,0.5786
0,0.2955
0,0.247
0,0.5717
0,0.4177
0,0.5887
0,0.6482
0,0.3295
0,0.4636
0,0.6825
0,0.4055
1,0.5744
0,0.323
0,0.6905
0,0.5356
0,0.3939
0,0.2265
0,0.3924
0,0.5712
0,0.5877
0,0.3419
0,0.3645
0,0.2729
0,0.5796
0,0.7219
0,0.6342
0,0.487
0,0.5143
0,0.4063
0,0.5042
1,0.6299
0,0.3605
0,0.3539
0,0.4641
0,0.6363
0,0.2859
0,0.2267
1,0.7758
0,0.4549
0,0.646
0,0.4268
0,0.6026
0,0.4581
0,0.424
0,0.665
0,0.5938
0,0.5605
1,0.5885
0,0.7389
0,0.5285
0,0.493
0,0.0756
0,0.4027
0,0.6529
0,0.5324
0,0.2652
0,0.4115
0,0.5833
0,0.6103
0,0.5761
0,0.4129
0,0.7206
0,0.5803
0,0.2531
0,0.5273
0,0.5247
0,0.3487
0,0.524
0,0.4708
0,0.5994
0,0.5234
0,0.6373
0,0.5672
0,0.5838
0,0.5892
0,0.3634
0,0.8229
0,0.4166
0,0.4052
0,0.6298
0,0.3304
0,0.5814
0,0.609
0,0.1225
0,0.5876
0,0.2644
0,0.3379
0,0.5829
0,0.539
0,0.4708
0,0.498
0,0.4765
0,0.3261
0,0.4172
0,0.4947
0,0.3435
0,0.4021
0,0.5531
0,0.4607
0,0.1756
0,0.2753
1,0.7731
1,0.9286
0,0.3627
0,0.5534
0,0.3072
0,0.5156
0,0.4809
0,0.5044
0,0.7048
0,0.3978
0,0.38
0,0.5921
0,0.5525
0,0.4325
0,0.5425
0,0.5877
0,0.3579
0,0.5184
0,0.3637
0,0.4215
0,0.455
0,0.3086
0,0.4148
0,0.4613
0,0.6508
0,0.3637
0,0.5494
0,0.4844
0,0.698
1,0.7768
0,0.3037
0,0.3975
0,0.5495
0,0.7254
0,0.4926
1,0.894
0,0.5866
1,0.5992
0,0.7516
0,0.6879
0,0.4765
1,0.6164
0,0.4355
0,0.3333
0,0.4343
1,0.5236
0,0.2551
1,0.7581
0,0.7232
0,0.7049
1,0.5659
0,0.4074
0,0.4854
0,0.7667
0,0.4844
0,0.5629
0,0.501
0,0.6118
0,0.5434
0,0.3971
0,0.5783
0,0.4433
1,0.7613
0,0.663
0,0.4124
0,0.2978
0,0.5301
0,0.4533
0,0.5425
0,0.3839
0,0.7446
0,0.365
0,0.5504
