y_real,score
0,0.4733
0,0.3455
0,0.3011
0,0.4571
0,0.3469
0,0.2705
0,0.4637
0,0.4229
0,0.5007
0,0.4045
0,0.2243
0,0.3641
0,0.2482
0,0.2498
0,0.2727
0,0.5037
0,0.3963
0,0.2098
1,0.5237
0,0.5225
0,0.4725
0,0.4924
0,0.4104
0,0.6557
0,0.2905
0,0.3262
0,0.6801
0,0.4054
0,0.4054
0,0.3879
0,0.5104
0,0.3188
0,0.4811
0,0.4318
0,0.2433
0,0.0945
0,0.3346
0,0.4936
0,0.5528
0,0.426
0,0.4189
0,0.3055
0,0.4605
0,0.3147
0,0.4628
0,0.3431
0,0.5041
1,0.7103
0,0.3871
0,0.3718
0,0.5012
0,0.3131
0,0.5773
0,0.5603
0,0.5385
0,0.3466
0,0.5602
0,0.1714
0,0.2402
0,0.3311
0,0.1179
1,0.5601
0,0.4822
0,0.3249
0,0.6056
0,0.4675
0,0.6106
1,0.8678
0,0.0224
0,0.6191
0,0.5841
0,0.4408
0,0.238
0,0.3852
0,0.5267
0,0.388
0,0.5602
0,0.5004
0,0.3919
0,0.5661
0,0.3745
0,0.3556
0,0.2255
0,0.3727
0,0.1761
0,0.4362
0,0.2267
0,0.1974
0,0.4026
0,0.5415
0,0.1169
0,0.6677
0,0.2526
1,0.5159
0,0.3528
0,0.3746
0,0.406
0,0.3901
0,0.2905
0,0.4327
0,0.3654
1,0.4712
0,0.226
0,0.3942
0,0.4449
0,0.3621
0,0.3403
0,0.3624
0,0.4929
0,0.5186
0,0.3878
0,0.2136
0,0.2798
0,0.4972
0,0.5694
0,0.48
0,0.3518
1,0.5647
0,0.4429
0,0.4629
0,0.211
0,0.2538
0,0.3422
0,0.2698
0,0.6085
1,0.757
0,0.4647
0,0.3644
1,0.6332
0,0.1856
0,0.563
0,0.3977
0,0.3379
0,0.6117
0,0.6494
0,0.5699
0,0.482
0,0.4744
0,0.0102
0,0.4076
0,0.4641
0,0.3601
0,0.4285
0,0.5971
0,0.49
0,0.2938
0,0.3661
0,0.2641
0,0.4562
0,0.3598
0,0.4147
0,0.4931
0,0.5758
0,0.3997
0,0.5317
1,0.4735
0,0.4608
0,0.2953
0,0.2978
1,0.5292
0,0.3008
0,0.5422
0,0.4202
0,0.5046
0,0.6449
0,0.4311
1,0.3995
0,0.3341
0,0.5156
0,0.4135
0,0.4165
0,0.2272
0,0.1334
0,0.2477
0,0.4983
0,0.1475
0,0.4028
0,0.3674
0,0.4098
