y_real,score
0,0.4473
0,0.3548
0,0.5502
0,0.2152
0,0.4151
0,0.3298
0,0.4813
0,0.4953
0,0.4092
1,0.6813
0,0.36
0,0.4795
0,0.6138
1,0.6602
0,0.393
0,0.6773
0,0.658
0,0.3928
0,0.4268
1,0.7819
0,0.399
0,0.3798
0,0.3781
0,0.6638
0,0.6081
0,0.5329
0,0.7799
0,0.503
0,0.7114
1,0.3906
0,0.3822
1,0.58
0,0.5486
0,0.2946
0,0.7821
0,0.6156
0,0.3983
0,0.6445
0,0.7001
0,0.5668
0,0.5984
0,0.5342
0,0.7167
0,0.5869
0,0.6482
0,0.4697
0,0.384
0,0.5685
0,0.5655
0,0.343
0,0.689
0,0.4028
1,0.8074
0,0.6107
1,0.6582
0,0.4753
0,0.355
0,0.2326
0,0.609
0,0.5779
0,0.5447
1,0.7564
0,0.5956
0,0.5338
1,0.5988
0,0.5439
0,0.5931
0,0.4694
0,0.7105
0,0.3834
0,0.6529
0,0.3997
0,0.6073
0,0.6223
1,0.5201
0,0.5985
0,0.4154
0,0.3058
0,0.7516
1,0.583
0,0.63
0,0.5728
0,0.3899
0,0.6362
0,0.629
0,0.4203
0,0.471
0,0.4024
0,0.7343
0,0.6875
0,0.6311
0,0.5239
0,0.374
0,0.5209
0,0.5086
0,0.6237
0,0.7307
0,0.4962
0,0.5029
0,0.6393
0,0.7519
0,0.6831
0,0.5528
0,0.9159
0,0.4585
0,0.5158
0,0.5078
0,0.5566
0,0.5525
0,0.3973
0,0.5276
0,0.3419
0,0.5846
1,0.8836
0,0.6231
0,0.6502
0,0.5434
0,0.5247
1,0.7767
0,0.6533
0,0.4708
0,0.4149
0,0.6922
0,0.4553
0,0.6317
0,0.2223
1,0.6215
0,0.6336
0,0.4667
0,0.5461
0,0.5163
0,0.4047
0,0.6012
0,0.5748
0,0.462
0,0.31
0,0.638
1,0.6855
1,0.6363
0,0.4814
0,0.3647
0,0.3445
0,0.6321
0,0.5892
0,0.281
0,0.2853
0,0.8557
0,0.3802
0,0.4576
0,0.6063
0,0.6372
0,0.383
0,0.8022
0,0.3337
0,0.2951
0,0.3418
0,0.4513
0,0.8471
0,0.515
0,0.5815
0,0.283
1,0.6839
0,0.6516
0,0.6678
0,0.4783
0,0.6999
0,0.6763
0,0.5294
0,0.2351
0,0.3077
1,0.72
0,0.6534
0,0.6298
0,0.2525
0,0.5305
0,0.5087
0,0.7009
0,0.4956
0,0.5687
0,0.5195
0,0.6185
0,0.4073
0,0.6986
0,0.5886
1,0.6094
0,0.4605
1,0.8852
0,0.3717
0,0.6668
0,0.2226
0,0.5576
0,0.5101
0,0.5264
0,0.5406
0,0.6285
0,0.5491
0,0.5315
0,0.2052
0,0.5238
1,0.9743
0,0.599
0,0.4842
0,0.6421
0,0.5664
0,0.6046
0,1.0
0,0.2714
0,0.7151
0,0.7443
0,0.5026
0,0.703
0,0.4709
0,0.5136
0,0.6693
0,0.5839
0,0.5863
0,0.4051
0,0.5838
0,0.496
0,0.5601
0,0.8626
0,0.7053
1,0.72
0,0.515
0,0.3981
0,0.511
