y_real,score
0,0.8231
0,0.5978
0,0.5185
0,0.403
0,0.5687
0,0.5422
0,0.413
0,0.453
0,0.3021
0,0.5243
0,0.528
0,0.425
0,0.503
0,0.5159
0,0.5693
0,0.4427
0,0.436
0,0.702
0,0.6037
0,0.4141
0,0.4271
0,0.5794
0,0.3094
0,0.505
0,0.3635
0,0.5695
0,0.4765
0,0.5214
0,0.5304
0,0.6818
0,0.4362
0,0.4159
0,0.554
1,0.522
0,0.5777
0,0.2956
0,0.5527
0,0.4386
0,0.3597
0,0.4642
0,0.5768
1,0.6628
0,0.5781
0,0.5343
0,0.5792
0,0.6791
0,0.5508
1,0.7035
0,0.4755
0,0.7606
0,0.4363
0,0.5078
0,0.5548
0,0.1849
0,0.3707
0,0.4597
0,0.5071
0,0.477
0,0.3693
0,0.5138
0,0.389
0,0.5964
0,0.5314
0,0.547
1,0.6212
1,0.8586
0,0.4731
1,0.6534
0,0.4635
0,0.3798
0,0.5038
0,0.5629
0,0.4352
1,0.8684
0,0.4416
0,0.6692
0,0.6116
0,0.5016
0,0.3401
0,0.4846
0,0.4519
0,0.4082
0,0.5786
0,0.4064
0,0.4362
0,0.6589
0,0.5907
0,0.5149
0,0.7451
0,0.5582
0,0.5271
1,0.8701
0,0.7394
0,0.2019
0,0.6339
0,0.545
0,0.5665
0,0.4613
0,0.4643
0,0.342
0,0.5008
0,0.5589
0,0.2633
0,0.4925
0,0.6131
0,0.4815
0,0.4365
0,0.4911
1,0.858
0,0.2929
1,0.5424
0,0.3465
0,0.5052
0,0.5966
0,0.4649
1,0.8521
0,0.8342
0,0.5953
0,0.4158
0,0.5766
0,0.3183
0,0.5061
0,0.3066
0,0.5096
0,0.3638
0,0.2958
0,0.4181
0,0.3007
0,0.3221
0,0.6705
0,0.3892
0,0.2859
0,0.5682
0,0.3136
1,0.8775
1,0.8466
0,0.3996
0,0.4752
0,0.4646
0,0.2677
0,0.5494
0,0.3259
1,0.3127
1,0.7972
0,0.3143
0,0.4951
0,0.1436
0,0.4514
0,0.5942
0,0.7349
1,0.9397
0,0.4538
1,0.7991
0,0.5928
1,0.6986
0,0.5799
0,0.5005
0,0.5586
0,0.5653
0,0.7086
0,0.636
0,0.6247
0,0.3013
0,0.4508
0,0.5292
0,0.613
0,0.3002
1,0.7064
0,0.205
0,0.498
0,0.3406
0,0.8641
0,0.2919
0,0.379
0,0.6202
0,0.6831
0,0.209
0,0.6143
0,0.2597
0,0.3192
0,0.6249
0,0.5526
0,0.5521
0,0.6576
0,0.4597
0,0.504
0,0.6841
0,0.5081
0,0.4318
0,0.4204
0,0.5601
0,0.7112
0,0.5464
0,0.4835
0,0.4149
0,0.5989
0,0.6227
0,0.3192
0,0.2989
0,0.8301
0,0.4761
0,0.633
0,0.5217
0,0.3341
0,0.5364
0,0.4849
0,0.5566
0,0.6985
0,0.3835
0,0.5955
0,0.3255
0,0.3948
0,0.4965
0,0.424
0,0.3965
0,0.3816
0,0.4695
0,0.5267
0,0.5638
0,0.5188
0,0.6207
0,0.2777
0,0.5425
1,0.5138
0,0.381
0,0.4122
0,0.2401
0,0.4502
0,0.4915
0,0.3335
0,0.4995
0,0.3999
0,0.4777
0,0.6049
0,0.5395
0,0.476
0,0.4539
0,0.3462
0,0.6178
0,0.4058
0,0.5797
1,0.6628
0,0.4345
0,0.5512
0,0.3214
0,0.5097
0,0.3645
1,0.6257
1,0.8342
0,0.6651
1,0.9624
0,0.5763
0,0.5615
0,0.4303
0,0.4727
0,0.5639
0,0.3583
1,0.5958
0,0.7052
0,0.5162
0,0.2934
0,0.4828
0,0.4896
0,0.6348
0,0.4752
0,0.4791
0,0.1767
0,0.5104
0,0.2874
0,0.3327
0,0.4116
0,0.49
0,0.327
0,0.3941
0,0.401
1,0.7247
0,0.5308
0,0.6859
0,0.5198
0,0.632
0,0.6647
0,0.4876
0,0.2391
0,0.7473
0,0.5249
0,0.4211
0,0.2343
0,0.4744
0,0.2847
1,0.6763
0,0.3932
0,0.3577
0,0.4581
0,0.5583
0,0.4387
0,0.2956
0,0.52
0,0.6855
0,0.6546
0,0.6588
1,0.6564
0,0.3297
0,0.3932
0,0.6515
0,0.3554
0,0.4467
0,0.4329
0,0.4757
0,0.4815
0,0.3952
0,0.4846
0,0.4877
0,0.3865
0,0.5021
0,0.5284
0,0.5438
1,0.6608
1,0.7384
0,0.7438
1,0.7767
0,0.498
0,0.4619
0,0.5764
0,0.351
0,0.394
0,0.3856
0,0.5548
0,0.0
1,0.7277
0,0.4354
0,0.4665
0,0.54
0,0.4651
1,0.6914
0,0.4785
0,0.1904
0,0.5814
0,0.6641
0,0.4392
1,0.8178
0,0.4377
0,0.4224
0,0.3903
0,0.5366
0,0.7038
0,0.4467
0,0.2377
0,0.4753
0,0.3646
0,0.4417
0,0.3842
0,0.7732
0,0.5583
0,0.3078
0,0.5595
0,0.8314
0,0.5423
0,0.528
0,0.4683
0,0.5942
1,0.6257
0,0.6167
0,0.4914
0,0.5303
0,0.2804
0,0.4845
0,0.402
0,0.7193
0,0.2846
0,0.5424
0,0.5471
0,0.2486
0,0.4486
0,0.2916
0,0.4382
0,0.5584
0,0.7171
0,0.3862
0,0.4879
0,0.6604
0,0.4122
0,0.4999
1,0.5283
0,0.3446
0,0.5748
0,0.3718
0,0.3277
0,0.5046
0,0.6877
0,0.4757
0,0.3265
0,0.4406
0,0.4503
0,0.6325
0,0.5499
0,0.359
0,0.3355
0,0.3685
0,0.4125
0,0.5293
0,0.5064
0,0.4948
0,0.6554
0,0.4021
1,0.4779
0,0.5099
0,0.562
0,0.6488
0,0.2996
0,0.688
0,0.762
0,0.2957
1,0.7573
0,0.6591
0,0.4348
0,0.6846
0,0.4829
0,0.6875
1,0.7665
0,0.3926
0,0.5484
0,0.3679
0,0.5845
0,0.4186
0,0.6462
1,0.5933
0,0.6176
0,0.5582
0,0.5052
0,0.3357
0,0.6085
0,0.558
0,0.6998
0,0.5808
0,0.3666
0,0.6223
1,0.117
0,0.4719
0,0.3054
0,0.4914
0,0.6436
0,0.0148
0,0.532
0,0.7504
0,0.5938
1,0.5653
0,0.5684
1,0.6198
0,0.6089
0,0.4256
0,0.5512
0,0.7434
0,0.9161
0,0.5405
0,0.3931
0,0.5463
0,0.42
0,0.5001
0,0.3577
0,0.4067
0,0.6903
0,0.5348
0,0.4984
0,0.4723
0,0.5237
0,0.5186
1,0.8779
0,0.5515
0,0.5811
0,0.3632
1,0.5841
0,0.5321
0,0.615
0,0.5849
0,0.4439
0,0.4604
0,0.5695
0,0.5306
0,0.3605
0,0.6147
0,0.6869
0,0.3587
1,0.8149
0,0.3514
0,0.6049
0,0.4949
0,0.2246
1,0.4953
0,0.3813
0,0.455
0,0.2985
0,0.4198
0,0.41
0,0.4387
0,0.4863
0,0.5118
1,0.7385
0,0.4037
0,0.6379
0,0.4345
0,0.5047
0,0.4649
0,0.5464
0,0.3132
0,0.5507
0,0.4059
0,0.6648
0,0.534
1,1.0
0,0.3785
0,0.455
0,0.692
0,0.4726
0,0.4203
0,0.639
0,0.5198
0,0.3173
0,0.5236
0,0.1626
0,0.3971
0,0.2769
0,0.3964
0,0.4609
0,0.2905
0,0.5435
0,0.5237
0,0.594
0,0.4295
1,0.7773
0,0.4664
0,0.4396
0,0.5533
0,0.6598
0,0.4897
0,0.58
0,0.5488
0,0.5704
0,0.3614
0,0.417
0,0.4356
0,0.5647
0,0.65
0,0.6714
0,0.308
0,0.6745
0,0.5221
0,0.5075
0,0.4183
0,0.2505
0,0.4263
0,0.4604
0,0.4936
0,0.7029
0,0.4684
0,0.4499
0,0.6376
0,0.6406
0,0.6637
0,0.5813
0,0.504
0,0.4911
1,0.7351
0,0.5242
0,0.6282
0,0.4884
0,0.4616
0,0.5121
1,0.4643
0,0.4694
0,0.5761
0,0.3841
0,0.334
0,0.4441
0,0.4385
0,0.2679
0,0.4781
0,0.5923
0,0.8159
0,0.6032
0,0.413
0,0.2704
0,0.4821
0,0.5497
0,0.4457
0,0.5653
0,0.5608
0,0.5818
0,0.3626
0,0.5561
0,0.4194
0,0.4295
0,0.4543
0,0.4616
0,0.4452
0,0.6867
1,0.63
0,0.5472
0,0.5824
0,0.2242
0,0.4899
0,0.3983
0,0.5522
0,0.7109
0,0.4525
0,0.2797
0,0.2589
0,0.4379
0,0.4078
0,0.5803
1,0.5358
0,0.5866
0,0.4392
0,0.4827
0,0.5945
1,0.8049
1,0.7517
0,0.5079
0,0.5841
0,0.4887
0,0.6047
0,0.5323
0,0.3127
0,0.5336
0,0.423
0,0.6486
0,0.5324
0,0.422
0,0.4759
0,0.6852
0,0.4942
0,0.6496
0,0.4843
0,0.5471
1,0.4892
0,0.3748
0,0.67
0,0.368
0,0.5002
0,0.5149
0,0.5101
0,0.5237
0,0.7689
0,0.4223
0,0.5622
0,0.4257
0,0.5544
0,0.4611
0,0.652
0,0.7427
0,0.368
1,0.6787
0,0.4851
0,0.5695
0,0.6576
0,0.3645
0,0.6263
0,0.5162
0,0.364
0,0.4182
0,0.4324
0,0.53
0,0.6152
0,0.3523
0,0.6227
0,0.6672
0,0.571
0,0.3503
0,0.3567
0,0.4598
0,0.5389
0,0.2261
1,0.4363
0,0.6638
0,0.5676
0,0.3729
0,0.4265
0,0.505
0,0.5025
0,0.5443
0,0.5504
0,0.3208
0,0.6671
0,0.5106
0,0.4754
0,0.642
