y_real,score
0,0.1058
1,0.6791
1,0.716
0,0.4771
0,0.2641
0,0.5492
0,0.5134
0,0.1549
0,0.1708
0,0.6545
0,0.4178
0,0.5549
0,0.2923
0,0.5845
0,0.5029
0,0.5377
0,0.4972
1,0.4875
0,0.8931
0,0.5988
0,0.7553
0,0.1464
0,0.3285
1,0.7039
0,0.5772
0,0.3545
0,0.5545
0,0.7328
0,0.3821
0,0.5705
0,0.5492
0,0.318
0,0.085
0,0.575
0,0.5408
0,0.2665
0,0.4675
0,0.4684
0,0.2368
0,0.5593
0,0.5164
0,0.6087
0,0.3195
0,0.4072
0,0.4452
0,0.375
0,0.3908
0,0.3195
0,0.6206
0,0.39
0,0.2792
0,0.2836
0,0.1999
0,0.133
0,0.4037
0,0.3171
1,0.4251
0,0.5158
0,0.439
0,0.2083
0,0.2441
0,0.2399
1,0.6045
0,0.2143
0,0.3791
0,0.1933
0,0.4419
0,0.2004
0,0.4347
0,0.3815
0,0.3562
0,0.2804
0,0.7299
0,0.133
0,0.388
0,0.4018
0,0.4949
0,0.2539
0,0.4107
0,0.3179
0,0.4223
0,0.1244
0,0.4605
0,0.4391
0,0.164
0,0.3108
0,0.4013
0,0.6159
0,0.5574
0,0.5055
0,0.2068
0,0.5422
0,0.2827
0,0.5975
0,0.6501
0,0.3441
0,0.6619
0,0.5612
0,0.4665
0,0.6066
0,0.4398
0,0.4684
0,0.4874
0,0.4533
0,0.2258
0,0.3365
0,0.2585
0,0.3555
0,0.4929
0,0.3849
0,0.2388
0,0.323
0,0.7788
0,0.413
0,0.2846
0,0.6068
1,0.7814
0,0.212
0,0.5352
0,0.6176
0,0.4817
0,0.7887
0,0.4729
0,0.4412
0,0.6157
0,0.5348
0,0.4784
0,0.3686
0,0.1323
0,0.3418
0,0.2093
0,0.4746
0,0.6497
0,0.253
0,0.6382
0,0.7361
0,0.5011
0,0.254
0,0.4519
0,0.4101
1,0.4423
0,0.4276
1,0.7836
0,0.103
0,0.3407
0,0.4873
0,0.5223
0,0.2841
0,0.3165
0,0.7375
0,0.4989
0,0.6985
0,0.3345
0,0.5543
0,0.2212
0,0.4284
0,0.3181
0,0.4977
0,0.6289
0,0.4152
0,0.3693
0,0.3375
0,0.4766
0,0.6374
0,0.7196
0,0.7331
0,0.4761
0,0.5637
1,0.5461
0,0.4257
0,0.4303
0,0.4061
0,0.383
0,0.3322
0,0.5175
0,0.2169
0,0.4676
0,0.4639
0,0.3936
0,0.6108
1,0.437
0,0.4561
0,0.58
0,0.5835
0,0.431
0,0.4653
0,0.5713
0,0.4321
0,0.4956
0,0.5793
0,0.568
0,0.4597
0,0.6072
0,0.4346
0,0.537
0,0.5263
0,0.5554
