y_real,score
0,0.3969
0,0.6621
0,0.3066
0,0.448
0,0.4064
0,0.2141
0,0.3861
0,0.3416
0,0.2873
0,0.4986
1,0.4607
0,0.4926
0,0.3917
0,0.3822
0,0.4526
0,0.5299
0,0.2308
1,0.9749
0,0.315
0,0.2788
0,0.3751
0,0.5687
0,0.2423
0,0.2804
0,0.5017
0,0.2772
0,0.2572
1,0.4879
0,0.3651
0,0.3308
0,0.4049
0,0.087
0,0.552
0,0.2457
0,0.5791
0,0.4846
0,0.2008
0,0.366
0,0.3997
0,0.5989
0,0.3838
0,0.5439
0,0.4639
0,0.0628
0,0.4585
0,0.3215
0,0.2733
0,0.2482
0,0.4975
0,0.5137
0,0.5355
0,0.4581
0,0.2615
0,0.7677
0,0.4307
0,0.2553
0,0.0922
0,0.3735
0,0.32
0,0.5977
0,0.3381
0,0.372
0,0.4241
0,0.4561
0,0.3159
0,0.5462
0,0.388
0,0.5457
0,0.5268
1,0.6988
0,0.5161
0,0.5767
0,0.2496
0,0.6696
0,0.2622
0,0.1984
0,0.6019
0,0.1359
0,0.4712
1,0.8044
0,0.2721
0,0.46
0,0.3367
0,0.2545
0,0.4597
0,0.5076
0,0.3489
0,0.6094
0,0.6749
0,0.5837
0,0.1378
0,0.2933
0,0.2341
0,0.2921
0,0.3916
1,0.7488
0,0.5987
0,0.2813
0,0.5326
0,0.6529
0,0.3712
0,0.4599
0,0.2538
0,0.2802
0,0.2074
0,0.5774
0,0.394
0,0.5388
0,0.4133
0,0.5628
0,0.3962
0,0.3329
0,0.5383
0,0.4687
0,0.3709
0,0.4586
0,0.6503
0,0.7507
0,0.1179
0,0.5687
0,0.5662
0,0.3782
0,0.3343
0,0.2941
0,0.2689
0,0.6445
0,0.3191
0,0.584
0,0.3021
0,0.4111
0,0.2583
0,0.6627
1,0.9085
0,0.3739
0,0.544
0,0.3668
0,0.4223
0,0.2945
0,0.2505
0,0.509
0,0.1627
0,0.4811
1,0.6474
0,0.4666
0,0.5055
0,0.5633
0,0.2598
0,0.4204
0,0.37
0,0.321
0,0.3861
0,0.4739
0,0.4723
0,0.3533
0,0.4684
0,0.7431
0,0.5517
0,0.4895
0,0.2721
0,0.1668
1,0.6047
0,0.4443
0,0.4177
1,0.4976
1,0.6644
0,0.2845
0,0.5882
0,0.4031
0,0.358
0,0.3252
0,0.226
0,0.5424
0,0.5083
0,0.5994
0,0.5264
0,0.3141
0,0.344
0,0.531
0,0.4038
0,0.3357
0,0.2308
0,0.5869
0,0.5569
0,0.5349
0,0.5292
0,0.4448
0,0.4204
0,0.2977
0,0.2203
0,0.3544
0,0.3704
0,0.2089
0,0.1697
0,0.3272
1,0.4437
0,0.3236
0,0.714
0,0.3612
0,0.3159
0,0.401
0,0.4782
0,0.1966
0,0.4308
0,0.4391
0,0.1917
0,0.2942
0,0.468
0,0.3883
0,0.388
0,0.696
1,0.6087
0,0.4286
0,0.4361
0,0.281
0,0.3949
0,0.4016
0,0.2776
1,0.5613
0,0.4128
0,0.2057
1,0.5797
0,0.4134
1,0.4002
0,0.4018
0,0.4225
0,0.5036
0,0.2509
0,0.6701
1,0.7075
0,0.2791
0,0.6476
0,0.3862
0,0.3442
0,0.6133
0,0.3148
0,0.416
0,0.5677
0,0.4933
0,0.5015
0,0.3154
0,0.4137
0,0.3882
0,0.291
0,0.5881
0,0.4178
0,0.2488
0,0.334
0,0.5311
0,0.6474
0,0.4421
0,0.0348
