y_real,score
0,0.2188
0,0.4486
0,0.457
0,0.4681
0,0.597
0,0.2267
0,0.3904
0,0.7148
0,0.5187
0,0.5348
0,0.5299
0,0.3438
0,0.196
0,0.5557
0,0.4211
0,0.554
0,0.6257
0,0.3241
0,0.3779
0,0.4038
0,0.2849
0,0.518
0,0.5941
0,0.5978
0,0.3485
1,0.5636
0,0.3942
0,0.7532
0,0.4283
0,0.499
1,0.5269
0,0.409
0,0.2792
0,0.5864
1,0.5216
0,0.3879
0,0.5363
0,0.2605
0,0.3808
0,0.3749
0,0.3917
0,0.3193
0,0.2859
0,0.4034
0,0.4689
0,0.4368
0,0.6144
0,0.2829
0,0.3594
0,0.4652
0,0.3658
0,0.5855
1,0.7489
0,0.3017
0,0.3275
0,0.485
0,0.3667
0,0.4095
0,0.3651
0,0.3102
0,0.5761
1,0.6661
0,0.7199
0,0.3376
0,0.5993
0,0.4135
0,0.4426
0,0.3208
0,0.4824
0,0.4919
0,0.3753
1,0.5809
1,0.7045
0,0.4628
0,0.6643
0,0.4544
0,0.387
1,0.6347
0,0.5729
1,0.5792
0,0.4266
0,0.2704
0,0.2839
1,0.5788
0,0.3009
0,0.7073
0,0.6234
0,0.2966
0,0.3695
0,0.5185
1,0.631
0,0.2652
0,0.5811
0,0.2904
0,0.4827
0,0.4928
0,0.2577
0,0.4381
0,0.4066
0,0.4233
0,0.3231
0,0.503
0,0.434
0,0.2917
0,0.4345
0,0.3645
0,0.4691
0,0.5318
0,0.4425
0,0.539
0,0.6576
1,0.6405
1,0.8128
0,0.4731
0,0.3783
0,0.4081
0,0.4742
0,0.2611
0,0.3385
1,0.4636
0,0.5472
0,0.4239
0,0.3819
0,0.2245
0,0.3619
0,0.4455
0,0.6245
0,0.3966
0,0.5306
0,0.4345
0,0.4655
0,0.3906
0,0.5587
0,0.4995
0,0.5194
0,0.3418
0,0.4781
0,0.5293
0,0.5091
0,0.4399
0,0.2816
1,0.4367
0,0.499
0,0.4592
0,0.4613
1,0.696
0,0.2973
0,0.2656
0,0.3286
0,0.4816
0,0.2838
0,0.3262
0,0.383
0,0.3334
0,0.2822
0,0.4847
0,0.5388
0,0.344
0,0.4088
0,0.5512
0,0.468
0,0.2773
0,0.5063
0,0.4128
1,0.5915
1,0.7407
0,0.5605
0,0.4824
1,0.5509
0,0.601
1,0.5181
0,0.4153
0,0.3366
0,0.4481
1,0.6523
0,0.6827
0,0.4254
0,0.5379
0,0.534
0,0.5009
0,0.4669
0,0.3928
0,0.3634
0,0.324
0,0.5716
0,0.5011
0,0.3811
0,0.4358
0,0.4344
0,0.4507
0,0.4119
0,0.5325
0,0.5326
0,0.5204
0,0.6122
0,0.5097
0,0.5165
0,0.3633
1,0.7326
0,0.5571
1,0.7289
0,0.3428
0,0.4893
0,0.5825
0,0.46
0,0.6493
0,0.4442
0,0.3343
1,0.6872
0,0.5271
0,0.5122
0,0.4676
0,0.4195
0,0.5474
1,0.6571
0,0.5652
0,0.354
0,0.577
1,0.8053
0,0.4178
0,0.3194
0,0.3298
0,0.1341
0,0.319
0,0.2958
0,0.3553
0,0.408
0,0.5896
0,0.2946
0,0.6292
1,0.6983
1,0.5751
0,0.461
0,0.535
1,0.508
0,0.4273
0,0.4717
0,0.4739
0,0.4241
0,0.2365
0,0.5843
0,0.4103
0,0.5013
0,0.3459
0,0.6139
0,0.6512
0,0.3112
1,0.7207
0,0.4895
0,0.3527
0,0.3274
0,0.6387
0,0.2075
0,0.1711
1,0.7094
0,0.3314
0,0.454
1,0.6338
0,0.4864
0,0.5771
0,0.4017
0,0.3361
0,0.2579
0,0.4264
0,0.4549
0,0.4307
0,0.5879
0,0.4382
0,0.3618
0,0.6089
0,0.4231
1,0.59
0,0.4881
0,0.4717
0,0.5248
0,0.3114
0,0.23
0,0.2402
0,0.4354
0,0.4533
0,0.5727
0,0.7294
0,0.4809
0,0.4979
0,0.4447
0,0.3716
0,0.4565
0,0.6306
0,0.4268
0,0.3623
0,0.3405
0,0.5765
0,0.5155
0,0.4142
0,0.3854
0,0.5595
0,0.4214
0,0.5198
0,0.3931
0,0.2146
0,0.4707
0,0.432
0,0.4417
0,0.2483
0,0.4534
0,0.3514
0,0.6837
0,0.4857
1,0.7522
0,0.4472
0,0.452
0,0.5261
1,0.6511
0,0.3483
0,0.504
0,0.3043
0,0.4
1,0.4166
1,0.5509
0,0.4167
0,0.3703
0,0.3572
0,0.4513
0,0.3366
0,0.4435
1,0.6076
0,0.5076
0,0.5449
0,0.4825
0,0.4479
0,0.4241
0,0.5318
0,0.4676
0,0.4724
0,0.1825
1,0.7624
0,0.3056
0,0.564
0,0.5198
0,0.6053
0,0.3604
0,0.4657
0,0.3089
0,0.5565
0,0.2635
0,0.52
0,0.5925
0,0.4916
0,0.5069
0,0.5339
1,0.5687
0,0.5052
0,0.4552
0,0.4175
0,0.3979
1,0.6634
0,0.3441
0,0.357
0,0.4924
0,0.7366
0,0.4871
0,0.4306
0,0.2879
0,0.269
0,0.7938
0,0.4498
0,0.4295
0,0.4592
0,0.4232
0,0.5895
0,0.5964
0,0.3426
0,0.377
0,0.3632
0,0.4163
0,0.4199
0,0.4364
0,0.4879
0,0.5624
0,0.4713
0,0.4475
0,0.5909
0,0.5701
0,0.5206
0,0.1925
0,0.4486
0,0.446
0,0.4954
0,0.4263
0,0.659
0,0.6651
0,0.284
0,0.5847
1,0.6779
0,0.5054
1,0.791
0,0.521
0,0.5708
1,0.5173
0,0.3997
0,0.3566
1,0.8048
0,0.6469
0,0.2998
0,0.3056
0,0.5817
0,0.5215
0,0.6196
0,0.5091
0,0.589
0,0.4427
0,0.5553
0,0.2981
0,0.3083
0,0.4069
0,0.4313
0,0.5041
0,0.2747
0,0.381
0,0.4574
1,0.3281
1,0.5159
0,0.502
1,0.6275
0,0.433
0,0.5438
0,0.4856
1,0.8429
0,0.4373
0,0.5537
0,0.4072
1,0.5428
0,0.6346
0,0.5607
0,0.4793
0,0.4334
0,0.5724
0,0.4986
0,0.5074
0,0.4543
0,0.4794
0,0.2721
1,0.541
1,0.374
0,0.5396
1,0.7513
0,0.5792
0,0.4936
0,0.472
0,0.4761
0,0.3891
0,0.429
1,0.6783
1,0.6056
0,0.3582
0,0.5015
0,0.2322
1,0.5386
0,0.581
0,0.5807
0,0.434
0,0.4194
0,0.6713
0,0.6422
0,0.3768
0,0.4673
0,0.4035
0,0.3086
0,0.6708
1,0.5066
0,0.6411
0,0.3882
0,0.428
0,0.5007
0,0.4976
0,0.3739
0,0.5234
0,0.2061
0,0.5984
0,0.2789
0,0.5179
0,0.5071
0,0.1787
1,0.7268
1,0.4992
0,0.3964
0,0.4251
0,0.2008
0,0.2578
0,0.5255
0,0.3868
0,0.3248
0,0.5187
0,0.457
0,0.3858
0,0.4974
0,0.4628
1,0.5039
0,0.7291
0,0.5615
0,0.5149
0,0.378
0,0.6662
0,0.5672
0,0.3752
0,0.5804
0,0.6966
0,0.4648
0,0.5545
0,0.2452
0,0.4415
0,0.7336
0,0.5105
0,0.5301
0,0.5451
0,0.326
0,0.6581
1,0.787
0,0.602
0,0.3576
0,0.5146
0,0.6372
0,0.7514
0,0.4276
1,0.7009
0,0.5864
0,0.5286
0,0.4309
0,0.4206
0,0.4682
0,0.3402
0,0.3107
0,0.2005
0,0.503
0,0.5137
0,0.7539
0,0.324
0,0.4466
0,0.4631
0,0.513
0,0.4029
0,0.4946
0,0.339
0,0.4059
0,0.3994
0,0.2016
0,0.3944
0,0.4705
0,0.6254
0,0.5229
0,0.4616
0,0.2984
1,0.6521
0,0.3212
0,0.3592
0,0.4071
1,0.7879
0,0.5877
0,0.5745
0,0.4748
0,0.4174
0,0.4276
0,0.5733
0,0.4136
1,0.7063
0,0.4766
0,0.3265
0,0.2784
0,0.4357
0,0.5655
0,0.4154
0,0.5317
0,0.5182
0,0.6819
0,0.4444
1,0.6269
0,0.4942
1,0.7861
1,0.8146
0,0.246
0,0.3355
0,0.5942
0,0.4658
0,0.5432
0,0.3853
0,0.564
0,0.3943
0,0.165
0,0.201
0,0.7193
0,0.5819
0,0.2556
0,0.4319
0,0.6439
0,0.18
0,0.4249
1,0.9047
0,0.5224
0,0.4044
1,0.7561
0,0.5311
0,0.515
0,0.1986
0,0.4391
0,0.2443
0,0.2313
0,0.3712
0,0.6582
0,0.2477
0,0.5249
0,0.5098
0,0.5205
0,0.5446
0,0.4108
0,0.1535
0,0.4323
0,0.3656
1,0.6166
0,0.3882
0,0.3074
0,0.4674
0,0.4608
0,0.4091
0,0.6071
0,0.4604
0,0.4675
1,0.5066
0,0.3827
0,0.7519
0,0.4244
0,0.5783
0,0.309
0,0.4173
0,0.5083
0,0.3766
0,0.4882
0,0.4463
0,0.5262
0,0.4663
0,0.5478
1,0.3519
0,0.3969
1,0.5795
0,0.5637
0,0.3395
0,0.4067
0,0.4685
0,0.3935
0,0.2479
0,0.3648
1,0.6444
0,0.5464
0,0.5883
0,0.4784
0,0.4963
0,0.4924
0,0.8263
1,0.5428
0,0.4707
0,0.3692
1,0.6849
0,0.3214
0,0.3667
0,0.3872
0,0.5736
0,0.5653
1,0.641
0,0.3877
0,0.5811
0,0.2206
1,0.4844
0,0.4015
0,0.3856
0,0.4735
0,0.317
0,0.4271
0,0.3989
0,0.4044
0,0.3517
0,0.4295
0,0.6568
0,0.5878
0,0.4496
0,0.3195
0,0.6004
1,0.5534
0,0.4261
0,0.5358
0,0.25
1,0.5467
0,0.5084
0,0.384
0,0.7704
0,0.4515
0,0.576
0,0.4433
0,0.4587
0,0.3838
0,0.3174
1,0.6292
0,0.4762
0,0.5966
0,0.3894
0,0.463
0,0.6851
0,0.4009
0,0.4505
1,0.5975
0,0.6133
0,0.3447
1,0.5019
0,0.419
0,0.6911
0,0.2207
1,0.5085
0,0.5258
0,0.3499
0,0.5376
1,0.8113
0,0.2604
0,0.5669
0,0.4585
0,0.2589
0,0.4538
0,0.2953
0,0.5409
0,0.2558
0,0.403
1,0.5883
0,0.4213
0,0.4589
0,0.4743
0,0.3661
0,0.5723
1,0.3635
0,0.5504
0,0.4335
0,0.3172
0,0.2373
0,0.5633
1,0.4048
0,0.4269
1,0.4894
0,0.4362
0,0.4203
1,0.69
0,0.5944
0,0.2201
0,0.5468
0,0.4105
0,0.648
0,0.4663
0,0.578
0,0.4464
0,0.3231
0,0.268
0,0.5608
0,0.4834
0,0.5789
0,0.6867
0,0.5744
1,0.6135
0,0.5028
1,0.5552
0,0.4865
1,0.4869
0,0.2193
1,0.5424
0,0.5299
1,0.5784
0,0.467
0,0.3826
0,0.3895
0,0.2993
0,0.4358
0,0.5466
0,0.4703
0,0.3039
0,0.3154
0,0.3906
0,0.6086
0,0.5033
1,0.4383
0,0.4856
0,0.5802
0,0.3453
0,0.3803
0,0.2944
1,0.6442
0,0.5508
0,0.4208
0,0.4871
0,0.3822
0,0.4382
0,0.5381
0,0.328
0,0.3944
0,0.5855
0,0.3268
1,0.5763
0,0.5396
0,0.4631
0,0.2797
0,0.463
0,0.4222
0,0.6003
0,0.4282
0,0.371
0,0.2086
0,0.5853
0,0.4078
0,0.6014
0,0.5965
0,0.5236
0,0.3408
1,0.7629
1,0.515
0,0.5201
0,0.4696
0,0.5751
0,0.3799
1,0.6277
0,0.4709
0,0.4607
0,0.566
1,0.6924
0,0.5814
1,0.6719
0,0.4567
0,0.1836
0,0.4978
0,0.3616
0,0.5644
0,0.3375
0,0.4764
0,0.6004
0,0.421
1,0.9043
0,0.5174
0,0.3834
0,0.5499
0,0.4973
0,0.468
0,0.5185
0,0.4144
0,0.3824
0,0.2589
1,0.852
0,0.6217
1,0.6273
1,0.5994
0,0.2669
0,0.4905
0,0.5518
0,0.5319
1,0.751
0,0.4385
0,0.7925
0,0.6063
0,0.593
0,0.4273
0,0.2044
0,0.4855
0,0.6466
1,0.6547
1,0.7571
0,0.4354
0,0.4055
0,0.6002
0,0.4046
0,0.5505
0,0.6034
0,0.4873
0,0.4435
0,0.3317
0,0.4708
0,0.575
1,0.592
0,0.4624
0,0.3201
0,0.3606
0,0.5937
0,0.4527
0,0.4512
0,0.6162
0,0.3799
0,0.299
0,0.3345
0,0.5569
0,0.4618
0,0.4987
1,0.6352
0,0.4111
1,0.5102
0,0.4581
0,0.0
0,0.38
1,0.6062
0,0.4233
0,0.3329
0,0.2037
0,0.5016
1,0.596
0,0.6405
0,0.5891
0,0.6329
0,0.292
1,0.575
1,0.7404
0,0.4758
0,0.5152
0,0.5926
0,0.4014
0,0.322
0,0.4857
0,0.5664
1,0.7009
1,0.7135
0,0.3536
0,0.3814
0,0.2493
0,0.1906
0,0.4114
1,0.3003
0,0.4583
0,0.5312
0,0.359
0,0.5188
0,0.5433
0,0.3837
0,0.4614
0,0.3416
0,0.3798
1,0.773
0,0.4444
0,0.6065
0,0.5569
0,0.445
1,0.5206
0,0.5011
0,0.205
0,0.7475
0,0.4609
0,0.3061
1,1.0
0,0.2872
0,0.5803
0,0.5478
0,0.4401
0,0.49
0,0.3787
0,0.5819
0,0.5052
0,0.5848
0,0.4676
0,0.4765
0,0.5045
1,0.5232
0,0.3368
0,0.3535
0,0.2656
0,0.2217
0,0.2819
0,0.3506
0,0.5924
0,0.3259
0,0.4222
0,0.433
0,0.2873
0,0.3817
0,0.5435
0,0.472
0,0.2671
0,0.5166
0,0.414
0,0.1077
0,0.4314
0,0.5824
0,0.3308
0,0.4532
0,0.3546
0,0.2285
0,0.5421
1,0.71
0,0.6874
0,0.2778
0,0.5968
0,0.4586
0,0.4492
0,0.1867
0,0.2321
0,0.4429
0,0.5807
0,0.4885
0,0.5681
0,0.2017
0,0.4706
0,0.4224
0,0.3392
0,0.3895
