y_real,score
0,0.5727
0,0.4575
0,0.4666
0,0.8463
0,0.3424
0,0.484
0,0.4361
1,0.7565
0,0.5759
0,0.3965
0,0.6772
0,0.5336
0,0.5785
0,0.6584
0,0.148
0,0.5082
0,0.6052
0,0.389
0,0.4134
0,0.3661
0,0.3091
1,0.4801
0,0.4563
0,0.4816
0,0.5697
0,0.2139
0,0.4444
0,0.5058
0,0.2797
0,0.4337
0,0.5936
0,0.428
0,0.4874
0,0.581
0,0.6127
0,0.5981
0,0.5681
0,0.3803
0,0.5325
0,0.4187
0,0.3807
0,0.3978
0,0.1289
0,0.764
0,0.3855
0,0.3029
1,0.7111
0,0.4964
0,0.1554
0,0.3727
0,0.4686
0,0.4141
0,0.3763
0,0.4969
0,0.2973
0,0.3205
1,0.6567
0,0.5792
0,0.66
1,0.8493
0,0.4834
0,0.4492
0,0.5706
0,0.5003
0,0.3687
0,0.454
1,0.4466
0,0.6163
0,0.1152
0,0.4776
0,0.559
0,0.6338
0,0.7025
1,0.6903
1,0.6308
0,0.4283
0,0.3516
0,0.5482
0,0.4142
0,0.5565
0,0.4394
0,0.65
0,0.2871
0,0.3716
0,0.455
0,0.5856
0,0.2548
1,0.5786
0,0.2371
0,0.2693
0,0.2116
0,0.3085
0,0.4129
0,0.1793
0,0.5023
0,0.4059
0,0.4339
0,0.5624
0,0.2503
0,0.3786
0,0.5745
0,0.6985
0,0.5808
0,0.2624
0,0.6668
0,0.4156
0,0.5047
0,0.5047
0,0.5006
1,0.695
0,0.4013
0,0.643
0,0.4659
0,0.3997
0,0.3972
0,0.4741
0,0.4182
0,0.2503
0,0.3941
0,0.724
0,0.1098
0,0.1923
0,0.435
0,0.4366
0,0.3013
0,0.3538
0,0.432
0,0.5511
0,0.4761
0,0.3643
0,0.3568
0,0.5003
0,0.4763
0,0.4098
0,0.626
0,0.5416
0,0.7465
0,0.2773
0,0.387
0,0.671
0,0.3104
0,0.658
0,0.2841
0,0.3683
0,0.3366
0,0.5107
0,0.4963
0,0.5388
0,0.6958
0,0.3449
0,0.5943
0,0.6122
0,0.6402
0,0.624
0,0.5828
0,0.4724
0,0.7081
0,0.5517
0,0.2224
0,0.2993
0,0.6186
0,0.3705
0,0.6672
0,0.3682
0,0.0845
0,0.6384
0,0.6692
0,0.6421
0,0.4154
0,0.478
0,0.5648
0,0.437
0,0.6715
0,0.0155
0,0.5098
0,0.3617
0,0.3558
0,0.42
0,0.3151
0,0.5751
0,0.5747
0,0.3603
0,0.1905
0,0.0983
0,0.3236
0,0.2856
0,0.4893
0,0.5766
0,0.6311
0,0.449
0,0.4565
0,0.5243
0,0.6769
0,0.1741
0,0.4666
0,0.4874
0,0.5999
0,0.3515
0,0.6434
0,0.2051
0,0.4022
0,0.7952
0,0.5309
0,0.4371
1,0.9203
0,0.4803
0,0.5475
0,0.4783
0,0.3561
0,0.2259
0,0.5717
0,0.6089
0,0.4418
0,0.5212
0,0.522
0,0.459
0,0.2446
0,0.4559
0,0.6322
1,0.7391
0,0.5543
0,0.4914
1,0.4936
0,0.3351
1,0.5512
0,0.5888
0,0.5216
0,0.5674
0,0.309
0,0.3883
0,0.6191
0,0.6129
0,0.5489
0,0.3539
0,0.6515
0,0.5032
0,0.5767
0,0.4946
0,0.4799
0,0.4679
0,0.6249
0,0.519
0,0.4658
0,0.3232
0,0.4797
0,0.4255
0,0.3323
0,0.6991
0,0.3994
0,0.2723
0,0.4651
0,0.6056
0,0.4478
0,0.3754
0,0.5434
0,0.582
0,0.4591
0,0.4624
0,0.535
0,0.4888
0,0.3367
0,0.4039
0,0.3286
0,0.4093
1,0.371
0,0.3428
0,0.4613
0,0.3937
0,0.2023
0,0.4163
0,0.4338
0,0.5308
0,0.5323
0,0.3269
1,0.7416
0,0.3335
0,0.4141
0,0.6139
0,0.5778
1,0.8475
0,0.55
0,0.299
0,0.6146
0,0.4623
0,0.4973
0,0.317
0,0.6443
1,0.6924
0,0.1716
0,0.4403
0,0.4548
0,0.3568
1,0.701
0,0.3154
0,0.4602
0,0.5177
0,0.2484
1,0.5364
0,0.3084
0,0.6008
0,0.54
0,0.5555
1,0.9126
0,0.6218
0,0.5872
0,0.5488
0,0.5104
0,0.5467
0,0.6009
0,0.4978
0,0.5111
0,0.2481
0,0.3935
0,0.7452
0,0.5207
0,0.3707
0,0.4596
0,0.4073
0,0.4699
0,0.703
0,0.6512
