trimestre,ind_a,ind_b,ind_c,ind_d,alvo
0,-0.56729,-0.54245,-1.42398,-0.93553,0
1,1.52789,-0.19193,0.12332,1.22706,1
2,0.12923,-0.18569,-1.2123,0.26852,0
3,-0.2033,1.42991,-0.46843,1.54296,1
4,-1.0241,0.44985,0.44843,-0.8679,0
5,-0.45568,0.51524,-0.32798,0.6194,0
6,-0.70607,0.02268,-0.28473,1.86168,0
7,-0.39697,-0.83722,-0.79259,-1.13382,0
8,1.86647,0.97452,-0.77395,0.50143,1
9,-1.61829,-1.46927,-1.10484,-0.79234,0
10,0.57967,-0.79274,0.71654,-1.04798,0
11,-0.2387,-0.46972,-0.19295,0.35945,0
12,0.73399,-0.45457,-1.56863,-0.85021,0
13,-0.70079,-0.43982,0.93302,1.57668,0
14,-0.14466,0.04015,-1.91739,1.70638,0
15,-2.67881,0.71863,2.11236,0.42086,0
16,1.23833,0.143,0.09193,1.72352,1
17,-2.35638,0.35483,-0.04042,0.12662,0
18,-0.14771,0.8053,2.571,-0.45475,0
19,0.68919,1.08416,-0.96312,-2.60225,1
20,-1.59889,-2.20443,0.00547,0.92353,0
21,-0.21341,0.51716,-0.0114,0.00788,0
22,-1.0945,0.35957,-0.09387,-0.66633,0
23,-0.90687,0.50792,1.29951,-0.37381,0
24,-0.65031,-0.85326,0.49547,-1.47461,0
25,0.34967,0.58823,-0.29417,-0.4799,1
26,-1.219,0.05691,0.16327,-0.8123,0
27,-0.52066,0.37664,-1.50792,0.83986,0
28,0.40588,-0.10623,0.13233,0.29927,0
29,-0.51999,0.2872,1.5104,1.96137,0
30,-0.01879,-0.78142,-0.02514,-1.00742,0
31,0.47131,0.26747,-1.19108,-0.26369,1
32,1.14956,1.65414,-0.3448,-2.2525,1
33,-1.09224,-0.75653,-0.94237,-1.06074,0
34,1.85953,-0.39324,-0.64413,0.62148,1
35,-0.97244,0.30622,-0.1858,-0.70829,0
36,-1.27951,-0.2209,0.37586,-0.90587,0
37,-1.21634,0.05065,1.55894,0.52348,0
38,-0.31912,-0.98586,-0.63121,2.63678,0
39,0.30666,0.20859,0.94963,-0.58558,1
40,1.41107,0.98279,-1.49929,-0.04769,1
41,-0.66704,-1.01719,0.83897,-0.79931,0
42,0.1083,0.41006,0.22864,-0.36489,0
43,1.10686,-0.39637,1.93846,-0.50679,1
44,0.13694,0.54312,-1.86071,0.65338,0
45,0.76715,-0.60482,0.3172,0.98442,0
46,-0.76749,-0.06883,1.4144,-0.09865,0
47,1.54858,0.0203,1.34921,0.34498,1
48,-0.17163,0.06127,-0.973,0.15612,0
49,-0.07752,-1.60421,0.85285,-1.22464,0
50,1.38836,-1.1013,-1.75453,0.58887,0
51,0.19551,1.05019,-0.35373,0.71845,1
52,0.82221,1.04533,-0.75732,2.13919,1
53,-0.52822,0.41731,1.05653,0.35242,0
54,0.20468,-0.89108,-1.48665,0.40585,0
55,-0.16261,0.35944,-0.27764,-0.52257,1
56,0.05692,0.46598,0.73065,-0.22924,0
57,1.90176,-0.96177,-0.32038,-1.19093,1
58,0.58775,1.21524,0.36707,0.5197,1
59,-0.3814,0.15843,1.42781,0.34548,0
60,-0.33553,0.12988,-0.44768,0.03431,0
61,-0.06794,0.3652,-0.18446,1.14001,0
62,0.25413,-1.6919,-0.49012,-1.29498,0
63,1.21341,-0.10216,0.70291,0.73464,1
64,-1.3451,-0.03567,-1.49212,1.37916,0
65,0.19164,0.19084,0.60309,1.09576,0
66,-2.14991,-1.79475,1.70757,0.26864,0
67,-2.86361,-0.29726,0.05074,-0.50667,0
68,0.72817,-1.69045,0.60252,-0.66849,0
69,-2.06616,0.44071,0.31063,1.09895,0
70,-0.23398,-1.66271,-0.52506,-0.82533,0
71,0.39228,-0.5515,0.1525,-0.70335,0
72,-0.41806,1.28814,-1.34018,0.30132,1
73,0.96714,1.57595,2.74998,-0.3642,1
74,-0.15204,-0.14254,-1.89835,1.44743,0
75,0.38349,-0.25902,-0.18605,0.63242,0
76,-0.97141,-0.6019,0.55141,-1.77409,0
77,-0.02708,0.06092,2.12328,-0.22157,0
78,-0.28036,0.25958,-0.24858,-0.93021,0
79,-1.01062,-0.74385,-2.11092,-0.58164,0
80,-1.44648,1.33792,-0.16624,-1.33769,0
81,-1.06914,-0.62353,0.53377,0.24006,0
82,0.50371,-0.67778,-1.21958,0.32249,0
83,0.67313,0.83175,1.35387,-1.31823,1
84,0.55641,0.50138,0.26761,-0.123,0
85,1.12815,-0.77768,0.83108,-0.28071,0
86,-0.77389,-0.07435,-2.35161,0.72888,0
87,-2.98118,0.84288,-1.42145,0.36785,0
88,-0.07237,-0.61597,-0.25424,0.53461,0
89,-0.59056,0.0949,-1.04473,0.7292,0
90,0.11466,1.75989,0.00455,-0.03878,1
91,0.08871,0.29305,0.25343,-0.60163,0
92,-0.28495,-1.92796,-0.23529,0.28576,0
93,0.01121,-1.047,-0.97775,0.62662,0
94,0.58626,-1.15724,0.90288,-2.63037,0
95,-0.89205,2.22761,0.69972,1.07366,1
96,0.92046,-0.91313,0.62309,0.47786,0
97,0.85257,-0.27865,0.44272,0.8828,0
98,0.52729,0.49067,-0.00582,0.18374,1
99,-0.05715,1.12157,-0.09715,0.60158,0
100,0.55398,0.3854,1.38803,1.13019,0
101,0.37036,-0.15519,1.16716,0.61268,1
102,0.20994,2.30597,-0.21245,0.45706,1
103,0.16294,-0.75269,-0.57567,-1.66957,0
104,0.59563,-0.08467,0.82994,0.19118,0
105,0.99665,-0.33255,-1.27577,0.93862,1
106,0.04139,-0.14238,-1.1344,0.83117,0
107,-0.44264,0.10091,1.08488,0.25954,0
108,-0.95583,0.00256,-0.63858,-0.719,0
109,0.02327,-0.13272,-1.09805,-0.38208,0
110,-1.99171,-0.76202,0.33533,0.0242,0
111,1.61287,-1.32922,1.56284,-0.69922,0
112,-1.5778,-0.01356,1.24993,0.07795,0
113,-1.8024,1.17753,-0.00637,-0.91984,0
114,-1.3961,0.65199,-1.00925,0.49496,0
115,-1.08355,1.61519,-0.79791,1.47019,1
116,1.71115,1.95135,-0.64846,-2.55553,1
117,-1.79339,0.34221,0.05997,0.81645,0
118,1.91953,0.24652,1.22656,-0.90814,1
119,-0.09438,-0.34765,1.51179,-2.68361,0
120,2.83615,2.36674,0.94321,-0.87625,1
121,1.05136,1.2466,0.7151,-0.25083,1
122,-1.6352,0.73125,-0.1536,0.99848,0
123,0.70072,1.29489,2.17526,-0.53165,1
124,-0.1594,0.53987,0.85433,0.33869,0
125,-0.44692,-0.12989,-1.13772,-0.26736,0
126,1.41153,-0.60721,0.39735,0.8954,1
127,-0.52638,0.42244,-0.74616,-1.76269,0
128,0.77558,0.15906,0.45196,1.00511,1
129,-0.24089,-0.00846,0.8693,0.65988,0
130,-1.62464,-1.02518,1.12142,-0.62893,0
131,1.37947,-0.30466,-0.65823,-0.5886,1
132,-0.55066,-0.53818,-0.69942,0.15405,0
133,2.11248,0.15832,0.02953,-0.94812,1
134,-0.55212,0.30923,1.57826,0.86317,0
135,0.23836,0.32655,-0.18657,-1.26176,0
136,0.17959,0.16608,-0.98435,1.30419,1
137,0.73257,0.27241,0.71683,0.06108,1
138,-0.58789,-0.98461,-0.30724,-0.54792,0
139,-0.98917,-0.80885,0.87062,0.77865,0
140,1.35315,-1.05959,1.41939,-0.40065,1
141,-0.19102,1.43666,0.21763,-1.71503,1
142,0.4075,1.1844,0.39731,0.55509,1
143,0.34731,1.16276,0.60506,0.0557,1
144,0.18525,1.34029,-0.70501,1.10915,0
145,1.78518,-0.77395,0.9426,-0.84984,1
146,0.61279,0.00043,1.40406,1.62689,1
147,-1.1477,0.29201,-2.46666,-0.5722,0
148,0.39976,2.40521,-1.17178,0.23738,1
149,1.28022,0.68298,0.67992,-0.08081,1
150,0.62104,-0.47741,0.62083,-0.96163,1
151,-1.12182,0.51865,-1.78116,-1.2193,0
152,-1.10117,-0.87021,1.07033,-1.36649,0
153,-0.18915,0.04083,-0.37609,1.03276,0
154,-0.38268,0.7114,-0.44288,0.85304,0
155,0.94812,-0.9264,-0.76446,-0.73052,0
156,0.36365,0.11774,-0.51469,0.29848,0
157,-0.30983,0.78929,0.39307,0.57729,0
158,0.83629,0.31436,-2.60938,1.88965,1
159,0.58116,-0.99051,-0.69372,-2.10674,0
160,-0.54123,-0.27768,-0.8157,0.09153,0
161,-1.83799,0.37874,0.75048,1.03106,0
162,-0.80164,0.87819,0.36347,0.40798,0
163,1.13681,0.96475,0.60493,-0.50902,1
164,-0.11751,0.51083,0.02667,0.22158,0
165,-0.32906,-0.55324,1.22171,1.19735,0
166,-1.40866,0.61078,1.44752,-2.02175,0
167,-0.76476,-0.82927,-1.30062,0.22325,0
168,-0.20441,0.98121,-0.23577,1.41109,1
169,-0.73114,-0.54136,-0.97856,-0.64255,0
170,-1.24562,2.67914,-0.73844,-1.28115,0
171,-0.68798,-0.02022,-1.07639,0.85251,0
172,-0.28283,-0.8661,-1.87177,-0.90987,0
173,1.44055,0.40806,1.46285,-0.96562,1
174,2.0328,-0.88443,-0.66614,0.04519,1
175,-1.90838,0.77041,-1.30112,0.38199,0
176,0.71552,-2.10817,-1.00167,-0.89122,0
177,-0.80711,0.67053,-0.09119,-0.08063,0
178,0.4511,0.03745,-1.00472,0.8632,0
179,0.14087,-0.83385,1.75809,-0.5255,0
180,-0.34284,-1.83787,0.38071,0.04552,0
181,-0.80964,-1.12375,-0.46601,0.07549,0
182,1.01072,-0.94455,1.02929,1.0095,0
183,-0.04964,0.03154,1.97817,0.15123,0
184,-1.61065,0.8476,0.63896,-0.33251,0
185,-0.55226,-0.1649,0.75304,0.72977,0
186,1.58947,-1.66655,-1.7706,0.1102,0
187,-1.71132,1.09301,-1.13775,-2.45505,0
188,0.93308,0.79855,-1.45165,-1.24928,1
189,0.98135,0.66754,-1.24641,0.68156,1
190,-0.65924,-1.5686,-0.03681,-0.08434,0
191,0.19983,-0.53152,0.57704,-0.08276,0
192,-0.43191,0.28219,0.39814,1.5049,0
193,-0.33447,0.32251,-0.83892,-0.67183,0
