f1,f2,f3,f4,f5,f6,f7,f8,alvo
0.67289,0.53408,1.71279,0.33693,-0.71568,-0.22679,0.08054,-0.66677,0
-1.2883,0.06332,-0.22295,-1.38194,0.67672,-0.51696,0.4442,0.33353,0
-0.67768,1.04862,-0.58561,0.49277,0.96065,-1.14946,1.66887,0.67202,1
-0.68264,0.24992,-0.61763,-0.17636,1.06829,1.01594,1.32334,0.07759,0
0.08619,1.02154,0.37562,0.16638,-1.27749,0.64218,0.14877,0.8377,1
-0.25206,-0.4297,1.26831,-2.10636,-1.17426,0.22994,-0.30613,-1.42908,0
1.14604,1.09953,0.85367,-0.3563,-0.69917,1.01108,0.75582,-0.22193,1
-0.21699,-1.15011,-0.42977,1.32873,0.10385,0.60861,-0.23102,-1.53667,0
-1.61511,-0.07201,0.42193,-0.31858,0.25766,-2.18098,0.17636,-0.49984,1
0.98911,-0.87925,-0.29443,0.81011,1.07553,1.70957,-2.28845,1.34387,1
0.68456,-0.95329,-0.58997,0.99877,-1.26444,-0.87361,-0.81671,0.80288,1
-0.47181,1.23136,-1.79005,-0.34248,0.63231,1.645,1.6323,0.73684,1
0.72025,-1.11677,-0.48194,0.25276,1.12826,-0.72852,1.5733,-0.30688,0
-2.44755,1.36086,0.467,1.06403,1.34412,0.27529,0.71448,1.47192,0
-0.41383,0.59597,-0.86181,-0.0304,0.98819,1.51243,0.89305,-1.86576,0
-0.99501,-1.2136,0.96555,-2.32824,0.92782,0.18648,-1.19512,1.55657,1
-0.39369,0.13928,0.72372,-0.67578,1.38278,-2.84343,-0.1867,-0.19056,0
-0.01314,0.14464,-0.14861,0.22053,0.02477,1.02499,-2.82671,-0.53102,0
0.2705,0.48216,-0.3032,-0.56725,-0.00533,-1.3788,2.85951,-0.45698,1
-1.28115,1.35136,-0.92336,0.58629,0.13437,-0.21353,-1.17199,-0.81091,1
0.72848,0.90435,1.33808,0.50914,-0.84381,-1.24893,-0.71764,-0.04127,1
0.3029,1.8996,1.00661,-0.97266,0.70304,0.66514,0.54094,-0.9506,0
0.42486,-0.57447,0.0932,1.21214,1.2079,-1.01662,0.17508,-0.37599,0
-0.32019,0.78477,-0.95074,0.09514,1.83936,1.43466,1.21798,1.31994,1
0.82464,-1.16187,-1.21621,-1.50227,0.06657,0.06542,-0.15721,-0.42112,1
0.41804,0.3358,-0.08219,1.28178,1.08229,-0.40497,-1.57001,2.15181,1
-0.16229,-0.31355,-1.91465,0.26356,-0.54157,-0.43847,0.60841,-1.00325,0
-2.41279,0.84903,1.11119,-0.50682,-0.28595,1.26339,-1.65625,-0.12358,0
0.28363,0.08524,0.27177,-0.29144,0.59069,-1.75844,0.31627,-0.97181,0
2.74819,-0.42317,-0.12145,0.79115,1.47261,-0.64211,1.18963,-1.13115,0
1.32373,0.94509,-2.51494,0.45409,-0.10552,0.64727,-0.21178,1.78049,1
-0.6101,-0.97156,-1.36143,0.80834,-0.40925,0.01886,-0.56902,1.49371,1
-0.01505,0.69303,0.43004,-1.09276,-0.49009,1.24615,-0.80172,-1.45892,0
0.71371,1.13417,1.02218,-0.66519,-0.76779,0.53531,-0.68212,-1.57868,0
0.81701,-1.71634,0.62328,0.43851,-2.25879,0.80272,-2.57935,-1.73324,0
-0.19446,1.59304,0.07914,-0.18517,1.26022,0.41361,-0.32134,-1.41236,1
0.15279,0.89682,0.1316,-0.42174,-0.17773,-0.29435,-1.27523,0.57425,1
-0.84307,-0.22273,-1.01994,0.59619,-1.58797,-0.23963,1.1378,-0.00691,0
0.74,-1.17029,1.07531,0.67389,1.81085,-1.08298,0.47273,0.13264,1
-0.46146,-0.41122,-0.36199,-1.54631,-0.15531,-2.19528,1.06581,1.36881,0
-0.62967,0.34507,-0.47714,0.96048,-0.26565,-0.71706,1.72679,1.79492,1
-0.63073,1.09198,-1.10308,0.28895,0.21271,1.18466,-0.73874,-1.04721,0
-0.74759,-0.27294,0.03494,0.24589,1.39816,-0.99485,-0.8312,0.05775,1
1.05006,-1.44586,-0.00943,-1.55931,1.04436,1.05585,0.8192,-1.0078,0
-0.23376,-0.15773,-0.05977,0.89655,1.83922,-0.03178,-1.97543,-0.69424,0
0.62192,0.41495,-0.04973,0.90357,-2.13158,0.27795,-1.6736,-0.64251,0
-2.25631,-0.55497,-0.07284,-0.11718,-0.54412,0.82621,1.51031,-0.26266,0
0.65427,-0.79217,2.01577,2.43967,0.45766,0.9599,-0.58988,-0.18029,0
0.00159,-0.87187,1.17231,-1.76892,-1.25178,-0.99529,-0.78203,-0.80599,0
-0.28336,0.94495,-1.21197,1.24307,-1.46039,-1.25763,0.52094,0.00774,1
-0.91901,0.54288,-1.04143,-0.82409,-0.60133,-0.22765,-0.96114,0.44923,1
-1.1206,-1.61092,1.1097,-0.19732,-0.13269,-1.60718,0.66004,0.34783,0
0.69533,-0.21242,0.88648,-0.21094,-1.4963,0.24674,0.66585,-1.24756,0
-1.80197,-0.74355,0.76909,-0.12163,-0.4873,0.19587,-0.65686,0.18981,1
0.80736,0.41829,1.64517,1.67923,0.31979,0.48323,0.63278,-0.92061,0
0.71134,-0.09805,-1.96933,-0.49529,0.25296,-0.04427,-1.72279,0.7668,1
-0.52354,-1.23288,-0.24859,0.38537,0.71709,-1.11138,1.32474,-0.00713,0
0.0847,1.10923,1.92838,1.11834,2.01943,0.17176,0.28193,0.41725,1
-0.84326,-0.65273,-0.23957,0.16166,0.51203,0.32394,1.44652,0.06959,0
2.63092,1.3709,-1.68933,-2.46029,-0.4696,-0.80442,0.64446,-1.00862,1
-1.28345,0.66821,-1.03214,-0.24768,-1.04196,-0.54355,-0.64307,-0.19245,1
1.97324,-1.78823,-2.26779,-0.58492,0.83402,-0.17625,-1.87606,0.80715,1
-0.32104,-0.05206,-1.76949,-0.06294,0.26351,-0.42028,0.877,0.04256,0
-0.694,-0.11219,0.46566,0.06851,0.43029,0.62223,0.015,1.9174,1
-0.38853,-1.11317,-0.14432,-0.88513,-1.06202,-0.02645,1.50517,-0.00922,0
0.38453,1.10362,1.12661,2.6345,0.17333,1.78852,-0.45713,1.03095,1
-0.65796,-0.54293,1.33236,-1.17275,-0.29933,0.70381,-0.619,-0.5161,1
0.31954,1.24984,-1.61962,1.38141,1.17242,-0.15117,-1.52464,-0.50886,1
0.31923,-0.67768,-1.11374,2.05675,2.48659,-0.21906,0.71945,0.35369,1
0.7618,-0.13976,-0.52598,-0.84115,0.40753,-0.49704,-0.8594,-0.73298,0
0.3265,-0.77026,0.1023,-1.75678,1.51437,0.02839,-0.82489,-3.08036,0
0.10597,-0.77009,-1.04042,-0.07931,0.91155,-0.64666,-0.73944,0.03337,1
-0.02031,-1.12868,-1.07199,1.43391,1.36689,1.2246,0.42909,-0.22583,0
0.55357,-0.2024,0.45519,-0.15946,0.37988,-0.39756,-0.24344,-1.3144,0
1.6092,-1.91895,-1.21244,0.43831,-1.5812,0.62534,0.32533,-0.16445,0
-0.97696,-0.46807,1.93888,-0.77506,1.45404,1.02928,-0.95635,0.17423,0
-1.56471,0.27613,0.82441,1.15783,0.27418,-0.40157,-0.30728,0.71202,0
-0.59271,0.17289,-2.21294,-0.86827,1.58412,-0.20453,-0.69839,-0.64841,0
0.34394,-2.3363,1.09197,1.46184,-1.56676,0.17377,-1.88302,0.48252,1
0.7551,-0.39077,-0.75309,-0.33707,0.8685,0.11909,1.5982,-1.08424,0
-0.98862,-0.33955,-0.19755,0.83983,-0.77956,1.57575,0.08853,-0.1019,0
0.00651,1.04038,0.1015,1.51538,-0.59206,-1.03458,0.0946,0.04669,1
-1.24195,-1.48768,0.36499,-1.22224,0.30663,-0.17046,0.13525,-1.20167,0
-0.89826,0.64646,-0.01864,-0.79391,0.33045,-1.08561,1.04726,-1.04773,1
0.50812,-1.12782,1.00035,0.70441,-1.40757,-0.26325,1.7567,0.0159,0
-1.35638,-1.09774,0.78982,0.56032,-0.08051,-0.78098,0.77755,2.00566,0
-0.84155,-0.47852,0.43847,1.33909,0.01749,-1.24068,0.83612,-0.51835,0
1.10193,1.01665,0.5471,0.27018,0.4337,-0.25641,0.08026,1.90834,1
0.61214,1.16593,0.86474,0.05033,0.83857,-0.33615,-0.51288,0.90681,1
