x1,x2,x3,x4,x5,x6,alvo
-0.68678,-0.12768,-0.89222,1.71577,0.59704,-0.45827,0
-0.04077,1.4194,0.0529,-0.01883,-1.46926,1.9984,0
0.06337,-0.14798,0.61849,1.87064,-0.33738,-0.60369,0
-1.20367,0.13886,-0.02764,0.47709,0.34252,1.13754,0
-0.53563,0.84825,0.19894,-0.13354,-1.10674,1.15252,0
0.28173,-0.80028,0.00614,0.27917,0.80039,-2.76581,0
-0.76157,-0.52551,-0.90931,-0.16053,1.62176,0.38819,0
0.09027,0.49834,0.07776,1.32901,-1.40765,0.97799,0
0.66354,-0.89666,-0.46162,0.67056,0.68166,0.25681,0
-0.72421,1.96099,0.44413,-0.64716,-1.00822,0.78198,0
-0.15309,-0.02686,0.5062,1.14529,2.96613,0.46451,0
0.53934,0.48979,-2.16418,0.98182,-0.14716,-0.95373,0
-0.75098,-0.97503,-0.49646,-0.70019,0.4499,-0.58288,0
-0.4196,0.88602,-0.48408,1.69028,0.95943,0.03099,0
2.69364,1.29459,0.31849,0.9325,0.76561,1.25644,1
0.34948,0.72669,1.60453,1.78274,1.66267,1.85522,1
-1.12603,-0.55781,-2.50461,-0.00637,0.99221,2.8363,0
-0.88756,-0.02851,1.06922,1.19232,0.41625,-0.62449,0
-0.39438,-0.59934,-0.49832,0.35396,0.36213,-0.95082,0
-0.4892,-1.20073,-0.36826,-0.73364,1.53928,0.08122,0
-1.18585,0.28089,2.28696,0.99812,0.0318,-0.28169,0
0.30066,-0.1093,-1.80393,-0.04107,0.96642,0.25655,0
-1.30007,-1.13014,-0.27251,-0.51389,-0.79814,-1.18927,0
-0.29333,0.20611,-0.36706,-0.83279,-1.25497,1.01986,0
-0.66515,0.30487,-0.87449,-0.23687,-0.98453,-0.07209,0
-0.37073,0.55377,-2.40765,0.848,-0.16792,3.26415,0
0.43725,-1.1401,1.46973,1.06705,-0.68828,-1.53006,0
1.29553,0.85918,0.70768,-0.00772,0.63144,1.18291,0
-1.30662,0.75534,0.69877,-0.66466,1.18873,-0.08941,0
-0.40821,-0.13072,2.45042,-1.34681,-0.10808,0.61331,0
0.05516,-0.78915,0.97224,0.11315,-0.51721,-0.52717,0
-0.55283,-0.07986,-0.39099,-0.07974,-1.32974,-0.79631,0
-0.5594,-0.21648,-1.40696,-1.08461,-0.0395,-0.24339,0
-0.91643,0.69041,0.76752,-0.42837,0.69937,0.28775,0
0.48512,2.1886,0.64811,2.27622,0.43847,3.52128,1
0.683,-0.55999,0.11384,-0.81325,-2.28999,-1.49389,0
1.51617,-0.83591,-1.39428,0.28704,1.66342,0.57314,0
0.11106,0.2508,0.30101,0.31527,-0.40314,0.21829,0
-1.64294,-1.87702,-1.04345,-1.70766,-0.91637,1.53594,0
0.58262,-1.68224,-0.41519,-0.76606,-0.45537,0.66191,0
0.18689,-0.57271,-1.28372,-0.84483,0.4236,0.41928,0
0.71483,-0.65947,-1.17525,-1.96436,-0.08799,-0.56703,0
0.15445,1.71568,-1.39231,0.54186,0.69593,0.45178,0
-1.40742,-0.23599,0.72333,0.21227,1.83236,-0.38166,0
-0.36117,-0.41415,-0.87717,1.20288,-0.68314,-1.31088,0
0.9834,1.01747,0.43565,0.09322,-0.85892,1.83757,0
0.42434,-1.38951,1.65995,-0.73984,-0.55842,0.81779,0
0.64284,-0.873,-1.40666,1.29551,-0.72544,1.54697,0
-1.29052,-1.46165,0.79373,0.20907,-0.61595,-0.61795,0
1.51116,1.05883,1.33846,-0.13941,1.17296,-0.9199,0
1.76933,-0.13591,-0.76633,0.2824,-1.1713,-0.82515,0
2.39329,-1.8188,0.8632,-1.01761,0.07828,1.46235,0
-0.45122,0.88508,1.38032,-1.05702,0.77249,0.20447,0
2.25159,-0.36085,-0.11721,-0.1164,1.08634,0.5573,0
1.13495,-0.73318,0.84615,-1.52437,-0.88894,-1.06078,0
-0.42192,0.2994,-0.35867,-0.29692,1.29594,1.04188,0
-1.90869,-1.04188,1.1858,-2.05861,-0.98826,2.41405,0
0.00889,0.2541,0.24248,0.78966,1.02355,0.81447,0
-0.75392,-0.31241,0.15654,0.41072,0.27277,0.78689,0
0.23692,0.02447,-0.0972,-0.59856,-0.49384,0.14422,0
2.33474,1.85516,0.35607,2.41915,2.71754,1.48114,1
-0.86004,-0.84255,-0.10144,0.75711,0.47895,0.78351,0
3.06758,1.34248,0.65147,-0.53778,0.15389,0.30197,0
0.2756,1.2794,-0.14537,1.45988,-0.78861,0.89144,0
1.20646,0.20687,0.64128,0.58456,-0.09022,-0.63585,0
-0.42106,-0.3218,-0.16765,-0.41422,1.27784,0.50972,0
3.39226,3.74401,0.28049,1.92326,1.04355,-0.51778,1
-0.399,-1.18646,0.18492,0.81522,-1.33736,-0.08307,0
-0.15934,0.31951,-0.43158,0.17111,-0.09276,0.95426,0
0.5785,0.57516,1.16406,0.3369,0.00537,1.35047,0
-0.99642,0.44372,0.70918,1.94549,-2.0499,0.82312,0
0.32612,-0.76551,0.55348,0.71594,-0.76795,-0.68645,0
-0.7764,-0.41496,0.74357,0.43932,-0.20388,0.22108,0
2.05868,-0.11096,-0.41261,0.23428,-0.24139,0.79428,0
0.03123,-0.02626,-0.06841,-1.90285,-0.31122,-0.90405,0
