f1,f2,f3,f4,f5,f6,f7,f8,alvo
-0.07088,0.66114,-0.37156,-1.27819,-0.21227,-0.0503,2.00727,-0.52927,0
0.13642,-0.45153,1.28006,1.29569,-0.13248,0.18874,-0.42016,1.52951,0
-0.79306,0.02214,0.27707,0.24512,-0.71509,-0.84904,-0.56124,1.34842,0
-1.07995,-0.43666,-1.37021,-1.49741,-1.88836,0.58668,-0.27235,1.22923,0
-0.17521,0.91341,-1.6749,0.03123,-0.83994,1.31086,-1.42762,-0.47274,0
0.3004,-1.82884,1.81432,-1.2715,-0.75974,-0.78704,0.49265,0.02959,0
1.02937,0.16259,-0.73041,-0.25875,0.57732,-0.80143,-0.20092,1.88139,0
0.86246,1.72422,1.06865,-0.71974,0.83334,-0.01883,1.17787,-1.92313,0
0.48892,0.03458,1.12252,-0.37834,0.11887,-0.57908,-0.35199,-1.34984,1
-0.02504,-0.22759,-0.74315,0.87423,0.08496,-1.66791,0.09156,-0.25184,1
-0.7841,-0.40492,1.05469,-0.38719,0.19059,-1.49318,-0.04932,2.41855,1
-0.22055,-0.3771,0.15042,-2.15204,-0.19009,-1.37617,-1.01413,0.47308,1
-1.07085,-0.76768,-0.28272,2.25502,-0.03273,-0.8609,1.01734,-0.15364,1
1.2525,-0.11007,-0.12205,-2.18082,-1.69836,0.86706,-0.01773,0.78431,0
0.75104,1.29429,1.17524,0.23352,0.0014,3.80886,-1.12371,-0.14918,0
0.26988,0.97041,-1.3227,0.87938,-0.26703,0.92435,-2.07047,0.96518,1
-0.43126,1.14596,1.12052,-0.89281,0.35966,-0.01059,-0.93789,0.3612,0
0.46817,-0.16648,2.2206,1.30347,0.74145,1.75146,0.32745,0.80213,1
-1.71047,-2.55744,0.28718,0.46717,1.31895,-0.78447,0.13388,-0.31185,1
-0.73177,-2.53091,0.93494,0.79172,-0.7462,1.3012,-0.92174,1.16788,1
0.98471,0.60757,-0.63303,0.11484,0.36664,0.7775,0.15289,-0.84229,1
-0.27863,1.93003,-0.0136,0.6827,-1.2724,0.6037,-0.54139,-1.09956,1
0.71753,2.19826,1.22438,1.42421,0.84422,0.80134,1.02721,0.38425,1
-0.09155,0.82991,-1.255,-1.21504,-1.56011,-0.00966,-0.90051,0.53926,0
0.4171,0.33298,-2.21781,-0.07673,-0.27047,-1.45591,1.06821,-1.24832,0
0.4154,0.32493,0.66973,0.55792,-0.85621,0.20034,-1.21575,0.03486,1
0.11413,-0.5649,-1.60876,-0.89057,-0.66961,-1.78895,1.58433,-0.7887,1
0.50797,0.59957,0.36711,0.68477,0.22286,0.55005,3.0014,-2.16625,0
1.36106,1.41685,-1.17888,-2.37787,-0.21072,-0.56627,-0.2777,0.46293,0
1.55999,-0.87043,-0.46628,-1.69239,-0.39088,-0.42544,-1.70593,0.06496,0
-0.26172,-1.33394,-0.14609,-0.22349,0.46014,-1.20686,-1.34023,-2.19836,1
0.4033,0.85979,0.74195,-0.69391,2.26631,0.6808,-0.15686,-0.75942,0
-0.36441,-0.24152,0.36806,-1.40846,-2.54353,1.57721,0.01939,-1.63788,0
-0.16906,-1.02106,-1.81073,-0.46758,-0.51591,0.79133,0.19962,1.39104,0
-0.10796,0.21906,0.19474,0.69308,0.85558,1.63458,0.83559,-0.52496,1
0.21211,2.1972,1.08979,-0.317,0.41107,-2.09839,0.28295,-0.71202,1
-1.39872,-0.93961,-0.08217,-1.14713,0.08006,-0.50931,1.881,-0.04806,1
0.41746,-0.22448,-0.98708,-0.71588,0.56187,-2.95146,1.71205,-1.25246,0
-0.37679,-1.03165,0.64477,-0.77801,-0.06985,0.90794,0.0084,-0.81387,0
1.68943,0.62354,0.87348,-0.93689,-0.23318,0.12917,-0.26554,1.24948,0
1.95279,-1.33369,0.3996,0.20687,0.23504,0.03924,-0.00718,0.04919,1
0.56013,-0.4682,0.65834,1.70216,0.28381,-0.01633,0.04266,-0.32513,1
1.18359,-0.56081,-1.20732,-0.21089,0.10437,0.18004,0.14093,-0.78401,0
-0.87118,-1.33662,0.45463,-1.23901,0.51444,-0.27263,-0.23023,1.27762,1
-0.62199,-0.26105,0.70646,-0.7275,-0.13191,-1.05075,-0.85437,0.82517,1
0.00739,-0.7835,-0.16955,0.25786,-0.21523,-0.43643,-2.19502,0.84317,1
0.96632,-0.86723,-0.78164,-1.38911,-0.65114,-0.95306,-1.23239,-0.24855,0
0.74358,-0.31689,-0.55814,0.49527,1.06933,-0.0235,-0.52156,-0.36422,1
1.51076,-0.64609,0.0146,-0.10768,-0.26783,0.04078,1.00403,1.92406,0
1.13651,1.06289,0.59734,-1.26421,-0.31328,0.11821,0.17856,-0.10211,0
-1.26676,-1.45468,-0.87772,1.71982,0.04475,2.123,0.69458,-0.38601,1
1.50995,-0.54713,0.52374,0.84338,1.33469,0.06608,0.00825,-0.85182,1
1.62306,0.53192,0.41647,0.30531,0.91177,0.85028,0.03737,-0.55453,0
-0.53092,1.38003,-0.25038,0.66914,-1.41662,-0.16002,0.42694,0.92305,0
0.45622,-2.20805,-0.75708,-1.18879,-1.75823,1.05805,-1.18317,-1.17653,0
2.12924,1.13786,0.79338,-1.23777,0.57567,-0.3895,1.61849,-0.95989,0
0.46573,0.49908,0.67816,0.24121,0.67715,-0.22957,-1.68203,-0.03947,1
-0.39888,1.2181,0.17788,-0.69101,1.48151,0.82615,-0.19034,-0.79905,0
0.23882,-0.59172,0.18727,0.10685,-0.20986,0.22857,2.2872,-0.37547,0
0.84662,0.06156,-1.728,1.00016,-2.69217,-2.24027,-0.36138,-0.7639,1
0.60298,-0.60191,1.60631,0.45054,0.1642,0.9203,-0.62155,-0.62246,1
-0.40814,2.69025,-0.14515,-1.1371,-0.0563,0.91887,0.79178,0.3764,0
-1.00137,1.15159,-1.28845,1.64783,-1.96584,0.33263,-0.95498,0.29903,0
0.39087,-1.18255,1.65502,0.53133,-0.65781,0.20549,0.62397,-0.53488,1
0.6521,1.10531,-1.6152,-0.79865,0.36632,0.40472,0.85825,0.71117,0
-0.58402,0.54905,-1.20023,1.09851,1.9776,0.7007,-0.93384,-0.40743,1
0.45864,-0.04207,-1.56498,0.47275,0.72506,0.48545,1.07975,-0.42564,0
0.47972,-1.93405,-0.35449,-0.40857,1.00697,0.89568,0.79624,-0.06088,0
1.1633,-0.31609,-0.7445,-0.76888,-0.3233,-1.23376,-0.85895,-0.01909,0
-0.74572,-0.97471,-0.62451,-0.89332,1.46116,0.91091,-1.13453,-0.68016,0
0.11404,1.04207,0.18116,-0.41216,-1.01589,-0.45224,0.73362,0.81404,0
0.64863,0.95157,0.61485,-0.71017,-0.12237,-0.26214,-0.24896,1.18818,0
2.16691,-1.45017,0.3752,-1.58658,1.57736,0.69144,0.75028,1.60367,0
-1.36401,0.62914,-1.59811,-0.54864,0.08439,-0.36789,-0.05841,-1.91348,0
-0.08798,1.51907,0.61605,0.53051,0.8896,0.43868,-0.95874,0.5808,1
-0.35455,0.08905,-0.9967,0.48641,1.23531,-0.83734,-0.67908,0.78487,1
-0.71435,0.70749,0.0287,-1.83377,-0.76894,0.132,-1.0974,2.01395,1
0.41499,0.69448,0.24103,1.10747,-0.97753,1.23269,-1.35681,0.26417,0
-1.41409,0.28392,0.16543,0.10107,1.1837,-0.38405,0.07337,-1.98891,0
-2.31664,-0.37364,-0.65251,-1.30367,-1.63547,0.27799,1.21081,-1.78015,0
0.51039,-0.43798,-2.06437,1.44803,-0.24885,0.04876,-0.58372,0.0347,1
1.94278,-0.1236,1.69881,1.67422,-0.62172,0.10498,-0.18423,0.41896,1
-0.89307,-0.14024,0.25859,1.35841,-0.62891,-0.15201,1.12424,0.7063,1
0.41018,-2.57768,-2.01363,-0.79238,0.09481,-0.36093,1.20035,0.24776,0
-0.62338,-0.60031,-0.23703,0.87994,1.27715,-0.7754,0.26594,0.15751,1
-1.81657,0.59307,-2.97395,0.86399,2.05179,-0.20973,-1.83762,2.07149,1
-0.01973,0.91977,-0.48807,0.02393,1.77624,-0.55015,0.45484,0.39155,1
-0.00307,-1.64388,-2.31018,-1.12397,-0.15573,-0.19304,1.5035,-0.93898,0
0.50142,0.65674,-1.11326,0.26902,-1.31148,0.9143,0.04068,0.52628,0
0.61977,-0.1448,1.06859,1.13853,-0.44241,-0.86158,-2.0319,0.63316,1
0.05089,0.20915,0.3083,-0.15309,-0.95954,2.26659,-1.46159,-0.9153,0
-0.32067,-0.17471,0.89741,-0.58363,0.13886,-1.41831,0.18284,-2.70742,1
1.1007,-0.30388,-0.56842,-0.50746,0.07929,-0.12038,0.25178,0.49343,0
-1.10366,0.49886,0.90542,-0.10742,0.13992,-0.13052,-0.85407,0.09304,1
0.78532,-0.64129,1.60608,1.21607,0.11395,-1.08862,1.00049,0.4523,1
1.6793,0.39413,0.25802,-0.37249,-0.07901,0.01064,0.3878,1.24494,0
0.01482,0.76877,1.87405,1.01017,-0.11449,-2.4253,0.662,1.53894,1
-0.2813,-1.97624,-0.45392,1.77785,-0.22592,-0.514,0.38042,-0.28634,1
-0.78786,-0.27881,1.51906,-0.1796,-0.52251,-1.01041,0.69778,-1.99972,1
0.88542,-0.2637,0.53875,0.59013,0.07705,0.72413,-0.32433,0.02371,1
-0.71569,-0.07586,-0.77179,0.18617,0.87395,0.29333,-0.64077,-0.09423,1
-1.42138,-1.90874,-0.83924,-0.19642,0.30606,0.34853,0.3665,-0.14965,0
-1.24861,-0.04143,0.54469,-1.40744,-0.73176,-1.29724,0.71013,1.48669,0
-0.48595,-1.03269,0.83863,0.52153,-0.84522,2.20014,-1.37832,-1.4622,0
0.13001,1.92027,-2.31707,1.66619,-0.91261,-0.65852,-0.03943,-0.5869,0
0.27079,0.53873,-0.10191,0.78126,0.40257,-1.92791,-1.26082,-0.32618,1
-0.66414,-1.17832,-0.23644,0.04906,-2.03265,-0.20604,2.17907,-1.02253,0
-1.10058,-1.30263,0.84765,-0.72745,0.65877,0.71104,-1.17152,-0.24276,0
-0.30881,-0.54064,-0.50714,0.80764,1.57891,2.23384,0.39877,0.30819,1
-0.57262,1.71401,1.26837,1.65712,1.75307,-0.13363,-0.04086,-0.99035,1
-0.21972,0.79792,-1.23469,-0.51957,-0.15042,0.72216,-0.0481,-0.08245,0
0.57646,-0.67802,0.16032,0.57583,-0.11118,-0.22459,-2.3055,1.11337,0
