x1,x2,x3,x4,x5,x6,alvo
-0.66007,0.82801,1.6186,-0.33963,-1.15596,-0.36526,0
-0.17353,-0.19823,-0.14384,-0.0249,0.02032,2.25473,0
-0.44248,0.50315,-0.31491,0.5115,1.91036,-0.18141,0
-0.03875,-1.05352,0.28666,-0.41432,0.25288,-0.58793,0
0.54688,0.40683,-0.09912,0.02653,0.01569,1.58522,0
-2.01918,0.79227,-1.4658,-1.22148,-0.17615,1.78753,0
-0.72625,0.41888,0.67238,0.46754,-1.67889,-0.59846,0
2.38856,1.02773,-0.18326,-1.12121,0.70934,-0.65517,0
-0.17859,-0.61661,1.15728,-0.19742,-1.76191,-1.22627,0
2.06905,-0.05469,0.14817,0.23369,-0.91824,1.05901,0
-0.67083,-0.21585,0.95578,1.56389,-0.73568,0.14735,0
0.85461,0.42957,-0.41751,0.13064,-0.26958,0.87516,0
-1.30279,-1.67534,-0.38794,2.22881,0.57621,0.00505,0
-0.25794,-0.1436,-1.39607,-0.71809,-0.81079,-1.31285,0
-0.04872,0.83117,1.14366,1.95503,1.74342,0.52195,1
-1.65979,1.03606,-1.89477,1.01221,-0.95101,-1.22743,0
0.12683,0.01291,0.61463,-1.29825,0.50492,0.21192,0
0.22179,0.84575,-0.51659,0.55691,-0.61295,-0.1775,0
2.35843,-0.46284,0.9466,2.24862,-1.83634,0.37696,0
0.67632,-0.891,-0.73088,0.4717,1.2781,-0.19206,0
1.20842,-2.1426,0.45977,0.02771,1.04403,-0.85549,0
0.45772,0.14616,0.06279,0.00851,-0.4868,-0.71497,0
2.10479,0.00395,-0.66401,0.17689,-0.70285,-1.41897,0
-1.15333,1.26217,-1.23216,-0.51096,0.80402,0.24171,0
-0.57165,-0.13938,1.1775,-1.76349,0.62853,0.44413,0
1.15643,-1.55014,-0.26633,1.52167,1.80766,-0.4237,0
1.63847,1.36192,1.13559,0.15816,2.54956,1.32444,1
0.17497,-0.42038,2.33338,1.50966,-0.14277,0.49023,0
0.55465,-1.22998,0.86425,0.88675,0.00836,-0.73758,0
2.89497,0.7939,0.14573,0.57112,0.51472,0.66345,1
-1.36725,-0.99075,-1.45141,-0.04066,-0.10812,2.38148,0
2.20713,-1.45698,0.87219,0.49326,-0.48977,-0.50031,0
0.50438,-0.27558,0.52932,-0.05881,1.38935,0.75466,0
0.22148,-1.13613,-0.2806,-2.20212,-0.45081,0.90275,0
0.83179,-0.96797,1.74299,1.52342,-0.37878,-0.13336,0
1.33373,0.40248,0.18869,-1.96211,-1.7922,0.60308,0
-0.10633,0.20247,1.62019,0.66741,0.30659,-0.72986,0
1.68105,-1.02115,2.15346,-0.05649,-0.37568,-0.69718,0
0.50961,-1.05112,-0.78102,0.23271,0.52437,-0.79508,0
-1.44371,0.01668,-0.04066,-0.22908,-0.91241,-0.82148,0
-0.34471,-1.05474,-0.13808,-2.69047,0.08301,0.67996,0
-0.22832,0.42165,-0.63128,-0.9367,0.22947,-0.47593,0
-0.55807,-0.80985,0.98028,-0.16167,-0.47324,-0.1377,0
-0.10923,0.6826,0.50991,-1.79146,-0.12979,-0.25139,0
-0.33734,-1.59689,0.79644,-1.5616,1.0164,1.14696,0
-0.29727,-1.45253,-0.59543,-0.35607,-0.65522,-0.41911,0
1.97299,-0.12419,-1.16613,1.49519,0.14271,-0.21196,0
-0.02502,-0.01143,0.35719,-1.49726,-0.20773,-0.17661,0
-0.65439,-0.96867,0.18906,0.9812,1.24146,0.62548,0
-1.58945,0.07384,0.29546,-0.09371,-1.87701,-0.59476,0
-0.7586,1.13798,1.27541,0.51305,0.11378,-0.9038,0
-0.57477,-0.05064,-1.43276,-1.20358,-2.29157,-0.34022,0
1.38312,1.96148,1.85275,1.4413,1.36149,1.47287,1
-0.32705,2.15225,0.82278,3.10957,0.40947,-2.72596,0
0.45093,-1.61441,-1.5513,-1.55752,-1.13993,-0.27327,0
0.97237,-1.43795,0.10566,0.00868,0.15278,-0.22441,0
-0.35464,1.3343,0.37356,2.52054,0.38896,-0.59116,0
-0.69721,-0.68185,0.38343,-2.16061,0.5574,0.51144,0
0.52024,1.11941,0.39697,0.3144,-0.12142,2.45914,0
1.47082,1.90884,0.42058,0.89215,0.22566,0.17025,0
1.49286,0.25472,-1.76726,-1.34249,0.48741,0.76628,0
1.52457,-1.60022,-0.3057,0.99259,2.18606,-2.00822,0
1.8708,1.61119,-0.35024,0.11936,-0.79762,0.19988,0
-0.35606,2.03863,-0.71238,-0.72752,1.80277,0.06598,0
-0.02287,-1.13879,-0.9253,-0.91549,1.89756,-1.17089,0
-0.88047,0.93756,0.68652,1.82196,0.04066,-1.6983,0
-0.03078,0.5078,1.04878,-0.75633,0.17416,0.48423,0
1.05694,-0.44542,1.84579,0.47262,1.09335,-1.80745,0
-1.0317,-0.4167,0.07114,-0.26519,-0.34027,0.73291,0
0.61151,-0.53253,-1.15673,0.44643,0.09202,-0.05818,0
0.93125,1.01072,-2.10086,1.54433,-0.29825,1.68562,0
