id_empresa,periodo,porte,margem,crescimento,endividamento,liquidez,superou_setor
E40,T07,0.48778,0.34147,0.43681,0.81689,-1.69947,1
E02,T15,0.69779,0.61465,0.56264,-2.32312,-1.02876,1
E39,T09,2.10064,0.28995,-0.83156,-0.93829,0.53649,1
E09,T01,2.83556,-1.01864,0.77494,0.70854,-0.33817,0
E18,T03,-1.42885,2.03306,-1.25195,-0.31355,1.06138,1
E11,T08,-2.53994,0.4827,-0.37766,-0.90349,0.92964,1
E36,T07,-5.07664,-0.09516,-0.13798,-0.31132,1.50033,1
E24,T14,-0.1233,-1.32377,-0.41467,-0.81862,1.35354,0
E23,T09,2.26764,-0.71784,0.98904,0.66884,0.1289,0
E31,T12,1.11497,-0.37588,-1.28468,0.79235,-1.04764,0
E30,T14,-1.01525,-0.88293,-1.00721,1.54833,-0.39319,0
E27,T02,-0.62525,-0.7556,1.46609,0.1209,-2.24342,1
E11,T13,-2.50344,0.5998,-0.31574,-0.37198,0.32565,1
E40,T10,0.50219,-0.81278,0.03475,0.78811,0.50625,1
E22,T06,-1.25212,0.7514,0.03815,0.48983,0.80869,1
E08,T01,-3.7177,-0.04225,0.03179,-1.51012,-0.08729,0
E04,T12,1.32208,1.0783,0.75302,-0.72976,0.01119,1
E07,T07,-1.45606,0.76324,-0.81475,1.04104,-0.09048,1
E07,T05,-1.49377,1.36073,-0.00041,-1.98428,-0.17592,1
E09,T08,2.84742,-0.33765,1.21371,2.12802,-0.29439,0
E31,T14,1.09883,2.06915,0.25715,-0.56024,-0.088,1
E15,T10,-0.4234,-0.21956,-1.46025,0.37979,0.37214,0
E05,T15,-2.36561,0.49171,-0.46495,-0.96595,0.798,0
E03,T10,-2.66093,-0.09393,-0.33735,-0.08267,0.74865,0
E01,T13,0.53432,2.6577,-0.14562,0.11604,-0.62617,1
E01,T08,0.53514,0.30477,0.3428,0.81138,-0.46812,1
E08,T10,-3.67531,-0.18792,-2.6461,-0.84867,-0.37747,0
E06,T15,2.05539,0.98617,-0.06851,-0.43996,-0.73692,1
E15,T07,-0.44794,0.57734,0.87561,-0.47515,-0.49688,1
E20,T12,0.97354,0.76998,-0.74696,0.46555,0.59729,0
E04,T14,1.28898,0.78859,0.47944,-0.56245,0.12014,1
E22,T15,-1.29057,-0.93395,-1.32148,-0.58956,0.16167,0
E31,T11,1.08153,0.00351,-1.66687,0.73348,-0.23054,0
E07,T09,-1.48083,-0.51755,0.33979,0.98472,0.19099,0
E19,T07,2.17375,-1.17055,0.72372,-1.89932,-0.06143,1
E28,T02,-1.51849,-0.94064,0.96108,-1.49503,-0.50343,1
E04,T07,1.29512,-0.43114,0.57922,-0.38591,1.82443,1
E20,T04,0.9699,0.01787,-0.60557,0.73673,2.02544,0
E20,T16,0.96223,1.12873,0.09541,2.55706,0.69196,0
E06,T13,2.05341,-0.22013,0.41522,0.0901,0.58989,1
E09,T11,2.86031,-0.16836,0.38255,0.69051,0.73139,0
E03,T11,-2.64597,0.16128,1.17762,-1.27676,0.14378,1
E14,T04,0.12484,0.5569,-0.92634,-0.10399,-1.71579,0
E03,T01,-2.62812,0.82416,-0.3382,-1.23635,0.63684,0
E02,T08,0.67676,-0.21216,-1.07785,-0.12525,-0.10838,0
E01,T07,0.54375,-0.0886,-0.25257,0.88439,-1.3777,1
E17,T03,-0.19707,-1.2264,0.09067,1.37124,1.49197,1
E18,T13,-1.42877,-0.52281,0.95863,1.88904,-0.69141,1
E31,T16,1.11924,0.15811,-0.42165,1.0558,0.58119,0
E17,T12,-0.17743,-1.34984,1.16521,1.28526,-0.65677,1
E10,T04,0.85589,-0.24734,0.70789,0.39078,-0.71706,1
E31,T04,1.1184,0.597,0.14488,-0.14966,-0.20984,0
E15,T12,-0.41572,-1.32546,-0.39263,-2.83252,-0.19864,0
E26,T12,-2.43542,1.40397,1.13922,-0.57042,-0.05696,0
E35,T12,0.12579,0.47116,-0.04775,-0.58198,1.06147,1
E18,T05,-1.45099,-1.03185,-0.20936,-0.06722,-0.68025,1
E26,T04,-2.4825,0.39983,1.39776,0.0671,0.40999,0
E03,T05,-2.61281,1.64622,-0.59258,1.53022,-0.81178,1
E27,T05,-0.6366,-2.65692,0.18583,0.0256,-0.11438,0
E32,T08,1.05964,-0.41048,1.12106,0.88656,-0.59392,0
E15,T11,-0.46235,0.98274,0.39902,0.8833,0.46081,1
E13,T02,2.14053,-1.03963,-0.45651,-1.40984,0.66088,0
E18,T14,-1.4687,0.50688,-0.786,0.47728,-0.68468,1
E27,T08,-0.61339,-1.44267,-0.7394,0.0595,1.05492,0
E29,T12,-0.24063,-0.33375,-3.10895,-1.54965,0.51222,0
E13,T04,2.13566,-0.40737,1.03713,-0.31067,-1.10558,1
E03,T04,-2.63716,-1.11644,0.85391,0.15822,-0.6384,0
E23,T04,2.2435,-1.45186,0.06066,-0.14304,-1.16226,0
E34,T09,0.12509,1.53303,1.02595,-1.02682,0.05565,1
E34,T07,0.10556,1.62425,0.89078,-1.18673,0.05596,1
E36,T05,-5.10101,-0.27162,0.50529,1.73454,-0.82057,1
E18,T09,-1.42402,-0.01266,0.24184,1.6773,-1.9964,1
E04,T13,1.31802,-1.83141,1.84852,0.12582,0.73179,1
E22,T10,-1.28551,-0.73937,2.14847,-2.12312,-0.94809,1
E02,T01,0.66808,-0.89033,-0.97662,0.13885,0.00503,0
E24,T04,-0.1328,0.45971,1.2647,-0.13402,-1.05624,1
E36,T08,-5.06604,-0.89277,0.80731,0.04041,0.2805,1
