f1,f2,f3,f4,f5,f6,f7,f8,alvo
-1.36246,-0.64992,-0.50839,1.45632,0.17211,-1.49428,-0.30606,-1.74054,1
0.79912,0.37617,0.48147,-0.00227,-0.73244,1.00799,0.37111,1.85316,0
1.04262,-0.14743,0.68519,-0.85855,-0.18752,0.50428,0.18266,-0.5847,0
0.32155,0.39162,-0.5719,-0.94535,-0.42646,-2.00895,0.09226,-0.38668,0
-0.0671,-0.59796,-1.24269,-0.15836,0.63073,-1.37946,1.96716,0.45669,0
0.24063,-0.49058,0.95914,-0.26245,0.48407,-0.46533,-0.72483,-0.32775,1
0.48487,-1.09044,0.6649,-0.43661,-2.43912,-0.97373,-0.77745,-0.0396,0
-0.09162,0.66894,-0.50218,0.45632,-1.36775,-0.90509,-0.4809,-1.43007,1
0.1755,-0.29463,-0.03928,-1.10934,-0.16488,0.86067,1.04192,0.53291,0
-1.13931,-1.15866,-1.7754,-0.45023,-0.39278,2.35093,0.67976,-1.36998,0
1.07074,-0.95515,-1.00333,-0.40134,-0.13777,0.50956,-0.10244,-1.19793,1
-0.51605,-0.83787,0.59075,2.35884,-0.25505,-0.06293,-1.38108,-0.46118,1
0.21054,1.32108,-0.38207,0.21502,0.76282,-0.96002,0.31108,0.30991,0
-0.25458,-1.71592,-0.09738,0.83857,0.46508,0.91943,0.00151,-0.86929,1
0.91276,0.98297,0.56864,-0.04275,0.67846,0.54458,-0.68466,-0.62504,1
0.11424,-0.56544,0.38817,0.09014,0.72875,-0.18192,0.24101,0.42858,0
-1.98402,1.73298,0.04221,-0.09641,-2.03766,0.61225,-0.15438,0.30374,0
-0.36144,1.19418,-0.12838,0.03073,0.76637,-0.73669,0.52227,1.91926,0
0.0111,-1.20464,-0.38106,-1.55471,1.28147,0.46495,-0.86245,0.29224,1
0.02991,0.97534,-0.23894,0.52071,0.26036,-0.29759,0.48773,0.35588,0
-0.05831,1.74211,0.72086,-1.57681,0.1093,-0.18494,-0.04499,-0.77414,1
2.04318,3.04671,-1.22591,1.34307,0.46152,0.10923,-0.4089,1.0322,0
1.0744,-1.24438,-0.74989,3.11417,0.15258,0.26668,0.62309,0.47742,0
0.00064,0.29339,0.9043,0.06799,0.96786,1.46687,-1.25522,0.36005,0
-0.18473,-0.21517,-0.61061,-1.19764,-1.56249,0.62678,1.08291,0.66041,1
-1.45371,-1.12276,-2.16389,-0.63794,0.91135,0.82601,-0.08411,-1.06309,1
-0.8124,1.68555,0.4661,-0.48213,-0.22097,0.66825,0.64106,1.77294,0
0.64093,-0.00098,-1.65047,0.80202,0.71248,0.50474,0.36982,0.48046,0
0.25638,0.15411,1.55223,-1.13279,2.26309,-1.71268,1.30964,-0.7074,1
0.06944,-0.73952,-0.50536,0.76031,0.04096,0.65421,2.45602,1.15727,0
-1.37515,-0.56202,0.74691,0.24125,1.15665,2.03694,1.34375,-0.29581,1
-0.12574,-0.19197,-0.2218,0.03546,0.72768,-0.57357,0.57078,-1.88546,1
-0.44195,-0.63429,0.44764,-1.20995,-0.70321,-0.57999,2.09959,-0.05393,1
-0.01452,-0.97793,2.12521,-0.18696,0.42147,0.32205,-0.68389,0.66768,1
-0.50866,-2.32499,-0.35249,-2.16282,1.26289,0.42993,0.01145,0.91819,0
-0.15614,-0.73535,0.61026,0.07426,-0.51698,-1.1955,-0.74279,-1.24532,1
-2.01791,1.39095,-0.75811,-0.46003,-0.51428,2.25496,-1.10139,1.00678,0
-0.0605,-0.35197,-0.86873,1.40444,-0.62538,1.3832,0.13495,1.75169,0
1.09265,-0.2548,-0.59359,0.06348,1.00271,-0.61711,-0.04784,-0.14477,0
1.30383,-1.22939,0.28942,-0.57112,-1.47856,0.24441,0.54042,0.77212,0
-0.65777,0.67298,0.60501,0.05683,1.44782,1.65326,-0.21638,1.14799,0
-0.59293,-0.40704,2.30959,0.65703,0.2594,-2.07133,-0.39138,0.84461,1
0.55089,1.86808,0.62579,0.15723,0.00129,0.1479,0.82011,-1.17545,1
-0.98041,1.48685,1.16244,-2.4457,-0.52945,-0.53897,-0.20312,-1.19586,1
0.87584,2.30443,-0.50196,1.13881,-0.24361,-1.10464,0.17177,0.47062,1
-1.23738,1.57446,-0.09708,-0.00441,-0.25931,0.70895,-0.65064,-0.36087,0
2.04925,0.90332,-1.71588,-0.03323,-1.65972,-1.29818,0.62578,-0.79237,0
0.87301,-0.76091,-1.68024,-0.76979,1.29649,-1.53283,-1.00277,-1.52957,1
2.08032,-0.05287,0.6499,-2.08838,-1.00604,1.07339,-0.0744,-0.49618,0
-1.31684,1.40324,-0.38835,-0.8952,-0.60257,0.65858,1.09898,-0.12096,0
1.81579,-0.25984,-0.24786,-0.73128,-0.6052,-2.30576,-0.10375,1.01217,0
2.31524,-0.73905,0.65218,0.43959,1.20028,0.63636,0.659,-0.48209,1
0.53398,0.14314,0.07668,0.10027,-0.86393,-0.62553,-0.03649,0.81387,1
-0.78112,-1.18469,-0.02194,1.14337,0.46436,1.28069,-1.69687,0.18489,1
0.11384,1.32295,1.37169,0.88352,-0.3494,1.6265,1.15855,1.67422,0
1.21209,-0.78343,2.84051,-2.72468,-1.71395,-0.03612,-0.51013,0.49376,1
-0.43278,-1.69012,-1.83852,-0.38459,-1.33954,-1.15932,-0.64414,1.70067,0
-1.32028,0.07385,-1.95616,0.35732,1.09784,-0.50688,-0.83059,0.46185,1
0.15973,-0.09687,-2.09029,1.04085,-0.75317,-0.84564,-1.03231,0.56549,1
-2.25325,-0.51243,-1.7131,0.19878,-1.08118,-0.51732,-0.44141,1.05635,0
-0.14891,0.60169,0.87085,0.0731,-1.07217,0.31131,-0.50122,0.11399,0
-0.77648,-0.21124,-0.75675,-0.09467,2.43296,0.77493,-1.81164,0.33791,1
-0.24397,0.31462,-0.86432,1.64575,-0.27941,0.0209,-0.08949,1.64195,1
0.65377,0.21248,-0.80975,0.77234,-0.84265,-0.14803,1.13081,0.9838,1
1.14449,0.68184,-0.53073,-0.503,-0.36156,-0.13223,-0.2157,1.57764,0
-0.5432,0.19008,-0.56041,0.10397,-1.16905,0.66852,-0.37425,-2.11468,1
1.90499,-0.83058,-1.17421,1.68597,-0.24228,-1.07859,0.16409,-0.38969,1
-0.28808,-1.49876,-0.23825,-0.70949,-0.71838,2.18363,-1.11925,-0.80475,0
1.17718,0.66777,1.55676,2.27995,0.43857,-1.80095,0.81516,-0.15531,1
-0.33491,-1.08065,-0.35905,-2.27465,1.33294,-0.57421,0.84648,-1.01084,1
0.79859,0.51145,-0.86628,0.44904,-0.3389,-0.05101,0.81591,-2.18986,1
-1.23056,-0.81214,1.42338,0.18993,0.35726,1.65784,0.657,1.48966,0
-1.16318,-0.22502,-0.27622,-0.16122,-0.36753,0.44147,0.61795,0.9157,1
0.23687,1.36711,-0.05438,-0.56565,-0.44816,-0.76885,2.10183,0.88535,0
-0.35641,1.18409,-0.35709,-0.6063,0.63091,0.59955,0.77739,-0.29896,1
-1.34937,-1.44611,-0.6976,0.16433,-0.3104,-0.67117,-1.95039,-0.46134,1
-2.03308,0.05366,-0.73,-0.78795,-1.4419,1.19194,-0.11114,-0.09606,0
0.0819,0.96408,0.84195,0.0678,-0.40055,0.95197,0.8427,0.17468,0
-1.31154,1.11434,-1.48563,-1.18889,0.95909,1.00119,0.21823,0.30923,1
-0.16029,1.73844,0.08304,0.42154,1.19448,-0.75411,1.40707,0.43798,0
-0.20054,0.21193,-0.95437,0.83459,1.28472,-0.56548,-0.06688,0.65548,0
1.49426,0.29694,0.98752,-1.49863,0.24081,-1.00661,-0.87439,-0.10191,0
