x1,x2,x3,x4,x5,x6,alvo
-0.68745,0.32371,0.77194,-0.01046,0.39408,1.73646,0
-0.15379,-0.89309,-0.01241,-0.90804,0.84792,-1.74935,0
-0.22476,-0.50858,1.43205,0.57271,0.07688,0.6711,0
0.52654,0.049,0.01154,0.45283,-1.17434,-1.24199,0
1.84204,-0.16338,1.1034,0.61598,0.19302,-0.34364,0
-1.08075,1.36357,-1.02512,0.96246,2.15165,0.43742,0
-1.26567,-0.93732,-0.41584,1.8833,-0.49806,0.57499,0
-0.6173,0.82254,-1.00181,-1.14249,1.21088,0.29339,0
0.39929,-1.17305,0.02368,-0.05382,0.85252,1.14107,0
0.59571,-1.38388,0.65937,-1.53684,-1.4879,1.05475,0
-0.13252,0.77183,1.99295,1.46927,0.83259,-0.34734,0
0.4425,0.58067,1.43529,-2.269,-1.30383,0.40769,0
-1.80267,-1.33075,0.77619,1.68167,-1.13933,-1.64733,0
0.08296,-1.16319,0.24327,-0.27841,1.19635,-0.87997,0
0.32024,-0.58946,0.07599,1.56651,0.86666,0.60235,0
-0.66019,-0.77452,-0.37323,-1.01856,1.56143,-0.20862,0
-1.8334,-1.08362,-0.99912,-0.59661,-0.54388,0.60809,0
0.06658,0.33464,-0.05516,-0.3977,-0.46765,-0.06644,0
0.7798,1.06378,0.0643,1.59113,-0.13384,2.15565,0
-1.4417,1.45405,1.46374,0.98856,0.60248,-1.67421,0
0.58077,-2.11476,1.92119,0.36622,0.13955,0.52122,0
1.77729,-0.0585,-0.93613,0.65889,-0.4441,-1.90331,0
0.08252,0.53986,-0.20255,-1.851,2.44548,-0.40504,0
-0.46308,-0.63976,-1.43536,-1.45989,2.19902,0.01285,0
0.73887,1.11415,-1.50289,1.32615,0.17929,-0.47426,0
0.6019,0.90378,-0.27908,-1.21197,2.09796,-0.38053,0
-1.21847,0.30285,1.35771,-0.77894,1.86312,-1.22832,0
1.69861,0.10933,-0.31898,0.06058,-1.80699,-0.00756,0
-0.10005,0.67522,1.03941,0.85739,-1.44472,-0.38468,0
-2.45021,-0.70265,0.70893,1.53388,0.74455,-0.76853,0
-1.67202,0.50407,0.03467,-1.24052,-0.54498,0.27987,0
0.43622,-1.03778,0.66088,1.54002,0.66993,-0.40151,0
-0.9169,-1.44091,1.8561,-0.76581,-1.53331,1.06068,0
-1.17147,-0.20411,-0.81606,-0.00713,-2.25537,-1.06418,0
0.54039,2.31629,0.35922,2.13684,1.3409,0.44325,1
0.75379,-1.62424,1.00066,-0.02572,1.08059,-0.28551,0
0.12178,0.01264,-0.82154,-0.00395,1.94759,-0.36872,0
0.25666,0.19445,-2.00971,-0.32883,-1.23881,1.3757,0
-0.46452,0.3241,-0.45057,1.60234,0.01006,0.4745,0
-0.42927,0.18298,0.82283,0.21431,-1.11726,0.14411,0
1.65358,1.03386,0.52772,1.11486,-0.12931,-0.17239,0
-0.8462,-0.52769,-1.58507,-0.31016,0.75676,-1.33983,0
0.85142,-1.68585,-0.01848,1.79714,0.88369,0.69912,0
-0.99353,0.37245,-0.34485,-2.07862,-0.87764,-0.7701,0
-1.82652,-0.11709,0.76881,1.20064,-1.06767,-0.88444,0
0.00775,-0.81894,-0.10065,0.68164,1.14229,-0.64505,0
-0.34311,-0.58638,0.63964,-0.66339,1.65841,-1.27257,0
0.56622,-0.02841,-0.80552,-0.50137,-0.29597,-0.46434,0
-0.06469,-0.43006,0.21066,0.28136,0.95878,-1.02578,0
0.5429,-0.21961,-0.18159,-0.58848,0.18641,-0.09795,0
-0.14819,-0.80113,0.2275,-0.34737,-1.05948,-1.33028,0
-0.28699,-0.95437,-0.09857,-0.50604,1.93727,-0.41947,0
-0.68876,0.64133,-0.56471,0.27668,-0.927,-1.02059,0
0.04692,1.22661,1.84432,1.34389,-1.10451,-0.86754,0
1.65593,0.9429,0.31428,-0.7486,-1.54491,0.2548,0
-0.31364,-0.02061,-0.47648,0.33184,-1.20948,-0.14885,0
-0.65038,-1.67488,1.43246,0.46254,0.37142,-0.08909,0
-0.39794,-0.9838,-0.85076,0.70313,0.11362,0.05915,0
0.12548,-0.87518,0.30613,-1.01713,-1.51462,-0.24384,0
-0.8269,0.6546,-0.6162,1.13725,1.72927,0.49524,1
-0.86612,0.39479,-0.30895,0.97585,-0.44495,-0.60751,0
-0.47068,-1.30368,-0.53499,-1.03326,0.93097,0.08157,0
2.44056,0.31014,0.41481,-0.3352,-1.41139,1.71502,0
1.79746,-0.05538,-0.25851,0.40054,-1.28305,0.10135,0
0.53714,2.3065,0.70088,0.67812,-1.22896,1.27474,0
-1.18955,1.0544,0.09158,1.15211,-0.90306,1.20627,0
0.10443,-0.16418,-0.56588,0.60383,-0.36051,1.76322,0
0.295,-0.64586,-1.96831,1.62583,1.03264,-0.48789,0
1.03364,-0.00992,1.09407,3.56801,-0.38682,0.6627,1
-1.77554,-1.13681,0.29094,-0.80425,-0.30354,-1.03692,0
0.80807,0.42768,0.68735,-1.36233,0.36065,-0.13326,0
1.11039,1.45395,0.91699,0.17586,2.4554,0.47016,1
-1.87511,-0.83766,-0.89723,0.55393,1.69145,0.80866,0
0.23994,-0.60593,0.70078,0.53563,2.39499,0.43879,0
0.53998,0.90809,0.77182,-0.06255,1.26218,-0.18301,0
0.7208,-0.26445,-0.71836,-1.93007,-0.14603,1.5803,0
0.97785,0.47,-0.23104,-0.15277,-0.33325,-0.70836,0
-1.29845,-1.08176,-2.56089,-0.09369,-2.29232,-1.1964,0
0.1928,-0.29625,1.61246,0.62706,-0.10131,-0.06716,0
0.00582,1.01848,0.54738,-1.0725,0.80776,0.02546,0
-0.35954,-0.59508,-0.29202,-0.34478,0.64665,-0.59212,0
-0.62506,-0.11013,-2.54351,1.65246,-0.01845,0.77663,0
-2.37743,-0.74083,0.68383,1.44313,-0.62027,1.63034,0
-0.37852,0.56069,1.37425,1.51438,0.72162,-1.28972,0
1.30897,-0.16341,-2.40568,0.9144,1.55834,-1.34809,0
-0.1549,-0.17922,-0.45765,-1.36119,-1.27787,1.1123,0
0.37547,-0.97068,-1.06645,0.46899,0.108,-0.43406,0
