v001,v002,v003,v004,v005,v006,v007,v008,v009,v010,v011,v012,v013,v014,v015,v016,v017,v018,v019,v020,v021,v022,v023,v024,v025,v026,v027,v028,v029,v030,v031,v032,v033,v034,v035,v036,v037,v038,v039,v040,v041,v042,v043,v044,v045,v046,v047,v048,v049,v050,v051,v052,v053,v054,v055,v056,v057,v058,v059,v060,v061,v062,v063,v064,v065,v066,v067,v068,v069,v070,v071,v072,v073,v074,v075,v076,v077,v078,v079,v080,v081,v082,v083,v084,v085,v086,v087,v088,v089,v090,v091,v092,v093,v094,v095,v096,v097,v098,v099,v100,v101,v102,v103,v104,v105,v106,v107,v108,v109,v110,v111,v112,v113,v114,v115,v116,v117,v118,v119,v120,v121,v122,v123,v124,v125,v126,v127,v128,v129,v130,v131,v132,v133,v134,v135,v136,v137,v138,v139,v140,v141,v142,v143,v144,v145,v146,v147,v148,v149,v150,v151,v152,v153,v154,v155,v156,v157,v158,v159,v160,v161,v162,v163,v164,v165,v166,v167,v168,v169,v170,v171,v172,v173,v174,v175,v176,v177,v178,v179,v180,alvo
2.39577,0.15339,-0.50168,2.0609,0.34821,-1.59922,0.00861,-2.11377,-0.28191,1.56323,0.75049,0.09464,0.29761,-0.08127,0.85145,-0.90621,0.8506,-0.19903,-0.46045,0.72243,0.05591,-0.37563,-0.09615,-1.04038,0.1264,0.45422,0.77866,-0.80769,-1.28133,-0.52871,0.4196,-1.36192,0.80915,2.25929,-1.20444,-0.77522,-0.22073,-0.23305,-1.268,-1.64355,0.37767,0.05671,1.05788,-1.02209,2.51641,-0.81748,-1.25219,1.05789,0.39461,1.93252,0.30287,0.52652,-0.15768,1.08313,-1.92189,-0.09429,1.21617,-2.29524,0.52351,-0.50588,0.62562,-0.79781,-0.33131,0.17796,1.41174,-0.05461,-0.51163,-0.04755,0.43754,-1.03568,-0.20019,-0.87168,0.90309,-0.5629,0.9204,0.79297,0.37793,-0.21435,-1.4226,0.05284,-0.11491,-0.03545,0.46028,0.44245,-0.78915,0.90921,-0.31626,-1.32699,1.8547,0.19268,0.79548,0.90059,0.34946,-0.30921,-0.57033,-0.80411,-0.15308,-0.92984,0.1646,0.69729,-0.14924,0.68066,0.01997,0.06645,0.69336,-0.22112,0.76627,0.04333,0.42303,0.72789,-0.48066,1.37024,-0.82663,0.2151,-0.84436,-0.28733,-0.10195,-0.71643,0.12533,0.36021,0.3393,-0.27139,0.4313,0.77845,0.5347,0.86793,-0.67254,-0.35306,-0.01293,-0.17784,1.4363,-1.69159,0.00738,-0.38437,-0.73199,-1.08699,0.34772,-0.5559,0.03561,1.22481,-1.43981,-0.98286,0.61621,-0.5572,0.76169,0.69235,0.56252,-1.22048,-0.79244,-0.13348,0.01977,0.05693,-0.24368,-0.13473,-0.33796,0.14627,0.43293,0.23915,0.10075,1.909,-0.63307,0.4436,-0.01918,1.90812,-0.87284,-1.09246,-0.46286,0.04645,-0.53403,-1.17269,-0.24911,0.2823,0.26347,-0.13607,0.07561,1.01799,0.34878,1.60612,0.03623,-0.45014,1
0.05757,-0.75871,-0.45604,3.14244,-1.386,-0.98223,1.15909,0.58204,0.41139,-1.11283,-0.61093,-0.77378,0.51887,0.68734,2.08174,-0.45807,-0.27361,0.39611,1.30554,-0.15407,-1.19469,-0.09869,0.02716,0.37674,-0.15313,0.49068,-0.22974,0.45587,0.66979,-0.22981,0.59778,0.84159,0.96825,-0.45523,0.69808,-0.05122,0.15767,0.25518,0.76564,-0.33685,-0.0276,-1.39709,0.2855,0.31887,-1.13856,0.23737,-2.1886,-0.79109,-1.81827,-0.04209,0.07502,0.43202,-1.36395,0.31844,-0.38619,0.07675,-0.34916,-0.5482,-0.28786,0.06262,0.4533,2.52382,0.908,1.4822,-1.17482,-0.53273,-1.05803,-1.66858,0.69396,0.12117,0.27656,-0.69353,-0.28134,-0.61964,1.16862,1.86949,-2.23817,0.23861,0.01062,-0.70666,0.24777,-0.33601,-1.05912,-0.12903,0.70829,-0.33687,0.28969,1.74613,-1.22013,-0.0319,-0.29311,-1.53402,0.23737,-1.34696,-1.30797,-1.20969,-1.40415,0.15802,-2.30733,1.52564,-1.752,0.65985,0.06973,0.07807,1.36766,1.45095,0.65779,-1.98304,0.70297,-1.40693,-0.67901,0.60884,-0.46217,1.45374,-1.56744,-1.22104,-1.24428,0.11566,0.30598,-0.31789,0.6993,-0.28271,-0.5673,0.40751,-1.16524,-1.31991,-0.32361,-0.69213,0.83905,1.43001,-1.05381,0.45254,-0.33285,-0.16714,-3.15165,0.00334,-0.18193,-0.44771,1.09964,0.437,1.31693,1.06862,-0.04549,1.50547,0.05424,0.33355,0.82708,-0.41336,1.0112,0.93108,0.63745,0.36641,-0.28955,0.2026,-0.17266,-0.8162,0.01303,-0.42336,-0.64625,-0.03439,-0.6438,-1.21464,0.77122,-1.84544,-0.45334,-0.1712,1.30369,-0.76056,-0.36134,-0.14442,0.35319,-0.65692,-1.84731,-0.54503,1.48525,0.78154,-0.81576,-0.12484,0.46636,0.8578,1
-0.56388,0.07296,0.8455,0.27348,-0.19486,0.77727,-0.38242,0.8838,-0.56457,0.5739,-0.9746,-1.06944,-1.17247,1.37346,0.42844,0.77699,-1.29685,0.81543,-0.0309,0.84513,0.13786,0.49249,1.51851,-1.03985,1.19469,0.2247,-1.40552,1.43872,0.41345,-0.0306,-0.80736,-0.41455,-1.03577,-1.69205,-1.38223,-0.50109,0.62357,-0.67322,-0.26634,-0.7566,0.68842,-1.53042,-0.2769,-1.74703,1.22685,0.33747,0.60593,-2.09554,0.75934,-1.84709,0.45544,-0.02128,0.64485,-1.59272,0.18216,0.19778,1.50716,-1.31196,-0.80402,0.34034,1.41626,0.85351,-0.61464,0.37688,-0.38455,0.19285,1.30942,-1.17813,-0.04537,-0.58129,-1.29321,-0.20209,1.21163,-0.56831,0.10373,-1.12369,-1.30049,-1.42443,-0.8691,-1.82055,0.15736,1.0267,0.17842,-0.0867,-1.29207,0.43687,0.65114,-0.66373,0.89205,0.31438,-1.58104,-1.33122,-1.39569,-0.36197,-0.19893,-0.93326,0.47276,-2.08109,0.5852,-0.33717,1.7354,-0.2391,-1.04757,0.68581,-1.24293,2.24149,-0.68039,-0.39023,-2.41658,0.19648,0.12976,-0.1014,-1.20467,-1.23666,0.75886,-0.88226,0.44405,0.96484,0.66423,-0.97248,1.7949,-0.27841,-2.08735,-0.16468,2.77107,1.43159,-0.00771,-0.48183,0.91898,-0.05555,-1.02306,-0.54126,-1.53447,2.04236,0.86512,0.62864,-1.27369,-0.22823,0.4079,0.38205,0.08175,0.58082,1.15252,-0.08281,-0.94941,-0.35045,0.07109,0.81105,-0.15591,-0.8805,-0.69271,1.02238,-0.68371,0.42003,-0.00371,0.08468,-1.54351,0.6714,-0.51269,-0.5025,0.88276,0.36888,-0.64915,-1.00017,0.89235,0.35006,0.08705,0.16277,-0.35149,-0.41121,2.00939,1.1821,-1.25398,0.71126,-0.29307,0.09045,1.52019,-0.6409,-0.10209,-0.00603,1
0.56049,-0.40188,0.11968,0.15317,-1.19036,0.27668,-0.40994,-0.79977,1.78294,0.27864,0.96867,-0.69092,1.44523,-0.75921,0.39817,-0.78167,0.66055,0.35358,-0.18892,0.10461,0.00713,0.10707,0.36017,0.3159,-0.83406,0.19666,-0.47188,-1.23483,0.13275,-0.09059,-0.16863,-1.38218,-0.25911,-0.98396,-0.74225,0.58842,-1.49783,-2.08945,0.32391,-0.30721,0.92605,-0.46919,-0.47751,0.23009,-0.44755,-1.31606,-0.08459,0.81139,-0.44973,-0.44921,1.46498,0.71339,-0.48023,-0.13157,0.70819,-1.03609,0.4941,-0.66576,1.48015,-1.00522,0.92021,0.57105,-0.19678,-1.21621,0.95586,0.09953,0.56926,-0.85276,-0.08127,0.10753,-0.8408,0.4283,0.23462,-0.36096,-1.23499,0.60069,-1.56273,0.21452,-0.25961,0.56876,0.70055,-0.87175,1.97992,-0.21441,-0.28228,0.50377,-1.77003,2.22731,-0.5105,1.44754,1.24511,1.47582,0.54126,-2.09634,-1.39098,-0.40878,-0.63587,-0.3719,0.21899,0.63317,0.20198,1.23402,-0.40375,-1.31614,0.12168,1.55866,0.51958,0.2617,0.44012,-0.51793,-0.27378,-0.71264,-2.0633,0.11235,-0.41871,-0.16128,0.0669,-0.57963,-0.44603,1.63492,0.5049,0.57105,-0.44152,-1.13028,-0.60231,1.5679,0.25115,-1.68608,0.56178,-2.74142,0.64655,-2.01465,0.7187,-0.08675,-1.34995,0.31642,-1.77745,1.32125,1.20939,-0.58936,-0.86583,0.4212,0.99695,-1.4836,0.57203,0.65094,-0.26758,0.79006,1.04663,-0.72108,0.87633,-0.87867,1.18631,1.79588,-0.76377,0.08401,-2.65509,-0.49187,0.41426,-0.32694,-0.18571,-1.35366,-0.85884,-0.92693,-0.07857,0.20795,-1.54045,-0.9231,1.40943,0.32139,0.97537,0.27204,-0.7272,0.33253,-0.43431,-0.51321,1.28144,-0.69555,1.26439,-0.12664,0
0.55707,0.46556,-0.00739,0.62261,-0.12569,-0.81381,-0.00563,-0.86631,1.90524,-1.22017,-1.93966,-0.46051,-0.37974,-1.06322,-0.44543,-0.94614,-0.81596,-0.3934,-1.56776,1.52565,0.12865,-1.58885,0.1236,0.26147,1.67683,1.26962,2.08768,0.26681,-0.79503,-0.48624,-1.07477,-0.13854,-0.25346,-1.398,0.23238,-0.94259,0.72393,-2.34967,0.01274,0.22266,2.05911,0.44385,-0.47991,0.74429,0.36487,-1.38088,-0.33154,3.05547,1.87568,0.80308,-1.15124,0.39736,-0.62312,0.55482,-0.91788,-0.2868,1.5742,-0.24246,-0.56236,-0.29685,-0.16461,1.05325,-0.36226,-0.00328,0.29169,-1.28136,-0.09913,-0.67512,0.19012,0.66573,1.52762,2.31888,0.99393,-0.32542,0.55514,-0.57846,0.58456,-2.0781,0.84078,-1.18721,0.29078,0.15426,-0.74496,1.63027,0.00786,-1.3308,-0.23592,-0.2128,-1.18299,2.1456,-0.14459,1.21333,-0.56611,-2.61961,1.23236,0.69489,0.06528,1.22502,-1.41235,0.85088,-0.55604,0.18289,-1.50414,1.29064,-0.82333,-0.4102,1.08593,-0.15162,-0.35103,-0.50028,-0.4121,-2.7841,-0.26572,-0.70023,-0.42918,-1.92492,-1.6946,0.09494,1.8616,0.12832,-0.47996,1.06506,2.59595,1.39035,1.02329,-1.40883,0.08801,0.23013,0.73813,1.91311,0.29702,0.37813,-0.35713,-0.01275,0.50026,-0.40259,-0.27161,0.64371,0.62833,0.50861,-1.15951,0.55159,1.04419,0.6701,0.99831,-0.47234,-0.41462,-1.58689,1.67192,0.71886,1.75876,-0.28789,0.13667,-0.14762,-1.19175,-0.4892,-0.50294,-1.78609,-0.64796,0.90837,-0.06991,3.09774,1.47338,0.85408,-0.10078,0.69549,-1.07942,0.10827,0.60843,1.0877,-0.47633,-1.55573,-0.54349,-0.20355,1.11704,0.49189,-0.56111,1.05135,1.163,-0.76291,0
0.75031,0.09611,-0.45441,0.67567,-0.77494,0.73679,-0.5819,1.386,0.71598,-0.07554,-0.83742,0.14266,-0.33646,-0.46091,0.15851,-0.35505,0.57817,1.24993,1.05489,-0.11007,1.46557,0.21522,-0.91547,1.15519,-0.48002,-0.68706,-0.08501,-0.67807,1.66139,0.53523,0.40094,-0.4503,0.11515,0.24177,1.55038,1.92408,-0.93309,-0.05759,0.15249,-0.2291,-1.83874,0.77026,-0.40205,-0.19472,-0.62672,-1.53575,1.48036,-0.93087,2.27532,0.03896,-1.21442,-0.26902,0.25521,1.745,-0.12211,-0.10091,0.55733,1.08711,0.63793,-0.00482,0.17396,0.66245,0.01247,0.25032,0.55341,-0.45224,-0.0436,-0.42754,0.87986,-0.76756,-1.34491,-0.15092,-1.62299,-0.75619,0.83497,1.28692,1.20348,1.12717,0.86644,-0.134,0.49952,0.08475,0.65324,-0.72594,0.36694,0.20758,0.34493,-1.6221,0.08374,0.37415,0.87528,-0.11627,0.10102,-1.07092,0.90292,-0.07283,-0.32119,-0.61187,0.97629,-0.55894,1.85192,0.37623,-0.80516,-0.45385,-0.47639,0.34918,-2.0727,1.71128,-0.71273,-1.6322,-1.14486,-0.61216,0.38087,-0.71661,0.6743,1.24559,-1.23221,-0.29102,1.20178,-1.18881,-0.20603,0.36273,0.54199,-0.08875,0.30453,0.23461,-1.46135,-0.15883,1.00036,-0.72861,0.35669,2.09516,0.55234,0.7046,0.14282,0.16425,0.27753,-0.11475,-0.31624,0.12403,1.14872,2.47554,0.78331,0.64973,0.19915,0.72863,1.59241,-0.21884,0.08947,-0.57957,-0.60514,-1.75236,1.47016,-0.29007,-2.35394,-0.31522,0.90411,-0.71697,-0.42266,-0.68594,-0.14411,0.17471,-0.66238,-0.02663,-0.6998,0.49377,-1.50744,-0.95209,-1.05848,-1.00471,-0.31376,-0.31189,-0.50859,0.0557,1.3085,0.36819,-0.94157,-0.47557,0.14705,0.09318,0
2.10934,-0.70686,1.31118,0.01124,1.12584,1.08197,-1.22721,0.14823,-0.30455,-0.51042,-0.17937,0.00328,0.80264,-2.67869,0.47102,-0.60034,1.63457,0.36081,1.11888,0.50175,0.04762,0.50087,-1.58422,-1.05189,1.12848,-0.21357,0.72587,0.97274,1.69657,0.79161,0.21939,0.74422,1.11016,-0.76091,-1.05921,1.29535,-0.51686,1.10228,-2.05325,-0.92278,0.27646,-1.74286,-1.51434,-0.89604,-1.40857,-2.39989,-0.81061,-1.07864,-0.76066,-0.62986,0.41299,-1.88135,0.74476,-0.53948,-0.40143,0.22058,-0.72922,0.59337,-0.12489,0.48328,0.56945,1.77982,-0.52558,0.11671,0.30581,-0.27287,-0.31006,-0.94953,-1.27791,-2.34809,-0.26579,1.5071,-0.8767,-1.61574,-0.89795,1.03874,-1.02156,0.4071,0.24092,0.37362,2.0738,0.76713,1.4653,-0.86128,-1.68335,0.75509,1.3997,2.35877,0.38368,-0.35955,0.14574,0.16174,-0.09176,0.66329,1.18107,0.93668,-0.8639,0.73048,0.12386,1.63546,-0.20008,-0.1108,1.59833,0.29571,1.04344,0.68953,0.59597,0.58056,-1.04553,0.01569,-2.60141,0.28179,0.63678,0.08152,0.5438,1.03541,-0.77964,0.38569,0.47628,-1.06373,0.0641,-0.36366,-0.6118,0.23009,-0.10737,0.36289,-0.57284,-0.30154,-0.56075,0.68187,1.01486,-0.45705,0.29471,-1.13768,-1.35899,-1.6471,0.25462,-0.75591,1.10187,0.44392,0.64184,-0.20792,0.68435,-0.21711,2.01488,-1.17359,-0.82794,1.99744,1.50955,1.42164,0.73457,0.55147,-1.38402,0.9931,-0.53891,0.25965,0.75569,-0.34226,-0.74253,0.99751,-1.50368,-0.6141,0.6513,0.3787,-0.15594,-0.23038,-0.01568,-0.58753,-0.79598,-0.49391,-2.19168,-0.01661,0.50821,0.45473,-0.68584,1.06496,-2.74544,1.77597,0.67628,-1.01681,0
-1.77678,0.34964,1.32334,0.19785,-0.60347,-1.06233,-1.95236,-1.00131,-3.06397,-0.09163,-1.61925,0.51755,0.70477,-1.60914,0.57151,-0.10992,-0.05558,0.18134,-0.60685,-1.6188,0.71141,0.54562,-0.90636,-0.6192,1.16579,-0.05419,0.06051,-0.53223,0.73146,0.43026,-0.33164,1.46185,-0.61775,0.20936,1.04877,-0.58767,-0.23755,-1.71719,0.21487,-0.3266,-2.87507,-1.26548,-0.60909,-0.57562,-0.32379,-0.67969,-0.01265,0.18473,1.10051,0.68232,-1.78919,-1.53175,-0.3113,1.08963,-0.03801,1.40228,0.1285,-0.68102,-0.96813,-0.16299,-0.78267,-1.36744,0.74716,-1.29065,0.17645,-0.9957,-0.87273,0.33368,-0.40569,-2.04142,0.14785,-0.10983,0.7163,0.74377,0.00071,3.1183,0.91354,1.16519,1.71863,0.69249,0.3245,-0.17694,0.54578,-0.20414,-0.27244,1.25629,-0.18854,1.3416,1.13019,-1.7666,-0.49299,-0.395,1.48361,-0.34506,1.04248,-0.60679,1.45933,-2.16729,-0.48596,-0.02817,1.98857,-0.41531,-0.80722,0.84435,1.98619,1.08434,1.61865,-0.89434,-1.44001,0.76844,-2.00995,0.12834,0.75937,-0.65414,-0.00722,-0.41317,0.81619,-0.87204,-0.70124,0.89386,0.62939,0.07887,0.29579,0.42029,-1.17718,-0.78189,0.17026,-0.20836,-0.80644,-1.88586,-0.41251,2.06176,0.84143,-0.4575,-1.20225,-0.57153,-0.05817,0.66514,-1.00553,0.98935,0.52269,0.9411,-1.26778,0.33256,1.31763,0.81393,-0.65213,-0.63337,1.07279,1.15843,1.38274,0.44977,-1.62991,0.32128,-0.02073,-0.7949,1.55447,-1.36213,-1.90782,0.23115,0.13521,-1.02591,-0.78521,-0.02881,-0.55058,-1.35197,-1.61623,-1.32584,0.63176,0.25562,0.0253,0.03612,0.28633,-0.76778,1.21262,0.27453,0.28436,-0.18088,0.37459,-0.66651,1
-0.6447,0.0833,0.60459,0.46282,1.03975,1.07324,-0.43369,-1.08034,0.17653,0.34398,-2.4753,0.04606,-0.4306,-1.56044,-0.73205,0.01772,-1.01365,1.24645,0.45567,0.11385,-1.47784,1.04062,-0.6523,-0.59893,-0.60072,-0.39143,-0.54837,-0.92158,-1.89129,-2.61696,-0.71595,-0.83197,2.16992,-0.09232,0.208,1.12743,-0.12249,-0.23624,-0.74875,-1.33969,-2.57137,0.21187,-0.95693,-0.23761,0.73926,0.17797,-0.07909,0.46331,-0.90683,-0.91594,-0.97631,0.34363,1.36422,-0.84402,-1.83341,1.05969,-1.62752,-0.73445,-0.52834,0.11807,-0.39097,-0.02751,-0.99621,-1.12654,-0.057,-0.69627,-0.44637,1.23277,1.05483,0.49423,-0.83412,1.21922,0.76796,-2.62347,0.41848,0.95943,-1.20445,-1.09753,0.41827,0.58154,-0.28812,0.89734,0.82184,-0.63462,1.86468,0.71732,-1.241,-0.57511,-0.66659,1.00078,-0.71554,-0.70846,-1.75942,0.36061,-0.13874,0.30264,-1.05735,0.70224,1.6303,-1.06363,-0.28381,-1.70992,0.2779,1.27288,0.40202,0.35888,-0.40535,0.15011,1.67088,-1.56786,-2.04793,-1.51303,-1.6437,1.9366,2.38905,-1.5907,0.45468,0.38663,-1.97771,1.81434,0.41494,0.05425,-0.13873,-2.13718,-1.25155,-0.54435,1.34245,1.87099,1.82752,-0.6746,-0.16586,-0.29489,1.3094,-1.14933,-0.32853,0.8699,-1.30562,0.85552,0.00126,-0.05371,0.26764,0.79332,0.14849,-0.11798,-0.63771,0.75893,1.89904,-1.57098,-0.48162,0.57449,0.28371,-0.3761,-2.37218,-0.62774,0.45935,1.49098,-1.33184,-0.43405,0.06077,-0.33637,0.4231,0.23029,-0.82592,1.03654,0.68778,-0.23865,0.54172,-1.26471,0.01059,0.67128,-0.74963,-0.26335,-0.06332,-0.4179,0.16249,-0.80101,0.15371,0.18974,1.09691,-1.1331,1
-1.27814,1.57388,-0.40353,0.80008,0.32497,-3.30352,-1.09887,0.52206,1.88526,0.31141,0.68514,0.22654,0.97331,0.26443,0.48386,0.79129,1.37015,1.40845,-0.47944,-0.32283,-1.92036,-1.55309,0.18429,-0.39591,-1.22677,0.78849,1.58338,0.54791,-1.21301,0.3346,-0.7163,1.74718,-0.26154,-2.34772,-1.54482,-2.04915,1.96397,0.8101,-1.36902,-0.18224,-0.01107,-0.9398,0.63548,1.20062,-0.9941,1.06002,0.36252,0.94819,0.06114,-0.67722,-0.1919,-1.85946,-0.10214,-0.91184,-1.00327,1.17165,2.08137,-0.41969,-0.92252,-0.50315,1.91414,1.20563,0.36653,-0.03456,0.24564,0.20817,0.24469,-0.23207,-1.5905,-0.23295,-0.31599,0.18495,-0.19926,1.41124,-0.80154,0.20888,-0.36062,0.00025,0.37372,0.52714,0.53402,0.32008,-1.31833,-0.08476,0.38767,0.39448,-0.35687,-0.12995,1.53234,1.19179,-1.75638,0.83287,0.19539,0.27646,-2.22768,-0.07858,0.62974,0.52933,0.26018,0.26858,0.30118,0.37259,-0.33905,-1.17598,-1.26211,0.81,0.08741,-0.02555,-0.70705,-1.09037,-1.15539,1.95464,0.24974,1.47329,-0.21603,0.31353,0.65377,0.74871,0.58162,-0.5774,0.57476,-1.85774,-0.48873,3.09873,0.02587,-0.29036,0.80242,-0.58894,1.26173,0.23387,2.17756,0.56223,1.65694,1.04798,1.22996,0.49617,-0.11971,0.67796,-1.90371,-1.23181,0.90477,0.23988,-0.44243,-1.42046,-0.94998,0.74096,-0.45172,-0.04157,0.56317,-2.1544,-0.30153,0.68121,0.70259,-0.59118,-1.65255,1.39238,-1.2044,-0.0847,-1.06715,-0.24419,1.31928,0.66525,-0.54196,0.75161,2.20082,0.20953,-1.20646,-1.6345,-1.92084,-1.29236,2.18577,-0.25097,-0.35737,-0.1836,1.51768,0.77941,-0.47085,-0.54863,0.36196,-0.48086,1
