x1,x2,x3,x4,x5,x6,alvo
-0.4479,-1.35744,-0.9243,0.15465,-1.3547,0.56872,0
0.25224,1.43081,1.01023,-1.30409,0.44775,0.56775,0
1.30475,-0.32551,-1.45123,-0.96494,-0.53879,0.01845,0
-1.26236,-0.23439,-0.1128,1.45224,-0.71278,-1.69459,0
0.87159,-1.6839,0.19466,-0.682,-1.29106,-2.0122,0
0.45653,-0.21541,-0.97271,-2.69972,-0.84324,1.1529,0
-0.00093,-2.05071,-1.63181,-0.03923,1.82098,1.30106,0
0.32824,-0.16544,-0.89181,-0.41786,-0.26397,-0.86107,0
0.01235,0.66631,0.761,0.02634,-0.80713,-0.63655,0
-0.99548,-0.96812,0.42284,0.08535,0.92474,0.82944,0
-0.62548,0.27539,0.18641,-0.04782,-0.32813,-1.84676,0
-1.38026,1.83457,1.02687,0.91087,-1.38437,-0.04756,0
0.14453,0.86675,1.66011,1.08247,0.72705,-0.26673,1
-0.46881,-0.07563,-1.62054,1.7937,-0.56931,-0.74132,0
-0.50624,0.56723,0.63707,-0.49215,1.09401,-1.07898,0
-0.8704,-0.37751,-1.46122,1.03013,-1.09473,-1.76945,0
1.43437,0.81936,0.02611,1.27443,0.95619,-0.83001,0
-0.66556,1.96032,0.7159,0.23625,-0.60138,0.8308,0
-0.31343,-0.40425,0.28444,-0.09546,-1.08922,0.50155,0
-1.86116,1.33254,-0.8801,-0.06846,1.09173,0.2774,0
1.58766,-0.21987,-0.39937,0.20479,-0.33652,-0.37472,0
-0.5258,-1.12167,0.14671,-1.45993,-0.98885,0.52082,0
-1.59733,-0.02427,2.10864,-1.33511,1.00033,1.63191,0
1.00216,-1.43013,1.59571,1.41028,-1.08037,1.49353,0
0.43139,-0.00886,0.0436,-0.95566,1.03,0.3133,0
0.33527,-1.27252,0.29894,1.68596,-0.5603,-0.72863,0
0.58019,-0.95249,-1.10098,0.11794,-0.24014,-1.31043,0
1.63218,0.71765,1.68604,0.6021,-0.06439,-1.43439,0
0.27903,-1.58634,-0.74985,1.0563,-0.2034,-0.93425,0
1.14232,0.51963,-0.74841,0.87566,-0.29382,0.79907,0
0.3549,-1.4607,0.66495,-2.50528,0.05872,1.00637,0
1.11285,-1.17274,-0.59685,-0.68144,-0.13131,0.66363,0
-0.73179,0.22684,0.0954,-0.92134,-0.49335,0.21653,0
0.06698,0.35998,0.27109,-1.43049,-0.26531,0.16668,0
0.70262,-0.22629,0.13756,-0.0454,1.64745,0.94176,0
-0.99235,-1.35979,0.65374,-0.84368,-1.16443,-0.04626,0
0.85663,0.76574,0.58095,-0.9613,-0.21344,-0.24682,0
-1.107,-1.1256,1.63111,-0.9503,1.1033,-0.30477,0
1.83174,-0.55161,-0.87588,0.4521,0.33986,-0.25055,0
-1.50599,0.12028,1.26062,0.02981,1.86485,-0.20623,0
0.63043,0.02328,-1.02327,-1.1507,0.9993,1.09084,0
-0.24681,-1.93166,-0.40313,2.76124,-0.28497,-0.39212,0
0.22654,-1.36609,1.73477,-0.91526,1.28209,0.32126,0
-1.1827,1.04466,0.59671,-0.37818,-1.05596,1.93851,0
-2.6046,0.1418,0.92904,0.04147,1.36518,-0.08548,0
0.34015,-0.0026,1.00514,-1.09291,0.90248,-0.87551,0
-1.64515,0.57955,-0.64645,1.03002,-0.40027,0.28839,0
-0.84359,1.10987,1.324,-0.65039,-2.45671,-1.67126,0
0.58214,-1.38689,-0.34792,0.72316,-0.73127,1.05546,0
0.58041,1.03483,1.39771,1.69502,1.66175,0.72177,0
1.24647,0.73221,1.75073,0.01466,-0.46682,0.08394,0
-2.2794,-1.06977,0.00599,0.08605,0.86712,0.06694,0
0.33504,-0.04393,-0.01642,0.2581,0.3242,0.38872,0
-0.10758,1.08458,-1.98659,-1.09645,-2.43688,0.65097,0
0.20219,0.96195,0.16671,-0.60853,-0.37282,-0.2145,0
1.62668,-0.89507,0.11402,-0.06126,0.64007,-0.18928,0
-0.65683,-0.90426,1.36807,0.5295,0.79088,-0.79442,0
-1.20555,0.46266,0.75128,-0.32977,0.43165,1.07123,0
-0.12584,1.95763,-0.36374,1.0057,1.22176,0.22091,0
-0.00328,0.42177,0.13508,2.04217,-0.21833,0.24667,0
2.71924,1.22787,1.00436,2.47821,1.45454,0.12634,1
1.85684,0.21774,-0.69796,-0.4516,0.33634,1.04529,0
2.20206,-1.13046,0.27051,2.08325,-0.48933,0.9258,0
-0.29534,0.12785,-1.42361,0.6253,1.5419,-0.93737,0
0.15202,-1.12822,-0.57385,-0.39763,0.80831,-0.05786,0
1.36738,0.30151,1.22024,0.05347,-0.162,1.0802,0
-0.40985,-0.47498,-1.52325,0.89767,-1.04288,1.53261,0
-0.96914,-0.2855,-2.17437,0.87039,0.35372,-1.51,0
0.71847,-0.48857,0.00876,-0.80592,1.14542,-1.76381,0
0.90786,-0.54754,-0.81846,-1.05366,-1.05036,-0.04627,0
