id_empresa,periodo,porte,margem,crescimento,endividamento,liquidez,superou_setor
E35,T15,-3.29602,-0.01132,-0.82147,0.32867,0.0836,1
E31,T16,1.11442,0.01673,-1.10504,0.27222,1.82776,0
E15,T14,2.67682,-1.43545,-0.50469,-1.69294,0.58002,0
E12,T03,1.61365,0.6353,-1.41442,-3.22415,0.52872,0
E18,T16,4.0294,0.31762,-0.40286,-1.34314,-0.27551,0
E05,T07,-2.21705,0.42393,1.7281,0.8059,-0.15263,1
E07,T10,-1.00686,-0.50141,0.82328,1.12315,0.89716,1
E03,T08,-0.01636,0.01519,0.20676,-2.44504,-0.04845,0
E35,T05,-3.3136,-0.04973,-0.49321,-0.95039,-0.2126,1
E20,T08,-1.46119,-1.06056,0.52244,0.74826,-1.31465,0
E29,T16,-3.18254,1.2067,-1.81478,-1.2413,0.02936,1
E18,T07,4.05954,-0.61461,-3.88604,2.82028,-0.54835,0
E17,T05,0.45056,-0.60427,0.0038,-0.70458,-0.42163,0
E10,T10,-3.84946,-0.37688,0.11491,0.66666,-1.20442,0
E17,T16,0.42745,-1.29415,-2.78753,-1.12359,-2.27478,0
E17,T14,0.43485,0.03262,-0.33792,1.55211,0.66362,0
E19,T09,4.54398,0.72733,-1.94009,-1.97016,0.95375,0
E38,T03,0.32619,-0.27519,1.14462,-0.54732,-0.12552,1
E20,T09,-1.43747,-1.06385,0.4419,0.37592,-0.54621,0
E15,T04,2.69079,-0.66214,0.17281,0.78591,-1.35466,0
E16,T13,0.63699,0.23657,-0.59548,-0.52771,0.49341,0
E20,T12,-1.50005,0.28296,-1.55511,2.51711,-1.26259,0
E16,T06,0.61412,-0.45614,-1.50755,0.13949,0.46095,0
E25,T14,-0.86492,0.59941,-0.7094,-0.2201,-1.11391,0
E28,T01,-1.86649,-1.50419,0.22377,-0.66498,-1.70074,1
E20,T11,-1.46249,-0.43799,-0.44011,-2.42786,-0.40944,0
E32,T10,-3.41794,-0.48062,-0.89488,1.39647,-1.06261,1
E30,T02,1.07311,-0.88095,0.69359,0.83534,-0.684,1
E25,T03,-0.85355,-2.27556,0.87176,0.51621,-0.665,0
E07,T08,-1.01755,1.4893,-1.53907,-1.66923,-0.65417,1
E38,T07,0.29557,1.13765,1.89305,-2.7846,-0.74888,1
E38,T09,0.35506,-0.21073,0.11139,0.54992,-0.07051,1
E26,T13,1.3271,0.19205,0.18446,-0.97929,0.19499,0
E04,T11,-0.50061,-0.05543,-0.91793,-0.97579,0.66241,0
E13,T01,1.99731,-1.45065,-0.8597,0.43026,-2.07471,0
E36,T05,1.41276,1.37827,1.15207,-1.63712,-1.17857,1
E39,T12,-1.90481,-2.10977,-0.54708,-0.86313,-0.40414,0
E01,T16,-1.66482,1.52932,0.09099,-1.10773,-1.01175,0
E11,T05,-3.75899,-0.54608,1.11283,-1.52392,1.26526,1
E30,T08,1.02056,-0.56295,0.23727,-1.33556,1.61802,0
E30,T05,1.02428,-0.7851,0.1391,1.7947,-2.7193,0
E33,T13,0.39869,0.48952,-0.7882,0.09044,0.99718,0
E19,T05,4.53351,-1.49302,-2.08017,0.38789,-0.06033,0
E20,T14,-1.49527,-1.1889,0.74517,-0.90104,0.77356,0
E14,T11,3.36821,-0.39213,-0.76037,1.53424,-0.69502,1
E04,T07,-0.483,-1.74419,-0.53981,1.42854,0.19086,0
E12,T07,1.62386,0.67099,-0.78942,-0.77522,-1.35928,0
E08,T08,-2.07502,-1.8728,-0.52661,1.60378,-1.12867,0
E25,T04,-0.82962,0.26511,1.24398,1.43184,-2.66074,0
E21,T02,2.73642,-1.30444,0.34553,1.01704,1.70194,1
E31,T04,1.04025,1.19826,2.31959,1.18001,0.84108,1
E08,T02,-2.08572,0.62102,-0.43409,-0.94111,-0.36473,1
E22,T02,-1.68946,-0.40274,-0.58659,0.8334,-0.57797,0
E36,T02,1.41145,1.60107,1.44462,1.34345,0.86588,1
E25,T01,-0.85518,-0.94499,-2.74622,0.32588,2.05153,0
E27,T15,-0.18155,0.76419,1.58366,-1.65646,0.66422,1
E12,T01,1.58678,-1.81981,0.65263,0.60718,-0.77173,0
E38,T05,0.31363,0.75914,-0.84898,-1.48911,0.08837,1
E20,T15,-1.44687,0.80013,-0.78301,0.09246,1.28064,0
E32,T08,-3.439,-0.80866,0.02007,-0.16763,-0.7551,1
E05,T08,-2.20108,-0.75068,1.19566,1.49632,-0.11582,0
E08,T01,-2.0839,0.14332,-0.62693,0.63551,-0.70052,1
E20,T02,-1.437,-0.48033,1.63615,0.1512,-0.54596,1
E38,T06,0.33344,0.60641,-2.16037,1.05234,1.04332,0
E03,T15,-0.03387,-2.32052,-1.17548,1.7396,0.12714,0
E01,T06,-1.6271,0.53619,0.55972,-0.344,-0.28585,0
E05,T12,-2.22086,-0.35919,0.63821,0.25403,-1.04382,0
E07,T13,-1.01685,-0.78339,-1.69339,-0.76363,-0.29042,1
E27,T11,-0.17686,-0.50197,0.08464,-1.07179,-1.01925,0
E36,T01,1.42722,0.69557,0.75399,-0.05468,2.25828,1
E38,T04,0.30337,0.76366,1.5869,0.23503,-1.04696,1
E39,T14,-1.90263,0.84709,1.82129,-0.91169,-0.63263,1
E37,T10,1.24134,-0.27147,-0.1966,-0.20394,-1.50456,1
E39,T15,-1.90019,0.05459,0.0207,0.55041,1.0606,1
E35,T09,-3.30958,0.01457,-1.1817,-0.08467,-1.24873,1
E38,T11,0.32833,1.22447,1.16697,0.21458,-1.12752,1
E09,T04,-0.96732,-0.57904,0.96125,0.69982,-0.38752,1
E14,T04,3.39088,1.17728,-0.83608,0.16675,-0.30717,1
E14,T14,3.39038,-0.86239,0.53472,1.01972,0.73578,1
E09,T08,-0.99422,-0.23569,-0.14975,1.29782,0.53022,1
E19,T02,4.51894,-0.95363,-1.56174,-1.96846,2.3023,0
E21,T06,2.75076,1.93879,-0.53494,-0.77952,-0.31547,1
E21,T14,2.78328,1.44198,0.00915,-0.1311,-1.13882,1
E06,T02,0.71994,-0.02738,0.17435,0.22596,0.92018,0
E32,T05,-3.4506,-0.98943,-0.64809,0.27164,-0.05985,1
E28,T05,-1.85945,1.41193,-0.44471,-0.4976,1.11657,1
E01,T13,-1.62481,0.31363,-0.55166,-0.21986,-0.40285,0
E02,T10,2.27724,0.28492,0.532,0.27571,-1.141,1
E22,T15,-1.6768,1.17865,0.55924,-0.23745,0.68628,1
E02,T02,2.2767,-0.55402,1.26585,-0.02284,0.85008,0
E19,T03,4.55907,-0.37,-1.65659,0.61148,-0.38242,0
E10,T11,-3.79377,1.3808,1.2582,-1.11783,0.16095,1
