f1,f2,f3,f4,f5,f6,f7,f8,alvo
1.23981,0.17518,0.43568,-0.40843,1.23494,0.71447,1.3004,-0.45862,0
-0.11835,1.50251,1.13715,0.30916,-1.14181,0.89277,-1.75126,-0.31865,0
0.78653,-0.45003,0.91843,1.15198,-1.01637,1.36731,1.35922,-1.26307,1
-1.80511,1.51716,1.01404,0.14093,-0.80848,0.15748,0.97056,0.4879,1
-0.04355,0.74757,-0.24061,-0.23684,-1.33841,-1.954,-2.33462,-0.72505,0
0.78287,-0.13424,-2.13377,1.29558,0.40988,0.14422,1.38869,-0.54159,0
1.42013,0.57769,0.67812,0.78065,0.88086,0.35876,-0.78263,0.67139,0
-0.55357,1.21955,0.36289,0.44063,0.1297,-0.22309,-0.16296,0.5204,0
0.39066,-0.61419,0.34257,-0.1787,0.36106,0.36598,-0.61268,0.31172,1
-0.19078,-0.01337,-0.06063,0.58749,0.32715,0.90067,-0.76203,-0.15267,0
0.41749,0.62696,2.10848,-0.85615,1.00116,-0.98966,1.0776,-0.81931,1
-0.3434,0.92716,-0.93925,-0.41794,-0.81348,1.2703,0.63548,-1.09003,0
-1.23055,-1.47777,0.76349,0.11355,-0.42056,0.23719,0.3645,0.54893,0
0.98937,0.65606,0.91244,0.95045,-0.18441,0.03554,0.0201,0.87934,1
-0.05131,1.10817,1.28169,0.78133,-0.98495,0.6005,-0.62739,0.29251,0
0.25308,0.59221,-1.05719,-0.35501,0.54684,-0.08563,-1.44244,-1.40578,0
-0.57183,-0.06391,1.24697,1.33823,0.46101,0.20284,0.99331,0.72647,1
3.86865,0.65581,0.77949,-1.32966,-0.1787,0.15746,0.21529,0.44659,0
1.32752,0.99309,-1.76927,1.28705,1.93501,-0.48406,2.10506,0.4851,1
0.64674,-0.30028,0.00547,0.39653,-0.82356,-0.3928,0.32545,1.49583,1
-0.20366,-0.43362,-0.37828,1.1892,-0.3734,1.22636,0.58756,-0.60927,0
-0.71665,0.18929,0.98975,1.41164,0.88415,0.39262,1.45522,0.59512,1
-2.23747,-0.90448,0.90782,-0.65759,2.06958,0.64036,0.40535,-0.30825,0
-0.15032,-1.18118,-0.01277,-0.62762,0.19674,0.70129,-0.94106,0.61526,1
0.59779,0.77846,-1.297,-0.06417,0.28905,-0.14058,0.44443,-0.39278,1
