v001,v002,v003,v004,v005,v006,v007,v008,v009,v010,v011,v012,v013,v014,v015,v016,v017,v018,v019,v020,v021,v022,v023,v024,v025,v026,v027,v028,v029,v030,v031,v032,v033,v034,v035,v036,v037,v038,v039,v040,v041,v042,v043,v044,v045,v046,v047,v048,v049,v050,v051,v052,v053,v054,v055,v056,v057,v058,v059,v060,v061,v062,v063,v064,v065,v066,v067,v068,v069,v070,v071,v072,v073,v074,v075,v076,v077,v078,v079,v080,v081,v082,v083,v084,v085,v086,v087,v088,v089,v090,v091,v092,v093,v094,v095,v096,v097,v098,v099,v100,v101,v102,v103,v104,v105,v106,v107,v108,v109,v110,v111,v112,v113,v114,v115,v116,v117,v118,v119,v120,v121,v122,v123,v124,v125,v126,v127,v128,v129,v130,v131,v132,v133,v134,v135,v136,v137,v138,v139,v140,v141,v142,v143,v144,v145,v146,v147,v148,v149,v150,v151,v152,v153,v154,v155,v156,v157,v158,v159,v160,v161,v162,v163,v164,v165,v166,v167,v168,v169,v170,v171,v172,v173,v174,v175,v176,v177,v178,v179,v180,alvo
-2.09145,-0.18661,1.40347,-1.48288,-0.41977,0.25325,-0.549,-0.74238,-1.09363,-0.0506,0.13645,0.17351,-0.49106,0.78308,0.40226,-1.54223,0.68867,-1.2223,-1.70502,-0.2263,-1.42757,0.26411,-0.69059,0.22515,-1.82525,0.08267,0.06275,-0.51129,-0.1841,-0.30674,-0.2275,-0.6179,0.40288,-1.6427,-0.45563,0.80676,-0.44142,-0.75411,-0.05248,-2.54349,0.92798,0.39634,-0.6262,1.02127,1.417,-0.42444,-0.0069,-0.80788,0.21972,1.33023,-1.15553,0.07885,-0.31944,-0.58724,1.99261,-0.45363,0.55796,0.79601,-1.31306,0.7152,0.98246,0.7048,0.68901,-0.95922,0.2314,1.29393,0.65388,-0.05989,0.22614,0.23791,-0.13495,-0.77807,-1.68091,-0.78916,-0.00665,0.89013,0.22855,-0.71727,0.14428,0.42795,-0.21998,-0.22482,-0.56164,0.62672,0.3265,0.78337,-1.24179,0.6829,-0.40329,0.19432,0.02278,0.06233,-0.342,-0.86224,0.82232,-1.44111,1.66398,-0.7892,0.7433,1.33355,0.8585,1.24881,-0.72182,0.65995,0.96149,0.3087,1.00106,-0.30039,0.40151,1.48693,1.89499,-1.12214,-1.22255,0.60465,1.14617,-0.0672,0.81333,-0.86265,-0.31192,0.2624,0.47302,-0.48883,0.83222,0.51679,0.7119,-1.1945,-0.23692,0.19141,1.47337,-0.11806,0.33681,0.46403,-0.38337,0.31368,0.92804,0.81188,1.04305,0.16131,0.83916,-1.12645,-0.82196,-1.36724,-0.5906,-0.56483,-0.12631,-0.41724,-1.91386,-2.05907,0.45337,1.9588,1.1373,-0.40479,-0.82889,-0.59021,-0.68906,0.69266,-0.91896,-0.70404,1.01307,-0.15012,1.27915,0.21731,0.82988,0.36617,0.31258,-2.419,1.23178,0.74417,-1.46129,-0.20228,-0.51557,-1.28949,0.3651,-0.46292,0.29704,1.87991,0.53009,-0.87655,0.92063,1.35664,0
0.79689,1.66364,-0.18959,-0.3685,-0.69701,0.58276,2.23999,1.22102,0.46919,-1.48218,-1.37613,-0.3907,1.17151,0.93931,-0.41066,-0.80326,0.11379,1.68464,-0.19932,-1.25814,-0.37445,-1.36801,-0.41257,0.02953,0.43154,-0.45365,0.65474,-0.71157,0.19674,-0.09613,0.12914,-0.13528,-0.75335,1.16701,-0.78662,1.3564,-0.07502,-1.31888,1.28393,-0.08788,0.01606,1.96854,0.67414,1.22751,-1.96375,1.39035,0.86777,-1.82086,-0.05443,-1.68313,-0.32358,-0.76469,0.11828,0.77586,0.37558,0.54194,0.58932,0.54904,-0.05764,0.36978,-1.52547,-0.36063,0.801,0.66126,0.0257,1.11956,-0.60369,0.28099,-0.27063,-0.51324,-0.40305,0.81148,-1.13301,0.76095,-1.60618,0.58516,0.60267,-1.22692,-0.59969,0.87561,-0.9214,-0.46301,-1.86162,-0.67584,-0.08143,0.43118,0.24464,1.98151,0.25144,0.68765,0.54072,0.36238,0.28557,-1.18208,-0.0247,-0.07324,-0.72919,-0.58863,0.06536,2.21542,0.05647,-1.43308,1.42844,-0.9468,0.1317,-1.27963,1.90174,-0.01903,-0.77873,0.44659,0.11973,-0.79185,0.66369,1.54223,-0.4787,-1.32614,-0.74926,-0.41592,-0.83288,-0.4421,1.19976,-0.80614,-1.12386,-1.36145,0.35935,-0.87786,-0.48954,-1.11009,0.58749,0.74382,0.17453,-0.94126,-1.52202,1.66278,-1.6023,-0.36482,0.03611,-0.68116,-0.73626,1.77149,-0.79897,-0.00255,0.3795,0.68238,1.48408,-0.59592,-0.91686,1.74445,0.3249,-1.07612,-0.77581,-1.74575,-1.62429,-1.52373,0.52693,-0.83727,-0.9154,-0.04886,-1.45127,-0.67236,-1.3277,0.99876,1.62269,0.70864,-0.86351,-0.48721,1.16082,0.32598,-0.85604,-0.7289,0.83902,0.21187,-1.84391,-1.05175,-0.07801,-0.60755,-0.76689,1.18798,-1.21623,0.3045,1
-0.34661,-2.26425,1.35827,1.67193,-0.02054,-3.15675,0.44498,1.80635,0.89003,1.13585,-2.04731,2.30907,-0.07959,-0.92121,-0.63281,-1.17637,0.70151,-0.15365,-0.37611,-0.44142,-0.34621,1.0776,0.416,0.96824,0.35623,0.28878,0.51567,-0.57994,-0.43984,-0.38296,-0.70181,0.8408,0.34019,1.29917,-0.09984,1.82258,-0.46116,-0.41966,-2.36652,0.80519,0.3468,-1.5805,0.68468,0.49678,-1.53891,1.52077,-1.02827,0.13304,-0.17618,2.71955,-1.95951,-0.65033,-0.27423,-0.55389,1.38612,-0.33286,1.20999,-0.3512,0.87328,0.04534,-0.03035,-0.78351,1.35759,-1.35251,0.44231,-0.14932,-1.17091,1.92161,0.58242,-0.62044,-1.33251,-0.62857,1.38108,-0.74848,0.43245,1.29346,0.25919,0.66123,0.02369,-0.28528,-0.21655,1.8491,-0.78756,0.79873,-1.62762,-0.51724,-1.80098,-1.3639,0.89916,-0.27702,-1.66546,-0.04176,2.23729,-0.65305,-0.16379,0.04407,-0.24564,1.21261,-0.20106,0.95418,-1.14516,-1.44871,-1.4314,1.04109,-0.01307,1.50826,1.62542,0.01873,-0.48845,2.43759,0.28755,-0.17572,-0.62297,-0.04384,-0.07082,-1.36579,0.19415,1.45564,0.07179,-0.80224,0.55339,-0.90068,-0.17083,-1.35974,0.39033,-0.58278,-0.01784,-0.73661,-0.86663,0.70958,-1.0408,0.72667,-0.05174,0.8296,-0.73373,1.483,1.02313,0.2608,-1.64689,1.30278,0.23454,-0.63781,0.61781,-0.47772,0.56685,0.94627,0.47399,-2.60858,-0.49564,-0.42144,1.56682,-1.30186,1.90302,-0.29307,-2.16503,0.00507,1.13481,-1.30439,0.22751,-1.00356,1.73838,0.9645,0.13086,0.33173,-0.20767,-0.39762,0.53211,0.41164,0.67004,2.09106,0.88096,0.45761,0.17488,2.0263,1.37152,0.54449,0.91967,-0.51155,-0.43958,-0.83709,0
-0.46927,0.45425,-2.26297,-0.74732,-0.03013,-0.81089,-0.38253,-1.68877,0.40536,-2.21633,0.70152,-1.36367,-0.76765,-1.09932,0.37246,1.554,0.67036,0.89257,0.08553,2.12912,0.25882,-0.15369,-0.83234,2.60534,2.53775,-0.00759,-1.11324,-0.67815,1.81169,-0.78847,-0.39225,0.09845,-0.08092,1.30059,1.31842,0.0059,-1.78965,0.42528,1.23217,0.43348,0.29577,-0.2636,1.00051,-0.6513,1.00407,1.06514,1.70898,-0.26987,-1.28004,-0.82653,1.63742,-0.04358,-0.91359,1.0831,-0.07016,-1.54443,0.91575,0.7186,0.15485,-2.53055,1.17658,-0.39741,-0.40192,0.92616,-0.78856,-0.63998,1.30046,-0.95153,0.82618,0.94516,2.38113,0.46487,-1.03696,0.69764,0.72333,1.67421,0.4971,0.41509,0.74015,-1.17493,1.9802,-0.48607,-0.00852,1.78747,-0.7959,1.59972,0.22616,1.29276,0.157,0.91177,0.4726,1.14487,0.09722,0.38182,-1.40449,-0.31713,0.65073,1.49383,1.96697,1.18035,0.24416,-1.36623,-1.55273,0.0861,-0.18523,1.30485,0.10494,0.97529,-1.3614,-0.31196,-1.47226,2.73176,0.02401,0.31231,-0.42774,-0.34002,0.74554,0.85511,2.22881,-0.46317,1.25848,0.96392,1.32984,0.09721,-0.2851,-0.4212,-1.49704,0.42868,0.00537,-1.9811,0.18731,0.66213,-0.19571,0.27563,1.47896,-0.49721,-0.86767,1.67934,0.24685,0.76425,-0.07471,0.73342,-1.93593,0.0158,-1.03038,-2.03193,-0.9868,-0.70484,0.16628,0.22038,2.30406,-1.17554,1.17543,1.18961,-0.92197,0.5963,0.63346,2.20153,0.91724,-0.12884,2.01726,0.28706,-1.43756,0.34721,0.75807,-0.19155,0.40004,1.08665,-2.739,-1.52264,-1.04819,0.0973,1.35066,-0.23925,0.57124,0.86414,-1.88171,-0.23421,0.4966,1.88663,1
-1.68113,-1.6972,0.24649,-0.83409,0.85209,-0.26585,-0.40501,3.00905,0.15719,0.76645,2.03807,0.13876,-1.17178,0.17647,1.11621,0.00599,-0.98967,-1.26546,0.11244,-0.90863,1.43437,-1.38827,-0.0086,-0.96959,0.87636,-0.68379,0.00405,-0.81966,-0.96711,1.20529,-0.37343,-0.49003,1.6206,-0.25042,0.67338,-0.48574,0.5332,0.69747,-0.38477,-0.43011,-1.13029,-2.09345,-2.47141,0.4512,-0.54571,-1.09597,-1.40142,-0.68079,-0.92227,-0.36251,0.81061,1.68447,0.8476,1.0546,0.72183,-1.1505,0.26002,-0.20138,0.2719,1.089,1.16551,1.4031,0.00182,2.00752,-0.52064,-0.13119,0.05379,0.48012,-0.38027,-0.36737,1.18136,-1.29759,1.68959,0.0821,0.41146,0.2603,-1.34703,0.11201,-0.68111,0.25972,0.27744,-0.32906,0.63126,0.64815,1.40023,0.76638,-1.00052,1.16433,1.19937,-0.76415,-0.26123,0.61174,-0.01286,0.67306,0.7551,1.1188,0.68548,-0.90709,-0.47646,0.49857,0.26292,-1.19964,-1.3,-0.65189,0.91099,-0.37982,0.68381,-2.10147,2.16042,0.50039,-1.78916,-0.45304,-0.53956,-0.31996,-0.96003,1.19064,0.14198,0.79118,-1.03484,0.45304,-0.2286,-0.10469,-0.23797,-0.00544,0.52939,1.22263,-0.42987,-1.08665,0.53246,0.85396,-0.03671,0.75667,1.19692,0.30917,0.13705,-0.05592,-0.71271,-0.00646,1.11706,-0.16861,-1.24426,0.33388,-0.1444,0.77894,0.4258,2.31891,0.60485,0.53735,0.54725,1.19281,-0.80522,0.23877,2.03662,-1.1353,-1.31619,-0.20006,0.68264,0.22716,0.35964,-0.71025,-0.43233,1.28826,-1.51513,-1.23642,2.00317,-0.71112,-1.44267,-2.06926,-0.72035,-1.2377,2.71635,1.27542,1.01495,-0.21214,-0.5836,-0.33959,0.78737,0.36935,0.35875,-2.19192,0
-0.72772,-0.18438,1.17796,1.1249,-1.22462,0.81585,-0.2441,2.42618,-1.16916,-0.99469,1.5323,0.2417,2.14675,0.35134,-0.17518,0.2739,-0.81968,0.2429,-0.35792,0.86467,-0.54487,1.31785,-1.13619,0.12697,-0.47005,1.04206,0.94189,-0.99787,0.60887,0.21559,-1.22238,-1.39283,1.94834,1.03392,-0.49471,0.28624,-1.31622,-0.26287,0.45573,-0.89812,0.02967,-0.13268,1.35286,0.70913,-0.1554,-0.45631,0.13573,0.3278,0.26698,-0.72773,-0.79306,-2.07924,-0.40654,0.3733,1.29736,0.35789,0.38766,0.62325,-0.17201,-0.09189,0.60105,0.21467,-0.33486,0.31248,1.21856,-0.99741,0.64019,-0.0063,-0.88336,1.10949,0.48727,-1.7022,-0.76628,1.89314,-1.08668,0.88419,-0.02616,-1.17927,1.34648,0.01792,0.15429,-0.34551,1.20024,-0.74706,0.76663,0.41179,0.02862,0.83801,1.59881,-0.3103,0.7344,0.02137,1.24568,-0.6225,-0.6181,0.57178,1.13505,0.49273,-0.56509,0.86804,0.48499,-1.53707,0.16144,-1.04273,2.92902,-1.06657,1.23485,-0.83388,-0.96591,-0.6834,1.05356,-0.57394,-0.43537,0.11563,-0.14126,1.60184,-0.69808,-2.4806,-0.36637,-0.15148,0.69888,-0.42444,2.54071,1.34763,-0.4079,0.37013,0.30717,0.1227,0.40589,-0.02707,-0.18533,-0.10339,-0.81868,1.0267,-0.02442,0.1275,-0.09814,-0.55873,-0.65116,-1.06046,0.6796,0.31509,1.41585,-0.79202,0.0015,-1.3661,-0.29962,-0.14329,-1.67783,1.47836,-1.52822,1.38077,-0.86755,0.19469,0.18781,-0.0349,0.85021,0.04459,0.46147,-0.05758,0.7603,0.16974,1.76294,1.24316,1.99508,-0.07039,1.46055,0.36204,1.42887,0.74649,-1.41402,1.10322,0.57805,-2.01343,0.62988,1.43561,0.19192,0.89631,-0.82692,0.37957,0
-0.84329,1.60858,-0.15935,-1.45445,-0.32461,1.48434,1.81442,-0.38955,-0.04797,0.28493,-0.59909,-0.81207,1.74274,2.20423,0.67049,1.36565,0.00931,0.22008,-0.14202,-1.21042,0.90838,-0.32708,-0.64934,-1.26971,-0.11236,-1.26849,0.01535,-1.47228,-1.08722,0.3702,-0.48761,1.62668,0.83104,-0.28602,-1.97691,-1.73561,-0.63522,0.62368,-0.4472,0.27861,0.91326,-0.65325,-0.60836,-1.85735,0.72025,-1.91989,-0.35729,-0.49886,-0.66099,-0.92585,0.4486,0.74866,-0.82235,0.69454,-0.28647,-0.48504,0.89934,1.93036,1.1915,0.31917,-0.13353,0.18932,-0.51194,1.77405,0.38155,1.35285,-0.05493,-1.13252,0.64009,0.2026,-0.41816,0.31172,-0.16562,1.27595,-0.30249,1.26569,-0.87597,1.00444,1.58647,0.0149,0.72187,-0.30595,-1.49014,-0.28189,2.55886,-0.50956,-0.316,1.12163,-0.38261,-0.10797,-0.84092,-0.20064,0.0107,0.79096,1.93702,1.58941,1.19335,-0.83406,1.84248,0.46399,0.40117,0.91305,-1.87053,0.21434,-0.65577,-0.74969,0.57749,-1.94714,0.07458,-1.5108,-0.01183,1.18093,1.59016,-0.69958,-0.47857,0.36202,0.35211,0.79359,0.85376,1.42536,0.23258,-0.55478,-0.12546,-0.23533,-0.02385,0.58222,-0.48446,-1.65655,-1.44481,0.72137,-0.13599,-1.02488,2.12919,0.68531,-2.14235,1.28152,0.31259,0.67647,0.0684,0.02812,-1.10644,-0.05586,0.52792,0.33669,0.36975,-0.22431,0.3016,0.29235,-0.80617,-1.51169,0.17916,-0.75491,-0.19129,-0.59248,0.74754,0.12955,0.56896,-0.54636,-0.89168,-1.23124,0.61102,2.02665,-0.1456,-0.80331,-0.2674,-0.48489,2.07499,-0.38341,-0.82081,0.55769,-0.08148,1.55388,0.2647,0.12345,0.85755,0.36443,-2.11872,0.56229,-1.35841,-1.32327,1
-1.16694,-0.09309,0.23652,-1.24085,-0.65961,1.05939,0.95966,0.03844,-0.00257,1.14337,0.6552,-0.59419,-0.63453,0.19034,-0.35889,-0.80618,-0.51434,-1.59538,-0.07674,1.08328,0.44867,-1.24189,1.02733,0.55097,0.61276,0.06913,-2.37653,-0.92082,0.25222,0.1631,-0.27396,0.45336,-1.1747,0.71717,1.77986,0.17722,-0.04199,1.38609,0.37228,-0.24197,-0.1609,-0.46675,-0.47708,-1.21318,0.2188,-0.68051,2.6026,-0.32714,1.03845,0.86863,0.04325,-1.46733,-1.30004,-0.83703,1.23211,0.30336,-1.03714,-1.04389,0.20051,-0.19117,-0.87379,-0.10959,2.42691,-0.44956,-0.1673,0.76411,-0.01495,0.35847,-0.43203,-0.12758,0.59685,-2.52879,0.54636,-1.5938,-1.47221,1.24263,-0.35693,0.22277,-0.79387,-0.19481,0.00491,0.18052,0.31196,-2.30094,1.33123,-0.61534,0.16093,-0.50508,0.07059,-1.64038,0.20602,0.0132,1.82914,0.497,0.59612,-0.0103,0.1823,0.45392,0.47288,-0.81153,-1.19383,-1.26816,0.00997,-0.94331,0.79472,0.40689,-0.09904,-0.88167,-0.61827,-0.60909,-0.8967,0.89318,-0.21472,-0.65135,0.69147,0.3559,-0.59146,-0.32919,1.0656,0.44512,-0.4852,-0.98906,-0.54685,-1.07969,0.64839,-1.46719,-0.15806,-0.43057,1.90049,1.40168,-1.27036,-0.43398,1.5506,-1.33584,0.06541,1.59721,1.35795,-0.71154,-1.74079,0.41911,-0.24402,1.53801,-0.94461,0.84836,0.14427,-2.33969,-1.14081,-0.96651,-0.66123,0.01637,0.92847,-0.48066,1.38852,-1.16124,0.3017,-0.91662,0.82418,-2.04109,0.15303,0.00318,1.61823,-1.88078,-0.3303,0.48015,0.14526,0.44033,-2.14725,-0.3758,0.96425,-1.11836,1.67285,-1.43073,-0.82631,-0.77885,-0.71357,-0.48491,0.39268,-0.16141,-0.84901,0.15307,1
-0.58689,-1.62612,2.58546,0.6125,-0.57425,-1.03925,0.36709,-0.53144,1.82884,-0.39367,1.65358,-1.99071,1.42751,-0.8043,-0.71376,-1.41804,-0.84869,0.47373,-0.88768,0.5718,0.38089,1.65436,-1.00618,-1.99052,2.10252,0.76387,1.30896,-0.75051,0.00273,0.08212,1.11809,-1.20795,0.07591,-1.297,-0.00773,-0.33367,-0.0568,1.15356,-2.27064,-0.34456,0.17597,1.54839,1.89037,0.64155,0.28213,0.01657,1.90341,-1.81873,-0.90723,-2.02491,-0.55381,-0.09835,0.48498,-0.10311,-0.51071,0.00114,-1.7416,-0.84397,-0.07786,-0.10306,1.11284,1.03631,-1.12206,1.84201,-0.53986,-0.05454,-0.31243,1.86205,1.97604,1.52605,0.17283,-0.25997,0.41563,-0.50193,0.30363,1.0798,1.38449,-0.69746,-2.06689,-1.24958,-0.04686,-1.74316,-1.22185,1.55323,-0.19585,-0.39884,1.23557,-0.74286,1.58264,1.41906,-0.09102,1.25757,0.22461,-1.6534,-0.07174,-1.11575,-2.19933,0.1666,0.55847,0.94547,0.46803,-1.85317,-2.99909,1.01526,0.8199,-0.19043,-0.68228,0.05255,-1.68386,-1.0926,-0.41173,0.54862,1.16317,-0.29444,-0.25411,-1.33802,1.6326,-1.01613,0.72731,-1.37794,-0.53133,0.37123,0.37363,1.7121,0.43451,0.56318,-1.46402,-0.59408,0.61979,-0.18153,-1.01719,0.06419,-0.03739,1.09806,0.76274,-0.29393,0.85494,-2.35159,-0.63699,-0.73947,1.52957,1.08615,0.51853,-0.3767,1.56296,0.81402,-1.97661,0.61549,-1.46566,0.33166,-1.0143,0.78797,-1.74508,0.53294,1.08012,0.16175,-0.44874,-0.34239,1.11422,1.19297,0.17553,-0.44511,-1.18091,-1.45332,-0.92053,-0.25471,0.97379,-1.3061,-0.18691,-0.10953,-0.90724,0.05511,0.19084,0.36427,-1.05773,0.14292,0.79465,0.27306,0.52676,0.78031,1
-0.35351,0.17928,-0.82003,-0.31294,-1.02106,0.24977,1.26482,1.17121,0.52435,-0.23638,-0.45348,-0.01549,0.3321,1.87819,0.19914,-0.64842,-0.83379,-0.26111,0.95441,1.04686,-0.84297,-0.35153,1.00505,-1.03894,-0.54536,-1.54526,0.2378,-0.39377,0.08185,-0.18655,-1.67733,-1.66949,0.4366,-0.38319,-0.22901,-0.9343,-2.2787,-0.91916,-0.32468,-0.33375,0.25971,-1.38361,-0.0696,-1.08728,1.49904,2.66917,0.80149,-1.14784,-0.37539,-0.3822,-1.47749,-0.52285,0.56178,0.55316,-1.71574,-0.25629,0.225,1.06278,0.23795,0.67308,1.40975,0.48485,-0.12844,-0.87829,-0.31221,-0.47301,1.39998,-1.65242,0.53128,1.2713,-0.22049,2.0586,2.60416,-0.6396,-0.73288,-1.48604,1.48071,-0.3746,-0.40026,-0.80021,1.77581,-0.1952,0.05494,0.80915,1.4209,0.57236,0.91484,1.37534,0.79673,0.22841,-2.39697,-0.70551,0.20215,-1.84519,-1.93684,0.30465,-0.01642,-0.24581,-0.58454,-1.13048,0.45101,0.07515,-0.76782,1.30853,0.21467,1.41701,1.27059,-0.47751,-2.98725,0.35411,-0.54269,-0.76574,0.46437,-0.14269,0.0774,0.29873,0.10256,-1.09993,0.22508,-0.5135,0.14664,0.35865,0.22082,2.3501,1.14347,-0.43662,-0.32725,0.21154,-0.72757,1.0881,1.11481,1.01066,-2.11435,-0.22805,1.80755,-1.19567,-0.65913,1.61137,-0.95655,0.08378,-1.03645,1.10422,0.06584,-0.89794,-0.2028,-0.9034,-0.62843,1.05244,0.16883,-0.02606,-1.096,1.42108,0.88764,-1.53906,0.25043,-1.25192,1.07143,-2.00041,0.96098,1.1764,-0.01402,1.37471,-0.75522,1.02933,0.49465,0.19123,0.46224,0.11836,0.2253,0.17976,1.71806,0.74258,1.08535,1.14831,-0.97131,-1.05477,0.47902,-2.57522,-0.5925,-1.3491,1
