x1,x2,x3,x4,x5,x6,alvo
-1.60588,-0.41688,-0.8185,-1.2332,-1.92048,0.62564,0
-0.82259,-1.89751,0.59058,-0.22546,0.19099,-0.9891,0
-2.5747,-0.59572,-2.41424,0.79826,-0.23057,1.66856,0
-1.74741,-0.51317,-0.3911,-0.24737,-1.5313,1.32145,0
-1.41502,-1.32639,-1.44801,0.01993,0.09763,-0.73116,0
2.08504,0.94199,1.21125,-0.49633,3.32988,1.58247,1
-1.18889,-0.31392,0.10206,-1.20015,2.03835,0.49736,0
0.44542,0.30795,1.0702,1.56406,0.14179,-0.05649,0
-0.09908,0.59936,-0.26105,0.33516,0.46769,-0.87772,0
-0.39026,-0.17912,0.82832,-0.71038,-1.29427,0.92409,0
-2.02911,1.73686,0.92236,-0.96353,0.19242,0.97372,0
-0.18254,1.3387,-0.97026,-0.54393,-0.80584,0.71209,0
-0.20639,0.1739,0.45675,-0.57665,-1.2281,-1.01278,0
0.79734,1.53927,1.96818,-1.03023,-1.18672,1.19847,0
1.04647,-0.6054,-0.26308,0.92665,-0.06656,-0.68959,0
-0.41985,-0.55958,0.3863,-0.82607,-0.50128,0.13093,0
1.06463,0.37305,1.39492,1.06081,1.20347,-0.651,0
0.31777,-0.79387,-0.57823,-0.5086,1.08741,1.79483,0
0.87371,0.45566,-0.3801,0.32878,1.05496,0.75274,0
0.52026,-0.73945,0.22607,0.15307,0.9213,0.22954,0
0.23712,-0.07099,-1.23398,0.78415,-2.00682,-0.09951,0
0.56536,0.90263,0.71974,0.35804,0.20568,-0.02469,0
1.82823,-1.24661,-0.42484,-0.46213,1.38851,-1.68896,0
0.84685,0.09397,2.42418,0.27864,0.60013,-0.46787,0
-1.29344,-0.32336,0.45445,0.5582,-2.01211,-0.10943,0
-0.67968,-0.16069,-0.49193,-0.2791,0.80132,0.13833,0
0.54439,0.58768,0.0784,0.44931,2.04814,0.61331,0
-0.42873,1.0281,1.02197,0.60802,-1.90815,-0.89668,0
-0.69352,1.13289,-0.74731,2.80908,-0.14281,1.95361,0
-0.23119,1.18674,-0.29817,-0.03777,0.28728,1.22115,0
-0.41133,-1.41189,0.95392,0.42708,0.73129,0.46737,0
-0.78733,-0.54543,0.18087,-0.41396,0.82941,-0.64626,0
0.99379,-1.57646,-0.19967,0.64382,1.43351,-0.2547,0
-0.37163,-0.38098,0.29785,0.74219,0.45347,0.5474,0
-0.8205,0.69559,0.90743,-1.36171,0.27621,0.35978,0
-0.40374,0.79629,-0.79687,0.6678,0.07472,-1.79063,0
0.13,-0.18707,0.86781,-1.2346,-0.84738,0.44887,0
0.91746,1.14638,0.3295,0.58023,-0.07976,0.95294,0
-0.00949,-2.25224,-0.73927,-1.10781,0.13044,0.58534,0
-0.75571,-0.57738,0.27486,0.57792,-0.14164,-0.46886,0
0.37212,0.31346,0.54737,0.40691,-0.01696,1.80581,0
0.34371,-1.43966,-1.64075,0.44633,0.69055,-0.76161,0
-1.23739,1.56998,0.95887,0.5457,-0.45041,1.1094,0
0.76636,0.92165,1.35572,0.96586,-0.75065,-0.1761,0
0.41493,0.24798,2.26599,1.44558,1.67979,-0.67044,1
-0.11176,1.11453,0.77039,1.15119,-1.5134,-0.24639,0
