id_empresa,periodo,porte,margem,crescimento,endividamento,liquidez,superou_setor
E40,T08,1.01618,0.45167,-1.05301,1.10823,0.27233,1
E12,T14,1.24334,-0.00049,-1.31048,-0.287,-1.12631,0
E17,T12,-0.55072,-0.9536,0.27873,0.20499,0.42228,1
E18,T05,-1.34182,-0.14697,-0.40456,-1.06271,1.3299,0
E13,T14,-1.27289,0.31621,1.90446,-2.31123,-0.60895,1
E06,T11,-2.75831,-0.01738,-1.7076,2.21413,1.47503,0
E35,T01,-1.31823,-0.3543,0.47876,1.34739,1.19353,0
E20,T09,0.17804,-0.09884,0.24373,0.7761,1.45405,0
E28,T06,-2.57016,0.79138,-0.58655,0.97358,-0.79766,1
E30,T07,1.23102,0.4601,-0.3883,-0.21385,-0.8378,1
E37,T06,-0.62312,0.49484,-0.74918,-1.08874,0.25449,1
E06,T15,-2.7429,-1.58767,-1.02697,-0.73061,0.77525,0
E08,T14,-3.10966,0.65001,0.54216,0.60046,0.40657,1
E40,T09,0.98128,-0.08059,-1.13116,1.15719,1.32707,1
E21,T11,1.26198,-1.11902,-1.474,-1.07715,-1.59954,0
E33,T03,-2.03405,-1.30973,-1.1126,-1.48825,-0.42411,0
E21,T01,1.27942,1.30856,0.88645,-2.07952,0.24093,0
E36,T09,-1.80748,-1.39049,-0.35761,-0.70468,1.15872,0
E16,T16,-3.18208,-2.16644,-0.8172,-1.36732,0.4358,0
E38,T05,1.89547,2.48343,-0.66954,-0.57726,0.37681,1
E10,T07,-3.46408,-0.90244,-1.36244,1.36549,0.40928,0
E03,T07,1.27519,-1.68801,-0.86659,-1.66776,-0.3895,0
E10,T03,-3.43341,-1.03917,-0.39108,0.17328,0.10137,0
E22,T08,-1.23043,-1.48882,0.65297,2.87275,0.20916,0
E02,T13,-0.05681,-1.31816,-0.42951,-0.12318,0.33929,0
E21,T13,1.25559,1.36881,0.66847,0.75004,0.09452,1
E09,T01,-3.95274,0.72123,0.94444,0.81602,0.1542,1
E23,T09,-0.85996,-1.42121,-0.30707,-1.97169,1.39548,1
E23,T08,-0.86884,-0.32666,0.63857,-1.50517,1.04289,1
E40,T10,1.00746,0.69317,-0.60172,-1.35086,0.13912,1
E12,T15,1.2137,-0.68621,-0.86053,-1.5745,-1.53731,0
E40,T13,0.9932,1.43893,-2.22263,1.43566,-0.15427,1
E22,T15,-1.22461,-1.13628,0.39717,0.10842,0.15892,0
E10,T01,-3.44318,-0.66648,0.47825,1.04229,0.36268,0
E11,T14,-2.8995,1.32208,-0.84988,-1.46635,1.44523,0
E20,T06,0.18951,0.85291,0.62744,0.3265,1.33333,0
E07,T04,1.72252,-1.36925,-0.67715,-1.2914,1.18711,0
E07,T11,1.71431,0.13366,-1.68476,-0.36636,1.21129,0
E14,T12,-1.77041,-0.94365,-1.22248,0.31732,-0.25115,1
E21,T05,1.28902,-0.61012,1.63775,-1.53934,0.03598,0
E05,T03,2.68156,0.04129,-1.90009,1.00741,1.16137,0
E10,T15,-3.44619,0.99099,-0.97202,1.54801,-0.32854,1
E08,T11,-3.11768,0.01381,0.31632,0.8507,1.51684,1
E28,T07,-2.50251,-0.08581,-0.55606,1.83676,-0.61203,0
E28,T05,-2.55531,-1.40548,0.12775,-1.82876,-2.20161,0
E08,T06,-3.08721,-0.59834,0.09677,-0.10938,0.15359,1
E30,T04,1.21181,0.97749,0.17399,-1.41308,0.54929,1
E37,T01,-0.60809,-1.48912,-0.92557,1.5972,-0.5875,1
E14,T09,-1.769,2.147,1.62163,0.44978,0.69216,1
E26,T16,-1.42011,1.13975,0.09917,1.25461,0.93048,0
E38,T16,1.8776,-1.11763,0.639,1.41578,1.87226,1
E22,T11,-1.19924,-0.38518,0.15992,-1.01775,0.09937,0
E03,T06,1.28706,1.09516,-1.36224,-0.59847,-1.3572,0
E22,T05,-1.19962,-0.99048,0.49826,-0.40993,-1.75961,0
E12,T16,1.2591,-0.98763,-0.00427,0.58816,-1.57496,0
E28,T15,-2.59936,0.05301,-1.42649,0.47273,0.08369,0
E39,T01,1.53956,1.54965,-0.42971,-0.22953,-0.38816,1
E08,T03,-3.07376,-0.88418,-0.45153,-0.91505,1.10524,0
E23,T14,-0.84736,-0.38603,-1.28471,0.68461,1.49779,1
E23,T06,-0.87141,0.8949,0.96842,-1.02829,0.36154,1
E08,T13,-3.09878,-1.11029,-0.02125,-0.0725,0.00062,0
E13,T04,-1.27477,-1.72816,-0.68167,0.60003,2.12989,0
E02,T08,-0.07232,2.09232,0.04156,0.9723,0.75956,1
E33,T09,-2.08557,-0.57625,-0.36069,-0.58312,-0.40873,0
E23,T02,-0.85678,1.00997,0.0372,-0.61906,0.38659,1
E10,T02,-3.47052,-0.79844,-0.0264,-1.98052,-1.41503,0
E04,T01,1.88274,-0.49713,1.66694,-1.87559,0.33764,1
E05,T16,2.68272,-0.96656,0.45812,1.20903,0.17729,0
E23,T03,-0.86778,-0.03119,0.74067,-0.23495,1.21352,1
E01,T08,1.65175,-0.02853,-0.83833,-1.44417,0.83483,1
E27,T02,3.32928,0.54493,0.32881,-0.57058,0.84595,1
E38,T01,1.88183,-1.72521,-1.91956,-0.79981,0.49627,0
E37,T08,-0.56089,-2.42577,-0.78793,1.21715,-0.30196,1
E31,T01,-0.59415,0.56338,-1.04591,0.81366,-0.21364,1
E19,T11,3.24571,0.1712,-1.79827,-0.20251,0.49274,1
E29,T15,0.13416,-1.05033,-1.20334,0.48867,-0.87377,0
E25,T12,-1.99719,-0.19634,-0.07396,0.475,-1.23061,1
E40,T12,0.96414,1.03088,-0.72959,0.79007,-2.78972,1
E09,T16,-3.93244,1.28487,-0.10535,1.54938,0.56917,1
E20,T14,0.19335,0.47646,0.04084,-1.24584,1.83606,0
E36,T15,-1.90032,-0.95423,-0.63007,2.11843,2.72292,0
E19,T09,3.26518,0.04,1.38842,0.94789,-1.03764,1
E37,T13,-0.6136,-0.72181,-0.68483,-1.44914,0.02279,1
E26,T07,-1.46748,-1.45913,-0.05949,1.4293,-1.4071,0
E14,T08,-1.76464,-0.39936,0.4177,0.25525,-0.09651,1
E13,T05,-1.25605,0.47917,-1.04813,-1.11351,-0.05119,1
E17,T01,-0.56529,-1.58312,0.26104,-0.16607,-0.37187,1
