v001,v002,v003,v004,v005,v006,v007,v008,v009,v010,v011,v012,v013,v014,v015,v016,v017,v018,v019,v020,v021,v022,v023,v024,v025,v026,v027,v028,v029,v030,v031,v032,v033,v034,v035,v036,v037,v038,v039,v040,v041,v042,v043,v044,v045,v046,v047,v048,v049,v050,v051,v052,v053,v054,v055,v056,v057,v058,v059,v060,v061,v062,v063,v064,v065,v066,v067,v068,v069,v070,v071,v072,v073,v074,v075,v076,v077,v078,v079,v080,v081,v082,v083,v084,v085,v086,v087,v088,v089,v090,v091,v092,v093,v094,v095,v096,v097,v098,v099,v100,v101,v102,v103,v104,v105,v106,v107,v108,v109,v110,v111,v112,v113,v114,v115,v116,v117,v118,v119,v120,v121,v122,v123,v124,v125,v126,v127,v128,v129,v130,v131,v132,v133,v134,v135,v136,v137,v138,v139,v140,v141,v142,v143,v144,v145,v146,v147,v148,v149,v150,v151,v152,v153,v154,v155,v156,v157,v158,v159,v160,v161,v162,v163,v164,v165,v166,v167,v168,v169,v170,v171,v172,v173,v174,v175,v176,v177,v178,v179,v180,alvo
-1.54563,0.33279,-1.68205,-1.20339,0.90492,-0.06814,0.57947,0.52209,0.57368,-1.92407,0.64259,0.99849,-0.32343,0.65834,1.20879,0.868,0.14301,0.87601,-0.95742,2.04866,-0.58528,-1.40029,0.57702,0.65722,1.33358,0.11707,-0.64312,0.69473,0.87527,0.16731,0.81146,0.34207,-1.12382,-1.84239,0.9423,1.32918,-0.89732,-0.45863,0.56791,0.60551,-1.22758,-1.06751,-0.96494,-0.3027,-1.2227,0.50189,-0.48701,-0.93311,0.03512,0.85072,-0.71459,1.68744,0.31877,-1.87175,1.11878,0.23835,1.88322,-0.16441,-0.11855,-0.14379,1.23211,-0.11855,-1.2553,0.62874,-0.36535,-1.50199,-0.05489,1.17135,-1.58942,0.1514,-0.59591,-0.75907,-0.61651,-0.22627,-0.20866,-1.6357,0.39721,1.87783,-0.93987,-0.64368,-0.8739,-0.73141,-0.33114,-0.09249,0.17598,-0.98387,0.31712,0.95759,-0.41365,0.58265,0.72515,-0.63889,-1.21528,-0.10474,0.48071,1.27513,-1.81781,0.50743,0.48478,-1.34466,-0.74103,-1.17652,-1.04691,0.11324,-1.25056,1.57294,-0.39354,1.70328,1.95319,1.11531,1.81276,-1.89748,1.18483,-1.52445,1.67741,1.982,-0.00152,0.19375,0.48358,0.43341,0.04128,-0.68532,-1.65895,0.17335,-0.03144,1.08999,-1.04646,0.42717,-2.54852,0.89251,-2.15695,0.64068,0.37799,0.75875,0.97446,-0.55365,0.96682,-1.01164,-0.74217,0.3064,-0.72099,-0.41591,1.1444,0.56912,0.80922,-1.06325,-0.75668,-2.51024,-0.2816,0.31015,-0.80021,-2.22466,1.50951,-0.72536,1.41975,-2.95307,0.90157,0.39113,1.72917,0.10882,-0.11088,-0.27825,0.07588,0.82138,0.27328,0.43071,0.37661,-0.09141,-1.21447,0.39645,0.88889,0.20808,1.31179,0.19182,1.70713,-0.09794,0.06436,0.44185,0.80477,-0.59271,1
0.46946,0.51508,0.54961,-1.97395,2.32428,1.69914,0.06584,0.51959,-1.23604,1.19451,-0.17233,0.18525,2.22486,-1.18283,0.18201,0.07223,-0.07378,1.22916,-0.54218,0.73654,-0.41998,-0.04406,-0.82905,0.21631,-0.54142,0.13234,1.32048,1.28952,2.50482,-1.79797,-0.54045,0.46762,-0.46783,-0.12998,-0.68577,-0.39443,0.00581,-0.11708,-0.18844,-0.11959,-1.27063,-0.46391,0.92544,-0.48493,-0.46332,-0.33212,1.612,-0.56214,-0.30571,0.22863,0.07534,1.19042,-1.63375,-0.94124,-2.00845,1.5949,0.50726,-0.54612,-0.26534,2.47427,0.46448,-1.55526,-3.72647,-0.94168,0.20491,-3.28726,-0.27775,-0.45289,-0.1257,-0.95647,0.14372,-0.17416,-0.23685,-0.54001,-0.31401,-0.60154,-1.47208,0.57843,1.34031,-0.89197,0.35516,-2.78938,-0.01246,0.80846,1.97679,0.03333,-0.91522,-0.40488,0.51605,-0.87938,-0.12541,-1.19022,0.6356,0.60948,2.26539,0.54938,-0.72048,0.32941,0.32304,0.18491,-0.54013,0.5434,-1.42301,-0.80426,0.73624,-0.1305,-1.20057,0.10082,1.08545,0.78488,0.8548,1.08624,-1.10157,0.31899,-0.60185,-0.01705,0.34403,-1.18986,0.38041,0.0204,1.59566,0.28964,-0.01181,-1.19035,-0.12717,-0.91654,-0.98533,-0.77381,0.97677,0.02237,0.82949,0.01935,-1.58084,-2.33322,0.73481,0.72691,-1.4571,0.1845,-1.64588,0.02288,0.27721,-0.21279,-0.30594,0.38896,-0.4243,0.19685,-0.06233,-0.28875,1.15752,-1.41687,1.38008,0.52724,-1.22624,-1.98329,-0.68434,0.7659,0.39457,-0.25882,-1.77885,-1.48986,-1.26104,-0.82821,0.20619,-0.83918,1.00425,0.40796,-0.88689,1.12837,-1.06882,-1.8085,2.09583,-1.04341,-0.02309,-0.43118,0.3595,0.44054,-0.03902,-0.09556,-0.13905,0.53239,1
-0.29915,0.22341,-0.25376,-0.2571,0.39874,0.48794,-0.98046,0.3785,-0.528,-1.48436,1.37815,0.11321,-0.09366,-0.72068,0.82748,-1.83879,-0.383,1.72808,0.30322,-1.53383,1.24112,-0.30457,-0.02616,-0.38681,-2.23465,0.39353,0.1661,0.47468,0.42274,-1.30757,-1.05663,1.20047,-0.8567,2.15275,-1.2975,-0.56455,0.372,0.322,0.362,0.07208,-0.40361,-0.72461,-0.74011,-0.62271,-0.42646,0.31863,-0.10394,-0.76915,-0.20167,-0.5493,0.37706,0.36579,-0.32435,0.09415,-0.83032,-0.20094,-0.82251,-0.71044,0.83038,-0.97952,0.55355,-1.27391,-0.0298,0.4103,0.76793,1.42613,-1.67825,-1.43816,-0.07283,2.13487,-0.5788,0.68703,0.18526,-0.41995,0.34609,-0.78981,-0.89967,-0.30487,-1.48558,0.50587,0.09943,-0.96732,-0.3457,-1.13425,-0.39395,2.45912,0.65474,-0.12419,-0.53562,-0.94377,-1.85814,-0.80873,-0.87746,0.32446,2.07994,0.63797,0.51943,0.49732,1.33461,-0.46311,1.02199,-1.21011,0.87733,1.28153,0.11948,0.63736,0.82586,-0.58825,0.12803,0.64353,0.80446,-0.91031,0.82794,1.65556,1.50837,-0.95543,0.12394,0.92321,-0.63359,-0.04584,-0.2121,-1.51632,0.69062,0.17953,0.05735,0.22417,-0.54936,-0.43067,-1.14923,-1.63653,-1.25004,0.32655,0.51848,1.53736,-0.63512,-1.31421,0.7228,0.39389,0.79564,1.77189,-0.16309,-0.86396,-2.32698,-0.27572,-1.23056,0.75134,0.99566,-0.55718,-0.10321,0.03662,-0.2946,0.56027,0.27679,-1.38251,-0.37047,-0.17626,-0.18181,-2.27112,0.26207,-0.0176,-0.08376,-0.44557,-0.53752,-0.94074,0.43688,-1.13731,-0.85339,0.59579,0.88038,0.37742,-0.13006,-0.16029,-1.64048,0.62692,-1.42818,1.57709,-0.05372,-0.52832,-0.41472,-0.20026,1
1.7197,0.31785,-0.10528,2.35256,0.44452,0.31747,1.16316,-1.69503,-0.43451,0.13849,1.06431,-1.39634,-0.01767,0.90868,0.6778,-1.66827,1.17423,1.18935,-2.07646,0.49329,-0.45081,0.03955,-0.53577,-0.34162,0.5125,0.44558,0.79036,-1.33024,-0.71399,0.62328,-0.77762,-0.13904,0.10082,1.84189,0.13588,-0.3446,1.7922,0.89794,-0.56131,1.31443,-0.02013,1.44582,-1.68397,-0.02824,1.08278,-1.62522,-0.46299,-1.16939,-0.00839,-1.29141,-1.31394,0.58603,-0.16448,2.24103,-0.20583,0.67696,1.01923,-0.5688,0.35226,0.79024,-1.82434,1.53246,0.48908,2.66326,0.03713,-0.54915,-1.98751,-0.70978,-0.65464,-0.5975,-0.95953,1.00381,-2.42835,1.51941,-0.56255,1.05761,2.2254,-0.14503,-2.16715,1.44316,0.34419,-0.3495,0.42621,1.35233,-0.92509,-0.07078,0.67207,0.34049,-0.6333,-1.70623,-2.15048,1.01718,0.03456,-1.12762,0.03621,-1.41095,0.79754,2.57436,0.93541,-0.50709,-0.16208,0.28409,0.91046,1.11221,0.19014,0.41286,-0.04103,-1.21073,0.85636,0.38789,0.12882,-0.26408,-1.61446,0.93883,-0.75506,1.0852,0.90308,0.73563,0.16466,0.50518,-0.71146,-0.87972,1.3914,0.63548,0.95724,2.03956,0.49469,-1.60768,0.6421,1.65222,-0.05894,0.70949,0.30211,0.84616,-0.99821,1.23637,0.86106,-0.55412,0.9151,-1.32353,1.26974,-0.19611,-0.14502,-0.39278,-0.82581,0.01512,1.86696,2.86973,0.80817,0.25764,0.92582,-0.84456,1.71737,-0.24696,-1.53981,-1.30769,-0.9428,1.32821,-0.26149,2.11459,-0.33605,0.56975,-2.16376,-0.88036,-1.24307,0.29079,-0.64795,0.04349,1.1591,-0.87608,-0.32377,0.46216,-2.02571,-0.89955,1.27036,-0.15145,1.58348,0.22232,-0.42272,-1.61763,0
0.57616,-1.32447,-0.30796,0.50952,-0.31587,-0.76103,0.23819,0.54373,-0.36117,1.60223,-0.68006,0.98785,0.31208,-0.23213,-1.06653,0.78215,-0.48555,-0.40376,-0.73298,0.19086,-0.13597,1.71457,-0.71705,-2.05061,1.3165,-0.36338,-1.20101,-0.45956,-1.03127,1.35656,-0.058,1.0081,0.27964,-0.22095,-0.37048,0.73592,-1.65301,-1.94211,-1.25537,-0.62809,-0.59903,1.41859,0.89932,0.83316,-0.41103,0.17233,-1.58586,-0.50565,0.92061,0.33592,0.14704,-0.56841,0.67783,0.95339,-0.37105,-0.52877,-0.62207,-0.1387,0.63314,0.88202,1.86869,-0.43687,-0.67505,0.16002,-0.22153,1.77415,-0.18074,-1.59334,-1.47137,0.57773,0.69263,-0.93879,-1.33218,0.25456,2.27586,1.28841,1.52797,1.03921,1.62764,-0.07075,-0.88912,1.66852,-0.11601,-0.06523,-0.74169,0.47421,0.30772,-0.29829,0.99027,-1.61103,-1.8298,0.46457,1.09058,1.74798,0.2495,1.44047,0.75197,-0.90602,-1.38234,1.50853,-0.03329,-1.5462,0.3246,-1.01835,2.29532,0.15537,0.10763,0.27352,1.57806,0.53342,-0.262,0.91448,1.74711,-0.45182,0.38244,-0.31812,0.21589,0.0437,-1.24343,0.48811,-0.65404,-0.79195,0.1245,-1.4491,-0.22994,2.00615,-0.46215,1.93167,0.32013,2.16853,0.67785,0.49627,0.06525,0.978,-0.24024,1.40468,-0.95049,-1.27079,1.26142,-0.81713,-0.41266,-1.02488,0.02626,0.04161,-2.17065,-0.25769,1.18632,0.43957,-2.11599,0.00269,-0.20652,1.97636,-1.24943,-0.15354,-1.0092,0.62633,0.01864,-1.27672,0.47799,-1.01764,-0.63293,-1.07078,0.07142,0.96247,0.21711,0.37054,-0.88334,0.68493,0.02453,-0.9644,-0.0743,-2.93485,0.7707,1.89341,-0.70311,-0.42641,-1.66839,-1.08909,0.70815,-0.51194,0
-0.71024,2.65543,0.34903,-1.7042,0.82875,-0.01276,2.44655,-0.30004,2.56112,-0.1874,0.45488,1.78308,-0.0747,-1.87926,0.47215,-0.22449,0.62428,0.29594,0.28906,-1.14388,1.26624,-1.15317,1.03627,-1.8842,-0.16637,0.05088,-0.80067,2.43423,-0.31251,0.26462,-1.42685,-0.19855,1.0659,-0.29752,-1.33947,1.18085,-0.24542,0.78587,0.22376,-0.97104,-0.68671,0.20497,-1.34291,1.70428,2.68732,0.70523,-1.5696,-0.30834,0.66275,2.07001,-0.65493,-0.83239,-0.34115,0.28293,1.43678,-0.10986,-0.52192,-0.91866,1.59289,-0.42404,2.26185,-0.37473,0.55966,-0.54132,-0.49045,-0.92047,-0.35108,-1.36841,-0.69487,-1.35612,1.14643,0.82358,-0.44865,-1.32754,0.34338,0.59865,-1.05288,-0.29756,0.71309,0.07007,0.4929,-0.80857,0.89485,-0.05141,0.11779,-0.77856,-0.28964,-1.15566,0.6471,-0.57455,0.91291,-0.1125,-1.8319,-1.4345,-0.09603,0.01835,-0.91999,1.55362,-1.59478,-0.00553,0.81573,0.21298,0.63171,0.83311,0.11613,-0.56725,0.60882,-0.28387,1.75461,-1.5985,-0.17673,0.17836,-0.58025,-0.09504,-1.96839,0.43793,0.18096,0.81951,-1.35524,-1.63677,-0.46155,-0.75188,2.4479,0.69535,0.74327,-0.82755,-0.0071,2.32539,-0.21661,-0.23449,-0.52005,3.03247,-0.18928,0.30696,0.3926,0.56478,-0.13073,0.52971,-0.54421,-0.43509,0.25974,1.16086,0.821,0.58055,-1.36685,1.58025,-0.49777,0.23708,-0.20575,2.58841,-1.19379,0.38997,-0.53646,-0.07456,-0.30574,-0.49257,1.13027,0.47284,0.42671,-0.14063,0.21963,-0.40071,-0.38306,-0.48948,-0.7857,0.37442,-0.67601,-0.19816,-1.44572,-1.51216,1.67931,-1.09267,-1.57603,0.26892,-1.06355,0.95784,1.73209,-1.27872,1.09342,0.95108,0
-0.63455,-0.12717,-0.9005,-0.15343,-0.43112,0.58915,-1.07988,-0.24652,0.65739,-0.47271,-0.49116,0.52869,0.38433,0.96112,-0.70455,0.71808,-0.77105,0.03519,1.11153,0.46932,-0.21776,0.09309,0.04357,-0.19167,0.84286,-0.7526,0.92986,-0.72615,0.86314,0.85364,-0.05229,-0.76269,0.51944,0.78265,-0.54793,-0.7119,-1.20237,0.59989,-0.61996,0.94582,1.34163,-0.42646,1.06301,-1.71481,-0.46621,-1.50491,2.59159,1.13485,-0.69868,0.26407,-0.57105,0.50566,-0.60167,0.49709,0.44131,-0.32072,-0.22449,0.86552,-0.50934,-0.11444,-0.22465,0.65819,1.59691,0.24073,-1.81835,0.40614,-1.70427,0.84925,-0.9989,-0.09676,0.91727,1.88427,0.23801,0.91884,0.03248,2.321,0.59189,-0.91713,-0.29792,0.48572,-0.01395,1.28256,1.30202,-0.11387,0.61573,0.19994,0.76725,1.24534,-0.48267,1.41143,-0.80664,0.2615,1.12752,-0.06025,0.97877,0.38881,0.76232,-0.77244,0.28999,-0.38682,-1.57117,0.58673,-0.12573,1.79759,0.5133,0.01849,-0.32207,-0.11699,-0.9409,-1.9417,-0.67879,0.07072,-0.12182,0.56801,-0.57146,0.44336,0.62178,-0.0876,-1.18944,0.64529,0.1241,1.5279,0.48382,0.10185,1.14864,0.45377,-0.43385,-0.54627,0.58091,-0.3379,-0.75419,0.89496,-0.26258,0.70375,-0.87137,-1.24926,1.33425,0.58542,-0.65922,0.10078,-0.04258,0.09137,0.78483,0.08869,-0.12033,0.23153,1.43199,-0.1166,-1.94965,0.58057,-0.57119,1.65167,-0.61093,0.21411,0.93863,0.82851,0.5349,0.37273,-1.52612,-0.30144,0.42556,0.40721,1.4064,-0.49535,-0.55143,-0.66272,-0.03101,2.0695,1.24221,-1.19036,0.27437,0.52403,-1.04576,-0.78822,-1.83569,-0.14853,1.29482,0.02498,0.07726,-1.33104,1
-1.07734,-0.88438,-0.63927,1.66136,0.71089,0.09964,1.64827,1.32539,0.13018,-0.28178,0.47126,-0.39885,-0.61199,1.14084,0.85751,-0.41813,0.71392,-0.94832,-0.03566,0.26369,-0.7967,-0.84137,0.23714,0.90217,0.69542,-0.1336,-0.42537,-0.38514,0.3553,-1.33463,-0.59792,-0.20076,0.14764,-0.00552,-0.41647,-0.54193,0.73299,0.43612,-0.29022,0.24319,-0.81216,-0.3431,-0.26022,0.94008,0.03667,0.21521,2.55963,-0.87836,-0.79429,-0.22828,-0.73613,-0.21939,0.37391,0.30635,0.62526,0.69342,0.02658,0.53109,-0.69037,0.03095,0.62131,0.59401,-0.90168,-0.49551,1.82376,-0.39644,0.74109,-0.64007,-0.6342,1.67799,0.75168,0.88857,-0.49354,0.04936,-0.26962,-0.92436,-0.02928,-0.65808,1.34333,0.05218,-0.25221,0.05966,-1.08985,1.26817,-0.44194,0.74297,-0.72442,0.38952,2.43746,0.49755,0.24294,-0.0663,1.2883,-0.6767,0.42828,-0.3158,1.11584,-0.17333,-0.4163,0.1085,-0.03795,1.53901,-0.76285,-1.67573,0.75366,-0.24914,1.82021,0.59795,-0.39791,-0.63467,-0.48535,-1.16966,-0.89602,-1.01485,-1.22892,-0.64745,0.99163,0.00968,-0.06674,-1.482,-2.12491,1.204,-0.24862,2.41183,-1.05601,-1.25895,0.71228,0.9828,0.53735,1.36579,-0.0034,-1.55041,-1.03736,-0.25859,0.62842,1.23243,-1.36974,1.12038,-0.20031,0.16712,0.70888,-2.60469,-0.27062,0.56014,0.12678,1.1225,-0.32921,-1.16539,-1.73334,-0.61084,2.2008,1.46817,1.81138,-2.12383,0.0143,-1.01498,0.64074,0.08815,-0.58981,-1.11923,-0.2087,0.71319,2.61043,-2.1606,-0.65866,0.05817,-0.40483,0.86058,0.04559,-0.49819,-1.60813,-0.59254,1.45946,0.90314,0.05012,0.74053,-0.91402,0.28502,-0.7475,0.91612,0
0.50006,0.79012,0.25727,0.56701,0.55102,1.57647,-0.22688,-0.09104,0.77092,0.47355,-0.97925,0.52502,-0.68959,0.23722,-0.43515,-0.54619,0.60785,1.25857,0.3126,-0.26846,-1.52466,-0.52812,-0.54605,-0.34564,0.39379,-0.68173,-1.14528,-1.71876,0.24833,-0.05413,-1.11409,-0.53896,2.07976,-1.38956,1.07948,0.17705,0.27623,-0.85288,-0.55856,-2.44608,0.01676,0.21967,-0.5684,-0.32218,1.82041,-1.72006,-1.38576,-0.68542,-0.48414,-0.59098,0.24994,1.32668,0.49791,-0.62365,-2.37606,-0.77321,0.53527,0.51435,-0.98714,0.63785,-0.99644,-0.45547,0.34201,0.87568,-1.09631,-0.11407,-1.48986,2.22023,-1.69734,1.01467,0.15315,0.0846,-0.26468,0.67278,0.07737,1.45178,-0.9227,1.15886,0.98284,0.02875,1.25826,-0.99177,1.95841,-1.00408,-0.69682,0.37514,0.95709,-1.34687,0.34385,2.18872,0.79532,-0.24568,-0.62534,0.71021,1.2026,0.18543,1.87607,1.14154,0.1124,-0.08933,0.95756,0.16015,-0.61528,-0.67814,-0.2569,-0.31999,0.4115,-0.7834,1.75926,1.63752,-0.38921,0.22268,-0.14877,-1.17762,1.56797,0.1084,-0.54164,0.77457,0.91832,0.96858,0.26887,-0.19034,-0.00167,-1.4225,1.93884,-0.77334,0.63331,1.24152,0.26368,1.71888,-0.49823,2.27914,0.74285,0.84926,1.07165,-1.5639,0.23831,-0.50397,-0.80616,1.29003,-0.3088,0.41864,-0.72089,1.07056,-1.10597,-0.6763,-0.94043,-2.14164,0.29751,0.39656,-1.5104,0.32122,0.2213,-0.29187,0.85181,0.43678,1.03669,-0.49541,-0.23987,0.25608,1.46816,-0.03015,-1.83084,0.12463,1.36276,-1.43537,-0.00669,1.8465,-1.66629,0.73808,0.11771,-0.7398,-0.55107,0.37503,-0.82,-1.00466,-0.88468,-0.44878,-2.16627,1.5991,0
-0.10875,3.40532,-0.35329,-0.93134,-1.94245,-0.58473,-0.06423,-0.37213,-0.74968,1.51064,1.74071,1.23226,-1.99676,-1.03085,0.44784,0.30854,0.3306,0.49499,-1.14238,0.81742,-0.56333,-0.31466,-2.59878,0.37121,-0.82936,-0.69854,0.03954,1.76045,-1.09669,1.75537,-0.2089,0.01548,-0.42736,-0.98113,-1.04457,-0.04435,0.34428,0.15231,-0.5062,-0.04782,-0.35807,0.56957,0.59863,-0.56174,0.88564,-0.7085,0.5979,-1.22402,0.18032,0.62399,0.95295,-1.06173,-0.70684,2.64202,-0.72846,-0.55958,-0.41867,-0.35226,-0.10439,-0.00859,1.09794,0.028,-1.5597,-1.11178,0.02725,0.57264,-0.1575,-0.99446,1.06952,1.63385,1.69856,0.84419,0.20401,-0.10471,-1.23862,0.16602,-1.2369,2.09352,-0.97193,1.11538,4.34176,0.58342,-0.2355,-0.78628,-0.21007,0.46769,0.33321,1.66377,0.49761,1.07758,0.17293,-0.55053,1.38911,1.19936,-0.46162,0.59785,0.743,0.112,-0.69774,-1.70829,-1.12865,-1.55307,0.40211,0.50244,1.39284,-0.21332,-0.70313,-1.35116,-0.38953,0.65604,0.06848,0.35243,0.65988,-1.30462,0.20857,-1.21739,-0.1421,-0.34053,-1.75478,-1.19151,0.48117,0.53649,-0.21518,-0.53503,-0.06929,-0.68977,2.02409,-0.73707,-0.24097,0.73034,0.23381,1.07419,0.47238,-0.93794,1.51869,1.56944,-0.53333,0.3445,-0.32627,0.1656,0.47046,-0.51963,1.37922,0.34984,0.1658,-2.20081,0.03846,-0.99447,1.45651,0.2087,1.48838,1.09511,0.10692,0.04328,0.20266,-0.62683,1.09888,0.07567,-0.65097,0.53126,0.22963,0.23743,0.60151,0.80472,-0.15871,-1.10944,1.36225,-0.14255,-0.53495,0.54898,-0.37135,0.95994,1.61215,0.52471,-1.7057,-0.12747,-0.25632,-0.30423,0.5667,0.90783,0
