f1,f2,f3,f4,f5,f6,f7,f8,alvo
0.59193,-1.15214,-1.28721,1.00998,-2.61376,0.84432,1.26086,0.40788,0
0.40717,-0.24796,-0.63703,-0.79366,-1.23985,-0.33832,-1.71518,-0.40452,0
-0.86957,-0.0481,-1.8562,0.21198,0.12865,0.19135,0.42828,-0.34365,0
0.00759,-0.24644,-0.51275,-0.72364,-0.60768,0.35621,-0.19501,1.33449,0
-0.0669,0.15383,-1.29155,1.58278,1.69717,-0.20884,-1.42586,-1.97856,0
-1.57987,-0.9047,0.49597,1.88528,0.09371,-2.25724,0.40624,1.27739,0
0.32191,-0.70168,-0.12938,1.27642,0.75587,0.08087,0.78583,0.24368,0
-0.07848,-0.6295,1.19122,0.36827,0.99763,-1.49011,0.62944,-0.8884,1
0.48819,-0.06731,-1.97004,0.23219,0.41975,-0.83321,-0.58834,-1.48923,0
1.81042,1.61,1.2716,-0.21195,0.89596,-0.61544,-0.95438,-0.83967,1
1.93067,0.36917,-0.58122,0.45231,-1.09012,-0.05153,1.14641,-0.67727,1
-0.97504,0.63979,0.90924,-1.26212,-0.93185,-0.92451,0.01082,-0.06437,1
-1.3749,-0.18133,0.03743,0.05757,-0.32226,-0.28041,0.75774,-0.92153,1
0.37184,0.3706,0.76099,1.73221,0.70101,0.73962,0.1769,-0.15531,1
-0.38999,-0.2409,1.35309,-1.19004,0.07282,-0.53123,-0.10966,0.65958,0
0.01212,0.36117,0.19041,0.92804,-0.75691,1.13399,-1.89001,0.27468,0
1.05776,0.02479,0.97745,0.53247,-1.12992,-0.36357,-0.94786,0.24802,1
-0.53131,1.59327,-1.72408,1.39692,1.51492,-0.15782,0.01077,0.87559,1
1.28974,-0.16065,1.18657,0.18284,1.73668,-1.09897,-1.29649,1.22605,1
-0.2417,-0.75152,1.03818,0.28925,-1.87225,2.16614,1.07677,0.08349,0
1.29764,1.06595,0.91654,-1.18285,0.21772,-0.8633,0.51098,-1.12388,0
-1.30605,-0.02045,1.61443,-0.54824,1.87771,0.45262,-0.54188,-0.31163,0
-0.14838,0.15295,1.20215,0.16541,-0.2215,1.36988,0.03331,0.8386,0
0.78291,0.1775,-0.03434,-1.10361,1.30969,1.55874,-0.42975,1.16465,1
-1.02314,-1.56679,0.14822,-0.17118,0.08157,1.34876,-0.3041,-1.32955,0
-0.31682,-0.46121,0.71009,0.37978,-0.60907,-1.16918,2.29834,-0.4738,0
1.3981,-0.77783,0.34267,-1.25687,0.64181,2.2559,-0.7017,-0.45011,1
0.46426,0.03152,1.60173,1.23784,-1.25282,-1.91669,-0.8933,-1.21717,1
-0.70119,-1.23343,-0.50221,1.11952,-0.4368,-0.65441,-0.20287,-1.52099,1
-0.2396,-2.52468,-0.59871,0.81454,1.32189,0.72086,-0.44293,0.85351,0
-0.67738,0.39966,-0.33846,1.24984,-0.73374,0.98186,-1.68554,1.35333,1
-1.33567,0.50598,-0.41653,-2.915,0.28699,-0.61173,0.22018,-0.27248,0
-1.50748,1.13547,-1.10783,0.48741,2.0454,0.54032,0.18488,0.19677,1
-1.38734,0.1013,-0.14945,0.62574,0.13347,-0.42253,2.98349,1.18981,1
0.63168,-0.44318,-0.83124,-0.65533,0.31933,0.2905,0.39346,0.25756,0
1.3633,-0.79665,-1.61029,0.3129,1.38397,1.23911,-0.73611,-0.88871,1
1.23422,0.62145,-2.08946,-0.74312,2.33961,-1.5862,-0.66224,-0.49306,1
