v001,v002,v003,v004,v005,v006,v007,v008,v009,v010,v011,v012,v013,v014,v015,v016,v017,v018,v019,v020,v021,v022,v023,v024,v025,v026,v027,v028,v029,v030,v031,v032,v033,v034,v035,v036,v037,v038,v039,v040,v041,v042,v043,v044,v045,v046,v047,v048,v049,v050,v051,v052,v053,v054,v055,v056,v057,v058,v059,v060,v061,v062,v063,v064,v065,v066,v067,v068,v069,v070,v071,v072,v073,v074,v075,v076,v077,v078,v079,v080,v081,v082,v083,v084,v085,v086,v087,v088,v089,v090,v091,v092,v093,v094,v095,v096,v097,v098,v099,v100,v101,v102,v103,v104,v105,v106,v107,v108,v109,v110,v111,v112,v113,v114,v115,v116,v117,v118,v119,v120,v121,v122,v123,v124,v125,v126,v127,v128,v129,v130,v131,v132,v133,v134,v135,v136,v137,v138,v139,v140,v141,v142,v143,v144,v145,v146,v147,v148,v149,v150,v151,v152,v153,v154,v155,v156,v157,v158,v159,v160,v161,v162,v163,v164,v165,v166,v167,v168,v169,v170,v171,v172,v173,v174,v175,v176,v177,v178,v179,v180,alvo
0.12629,0.52151,0.13698,-0.17022,0.87166,-1.05712,0.53907,-0.20425,-1.56199,0.76307,-0.50507,0.30842,-0.45697,-1.06751,-0.65371,-0.33569,-0.3684,-1.49191,-0.60755,1.09579,0.3394,1.28419,0.33973,-1.00065,0.28171,1.34871,-1.57028,1.57826,0.41962,1.21621,-0.25182,-1.18153,0.52987,1.79123,-1.11817,0.06786,1.14406,0.2318,-0.13726,-0.77696,1.43561,0.26909,1.48263,-0.21338,0.6985,-1.14328,2.2753,-0.30213,0.05938,0.98453,0.86088,-0.91484,-1.59531,-0.32094,-1.39798,-1.00359,0.01409,2.02521,0.32496,1.45132,-0.01983,0.16123,0.606,-1.96924,-0.3112,1.18633,-1.66298,-0.87566,-1.40947,0.68787,1.53275,0.8316,1.24907,0.73399,-0.35009,-0.25921,0.34225,0.55953,-0.07616,0.15584,-0.57722,-0.17588,0.31024,-0.00368,0.19747,-0.26648,-0.81125,-0.65195,0.03657,0.30259,0.84468,-0.71079,-0.77791,-0.11011,0.58772,-0.11448,-0.87806,-0.07703,1.06957,-0.98814,1.7773,-0.5481,-0.16311,0.83971,-0.90114,0.03289,1.09109,0.20889,0.33956,0.04302,0.12693,0.98406,0.14786,-1.14198,-0.12822,-0.17322,-0.39168,-1.72905,-0.37284,1.27002,-0.23532,-0.20349,0.33069,1.25161,-1.32624,0.03474,-0.65604,0.30746,0.6995,1.578,0.03038,0.17471,0.3693,-1.2478,1.05558,-0.44758,-1.03525,1.00454,0.10295,-0.86645,-0.05817,-1.27321,1.28164,0.08609,0.53816,-0.60285,0.44587,2.36346,0.15321,-1.2735,-0.31633,0.03371,0.20369,-0.36416,1.84343,0.32934,0.85786,-0.00584,2.00044,0.11569,0.06323,-0.17346,1.58957,-1.11115,1.67818,0.27161,0.47494,-0.00398,-1.04633,1.79613,-1.66765,-0.17204,-1.25377,1.36095,0.43714,-0.25755,1.83438,1.6763,1.43711,0.32936,0
1.0849,0.19489,0.19628,-0.53542,-1.88104,1.5748,-1.78902,0.82636,0.09613,-0.20684,-0.89061,0.99683,-0.74183,-0.32149,1.36043,0.2881,-1.7054,0.43856,2.29247,-0.67688,0.1746,0.83465,-1.14569,-0.4158,0.94169,-1.31047,2.42839,2.35075,0.1899,-0.93399,-1.38311,0.09442,-1.37297,-0.4991,-0.13375,-1.58704,0.6099,-0.34117,0.56998,-2.14013,-0.39402,0.55903,-0.57401,1.16061,-0.5124,0.04624,-0.05064,-0.23174,1.46745,0.03652,-0.19524,-0.36324,-0.33638,0.13924,-0.76332,1.53314,-0.03979,0.92904,0.72573,0.98598,0.90666,0.3161,1.15346,-0.25669,0.20945,-0.74114,0.18934,0.22573,1.52562,-2.59815,0.41046,-0.91648,-0.11063,1.96168,0.40177,1.04707,1.22343,0.64393,-0.46871,0.03581,-1.35611,0.38503,0.20289,2.21485,-1.37752,-0.58413,-0.25319,1.69449,-1.22984,1.31616,0.53361,-1.07722,0.48024,0.227,-0.28528,1.43656,-2.00204,0.56911,0.01793,-1.27023,0.89859,1.27982,0.16287,1.90755,1.59202,-0.412,1.94223,-0.70668,-0.23591,0.96834,2.04772,-0.72323,-0.45961,-0.13158,1.25077,0.42474,-0.10294,0.09967,0.09302,0.5544,2.92086,-0.37722,1.31523,-0.48127,-0.61955,-1.15346,-0.81215,-1.80408,-0.99917,0.81317,1.4488,-1.00687,0.1696,-2.09327,1.78249,-0.16076,-1.0424,0.72181,-1.29299,0.10827,-0.2062,0.36703,1.02744,-0.30223,-0.75807,-0.37913,-1.77955,0.87753,0.44405,-1.04301,-1.14741,-0.9305,-0.80827,-0.38522,0.28595,2.7787,-0.17881,-0.01851,-1.35413,0.2198,-0.12308,0.28177,-0.56056,0.27014,-1.3104,0.04652,0.20917,-1.39342,-0.60282,0.03672,0.9144,0.83987,0.40481,-0.19537,-0.78063,0.21602,-0.35446,0.95437,-0.53319,-0.05986,1
-1.24938,2.04679,-1.02434,-0.27258,-0.55259,1.09148,-0.38502,1.80326,-0.79241,2.06503,0.23245,0.96745,0.68266,1.14922,0.15382,1.42205,1.51869,0.09954,-1.56078,2.00793,0.82306,1.12159,-0.33748,0.56287,-1.10336,0.54363,1.0301,-0.28506,-1.20655,1.39464,-0.62492,2.26594,-0.12104,-1.04275,0.96822,0.58265,-1.22006,-0.51377,-0.22261,1.08987,-0.46306,0.68455,1.84016,1.68149,-0.12202,-1.01538,0.55231,0.64041,0.40483,-0.04462,1.05526,0.94856,-0.9728,0.36062,-0.94158,1.63472,-1.17755,0.55201,-0.66277,-1.288,-0.39293,0.43477,0.59399,0.63588,-0.91772,-1.53668,-0.95962,-0.41646,-0.18342,-0.38683,-1.91723,1.43694,-1.35279,0.25553,-0.51463,-0.7203,0.34669,-0.63497,0.79982,-0.16271,-1.82979,0.14183,0.46052,-0.21003,-2.16694,0.55362,-0.41526,-0.19231,0.00102,-1.40964,-0.12383,0.67299,0.19559,0.90245,-1.02292,-0.94087,0.33962,-0.94855,1.69307,-0.00594,-0.25845,0.87468,0.67032,0.55557,-0.42564,0.48374,-0.87681,-0.46978,-0.5718,0.25668,0.95709,-1.4562,-2.6683,0.68081,1.00034,-0.74758,0.24733,1.31896,-1.52441,0.85022,0.31915,0.18979,-0.61683,0.59465,0.86149,0.45091,-0.4746,-0.30176,-0.6159,0.66008,1.60995,1.47266,0.15656,1.10429,0.52397,0.85713,-0.07472,-1.22322,-1.3082,0.75187,0.05589,1.48446,0.42989,-1.15213,-1.88035,-0.81761,0.91391,-1.49535,-0.21637,1.88525,0.40649,-0.25816,-1.90634,1.83429,-1.58017,-2.21637,-0.8776,0.6003,-0.00065,0.74402,0.4561,1.14718,-1.30039,-1.92232,0.17317,1.81819,0.4632,-0.22999,0.30836,0.06621,-0.18942,1.04097,-0.34977,-1.10979,-0.76602,0.74889,1.84028,-0.1734,0.73419,0.55112,0
-0.51775,-1.88124,1.00226,-0.4394,-0.90075,1.00381,0.44818,-1.90032,-0.69286,-0.93654,1.06782,-0.8221,0.3174,0.47028,-0.06923,-0.95723,1.99497,0.33337,0.22905,1.38451,-0.71644,0.19858,-0.22691,0.0006,3.53505,0.31229,0.77664,-0.71576,1.19966,0.02166,-0.57732,0.58339,-0.82512,-0.83199,-0.90851,1.31968,0.32902,-0.07572,1.27768,-2.03768,-0.80652,-0.0691,0.44359,-0.39025,0.56244,1.31374,-1.11264,0.44777,-0.11732,0.10756,0.51753,-0.35128,1.39498,0.44157,0.59339,-0.28991,0.6022,0.75347,-0.32456,-0.44823,0.00702,-0.35354,3.01094,-0.78574,-0.06133,0.46892,0.68625,-0.56324,-0.3882,-0.51989,0.67846,-0.15795,1.37344,0.9527,-0.49344,0.13206,1.33756,-0.9934,0.04928,0.33347,-0.59943,-0.58806,-0.43878,0.83376,-0.49362,-1.03368,1.56894,-0.70713,0.81841,1.33874,-0.5357,0.20612,-1.40791,-0.86016,-1.1758,-0.27266,-0.51622,0.33661,1.14228,0.85691,1.21829,-0.10083,0.89163,-1.00556,-1.9557,-1.05506,-0.7564,0.24107,-0.57549,-0.75489,0.02772,-0.20654,0.70758,1.58081,-0.13776,0.73421,0.4561,0.51448,0.19607,-1.20054,-0.12259,0.07865,0.38702,1.01908,0.68736,0.11966,0.2343,1.314,-1.44086,-0.17434,-0.50011,-0.18505,0.11166,0.39262,-1.53096,-0.4247,0.54796,0.10845,-0.10445,0.15798,1.9587,0.35515,1.0488,-0.13029,-0.7587,0.33615,1.55131,0.78533,0.0089,-0.82231,1.68502,-1.17611,0.74364,0.49516,1.26207,-0.24337,0.28254,0.63131,-1.56054,1.11279,-0.58589,0.17124,-0.91115,0.5134,0.45121,1.60573,0.8031,0.47734,-1.26849,-0.92948,0.08765,-1.21216,-1.38189,1.66549,1.00547,-2.48463,1.19241,0.20828,-0.7474,-0.51203,1
-1.31005,0.08667,0.37777,0.00444,-0.30664,-1.60791,-0.42961,-0.72163,-1.04506,0.71416,-0.22589,-0.29492,1.77917,0.60957,0.67126,-1.57774,-0.71542,0.11838,-0.46102,-0.42093,1.21038,2.14861,0.10452,-0.19705,-1.27954,-0.18356,-1.37447,-0.80111,-0.17179,-1.07945,1.0398,-1.71001,0.37941,0.77482,1.17596,-0.00937,0.97553,-0.22763,-0.74945,1.20111,0.17595,-1.3413,-0.93773,-1.54289,0.57776,-0.62712,0.56056,0.79277,0.49914,-0.52949,1.96464,-0.43077,0.59912,0.50791,-0.94991,-0.38413,0.01218,0.59585,-0.85808,0.09685,-0.57539,1.47379,-0.14436,0.76581,-0.88577,0.1911,1.25021,0.61784,-0.34506,-0.31565,-1.22759,-0.13689,0.31715,-0.05504,1.75484,-0.38237,-0.98847,0.39268,0.47139,-0.73216,-0.55356,1.06637,0.50095,-0.36224,0.28088,0.52444,-1.71184,1.93117,0.30354,-0.58559,1.19268,-0.3285,0.23819,0.06131,0.05313,0.76483,1.11907,-0.32238,-0.44915,0.30086,1.71848,0.52859,-0.22271,1.46721,0.85898,-0.84853,-1.69022,-1.15878,-2.26452,0.75626,0.32455,0.73537,2.59713,0.12828,-0.49251,-2.8326,1.35753,-0.12009,0.78979,-0.93811,0.23066,1.8498,1.15257,0.87406,1.08026,1.51763,-0.79036,-0.82114,2.25522,0.28104,0.16743,-0.6123,0.00481,-1.4352,1.00271,-1.09085,0.13992,-0.63331,-1.04603,0.30208,0.48835,0.67982,0.472,0.48015,-0.08355,-0.30032,-0.21996,1.12954,-0.79163,-1.83459,1.53323,0.82145,0.97245,-1.58716,-0.20373,-0.02081,-0.78899,0.24261,0.46598,-0.36085,-0.15063,0.98718,0.60697,0.20033,0.87384,-0.45493,-0.98832,1.30281,0.27555,-1.53885,-1.01106,-1.566,-0.49665,0.68066,0.52628,-2.43308,-2.53756,-2.90924,-0.95819,-0.96953,0
1.41187,-1.07666,0.51479,0.89597,0.55181,-1.48355,0.49542,0.08582,-0.30133,-1.71841,-0.2861,0.45235,-0.73941,0.45569,-0.06858,-0.03537,-1.577,-1.33591,-0.77578,-0.35553,-0.28178,1.96115,1.06711,-2.40304,-2.49357,-0.65512,-1.38884,0.73272,0.34524,0.6573,2.12591,-0.08293,1.57347,0.61575,1.16091,1.46216,1.02387,0.9558,2.9624,1.65242,1.14528,-0.09709,0.83074,0.13275,-1.21817,0.56698,1.13281,-0.90702,0.06323,-1.89089,-1.78663,-0.20599,-1.2059,0.7334,0.61749,-0.36025,-0.31698,-1.80875,0.31257,0.63537,-1.08707,-0.57447,0.36157,0.37835,0.97046,-0.31855,1.46992,-0.66637,-2.09624,-0.40771,-1.74897,0.03156,-2.19127,-1.40406,1.5558,0.56969,0.04206,0.71397,-0.23897,0.05136,0.1936,-0.45421,-2.084,1.06914,1.5202,-1.54484,-0.00258,1.66668,-0.3222,0.262,0.81732,-0.12456,0.25597,0.36909,-0.82737,0.61565,0.51842,2.12827,-1.18766,0.97451,-0.46242,0.24446,-0.04941,-0.0049,-0.68223,0.64715,0.69115,0.0634,-2.1623,0.56301,1.12325,2.01502,-1.12219,0.87488,-0.11442,1.30722,-0.13516,-0.74599,0.77326,0.18631,-0.03182,-0.01682,2.20846,-0.84321,-0.52051,0.41047,0.24101,-0.64477,0.43883,0.36848,-0.07503,0.9835,-1.29354,-0.45955,-0.22608,-0.39043,-0.78162,1.35012,-0.02135,0.9953,1.5075,-1.52419,0.96637,-0.73023,1.78537,1.62991,-0.37101,-1.17564,-0.48267,-0.04175,0.12167,-1.26379,-0.3455,-0.6031,1.30685,0.52152,-0.52868,0.66471,0.3332,-0.08174,-2.04391,0.68046,-1.57028,0.66415,-0.15291,-0.63565,0.75791,-0.29644,-0.26381,0.24784,0.43634,0.59711,-1.39827,0.27731,1.10007,0.17674,0.59597,0.89929,1.75015,-1.1466,0
-0.26761,0.69652,1.50724,0.43057,0.51444,0.4655,-1.27594,-1.48177,-1.23558,0.63074,0.94115,2.62016,-0.28681,0.24588,-0.609,0.54839,-1.12626,-0.39065,-1.70217,-0.02447,-0.79494,0.22787,1.31194,1.14537,-0.6311,0.71441,-1.36612,1.64098,0.8741,-0.40827,0.16234,1.15543,-0.98179,0.91878,-0.83374,-1.26417,2.81925,-0.8752,0.51674,0.23592,-1.68178,-1.00949,-0.9561,2.60005,0.43953,0.74055,-1.10403,0.54622,-1.42612,-0.00101,-0.34292,-1.69144,0.33763,-1.22951,-2.22329,0.71224,0.66479,0.07663,-0.65742,-0.88695,2.4721,1.55742,1.06696,-0.80166,0.7846,0.58201,-0.08646,0.14008,0.39462,-1.39199,-1.22535,-0.22969,1.00533,-0.28531,-1.1723,2.39092,-0.44348,-0.48509,-0.3157,1.88925,0.31472,1.09998,0.3265,0.3561,0.6983,0.43538,0.24967,-1.25834,-0.444,-1.00389,0.62795,-1.07681,-0.628,-0.74924,2.0343,-0.77132,1.00658,-0.16808,-0.56046,1.05768,-0.22649,0.06819,1.26521,0.87424,0.29899,0.70288,0.14255,-1.39429,-0.73608,-0.2523,1.10129,-0.54571,0.52245,1.19972,1.49045,0.26282,-2.84833,-1.16667,-2.3508,0.66523,1.04719,-0.371,-0.30904,0.58559,-0.94131,0.60801,0.34032,0.32001,0.22499,1.9247,-1.5544,-0.34898,-0.52363,-0.07319,-0.31055,-0.61867,0.8935,-2.25064,-0.35628,-0.94315,0.24749,0.33273,-0.49492,0.86177,-0.05248,-0.0391,-1.06619,0.51695,0.95955,0.99572,-1.49887,1.62782,1.2399,0.8902,-1.07122,0.16689,0.6273,2.53588,0.17227,-1.85205,1.05626,-0.12211,1.15296,0.48096,0.22017,1.60388,-1.48915,0.39458,0.55756,1.33966,-0.95027,1.58046,0.26451,-0.79855,0.24132,-1.11857,-0.59585,-0.7082,1.12648,-1.92544,1
-0.32821,0.54072,-1.17285,-0.41116,0.25215,-1.35518,1.06531,0.41088,0.37708,0.17996,-0.60412,1.20885,-1.01237,-1.16006,-0.09644,0.74986,0.07797,1.59645,0.44509,-0.61496,1.27262,-1.33634,-0.46786,0.83682,1.53258,0.73452,2.32867,0.67779,-0.34958,-0.65299,-1.02888,-0.0136,-2.05941,-0.46773,-0.00236,-0.48167,-1.10902,-1.36347,2.79466,-0.3497,-0.32209,-0.48006,-0.10143,0.87601,0.635,0.65599,0.31257,1.09133,-0.04485,-1.40667,-0.71068,0.5544,0.10361,0.59202,-1.44539,0.04479,-0.97544,-0.27466,-0.62489,0.72854,-1.3732,-0.50387,0.82084,0.42981,-0.92319,1.8642,-1.24268,-0.04056,0.25185,1.685,0.43414,0.1822,1.51293,-1.55717,1.33132,-0.41601,1.68691,0.47218,0.74029,0.99396,0.20305,-1.28686,-1.61803,-0.61869,0.49594,-0.375,0.351,-0.96825,-0.14956,0.43173,-0.06055,-0.6232,0.11644,-0.28542,-0.22954,-0.18244,0.7215,0.19571,-0.08059,0.1074,0.1472,-0.72976,0.09766,1.65469,0.46287,-0.17515,2.75122,1.71706,-1.64554,1.24665,-1.25945,-2.0126,-0.0723,-0.85895,-0.67002,0.2926,0.11488,-1.06967,0.57239,0.94894,-0.06413,0.98905,0.58751,0.37732,-1.60222,-0.37415,-0.06943,-0.83609,0.03195,-0.22235,1.97688,2.16951,-1.35308,0.28359,1.57431,0.24975,0.32094,1.26441,0.92418,0.0512,-0.73807,1.0266,-0.72283,0.17319,-1.17729,0.3257,-0.85046,0.59545,0.29794,0.91009,-0.11657,0.65285,1.07183,-1.62007,-2.22513,1.37731,-1.25222,-0.53158,-0.79017,-0.59303,-0.48094,-0.02177,1.51589,-1.27603,-2.30408,0.173,1.18963,0.56424,-0.38001,2.60749,1.11701,-1.41444,0.75327,-1.26927,0.83844,0.47132,-0.48908,-0.4696,-0.93859,0.80371,1
1.46384,0.34933,-1.24898,-0.14561,-1.10499,1.62075,-0.33634,-0.22156,1.75597,0.87833,-2.03095,-0.13301,-0.33068,0.61385,-0.56318,1.10361,1.28209,2.05694,-0.95335,0.3528,-0.06873,-1.61445,-0.75281,-0.22614,-0.83485,-1.22332,0.4368,-0.50683,-0.5286,0.05687,-1.23822,-1.26844,-0.35421,-1.95008,-0.79078,1.35956,0.50387,1.81894,0.17022,-1.838,-0.69813,0.35395,-1.48485,0.13587,0.22803,-0.76889,-1.08791,-1.37735,0.90756,0.19087,-2.21867,0.57807,-0.24909,0.43137,-0.4673,-0.64593,-0.91633,0.41355,0.79037,-0.67769,0.68642,-0.28921,-0.63683,0.68494,1.80672,2.27035,0.71529,-0.19986,-0.96799,0.5996,-1.01074,-1.78291,2.62095,2.42345,-0.3434,1.25414,0.22781,1.51486,1.70641,-1.18785,-2.33378,0.6876,-0.82042,-0.08664,1.06596,-0.11601,-1.69511,1.11286,-1.59308,0.23148,0.30594,0.48181,-0.17509,0.74069,-0.12041,1.26462,1.02723,0.68843,-1.08843,1.70807,-0.3512,-0.28405,-1.38385,-1.95389,-0.1167,-1.31744,1.21193,-0.16151,-0.58344,0.22886,-0.18436,1.15738,-1.48055,1.76399,0.89952,0.84342,-0.04289,0.25636,-0.07124,-0.11976,-1.52818,0.0616,-0.07,1.18082,-1.07945,-0.18827,0.30186,0.39815,1.31185,1.20984,0.03361,-1.31796,0.9514,0.48056,-0.38408,0.11047,-0.67825,0.77116,-0.324,0.0247,-0.11377,0.18325,-0.12179,1.47501,-0.6111,-0.30522,-1.33772,2.33874,-0.13853,-1.34309,0.09409,0.34173,-1.20972,1.47483,1.58661,-1.08303,1.22697,-0.24168,0.54548,1.01521,2.29176,0.60706,0.64914,1.48589,2.07784,0.2894,-0.73339,-0.0945,-0.7858,0.96225,1.13964,0.53828,-0.00311,1.07572,-2.30984,-0.38615,0.47534,0.52048,0.90183,0.47578,1
0.65468,-0.09645,0.21302,0.05577,-1.04261,-0.10838,-0.77883,0.85975,0.01112,-0.00254,-1.03517,-0.62783,1.2156,-0.21042,-1.10533,0.08589,0.00142,0.48622,0.8705,-0.49046,-1.99603,0.08866,-0.10983,-0.58092,0.50956,0.70344,-0.54803,1.23764,-0.50279,-1.11471,0.60314,1.14105,-0.48914,1.44521,0.58797,-0.27827,-1.36509,-0.24816,1.53693,0.2594,-0.19841,0.38199,0.1111,-0.61889,0.39622,-0.78127,0.06086,-1.19715,-0.44592,1.16407,-0.98708,0.18006,-0.59532,-0.95161,0.34427,0.05038,-0.8804,1.9994,1.28354,0.19445,0.33027,-0.68614,-0.32907,1.09654,-1.51124,1.43605,-0.14412,3.74907,-0.16748,0.31553,-0.43373,0.54439,0.414,-0.37634,-0.15887,-0.42845,1.61351,-0.22827,-0.05123,0.04796,-0.52486,-1.37032,-1.95631,0.04488,1.17059,1.57984,1.07813,0.62227,0.07305,0.18178,-1.21334,0.42981,-2.63266,-0.99888,1.60777,-0.29206,-2.13841,-1.39904,-0.80102,1.16317,-1.02777,0.08585,0.46789,-0.15689,0.04691,-0.74328,0.004,1.44401,0.67598,-0.93524,-0.27652,-0.14285,0.80144,0.00852,0.7306,1.15017,-0.09981,0.57457,-0.88753,-0.8166,-1.13337,-0.99823,-0.00117,0.50662,0.72636,0.96207,-0.15544,0.23607,0.57336,-0.11796,0.07356,-0.64494,0.53092,0.6692,0.26752,-2.75715,-0.6126,-1.13145,-1.22129,-1.03621,1.53668,-0.01759,-0.37821,-0.11236,0.01913,-0.3037,-1.45544,0.42007,1.30317,1.52332,-0.26217,0.1133,-1.81292,-0.57075,-0.52486,0.76259,-1.27487,0.78654,-0.7128,-0.98884,-0.43207,0.5246,0.25039,-1.57666,-0.4919,0.74637,0.55968,-0.81639,-1.79377,1.17024,0.06867,-0.26169,-0.35795,0.23124,-1.22552,1.14987,-1.41888,1.22637,-1.51984,0.2524,0
