x1,x2,x3,x4,x5,x6,alvo
0.22086,0.66452,1.3351,1.10313,0.33973,-0.10017,0
1.97478,1.33426,-0.09057,0.95018,0.65655,1.23735,0
0.08381,-0.91741,1.63679,-1.94879,-1.12477,0.73738,0
-0.93254,1.89561,-1.73088,0.84342,0.85334,-0.11561,0
0.66322,0.73377,-0.10681,-0.24988,0.56226,-0.77593,0
0.28803,-0.94192,-0.64251,-1.02917,0.36152,0.2591,0
-0.62541,-0.00687,1.35624,-1.08417,-0.76733,0.38279,0
0.71444,-0.35523,0.34283,0.73192,-0.43588,-1.06662,0
0.72175,-0.57121,0.14946,0.81414,-0.7094,0.33364,0
-0.23991,0.6287,0.2077,-0.77786,-2.03879,0.24228,0
-1.09902,-0.04987,-0.14309,-0.00365,0.82086,-0.42631,0
1.20894,1.5077,1.00442,1.09954,1.64021,0.68321,0
0.75833,1.19572,0.88869,-0.12547,-0.19187,-0.04973,0
0.17385,1.02721,-0.86289,0.83287,1.44293,0.33615,0
-1.34374,0.01236,0.93356,-0.81315,-1.17739,2.13826,0
-0.88319,2.142,0.49293,1.13856,-2.17904,0.2122,0
-0.27605,0.39457,0.94327,1.49369,-1.51864,-1.00757,0
0.39095,0.78417,-0.01709,1.32706,1.24801,0.78557,0
-0.8765,-0.38197,1.16939,-1.1288,-1.13957,0.36125,0
-1.8786,-0.63266,-0.86338,-0.24867,-0.32783,-0.13681,0
1.03964,0.51246,0.10662,0.3688,-1.99679,2.16021,0
2.58053,0.51107,-1.37221,-0.04528,-0.92484,-0.53399,0
0.9997,1.17103,0.55383,-0.06721,-0.10304,-2.71391,0
-0.07022,0.30725,0.61285,0.4909,0.05139,-1.23631,0
-2.48007,-2.4202,1.0584,0.23281,-0.61543,1.00386,0
-0.12645,2.00892,-1.02615,-2.15356,-0.7451,-0.69442,0
-0.63461,-0.85473,1.62792,-0.04101,-0.38054,-0.78999,0
-1.84875,-0.49865,-0.06367,-0.43854,1.2328,0.13115,0
0.43094,-0.79665,-1.48009,0.62287,-0.6744,0.69214,0
1.56886,2.0113,1.93052,0.68026,0.24391,1.27096,1
-1.21408,-0.69531,0.03928,-0.55508,1.70877,1.42304,0
0.62111,1.03937,1.00746,-1.47938,1.6988,0.7855,0
0.2342,0.33577,-1.8388,-0.72394,-1.91178,0.23266,0
0.2162,-1.35768,-0.40582,0.30909,-0.73636,-0.46111,0
-1.43625,0.5909,0.75754,0.31147,2.3926,-1.96091,0
-0.88415,0.06441,0.4096,-0.27644,-0.17912,-1.13216,0
-1.63455,-0.52439,-1.26447,-0.15648,-1.24047,-1.88006,0
1.08268,-0.98683,-1.32125,-0.9181,0.78147,0.10566,0
-0.02865,-1.17145,-0.66512,-1.94602,0.42775,-1.37071,0
-0.79304,-0.44239,1.86392,1.03167,0.80606,1.04517,0
0.30558,-0.44234,-1.8844,-0.29594,-0.20415,0.29822,0
0.96866,-0.92777,-0.33724,-1.28167,-0.822,-1.42433,0
-0.13595,1.33635,0.05942,0.1751,0.10013,-1.34383,0
-1.00418,0.25752,-1.21649,-0.18515,-0.42,0.20863,0
1.69666,1.24213,-1.13228,0.71267,-0.6547,0.75163,0
-0.82372,1.14714,0.96189,0.5165,-1.43494,0.53246,0
-0.02089,1.55366,-0.72755,1.29071,2.00778,-0.42506,0
1.15463,-0.23656,1.13335,1.02831,-0.76212,-1.08027,0
-0.06369,-0.30003,0.91541,0.7898,-1.30489,0.00022,0
2.22809,-1.17913,0.76852,-0.39208,0.99029,1.3591,0
0.49785,-0.9032,-1.26004,-0.26936,0.64678,0.13688,0
-1.23727,-1.60371,-0.08936,0.47559,-0.12525,-0.10745,0
0.67239,0.12328,-1.24526,2.1628,-0.00885,0.63226,0
-0.01627,0.12748,3.82595,1.70491,1.11052,1.37179,1
0.13214,-0.44518,-0.43598,-1.26848,-0.82292,0.2799,0
-0.24967,-1.70208,1.32783,1.63196,-0.51171,2.34506,0
1.05867,0.33705,-0.87292,1.20172,0.33547,0.40519,0
0.06432,0.77889,1.07726,1.43999,1.36521,0.86339,1
-1.70549,1.67029,-0.45118,0.29702,0.34936,1.40307,0
0.05813,-0.02796,0.05722,-0.61772,-0.25462,0.00631,0
-0.07069,0.04153,-0.62585,0.89728,0.22307,-0.76534,0
0.92934,-0.38032,-0.33244,0.24949,-0.55342,0.77555,0
0.09056,0.85317,-0.6583,-0.50354,1.16766,2.01054,0
-1.18798,0.08548,-0.52378,-0.27874,2.97977,-0.11683,0
0.52484,0.00341,2.29955,-0.21107,-0.14556,-0.17198,0
0.58494,1.21042,0.56798,1.67448,2.03945,2.87514,1
0.41816,0.29813,-1.26573,0.40604,-0.21109,-0.91323,0
-1.14529,-0.05438,-0.36319,0.36748,0.25117,-0.16934,0
-0.5892,0.19627,0.55715,0.17219,-0.51757,0.56974,0
-0.08016,1.77839,0.87944,-0.53747,0.19598,0.97447,0
-1.83985,0.61068,0.03672,-0.26315,-0.69719,-0.64498,0
-0.95432,0.0682,0.74971,2.47228,0.35233,-0.48557,0
0.03976,0.98326,-1.23226,-0.01943,1.66674,1.34521,0
-0.10094,0.40571,1.48128,0.94329,0.37382,0.24416,0
-0.47545,-1.29585,0.28636,0.99106,0.34941,0.07379,0
-0.93086,0.90096,1.21647,1.65956,-1.02962,0.67991,1
1.52957,-2.05407,0.93873,0.00812,-0.68684,0.99053,0
-0.92294,-0.08503,-0.65825,3.4168,0.77,1.24503,0
-1.11492,1.17456,0.40457,1.08191,0.52025,-0.59103,0
-1.61839,0.41938,-0.70632,0.51543,0.06355,-0.77929,0
-0.87464,-0.11511,0.17392,-0.11859,-0.39555,0.38146,0
-0.77327,0.44283,-0.25895,-1.75169,-1.3391,-0.20949,0
0.4556,1.68783,1.16054,0.93925,1.73771,0.82486,0
0.47004,0.34567,0.56547,-0.7007,0.47883,-0.49969,0
0.59774,1.45238,0.80003,-0.6926,2.21066,-0.62745,0
0.34355,2.05036,-0.26288,1.97242,1.2752,1.51977,1
-0.04846,-0.44817,0.63501,-0.3131,1.21225,-1.34311,0
-0.01481,-0.05601,-0.29532,-1.33272,1.3994,0.85516,0
0.76058,-0.43194,-0.26343,0.82331,-1.35032,2.8684,0
1.12899,1.45302,-0.45637,-2.18885,0.93945,-1.13864,0
-1.40949,1.65731,0.32535,1.26964,1.47773,0.85582,0
0.28535,-0.63747,-0.65496,2.90355,1.36713,-0.09144,0
-0.37299,-0.73801,1.76363,-0.47367,3.8547,0.25784,1
-0.69139,-0.2797,-0.01478,-0.91758,-1.70912,0.0804,0
0.71073,0.05801,-0.9524,-0.18242,1.88784,-0.2229,0
0.68055,-1.26278,0.0212,-1.43651,1.23156,-0.96027,0
-1.26232,0.15916,-0.99776,-0.46606,1.37103,-0.07808,0
-0.11195,-1.04326,0.46216,-0.80734,-0.69838,-0.37642,0
1.37919,0.79021,-0.7213,-2.1127,-0.97914,0.04494,0
0.44565,0.35042,0.02545,-0.21283,-0.64901,1.12806,0
0.48126,-0.84907,-0.44061,1.04848,-1.34596,-0.53991,0
-0.45187,1.55225,0.31003,-1.22784,-0.20042,-0.35887,0
1.00954,-0.46765,-0.66119,1.14503,2.39254,-0.27641,0
0.11257,-0.14608,0.49353,0.05331,1.1732,-0.60118,0
0.06631,-0.57971,1.10327,-0.52448,-0.35719,-0.11033,0
-0.73733,-0.23187,-0.15919,0.79763,-0.29976,1.21246,0
-1.21635,0.27944,-0.58291,0.4932,1.00113,-1.5053,0
-0.33884,-2.37864,1.05978,0.32309,0.33319,0.9511,0
-0.81804,0.24034,-1.18518,0.76551,0.66477,-1.13256,0
0.11888,0.47208,0.42029,-0.12568,1.32013,0.77708,0
-0.09984,-0.14333,0.73689,0.65324,0.09392,-0.35288,0
0.75467,0.64783,-0.02172,-1.40641,0.01263,1.17967,0
-0.17754,1.17252,1.1169,-1.20416,0.67468,-0.25135,0
0.97583,1.1028,0.32956,2.02427,-1.22118,2.55593,0
-0.30429,-0.06402,-1.03376,0.59633,0.09109,0.74494,0
1.0365,0.65597,-0.44241,-1.78143,0.69177,-0.80246,0
-0.71339,-0.28517,-1.3064,-1.31886,0.8215,-0.22322,0
2.07165,1.52297,-1.09534,0.60725,-1.84894,-1.11931,0
0.58908,-0.65067,-1.04614,-0.77642,1.58754,0.60444,0
1.42307,0.80697,0.32288,-1.37719,1.19298,0.18498,0
-0.13046,-0.18865,0.3092,-1.39712,-0.27542,0.11015,0
-0.36753,0.94609,0.6393,-0.63083,-1.67044,-1.40847,0
0.75261,0.26352,0.10449,-1.50238,-0.69821,-0.38598,0
-0.12149,-1.86825,-0.01895,0.37208,-0.88037,0.33353,0
-1.03549,-0.6309,1.53953,0.00158,-0.69136,-0.04336,0
-0.61721,1.74288,0.86834,0.25783,1.27191,1.47531,0
-0.0088,0.6838,-0.28626,0.26978,-2.42425,-0.37056,0
-1.33997,-0.93024,-0.01026,0.03262,0.07759,0.41644,0
-1.76675,-0.24072,0.5223,0.86028,0.57527,-2.32083,0
-1.69576,-0.9018,0.44389,0.45515,-1.15533,-1.64056,0
0.21634,-0.05554,1.16232,-0.55757,-1.77739,-1.42381,0
-0.64584,2.4514,-0.46745,-0.69429,1.63247,0.83455,0
0.10709,-1.34509,-1.07402,-0.4391,-1.73887,0.10871,0
-0.637,0.64249,0.5244,0.63615,-0.4613,-0.18943,0
-1.24499,-0.64119,-0.34307,0.47057,2.72584,-0.06252,0
1.63061,-1.15168,-0.47357,-0.2402,0.20842,-0.1846,0
1.55572,1.04104,0.0629,-0.2772,2.07138,-0.40582,0
-0.36261,0.03061,1.57198,0.31132,-1.55652,0.20674,0
-0.71763,0.30428,-0.73119,0.13085,1.54499,-0.94918,0
-1.49175,-0.77232,0.31014,0.21903,-0.8381,-1.07721,0
1.46891,-1.65313,-1.41385,-1.05955,0.41529,-0.81951,0
0.27295,-0.24284,0.31116,-0.69582,1.18198,-0.2447,0
-1.78024,0.89943,-0.6328,-1.67153,1.45256,-0.15753,0
0.22476,0.0238,0.84541,-1.04993,0.12341,-0.64724,0
-0.14683,-0.86483,-0.75379,0.05503,0.35192,-0.91385,0
-1.72168,0.52376,-1.15607,-0.34712,-0.77631,-1.26767,0
-0.03253,0.35864,-0.04067,0.74865,-0.57474,1.22259,0
1.59708,-1.03108,0.32308,1.12126,-1.11212,1.18217,0
-2.15937,-0.38289,-0.21936,-0.79548,0.45737,-0.65623,0
-0.01586,0.94349,-2.35554,-0.2008,-0.62711,0.5294,0
-0.89854,1.24719,-1.25953,1.0318,-0.7258,0.18065,0
-0.29524,-1.7158,0.01051,-0.46202,-1.0771,-0.73511,0
0.10019,-0.65034,0.98189,-0.16428,-0.07882,0.45368,0
0.81742,-0.77806,1.721,0.33948,-0.02398,-0.16112,0
0.62752,0.11315,-1.57571,0.38667,0.19099,-1.2606,0
1.75927,-0.02031,0.96014,0.60634,-0.55205,0.00714,0
-0.92163,-1.54303,-0.00333,0.13073,1.90176,-1.95285,0
0.996,-0.45966,0.23837,-0.77019,0.66899,-0.00312,0
0.22229,-0.27151,-1.06934,0.48004,0.09735,-0.87341,0
-0.45043,-1.51488,0.6871,-0.99727,0.32193,-0.4446,0
0.73926,0.63456,-0.39344,-0.91635,0.19446,1.57992,0
1.12839,-0.08626,0.88439,-2.22612,-1.02275,0.60873,0
-2.949,-0.96086,1.66364,-0.5802,0.05256,-1.06249,0
-0.3004,-0.91806,-0.18183,-0.34167,0.109,-0.23508,0
0.65836,-1.77702,0.43995,0.65632,1.96258,2.67795,0
-0.63502,0.25467,-0.34799,-0.55402,0.53921,0.4958,0
0.6303,-0.24165,-1.24329,2.90709,-1.50034,-1.04412,0
0.77248,0.91372,-0.67412,-0.52372,-0.1954,-1.82256,0
-0.18288,-1.38546,-0.08882,0.71683,-0.51905,-1.28343,0
0.14218,0.86258,0.29604,-1.39263,0.34729,1.0324,0
0.40276,0.44847,0.33537,-0.76547,2.23202,0.28604,0
0.39819,-0.52501,0.31243,-0.15931,0.9287,-0.97649,0
1.01268,-0.07255,0.86814,-1.05507,-0.00757,-0.50639,0
1.5719,1.88512,-0.16889,0.52545,-0.60368,0.33944,0
0.38791,0.56012,-0.95707,-0.77728,1.88205,1.16809,0
-0.32559,-1.73858,-0.38952,-0.48247,1.15783,1.40439,0
-0.1066,0.35865,-1.32533,1.06262,1.59309,0.77605,1
0.22032,-0.35788,0.73263,1.16476,-0.77869,-0.29439,0
-0.01372,-0.62867,0.95254,0.69342,0.30817,-0.03897,0
1.36493,-0.47642,2.01362,-0.51017,-1.11892,-0.08991,0
0.18361,-0.44998,-0.34743,1.40053,-0.23012,-0.49428,0
0.81906,2.02702,-1.50979,-0.50807,0.66914,1.55063,0
-3.10179,0.2973,-0.2306,1.4157,-0.49373,0.16352,0
-0.3285,-0.37833,-0.63844,-0.45978,-0.31301,-0.06323,0
-0.72047,1.63282,0.66353,0.46293,1.12447,0.36703,0
-1.517,-0.12819,1.50864,0.12747,-0.45578,-0.59575,0
1.3306,-0.71629,-0.35848,0.20798,0.56882,-0.80046,0
1.67429,-1.90925,-0.0184,-1.20578,-0.20381,-0.4413,0
-1.12236,-1.13573,0.65675,0.02018,0.2114,0.28721,0
-0.59874,0.4317,-0.02311,1.2865,1.36456,0.28688,0
-0.64176,0.43913,-1.27256,0.44977,1.77878,0.23825,1
2.94694,-0.82259,0.55434,0.06417,0.52621,-0.01982,0
-0.82928,-1.52095,-0.62771,-0.66582,-0.54924,-0.50801,0
0.73086,0.97624,0.43457,0.36782,-1.72214,-1.65413,0
-0.36211,1.72439,0.47919,-1.04327,0.11006,1.54221,0
0.77987,0.78397,0.77074,-1.65264,-0.40368,-0.07292,0
1.75553,-0.07413,0.86549,-1.66868,0.614,0.53887,0
1.07011,0.58038,-1.32105,0.58231,-0.36847,0.05132,0
1.6939,2.00545,-1.08248,-0.63345,-1.17279,0.54025,0
-0.16753,0.17532,-0.8493,-0.63957,0.40127,0.79671,0
