id_empresa,periodo,porte,margem,crescimento,endividamento,liquidez,superou_setor
E05,T04,0.32801,1.01421,0.25113,-0.52296,-0.16111,1
E40,T15,0.16731,-0.01136,0.31057,-0.26407,0.07114,1
E11,T12,-1.31131,-0.26902,-0.2837,-0.48356,0.58903,1
E09,T16,-1.66437,-0.91867,1.04136,0.07018,-1.34831,1
E10,T06,-1.86973,-1.52552,-1.05655,1.13285,0.36855,0
E26,T03,1.05203,-0.15624,-0.13333,1.21798,-0.93937,0
E11,T01,-1.30029,-0.22957,0.62755,0.24501,1.28407,1
E40,T01,0.18014,2.70536,0.435,1.08693,-0.78717,1
E34,T05,-1.74322,0.17683,-0.60411,0.92895,-0.98346,1
E12,T14,-2.75955,-0.08261,-0.307,-2.09844,1.18273,1
E23,T01,-2.06905,0.32189,1.53449,-1.01526,1.81598,1
E22,T11,-1.2638,0.59883,-1.80725,1.38158,-0.6857,1
E19,T04,4.16591,-0.37717,-0.91051,0.60494,-0.61063,0
E36,T05,-0.33161,-0.0464,0.54752,-1.48045,-0.0881,1
E16,T07,3.02352,-0.79825,0.58326,-1.45076,0.1419,0
E18,T12,-0.05164,-0.1087,0.11589,-1.93548,-1.47444,1
E22,T15,-1.33082,1.40678,0.37266,-0.37209,0.88468,1
E05,T12,0.30522,-0.35423,-0.6902,0.39653,0.77841,0
E24,T07,0.75191,1.20348,-0.98646,-0.6153,-0.24521,0
E16,T09,3.02702,0.13683,0.91093,0.06666,1.88794,1
E19,T07,4.19168,-1.43341,-0.23867,1.03561,-1.3612,0
E38,T10,1.26328,-1.36803,1.49292,-0.72922,0.05518,1
E20,T01,-4.25109,0.24998,0.18764,-0.13324,-0.35058,0
E38,T07,1.21736,-1.26659,0.21486,0.61115,-1.03679,1
E15,T06,0.60999,0.28092,0.80028,0.56277,-1.52951,0
E35,T10,2.90872,-1.15865,-0.15139,-1.13705,0.12786,1
E23,T07,-2.10817,-0.2637,1.96812,-0.94011,-0.44287,1
