trimestre,ind_a,ind_b,ind_c,ind_d,alvo
0,-0.31813,0.79761,0.5982,-0.5562,0
1,-0.70162,-1.53971,0.99192,0.23422,0
2,-0.6754,0.70024,0.05348,-0.16439,0
3,-1.056,1.14156,-1.74994,-0.81197,0
4,0.56181,-0.87882,-0.97017,0.98307,0
5,-0.50403,-0.78283,0.28756,0.52802,0
6,0.17438,-0.92809,-0.58116,0.05306,0
7,-1.10463,-2.46994,-0.28662,1.16809,0
8,0.52449,-2.95655,-0.82301,0.31162,0
9,-0.25038,-0.13427,0.07469,-0.62567,0
10,-1.65031,0.20663,2.22889,0.15186,0
11,-0.87075,-0.55238,-1.3654,-0.63548,0
12,0.49625,-0.68843,1.15521,-0.21586,0
13,0.10946,-0.31957,-0.42159,0.35638,0
14,1.34324,-0.26735,-0.1998,-1.25868,1
15,0.76053,-1.81387,0.22747,-0.21774,0
16,1.30829,-1.1337,-1.195,-0.62191,0
17,1.14007,-1.17818,1.07176,1.20949,0
18,1.73036,-0.88673,-0.11108,-0.65421,0
19,1.66702,0.76511,-0.44354,-0.86582,1
20,0.5134,-1.11621,1.08653,-0.13499,0
21,0.10333,0.77268,1.68212,0.74568,0
22,-0.15629,0.90554,1.86479,0.29179,0
23,-0.71812,2.61319,0.26505,1.38862,1
24,3.03189,0.70583,-1.39599,0.19734,1
25,-0.70632,-0.67164,-0.39501,-1.13087,0
26,-0.35374,0.60369,2.21227,-0.4173,0
27,-1.09578,0.70752,-1.88143,-0.53523,0
28,0.50914,-1.22897,-0.61738,1.2143,0
29,2.46824,-0.69499,0.75299,1.64461,1
30,-0.49107,1.50744,-0.5631,-0.79742,0
31,-0.57786,0.01475,-0.01587,-0.42787,0
32,-0.22851,-1.61103,-0.89516,-0.39169,0
33,1.61069,-0.21479,0.61609,1.34873,1
34,-0.69976,1.66632,1.02912,-0.76783,0
35,-0.25432,-2.149,-0.69318,1.23479,0
36,-0.86212,-2.61407,-1.04558,0.12028,0
37,-0.9963,2.20277,-0.26258,1.1603,0
38,-1.96687,-1.81459,1.59487,-0.37509,0
39,-0.68314,0.25979,0.38755,-1.55235,0
40,0.70454,1.10726,0.05943,1.55267,1
41,1.6666,-0.48877,0.40844,0.22192,0
42,0.58458,0.77029,-0.67212,0.96144,1
43,1.13744,1.17975,0.31326,0.50124,1
44,2.28841,-1.39736,-1.5424,-1.16487,1
45,-1.55508,0.03751,-0.05206,1.69499,0
46,-0.22438,-0.13102,-0.31433,-0.29502,0
47,-0.79826,-0.75497,-1.18714,0.5456,0
48,-0.25592,-0.16387,0.32042,0.69281,0
49,-0.28555,0.18411,-2.10776,-1.84688,0
