f1,f2,f3,f4,f5,f6,f7,f8,alvo
-1.74125,1.72638,-1.37888,0.00999,2.14518,-0.15095,0.0378,0.19252,0
-0.97181,-1.23865,0.74551,0.3403,1.28587,-0.32068,0.94823,-0.79601,1
0.88435,0.15409,-1.04341,-1.05189,0.90712,1.14134,-2.17135,-0.97995,0
0.64302,2.18315,-0.48969,-0.70851,0.93351,1.17363,0.25572,0.67585,0
-0.04599,2.89199,-0.05378,-0.23388,0.27924,-0.15701,-0.16574,-0.67015,0
1.22455,-0.91845,1.09648,-0.2885,-0.28996,0.24537,-0.1734,1.35213,0
0.4686,1.24704,0.37593,0.15306,-0.86179,0.10936,-0.51056,-1.13424,1
-1.03282,-0.68078,-1.33344,-0.69902,0.26196,1.56419,-0.13199,-1.26432,1
0.97312,-2.31997,-1.02296,1.11311,-0.54026,0.10806,1.66618,0.97163,1
-0.51091,-2.76606,-0.9409,0.54991,-0.58917,-1.2799,0.51824,0.67768,0
0.52147,-0.17151,0.01344,-0.60813,0.25082,1.33557,-0.07984,0.04762,0
-0.62869,-0.44131,-1.1338,0.63704,-0.5502,0.89072,-1.58547,0.15389,0
-0.80157,-1.76483,-1.02698,1.0459,-1.71687,-0.52306,0.33265,-1.34188,1
0.62568,1.08538,-0.15814,0.09296,1.07689,0.19459,-0.72827,-0.74609,1
0.46121,1.94951,-0.1986,-0.33305,0.88494,1.43893,0.38636,0.95546,0
0.56625,-1.14843,2.14092,-0.65426,0.00873,-0.39523,1.17317,0.49982,0
-1.48054,0.55708,0.23797,-0.83989,0.59303,0.8264,-0.57289,-0.69665,0
2.62947,1.01742,0.42237,1.04731,-0.25591,-0.69462,-0.94766,0.23824,1
-0.63016,0.40762,-1.36951,-0.27795,0.02378,-0.03769,-0.95252,1.23245,0
-2.09622,-0.17252,-0.28968,-1.28286,-0.7278,-0.81365,-0.2915,-1.15848,0
-0.11377,-0.21719,0.6865,0.63514,-0.78617,-0.03358,-2.10195,0.83299,0
1.49813,1.80281,-0.41771,-1.25377,-0.29282,-0.42104,1.80963,0.73801,1
-0.10368,-0.02074,1.18778,-0.66019,-0.15348,1.06805,1.01676,-0.68308,0
1.99852,-0.9882,-0.01149,1.98684,-0.27966,-0.599,2.65152,-1.24263,1
-0.41765,2.08667,-0.47623,0.47135,-0.97452,0.9178,-2.17734,-0.00874,1
-1.05842,-0.75659,-0.27992,1.71906,-1.05669,0.85865,0.80819,-1.10408,1
-0.39936,1.1874,-0.19148,-0.00917,-0.66367,0.86257,-1.48476,2.15546,0
-0.0738,0.14593,2.59519,-1.15499,1.11,-0.33126,0.6189,1.311,0
-0.57385,1.45641,0.66821,1.19222,-0.11771,-0.67899,-0.32934,-0.47471,1
-0.18942,-0.02932,-0.59521,-0.62702,-0.43037,0.21798,-0.41594,-1.47669,1
-1.37268,0.52094,-0.10201,-0.71266,0.47265,0.20796,1.10332,0.98714,0
0.94502,1.14073,0.79446,0.42703,-1.35127,0.25992,0.63709,-0.35963,1
-0.80031,-1.08241,0.35432,-0.06303,-0.15366,-2.11352,-1.15947,-1.17086,1
-0.48563,0.34338,-0.77525,-1.90544,0.67798,-0.0376,-0.00269,-1.29661,1
-0.76961,-0.16581,-0.3485,0.33672,-0.72631,-0.05206,0.26529,-0.09484,1
-0.21612,-0.4778,0.72533,0.54074,0.00924,1.155,1.0039,1.3677,1
1.40108,0.81268,0.44017,-1.14014,-1.05883,-0.15167,-0.13278,0.14755,1
0.31573,-0.20267,0.84836,-0.36626,0.01182,1.44387,1.08788,-0.96714,1
-1.39966,0.35195,1.62717,-0.82078,-0.51455,1.37899,1.07929,-0.04628,0
-0.75903,0.21302,-1.43893,0.29491,-1.43461,1.29675,0.23903,-1.1289,1
1.03271,0.5961,0.45179,-0.3345,1.00623,-0.74282,0.37338,0.21855,0
-2.70255,0.55172,-1.29231,0.03714,-0.00101,-0.22258,2.20541,1.63191,0
-1.6133,0.78513,-0.10046,1.59523,-1.08376,-1.55001,-1.13093,1.3465,0
-0.13321,-2.42074,1.48431,1.57796,0.4974,-0.00341,-0.75061,-0.7843,1
1.19344,0.37631,1.13886,0.76354,0.44542,0.7188,0.91555,-1.11775,0
2.57552,0.13812,0.55502,0.84732,0.02211,0.66434,0.21946,-0.51667,1
2.42679,-1.07768,0.15763,-0.39908,-1.33725,0.15399,0.85628,1.47966,0
-0.69158,0.8857,0.0559,1.13152,0.99877,1.24412,0.38293,1.41612,0
-0.44912,0.16826,1.38672,0.65826,0.69132,0.71104,0.75704,-0.33709,1
0.7373,0.37249,0.55369,-1.31482,1.20888,0.48383,-0.72798,0.88781,0
-0.25135,0.36678,-0.24449,0.5811,-0.7656,-0.21909,-2.33246,0.35756,1
1.36845,0.99554,-0.21322,0.08671,0.10068,0.52102,0.66815,0.7625,1
1.46365,1.05241,-0.85092,0.79954,-0.17152,-1.98811,0.01562,1.37233,0
-2.18848,-0.34864,-0.85759,-1.00227,0.11544,-0.50494,-0.56768,0.58982,0
2.12796,1.11579,-0.43134,1.86801,1.92045,-0.89865,0.70522,-0.73423,1
0.16855,0.48059,-0.45688,0.97402,-0.15455,-0.56372,0.64573,-0.23527,1
0.26701,0.8807,0.59472,-0.62981,0.26203,-0.27962,-0.56482,-0.49974,1
-0.21277,0.118,-0.47432,1.79811,0.60393,-0.00881,0.29042,1.37821,0
0.46972,1.91083,0.914,-1.17086,-0.97895,-1.04117,-0.16214,-1.36287,1
-0.12423,0.23046,0.15148,-1.4673,0.44928,0.10715,-1.26468,0.21335,0
-0.91652,0.77781,2.14171,0.92764,-0.9707,1.14924,0.46154,-0.48581,1
1.71602,1.17206,0.54223,-0.4041,0.80407,-0.69962,0.3496,0.07405,0
1.15379,0.59948,-0.49352,0.14052,-0.01424,0.14582,-1.0011,-0.35819,0
-1.5285,1.11128,-1.72506,0.55772,-1.08264,0.54938,-0.41526,-2.74675,1
