trimestre,ind_a,ind_b,ind_c,ind_d,alvo
0,0.0538,0.35325,-1.21702,0.38317,0
1,-0.59076,-1.83262,1.12685,-0.65027,0
2,0.22186,-0.30585,-0.16178,-0.93215,0
3,-0.47608,-0.44536,-0.03319,-1.22889,0
4,1.77499,-0.27376,-0.26572,-0.99117,1
5,0.5076,0.02796,-0.7924,0.17632,0
6,-1.00365,0.60228,0.95835,0.16909,0
7,-0.2162,0.74373,1.37685,-0.76387,0
8,0.2873,0.34981,-0.50554,1.21218,0
9,0.36776,1.40344,1.21299,0.45586,1
10,0.23193,-0.00955,-0.37217,-0.35677,0
11,0.97745,0.89653,-1.13566,0.33661,1
12,1.0914,-0.09365,-0.92031,1.92119,1
13,-1.29771,1.22358,0.02318,0.12027,0
14,-1.02057,-1.01409,-0.19131,0.71525,0
15,0.03733,0.86043,0.06728,0.65673,0
16,-1.9683,-0.12604,0.05654,0.62745,0
17,0.58113,-0.78975,-1.21719,0.77003,0
18,0.85499,-0.83933,0.07541,0.5731,0
19,-1.20256,0.21651,-1.39256,-1.2177,0
20,-0.19689,-0.38229,-0.0335,2.11891,0
21,0.00079,-0.68784,0.18487,0.20072,0
22,-0.56999,0.52001,-2.04691,2.76033,0
23,-1.28838,1.35819,0.9174,-1.46162,0
24,-1.45984,-0.25049,0.76319,-0.25486,0
25,-0.52307,1.32401,-0.30551,0.42871,0
26,-2.02752,-0.12057,-1.9815,2.65852,0
27,1.65712,0.30647,0.55682,-1.29308,1
28,0.12718,0.2963,0.177,0.39916,1
29,-0.62874,0.43027,1.21975,0.13966,0
30,-0.20591,-0.27571,-0.97547,0.79479,0
31,-0.37382,0.62436,-0.2285,1.4154,0
32,1.13378,0.17093,2.27247,1.56854,1
33,-0.44342,-0.35488,0.24151,-0.31191,0
34,-0.71753,1.58388,0.4909,0.80802,1
35,-1.15541,-0.79226,-1.04807,1.62672,0
36,1.63097,0.61106,-1.151,0.501,1
37,-0.57164,-0.93183,1.5028,1.07798,0
38,-1.20051,1.78987,-0.87078,-0.25543,0
39,0.78071,0.39262,1.47651,0.13116,0
40,0.06033,0.54223,0.3358,1.18873,0
41,0.71298,1.66128,0.3914,0.73277,1
42,-0.01174,-0.96587,2.37802,0.13542,0
43,-0.95228,-1.07376,1.36522,-0.88779,0
44,0.50331,0.58924,-1.32112,1.01034,1
45,-0.41656,1.49982,0.76787,1.29867,0
46,-0.34013,-1.2792,0.34935,-0.46933,0
47,-1.59771,0.16049,0.70153,0.26522,0
48,0.81682,-0.18549,-1.42449,-0.18946,0
49,0.20444,-0.60418,-1.5034,-1.11186,0
50,-0.52653,0.69439,0.29398,-0.62681,1
51,-0.16397,-1.48627,-0.06227,-0.56208,0
52,-0.33935,0.18837,-0.4006,-0.20515,0
53,0.74715,-1.28177,0.22853,0.51239,0
54,0.61724,-0.69531,0.92685,-0.46991,0
55,-0.59817,-0.33249,-1.24589,1.42553,0
56,-0.5753,0.86755,0.64497,-0.25197,0
57,-0.14517,0.25202,-0.48064,1.53172,0
58,0.22278,1.31687,0.17255,0.6966,1
59,-0.7754,-0.40449,0.64529,-0.65006,0
60,-0.75922,0.83943,0.43671,-0.49241,0
61,0.26552,0.50384,-0.00639,-0.55201,0
62,0.23006,-0.66736,-0.1134,-0.85809,0
63,-0.09285,-0.54834,0.04181,-0.18082,0
64,-0.9873,1.68976,1.80261,-1.45586,0
65,-1.55579,-1.88034,1.10522,-0.74398,0
66,0.08471,0.81473,-0.50209,-1.57257,0
67,0.65665,-0.16887,-1.52867,0.5465,0
68,-0.55121,0.009,-0.38837,0.88664,0
69,0.7088,1.26388,0.60165,0.07429,1
70,-1.55279,0.65774,0.0633,0.18263,0
71,-0.33472,1.62475,0.45512,-0.81258,0
72,-0.59653,-0.56531,-0.32397,0.25891,0
73,0.37496,0.96697,-1.34105,0.08182,1
74,-1.42974,0.53984,-1.31637,1.6418,0
75,-0.17511,0.42536,-0.25913,-2.22666,0
76,-1.67024,0.72748,-0.43475,0.31554,0
77,-0.23196,-1.13187,-1.5219,0.78831,0
78,-1.80196,-1.90632,-1.11613,0.45762,0
79,-0.31323,1.34499,2.37306,-1.1389,0
80,-0.4971,3.95515,0.20006,0.22228,1
81,-0.43321,1.06996,0.26156,-0.23469,0
82,-1.27601,1.01798,-0.42934,-0.63575,0
83,0.00368,-0.19805,0.392,0.5608,0
84,0.20261,1.83674,0.66147,0.37424,1
85,1.11577,1.29578,0.37755,0.17821,1
86,-1.29118,0.14058,0.54242,0.50163,0
87,1.12121,-0.36518,-1.17359,0.63443,1
88,2.02873,0.63616,-1.87655,-0.22538,1
89,1.63057,-1.32627,1.87606,-0.09183,1
90,0.98472,-0.33065,0.26066,0.36575,1
91,1.53624,-0.37983,0.29666,-2.34814,1
92,-0.48969,-0.27494,1.37683,1.70753,0
93,0.37785,0.55858,1.34547,0.0528,1
94,-0.10303,-0.88318,-0.56184,1.96932,0
95,-0.46192,0.65583,-1.14619,-1.49126,0
96,-2.50922,-0.3925,-0.64838,-1.14287,0
97,-0.59063,0.07085,0.97455,0.75837,0
98,0.74698,-0.24075,0.51024,1.49066,1
99,-0.44352,-1.20611,0.74842,0.57459,0
100,-2.21314,0.77669,-0.62367,-0.22882,0
101,-1.08101,0.31202,0.11157,1.90904,0
102,1.24735,-0.4942,-0.68648,-0.72031,1
103,-0.97005,0.10336,1.72224,0.23974,0
104,0.13648,-2.50226,-0.49583,0.63029,0
105,-0.22669,-1.07487,1.92581,0.20488,0
106,0.37374,0.14562,0.35573,0.84379,0
107,-1.2442,0.4348,0.60834,-0.69911,0
108,-0.13211,-0.86327,-0.11158,-0.80462,0
109,1.00998,-0.91967,-1.3435,0.35519,0
110,-0.97676,-0.20757,-0.62222,-1.65983,0
111,-0.46192,-0.19196,-0.47441,0.0889,0
112,-1.69369,1.17361,1.13048,0.50482,0
113,-0.5298,0.16305,-0.48476,-1.76922,0
114,0.54608,0.87154,-0.16008,-0.35024,1
115,-0.3759,1.18093,-0.57365,-0.00189,1
116,-0.16917,-1.08442,-0.76044,0.16359,0
117,0.80436,1.08495,-0.31529,1.09535,1
118,0.33446,2.36384,-0.85808,-0.62997,1
119,-0.4422,-0.53284,0.39746,-0.01945,0
120,1.12331,0.12192,-0.28254,-0.21362,1
121,1.04017,1.40727,-1.80966,-0.17426,1
122,-1.06479,-1.76388,-0.38918,0.24625,0
123,-0.92162,-0.66635,0.49681,-0.35544,0
124,-0.40402,-1.0054,1.1438,-0.93511,0
125,-0.46884,-0.76667,-0.41579,1.47266,0
126,-0.83655,-0.10403,-0.69886,-0.71862,0
127,-3.17479,-1.27686,0.31351,-1.69721,0
128,0.58037,-1.10729,-0.94525,0.21979,0
129,0.42233,-0.38334,-1.41034,0.39121,0
130,-1.75419,-0.33789,-0.63499,-0.70036,0
131,-2.06231,-0.33518,-0.25794,-1.36264,0
132,0.86713,-0.65329,2.30647,-0.64519,0
133,-0.64483,1.16425,0.6346,0.05338,1
134,-1.82101,1.77418,-1.69871,0.30477,0
135,0.97854,-0.75678,0.26876,-1.74879,0
136,-0.21159,0.70516,0.88459,-0.39119,0
137,-1.02023,0.02401,-0.21685,-0.26948,0
138,-1.48752,0.85173,-1.05079,-0.11286,0
139,-0.42026,-1.88614,1.92205,0.22039,0
140,0.73698,1.14055,0.25101,0.19155,1
141,1.00956,1.46097,-1.15871,-0.53583,1
142,0.1997,0.51557,0.83501,0.47833,1
143,-1.43246,-0.50605,0.02906,0.26409,0
144,0.18359,0.34228,0.89142,-2.28948,0
145,2.09099,-0.71797,-0.01708,-2.4623,1
146,-0.72755,1.14201,-0.01963,-1.22562,0
147,1.32744,-0.22951,1.4696,-0.97658,1
148,0.92269,-2.20632,0.13827,0.14137,0
149,0.45902,-2.68628,0.42255,1.03068,0
150,-0.96841,0.17421,-0.41293,-0.32331,0
151,1.06546,0.72542,-0.27027,-1.4746,1
152,0.31034,0.31748,0.8673,0.05376,1
153,0.1186,0.61565,-0.11566,1.3974,1
154,-0.02235,0.6299,1.19039,0.85763,1
155,-0.50443,-0.64567,1.20848,-1.27952,0
156,-0.72356,1.16236,-1.20992,-0.82804,0
157,-1.24351,-0.48736,0.08067,-0.61709,0
158,0.49003,-0.38172,1.79926,-0.26426,1
159,0.63005,0.28553,0.66431,0.6925,0
160,-1.76106,-0.87882,1.0392,0.96652,0
161,-0.39215,0.87258,-0.21764,-0.35496,1
162,1.22686,-0.30812,0.13723,1.43818,0
163,-0.77535,0.80368,0.83156,-1.85163,0
164,0.9576,0.33765,-1.50058,-0.14983,1
165,-1.02301,0.20144,-0.05124,0.65741,0
166,0.93642,-2.21341,0.36282,0.40836,0
167,0.15808,1.86649,-0.25203,0.02133,1
168,0.00588,0.19377,1.90155,-1.52751,0
169,1.15367,-0.2605,0.22306,0.74245,1
170,0.86937,0.38843,0.43314,-0.04013,1
171,-1.16734,-0.20503,-2.39457,-1.11891,0
172,-0.09443,0.5229,-0.9231,-0.92217,0
173,-2.66018,-0.60625,-0.1639,1.98727,0
174,1.67901,0.18843,1.09969,0.70748,1
175,1.10657,2.30685,-0.13033,0.65657,1
176,0.89989,0.80342,0.12305,-0.12082,1
177,-0.02532,1.24574,0.4425,-0.69722,1
178,0.67315,2.70004,0.22329,-0.85773,1
179,1.34997,-0.03994,-1.35579,-0.34932,1
180,0.37811,1.5808,0.21427,-1.66547,1
181,-0.85487,-0.20364,1.25345,-0.1003,0
182,0.3099,0.0126,-0.72382,0.39214,1
183,0.27556,1.37826,0.50679,-0.20168,1
184,0.17111,1.23095,0.54826,-0.31166,1
185,-0.53417,2.2097,1.29873,0.92601,1
186,0.27658,-0.956,0.32306,0.74693,0
187,-0.63754,0.66229,0.16478,-0.12158,0
188,-1.54154,0.02938,0.18158,0.00925,0
189,1.34002,-0.04052,1.52051,0.88899,1
190,0.42365,-0.64324,0.1944,-0.35964,0
191,-0.67813,1.15846,0.89823,-1.46774,0
192,-0.755,0.16751,-1.14253,-1.98428,0
193,-0.53362,0.30208,-1.06802,0.25551,0
194,-0.27448,-0.12037,1.93058,0.12247,0
195,0.55102,0.17952,-0.74841,0.55609,1
196,-0.9888,-1.05478,-0.10909,1.25223,0
197,1.5732,0.70889,-0.19904,-1.6065,1
198,0.57655,0.35259,-0.7445,-0.69847,1
199,0.28571,-1.19834,0.18009,-0.73572,0
200,-0.90321,1.61576,-0.69864,0.27188,1
201,1.39898,-0.02965,-0.19572,1.14285,1
202,-0.20312,-0.87,-0.41754,-0.77757,0
203,-0.37898,-0.59073,-1.57152,0.24316,0
204,-1.6297,1.73715,-1.28933,0.59706,0
205,0.75771,-0.83389,1.38911,1.31725,0
206,0.47188,-0.12231,-0.00629,-1.00491,1
207,-2.65009,0.59475,-0.59477,-0.116,0
208,-1.08664,-0.58147,1.10532,-0.84675,0
209,-0.90094,-2.08833,1.36035,-1.30293,0
210,0.47296,-1.41119,1.76619,0.27757,0
211,0.28874,-0.89173,-0.43138,-0.49631,0
212,-1.644,-1.50254,0.21464,-0.12292,0
213,0.12717,-0.14778,-0.69265,0.04955,0
214,-0.1708,0.23391,-1.82176,-1.08689,1
215,1.22465,-0.23431,-0.55313,0.90856,1
216,0.91458,-0.42664,0.09707,-0.70356,1
217,0.57541,0.67161,-0.30317,0.7135,1
218,3.07264,-1.64209,-2.38411,-0.11081,1
219,-0.62276,0.07724,-0.04942,0.53509,0
220,1.43189,-0.80681,1.60354,0.26859,1
221,-0.21798,1.4908,-0.55542,-0.70764,1
222,-0.04692,2.35545,2.36519,1.14016,1
223,0.36967,0.89936,2.54603,-0.24825,1
224,0.76306,-1.28572,1.93258,-0.76131,0
225,-1.25391,0.56779,-0.38168,-0.19735,0
226,-0.74607,0.37918,-0.23329,-0.47103,0
227,0.22882,0.1375,0.48668,-0.78128,0
228,1.25833,0.40733,-2.58225,0.16374,1
229,-0.48003,1.49156,-1.38944,0.97548,1
230,0.59639,-1.54213,-0.45184,-0.83537,0
231,-0.42638,-0.50867,0.27368,-0.43628,0
232,0.40096,0.76464,2.39176,-0.51623,1
233,-0.16428,-0.3561,-1.51308,-1.06163,0
234,0.39957,-0.87061,0.47629,-0.25446,0
235,0.20628,1.03877,0.62524,-0.48467,1
236,0.70269,0.86488,1.01105,-1.70604,1
237,-0.79202,-1.38598,0.44258,-1.13842,0
238,-0.44308,-1.02205,1.6315,-0.62011,0
239,-1.73585,-0.3077,-0.5418,0.33532,0
240,-0.59701,0.08267,0.58452,-1.89619,0
241,0.02297,0.15954,0.1625,-0.27776,1
242,-0.5499,0.87805,-0.12808,-0.1,1
243,0.57891,1.00532,2.01764,1.63976,1
244,0.75066,-0.79455,1.92109,-0.397,0
245,-0.18667,0.50778,0.49954,0.27962,1
246,0.41445,-0.40527,1.06303,-1.17266,0
247,0.43313,2.01064,-1.06715,0.0588,1
248,-1.16623,-0.16547,1.00376,-0.42974,0
249,-1.26541,-1.60319,-0.0169,1.96859,0
250,0.96538,2.08296,1.1449,-1.07945,1
251,0.21182,0.42113,0.17415,-0.63387,1
252,-0.45989,-1.52787,-0.04403,0.78377,0
253,-2.04316,2.06818,0.5583,-1.71344,1
254,-0.16805,-2.47968,0.11038,-0.42665,0
255,-0.04963,0.62968,0.90885,-1.41807,1
256,0.41216,0.93114,0.58905,0.95855,1
257,0.00086,0.66479,-0.43482,-0.44443,1
258,0.12947,-0.92576,-0.26521,-0.98787,0
259,-1.32657,0.36878,0.65255,0.6169,0
260,0.3764,0.22689,-0.1635,-0.0334,1
261,-0.2586,-0.45286,0.70664,-1.07114,0
262,-0.91092,1.4645,0.88033,-0.03646,0
263,1.19429,-0.2959,0.52754,0.54578,1
264,-0.80818,-0.63446,0.45429,-0.97382,0
265,1.25236,-0.31479,0.10172,0.51837,1
266,0.19682,-0.04929,-1.61814,0.19161,1
267,-3.07189,1.72012,-0.91297,0.44081,0
268,0.23103,0.64566,2.01323,-0.1493,1
269,0.13754,-1.14405,-0.16835,-0.63458,0
270,1.06926,-0.33757,1.12373,-2.23962,0
271,0.37954,-0.20399,0.00398,-2.18528,1
272,-0.51116,0.29242,0.36244,1.34308,1
273,-0.88249,-1.83096,-0.20745,0.48396,0
274,-1.02504,2.05155,-0.46288,-1.18095,1
275,-0.04618,-0.57937,-0.5418,0.32262,0
276,-0.99588,-1.15561,0.36787,-1.1327,0
277,-1.49844,-0.30351,1.18283,-0.67251,0
278,-1.78502,-0.53649,0.49779,1.86852,0
279,-0.17985,-0.72121,-0.18331,-0.99121,0
280,-0.77546,0.38352,0.0478,-1.00361,0
281,-0.434,-0.163,-2.08105,-0.28055,0
282,0.65728,-0.18197,2.81443,-1.95391,1
283,2.08485,-0.87822,1.73034,0.04304,1
284,0.41917,0.77582,-0.09642,0.65134,1
285,-0.16986,0.69775,-1.35417,0.44955,1
286,2.00854,-1.62511,0.7948,-0.41519,1
287,0.42542,0.45421,2.21569,-1.31911,1
288,-1.22542,-0.34783,1.33234,-1.95847,0
