f1,f2,f3,f4,f5,f6,f7,f8,alvo
-1.20894,-1.01887,1.10879,-0.16564,-0.47242,-0.96593,-2.45277,-0.28067,1
1.12076,0.44717,-0.36728,-1.01067,-0.9846,0.35168,-0.63446,-1.13729,0
0.55993,0.17142,-0.87286,-0.14748,0.8906,-0.44878,-1.81382,1.937,0
-0.04526,1.38558,-0.29073,-0.74613,1.07844,-0.08974,-0.97627,0.74717,0
-0.69514,-0.62597,0.33638,-1.21708,0.83647,-0.37106,0.59613,-1.25292,1
0.26578,0.82759,-0.49014,0.91423,-1.7624,0.73899,0.70298,0.10766,0
0.57813,-0.14215,-0.713,-0.05603,-1.65625,-0.95496,0.23272,-2.93831,1
1.45105,-0.23574,1.16993,-0.46116,0.41577,-1.14249,-1.43318,0.70371,0
-0.10295,0.20257,-0.3501,-1.32027,0.72218,0.64947,-1.03385,0.30103,1
-1.94584,0.66715,0.01596,0.57337,0.63102,-2.01106,-0.64689,0.46018,1
0.55516,-1.03188,0.55134,0.29269,0.56128,-0.73169,-1.31526,-0.13914,1
0.29952,0.07135,0.42765,0.48982,-0.85731,2.61509,-0.98585,-0.44584,0
1.78713,-1.0533,1.31337,0.40073,-0.37518,-0.49185,1.61871,-1.66005,1
0.72906,0.12957,0.56145,2.02902,-0.27549,1.22783,0.14355,0.27884,0
-2.93212,0.11968,1.97459,1.38372,0.82504,-0.45916,0.82677,-0.52215,0
-1.1814,1.06916,0.00938,-0.46682,0.93326,-0.77067,-0.83002,1.65726,1
1.37273,0.25441,-1.3263,0.86465,0.85451,-1.17133,0.61917,0.63097,0
0.93026,0.74044,-0.90294,0.35934,0.94632,-0.21812,0.19568,1.68575,0
0.36451,-0.51914,0.24345,-1.05367,1.4047,2.3012,2.20589,0.39611,1
-1.0038,-0.56856,0.43825,0.77144,0.68783,-0.34682,0.04341,1.5451,0
0.09004,-2.05878,0.49535,0.40566,-0.564,0.29931,-1.00039,0.14189,0
-1.47474,0.4641,-1.4714,1.18863,0.22604,-0.51311,-1.38504,1.5979,0
0.42204,0.17965,-1.24979,0.60965,-1.01776,0.09782,-1.39199,0.24505,0
-0.91509,1.03339,1.84154,0.19096,-0.97833,1.94285,0.41102,-0.27677,1
0.8136,0.92721,0.13336,-1.44872,0.87465,-1.03766,-1.09663,0.49012,1
0.19802,0.79246,-0.05879,0.33927,0.66813,-1.9552,-0.21358,0.1318,0
1.59254,-0.03364,-0.36003,-0.75898,-0.18218,0.6038,-0.44069,0.99673,1
1.53025,0.6467,-0.82101,0.44287,0.66583,1.30315,-1.47919,1.15858,0
-0.80444,1.35156,-0.60704,0.56954,1.20269,0.8672,1.26179,-0.07018,1
0.56697,0.06577,-0.60465,-0.77242,0.90019,1.52503,-0.50074,-0.09876,1
-0.29152,0.16873,-0.39293,-0.16809,0.93306,0.50133,2.58727,0.06175,0
-1.41978,-0.5762,-0.27164,-1.23051,0.27217,-0.89969,-0.66085,-1.65348,1
-0.79574,-0.31409,-0.14533,-1.31355,0.62698,-0.32173,0.19129,0.26942,1
1.99272,-0.34616,0.77039,0.57806,1.00281,1.41643,1.5136,0.12445,1
1.70936,0.01918,0.25758,-1.15313,1.23506,-1.32617,0.55073,-0.50625,1
-0.07298,0.30775,-0.98959,0.45269,0.13453,2.0045,-0.80471,0.10078,0
-1.79387,0.36043,0.30809,-1.33998,0.64799,-0.01217,0.22325,0.95218,1
-0.284,-0.17377,-0.27779,-0.72724,-1.0181,-0.26314,-0.63487,0.08285,1
-0.68408,0.16233,0.05716,-0.86599,-0.50144,-0.83582,-0.26926,-1.60007,1
-2.02577,0.88827,-0.49487,0.50172,-0.01946,-0.72119,-2.38694,0.77863,0
0.74312,-1.33258,0.03366,0.20746,-0.45767,0.39431,0.2521,1.24927,0
-0.41248,-0.72932,-0.02633,1.28396,1.80729,1.59497,-1.29869,-0.15168,0
-1.22029,-0.76124,-0.61878,-0.7825,-1.71961,1.09731,0.84857,1.37403,1
-1.07875,0.30722,0.12497,-0.91079,-0.89536,-1.53298,-1.33783,2.86602,0
-1.50098,-0.78173,0.03944,-0.5591,-0.87056,-1.2446,0.9556,-0.14646,1
3.20628,0.51895,1.3417,0.76802,-0.93449,-0.98709,-0.37683,-0.11344,0
-0.85054,-1.27352,0.92566,-0.20802,-1.02567,-0.92151,-1.85822,2.13582,1
0.20983,1.26236,-2.10059,1.26595,-0.32477,-0.37878,1.13025,-0.22067,0
1.16554,-0.02463,0.13667,1.67862,-0.82432,0.34531,-0.05804,-0.31768,0
1.28418,-0.05911,0.19456,1.85482,1.26463,-0.49604,-0.06913,-0.10277,0
1.26649,-0.17757,0.49455,0.07114,1.85141,0.54539,1.08482,-0.12467,1
0.32997,-1.76421,0.47189,0.1224,-0.11515,-0.53827,0.8834,0.11121,0
1.3166,0.38936,-0.49116,0.05937,-0.18595,-0.05065,0.19381,0.12435,0
-0.02052,-0.7727,-0.45351,-0.22757,0.85627,-0.65973,1.72335,0.29495,1
-0.7656,-0.51106,0.00438,-0.21073,0.06161,-0.45552,-1.79496,0.20592,0
2.29641,0.40616,0.16712,-0.61913,1.31106,0.52315,0.32685,0.72251,1
-0.13071,2.26383,-0.39759,-0.99492,-0.26426,0.18471,1.90897,1.88188,1
1.26999,0.85528,-0.44881,0.85137,1.31196,-0.20909,-0.62421,0.44913,0
0.28791,0.12615,-0.07631,-1.3692,-0.35401,0.56643,-1.49943,1.11739,1
0.83279,1.95558,0.33719,2.26405,1.86389,-0.29011,-1.34735,1.45804,0
