v001,v002,v003,v004,v005,v006,v007,v008,v009,v010,v011,v012,v013,v014,v015,v016,v017,v018,v019,v020,v021,v022,v023,v024,v025,v026,v027,v028,v029,v030,v031,v032,v033,v034,v035,v036,v037,v038,v039,v040,v041,v042,v043,v044,v045,v046,v047,v048,v049,v050,v051,v052,v053,v054,v055,v056,v057,v058,v059,v060,v061,v062,v063,v064,v065,v066,v067,v068,v069,v070,v071,v072,v073,v074,v075,v076,v077,v078,v079,v080,v081,v082,v083,v084,v085,v086,v087,v088,v089,v090,v091,v092,v093,v094,v095,v096,v097,v098,v099,v100,v101,v102,v103,v104,v105,v106,v107,v108,v109,v110,v111,v112,v113,v114,v115,v116,v117,v118,v119,v120,v121,v122,v123,v124,v125,v126,v127,v128,v129,v130,v131,v132,v133,v134,v135,v136,v137,v138,v139,v140,v141,v142,v143,v144,v145,v146,v147,v148,v149,v150,v151,v152,v153,v154,v155,v156,v157,v158,v159,v160,v161,v162,v163,v164,v165,v166,v167,v168,v169,v170,v171,v172,v173,v174,v175,v176,v177,v178,v179,v180,alvo
-0.13701,-0.36605,-0.52168,1.14702,-0.04404,-1.75519,0.96232,1.34523,1.90565,-0.81656,0.43083,-0.58605,2.29287,0.50388,0.87496,1.04015,-0.41517,-0.38469,0.1217,2.11647,0.57411,-0.36736,-1.1192,0.01244,0.77419,0.50123,-0.49164,0.60351,0.02122,1.61944,-0.83637,0.28407,-0.77147,-0.54974,0.25068,-1.32686,0.20901,2.36806,-1.04833,1.47721,1.43652,-0.35233,-0.87412,0.53278,0.34054,-1.54043,-0.80586,-0.58058,0.52105,0.02878,1.19876,-1.62168,-0.62056,0.06295,-0.59013,-0.37841,-0.25571,-0.99243,1.52713,3.90932,-1.01356,0.30279,1.65027,-0.48562,-0.46164,0.46554,0.79557,-1.50282,0.16966,0.08784,0.04297,-0.85287,0.02426,0.04041,0.97699,2.25139,1.31513,0.02582,-0.44201,0.39585,-0.2029,-1.06453,0.76772,-0.85204,0.89958,-1.10264,0.5539,0.10536,0.69893,0.11344,-0.2227,-1.23899,-0.58496,-1.07638,-1.96879,-0.73898,0.14182,0.62596,-1.51774,2.10456,-0.28618,0.46443,-1.92087,-1.54437,-0.88795,1.40693,1.59027,0.82799,-0.41434,0.71072,1.91727,-1.72762,2.57242,-0.77207,-0.4121,-0.69102,1.28166,-0.51801,0.9249,-1.4717,-0.20805,-0.55741,-1.31865,0.2477,0.51884,-0.6951,0.96822,-0.17431,1.02116,0.95676,1.08935,0.70851,0.50927,-1.00556,-1.29284,-0.6277,-0.29776,0.17011,-0.31565,-1.61604,2.46973,0.03219,0.55939,-0.52051,0.0976,1.5845,0.31178,-0.10404,0.92026,-0.09023,0.15414,-1.20391,0.87407,-0.87988,0.03842,-0.14431,0.78742,0.84569,1.06746,0.34423,1.66249,-0.66546,0.94686,-0.27055,-0.84214,0.33094,-0.41727,-0.28041,0.30663,-1.63829,0.39509,0.29458,-0.07957,0.50582,0.58921,0.95243,0.43304,-2.06503,0.63001,-1.57694,0
-0.49286,-0.71975,-0.38269,1.1748,0.04172,-0.48376,0.35361,-0.64743,0.33019,0.6913,0.06126,-0.34435,-1.58036,0.28352,-0.1982,3.01455,0.06411,0.10509,0.2911,1.48359,0.45002,0.87778,2.44624,-0.44879,1.35656,1.94848,-1.4651,1.0009,0.32444,-1.24536,0.06394,-0.80545,-0.78615,-1.46245,-0.15871,-1.2374,-0.49077,-0.37327,0.27307,1.68207,-0.8308,0.07783,-0.209,0.19062,0.2679,-0.68985,-0.2834,0.0007,0.51062,0.15,-0.72436,-1.66845,0.20474,0.93618,-1.20297,-1.61425,-0.87512,-1.04928,0.32072,-1.12012,0.74167,-1.34661,0.03659,-0.29046,0.19348,0.38099,0.17642,0.16009,-0.1576,-0.00013,-0.53238,-0.32723,0.41807,0.41678,1.05117,-0.54468,0.47528,-0.34789,-0.18309,1.58888,0.68732,-0.39265,-2.09295,1.83784,2.47074,-0.80409,0.12151,0.42777,-0.61984,-0.8931,-1.23664,0.57746,-0.72545,-0.80905,0.44676,0.22025,-0.05595,1.78991,0.00897,0.45643,1.6002,-0.03476,-0.85551,1.8166,0.01331,0.39222,0.92658,0.96604,0.34437,-0.14196,0.14886,1.10275,-0.90889,0.33252,-1.58091,-0.99391,1.52441,1.41491,0.44439,-1.05041,0.73636,-0.87529,-0.65639,0.93718,0.29964,0.91754,2.53638,0.04733,-1.35074,-0.02437,0.94919,2.56742,-0.01882,0.36088,-0.64206,-1.26572,0.49273,1.896,-0.86039,0.06557,0.55121,-1.11637,-1.0927,0.43128,0.83256,0.58022,0.38683,0.99584,0.18119,1.37488,1.4843,1.55191,1.08284,-0.41912,-0.55189,0.41591,-1.40624,1.3226,0.27461,1.18346,0.40243,0.16362,-0.77913,1.47534,0.49104,-1.99843,-0.93141,-1.76066,0.25417,0.30524,1.98866,-1.32628,1.92075,0.49972,0.27241,1.69697,0.39986,-0.0089,0.37124,-0.95147,1
-0.57961,-1.18796,-1.14992,-2.24429,-0.09094,0.84574,-0.57384,-1.21596,-2.63366,-1.43066,0.65583,-1.65537,0.36861,-0.29856,1.59182,1.41484,-0.44028,0.36814,-0.0082,0.54184,-0.4332,-0.13174,-1.64867,0.40722,0.52403,1.33463,-2.08418,-1.50686,-0.47256,0.2637,0.32594,2.612,1.25736,1.34224,-2.99615,-0.62323,1.30543,-1.73723,-0.50108,-1.17503,-0.82357,0.17405,1.61815,0.65843,0.51327,-0.98755,0.43175,0.50312,0.17693,1.44139,-0.78076,0.08243,0.01049,0.05553,0.74687,-1.0149,0.36519,0.57488,1.19142,0.13352,-0.20226,1.13306,-0.48163,-0.1862,-2.76209,-0.54996,0.95891,0.09398,2.36402,-1.43754,-1.12091,-1.06211,2.04671,0.96012,1.06154,0.78993,-0.91418,-0.61212,-0.64624,-0.24505,0.32784,-0.13675,0.74044,0.12325,0.93653,1.40688,-0.30315,0.15279,1.94742,-0.96209,0.29005,-0.24224,1.89819,2.70082,-0.3137,-0.79963,0.52949,-0.55895,0.30584,-0.05754,-0.06066,-1.56162,3.25059,1.38857,0.02008,0.42442,-1.48975,0.61469,0.56164,1.30933,-0.54648,-0.2004,1.18288,-0.62394,-0.61154,-0.78351,0.18306,0.79231,-0.22979,0.19588,-0.1067,0.83708,-1.00519,-0.47342,-0.25369,-1.8556,-1.43186,-1.09935,-0.72463,-2.17501,-1.69833,-1.81663,-0.02243,-1.15757,0.19857,1.4938,0.60781,-0.62497,-2.40062,0.84049,-0.17856,1.27902,-0.21251,1.31621,-1.06701,-1.33631,0.2773,-1.37598,0.4568,0.48051,0.36875,-0.62013,2.95258,0.01184,-1.13498,-1.16704,-0.07805,-1.32997,-2.06609,-0.99824,-0.38609,-1.09114,-1.21429,0.27289,-0.4655,0.68042,0.93435,-0.02614,0.90348,0.16063,0.37008,-1.5035,-0.42223,-0.23248,-1.36595,1.44734,-0.01544,0.28571,0.57419,1.04156,1
1.50394,0.53567,-0.14235,-0.41558,-0.26258,-1.37735,-0.76541,1.3651,-0.86548,1.04733,-0.67349,0.28745,0.09058,0.83467,-0.52336,-0.91542,0.12095,0.49082,-1.0421,-0.75672,1.63692,0.58892,-0.92697,0.51787,-0.221,-1.17167,1.00982,-0.92723,-0.41118,-0.30477,0.94634,1.6936,-0.41621,-1.45238,0.32597,1.26843,1.10962,0.3198,-0.43166,-0.67303,0.54619,1.23331,1.96563,2.29366,-1.01048,0.25218,-1.18785,2.02749,-0.5764,-1.02602,0.51716,2.95676,1.16619,0.50716,-0.97234,-0.57171,-0.59828,-0.1499,0.85847,1.06034,0.55033,-1.45653,0.58656,0.83868,1.22597,-0.29533,-0.82718,0.10362,-1.52923,-0.18029,0.29234,-1.10819,-1.86699,0.23293,-0.02317,-1.19627,-0.9175,-0.38913,1.6794,-0.64635,0.15858,2.61796,-0.45747,-2.7252,-0.69094,-1.0303,-0.86506,1.27579,0.17185,0.28765,0.35496,0.30566,1.23802,-0.14241,-1.10313,-1.26537,1.05664,0.9223,1.18341,0.08309,0.04192,0.62527,-0.66723,0.39633,0.61131,0.32812,-0.02262,1.03336,0.82172,1.73935,-1.61801,1.38697,1.17051,1.30853,0.99321,0.62014,0.11975,1.04453,-0.24991,0.46319,-1.114,-0.88942,-0.30225,-0.23612,-0.94161,-0.62691,-0.16931,-0.84045,0.00875,1.19564,0.00448,-1.07523,2.27667,-0.61303,-0.35103,-0.22673,-1.12092,-0.33387,-0.09957,1.3144,-0.41925,-0.23653,0.03514,-0.47631,0.86569,1.22869,-0.03622,-1.75518,0.06947,-0.01295,1.03664,-0.21151,-0.58062,-1.01347,-0.94766,-0.06312,-0.90905,1.10468,-0.87355,0.61956,-1.73261,0.74642,-1.39785,1.26302,0.63295,0.87086,2.18814,1.22221,1.09278,-0.81875,-0.13207,-0.13376,0.38414,-1.13356,0.6583,-1.65088,-1.27129,0.69633,0.70043,0.45831,1
-1.01937,-0.03322,-2.11246,-1.62147,-0.36573,1.31403,0.2564,-0.38184,2.13123,-0.79202,0.28103,-0.49567,-1.24864,-1.62659,-1.04633,-0.55806,0.14074,-1.46852,0.44348,0.90688,-0.79842,0.15518,0.65128,-1.35099,0.84211,-0.31661,0.05171,0.52112,0.47882,-2.38994,-0.19464,0.34128,-0.17881,-0.04024,-1.65092,1.72951,1.0345,-0.62824,-0.22048,0.43272,-0.53475,0.13734,0.65575,-0.57597,1.46084,-0.37649,0.29133,-1.01732,1.80815,0.91146,2.09964,1.15766,0.32847,0.67604,-1.19051,0.24517,-0.02965,0.02675,-0.62933,0.21863,-0.07271,-1.04653,0.79703,0.48462,0.56624,-0.21325,0.3249,0.69829,-1.35908,-0.77739,-0.17007,-0.81656,-0.54264,-1.09086,-1.5386,1.26278,0.109,0.11425,-0.09565,0.82178,-0.1666,2.40227,0.66427,-0.08159,-0.99652,0.55013,0.80314,0.21562,-0.05372,1.08982,-0.38461,-0.27977,-0.53789,-0.80933,-1.73499,-1.4803,0.9327,-1.17619,-0.18879,-1.56473,0.96749,-1.04487,-0.44064,1.04245,1.10752,-0.6086,0.70806,0.57619,-0.78524,0.37794,-0.12769,-0.07035,0.30606,0.41036,0.09237,-0.72234,0.00676,1.68565,-0.20974,0.47561,1.30001,0.29829,-0.44528,0.39549,-0.53099,-0.67937,-0.49038,-1.00412,-0.19182,1.23865,0.5542,0.97856,-0.33115,-0.88434,0.13737,1.44873,0.24829,1.41926,1.38235,-1.06298,-0.61078,1.31441,-0.13437,-0.94343,0.22349,0.26432,-0.64531,-0.99232,-0.15413,-0.86751,0.92852,-0.62745,-0.40337,-1.95386,0.42739,0.52075,-0.84423,0.19656,2.09355,-0.6773,-1.18968,1.40382,-0.94986,0.70373,-0.20055,-1.335,0.04405,-1.50924,0.15582,0.59789,0.22574,-0.73529,0.65057,-0.41673,0.73486,0.8224,1.38638,0.47315,-1.90112,-1.18736,0
-0.73668,1.05341,-0.05886,0.3667,1.44399,-1.70468,1.63251,-0.81964,0.32722,0.79655,-0.64665,-0.51497,0.9086,0.33007,0.38448,-0.19946,-0.12255,-1.97474,-0.61941,-0.65483,1.88236,-0.64646,-1.22118,1.02193,-1.10242,1.09081,-0.4099,0.88464,0.71673,-1.1927,0.03154,-0.53256,-0.10316,-0.12744,-1.45608,0.43908,0.38194,-0.28428,0.92576,0.22046,-0.78496,1.55844,0.58059,0.18945,1.25172,0.61091,-1.14709,0.76633,-0.28717,-0.84535,0.39356,-1.20353,-2.86141,-0.93595,-0.28552,0.67511,0.13573,0.81311,1.3814,0.91618,0.00401,0.33104,-0.67456,0.46247,0.83188,0.6414,0.33906,0.22534,-0.80212,0.87433,0.13809,0.73137,-0.07845,-0.94389,-0.83084,0.30505,1.26341,0.09605,-0.33509,0.67724,-0.48368,-1.10008,-0.162,-1.85931,1.46955,0.49808,1.087,0.01037,-1.15219,0.50016,-1.43304,1.44154,1.49352,-0.69481,0.62532,1.3112,-0.63304,1.08321,-0.07916,-0.03269,-0.0742,-0.13524,0.62317,0.83438,0.5882,0.09544,0.78116,0.59583,0.35942,0.81605,-1.15322,-0.08918,1.62368,-1.58356,1.17636,0.3762,-1.19867,0.587,0.12634,0.60277,-1.22171,-0.63624,1.01498,0.79945,-0.26673,-1.77402,0.01495,-0.72051,-0.61128,-0.05534,-0.13417,0.82647,-0.23598,2.46429,-0.59882,2.8426,0.40608,-0.11124,-0.4132,-0.4865,-0.83239,-1.09314,0.63414,-1.43229,0.37393,0.49682,1.93288,0.28984,-0.27651,0.39581,0.36012,1.05587,-0.39174,-0.04481,-0.43417,-2.40883,0.28758,-0.52524,-0.05107,1.17547,-0.74537,0.53759,-0.5228,-0.15736,1.1108,-1.43149,-0.46216,-0.47153,0.79698,0.06656,-0.8148,-0.08386,0.40398,0.90602,-0.18924,-0.46843,0.67183,-0.20776,0.41261,-0.91455,1
-0.5147,-1.39587,0.84543,1.98957,-0.24847,-2.00581,0.57412,2.48865,-0.33708,0.09686,0.17803,0.99198,-1.19578,-0.44972,1.40622,-0.27979,0.95783,-2.79783,0.32799,1.50297,-0.56171,0.48817,0.59137,-1.0257,-0.16166,0.30381,-0.47785,0.34532,-0.45636,-1.67134,-0.29834,1.30696,-0.25042,1.75843,1.63049,1.24278,0.00097,-0.49991,1.18883,0.58106,1.06051,0.90494,0.21671,0.80323,-1.34313,0.10591,-0.49714,0.98077,-0.13078,-0.64028,1.32437,0.31624,0.94486,-0.26184,-0.38215,-1.06887,-0.27066,-0.11516,0.58206,-0.62261,-1.07458,0.22609,1.93652,-0.99506,-0.41542,-1.15019,0.16166,-0.3039,-0.70985,0.67367,-0.78491,-0.80187,-0.05598,-0.71147,-1.05512,-0.36357,-0.45097,-0.91744,1.11215,0.52967,0.40949,0.71796,-1.83228,0.82939,-0.63849,-0.05836,-1.06508,-0.91552,-1.1254,0.77614,0.3894,1.37243,0.99659,-0.31803,0.52953,-0.81743,1.0141,-0.76879,1.70346,-0.09589,0.64585,1.02038,-0.70112,-0.46703,-1.28076,0.28573,-0.39997,0.30433,-0.21996,0.23835,0.08646,-1.53799,0.71429,-0.96011,-0.09289,-0.35035,-1.81492,1.89009,0.02775,-0.33657,-0.67297,0.98977,0.603,1.03267,1.03106,-2.24764,-0.21226,0.11134,0.32575,-2.60774,1.03918,-1.87477,-0.47546,-0.51591,1.18366,0.39939,0.96716,-0.26083,-0.63236,-0.71119,-1.52006,-0.24803,-0.51336,0.34751,1.75404,1.55875,-0.79258,-1.38707,0.56353,-0.24378,0.58015,-0.39411,0.35127,-0.62069,0.28748,-0.96246,2.15135,-2.79796,-0.3407,0.94094,0.44751,-0.10521,2.17384,0.77402,-0.51107,1.29332,-1.62386,0.56148,1.10876,2.33294,-0.30539,-0.71615,0.37696,1.02141,1.29017,0.75604,-0.84072,-0.2036,0.48905,-0.24494,1
0.16996,-0.53236,-0.3539,1.20857,0.32808,-0.26929,-1.30056,0.67121,-0.10477,0.04377,0.08004,0.76235,0.40697,1.87399,-1.1662,-0.68551,0.42883,0.62136,-0.60783,-3.21101,0.41965,0.6458,0.37109,1.37418,-0.74166,-0.75157,0.02327,-0.89139,-1.31861,-1.3673,0.66999,0.19658,-0.69626,-1.53679,-1.5282,0.09237,1.80123,0.31593,1.43444,1.31123,1.40024,-0.74339,1.25864,0.16134,-0.05893,1.34763,-1.11455,-0.99423,0.22103,0.61582,1.351,0.93634,-0.47575,-0.897,0.03573,0.25137,1.59676,0.65608,0.47208,1.02024,0.50343,0.19469,-0.02682,1.1534,1.83992,0.17635,-0.85453,-0.61787,-1.07136,0.17217,-1.90612,-0.33003,0.5479,0.62596,0.43438,2.55903,0.39165,-0.46606,0.28785,1.22672,-1.73923,-0.15552,0.74546,-0.88016,-0.95507,1.1869,-0.75306,-1.08492,1.59641,0.46304,1.88468,-1.93166,-0.50726,0.62192,-0.76427,-0.74592,-0.64439,0.63666,-0.59841,1.03061,2.1181,-1.36134,1.43024,0.68496,-0.69744,-0.53098,1.40506,0.74864,-0.11208,-0.35543,0.97683,0.85449,-0.75764,0.0951,-0.083,-2.96128,-0.27664,0.80409,-0.41946,0.05166,2.38873,2.15787,-1.37502,-0.58513,-1.92076,-0.4863,-0.63734,-1.08403,0.10505,-0.68684,1.22416,-1.09966,0.56899,-1.3379,-0.70875,-0.30883,0.55549,-2.06552,0.88374,0.30356,-0.0738,0.80557,1.46976,0.0272,-1.08472,-0.18491,2.56764,0.92922,-0.09383,-0.52592,-0.51525,-0.21188,0.00794,1.07475,-0.67616,0.61436,-0.00654,1.24539,-0.39247,0.11953,1.08981,-0.40259,-0.1697,0.41331,1.13914,-1.99083,1.86221,-0.02512,0.13337,-0.6357,-0.11971,0.56014,0.28765,0.20457,0.08305,-0.03461,-0.45346,-0.09649,0.46855,-0.14308,0
0.72747,1.81798,0.80506,0.20565,-1.05022,-0.49854,-1.32151,0.90005,-0.90526,2.10468,-0.35292,0.46734,1.16879,0.02911,-0.33408,-1.22056,-0.92779,-1.36478,0.26859,1.02482,0.73388,-0.25797,0.06821,-0.61458,0.03976,1.00974,-1.27498,-0.15426,0.19834,0.71015,0.05144,-1.27755,1.80321,-0.48712,0.76502,-0.13756,0.23775,-0.34681,-0.46072,0.58449,1.01333,-1.32274,-1.31028,-0.19781,0.61852,0.9749,-0.2871,0.0571,-0.70863,0.91578,-1.18596,-0.03578,-1.81955,-1.0853,-0.8836,0.89245,-0.66382,-1.82231,-1.07897,0.73875,-0.52127,1.08195,1.25191,-0.55746,1.06589,-0.29247,-0.87174,0.74079,-1.44474,2.45649,0.09713,-0.24437,-0.39898,1.14738,1.70433,1.27198,0.0121,-2.16956,-0.54127,-1.09695,-0.55989,-1.85024,1.22196,-0.72632,0.41954,0.22556,1.49259,0.8767,0.50324,1.38014,-1.16698,1.01372,0.89429,1.23948,0.53669,0.0836,-0.57208,0.51351,0.74302,-1.21865,2.10523,-0.48281,0.58605,0.19502,0.26302,2.23543,-0.87246,-0.52846,0.79749,0.17462,-0.67326,-0.19947,-0.72098,1.45773,-1.89318,-0.29242,-1.38401,0.62975,-1.4158,-0.3602,-1.19895,0.30178,-0.28098,0.44524,0.70777,-0.71142,-1.19476,-0.51229,0.13487,-0.04153,-1.05557,-0.41496,1.12287,-0.40339,-1.10596,0.11904,-2.46049,1.21959,2.69056,1.2605,0.58062,1.04013,-0.16662,-1.24897,0.25656,-1.76434,0.65396,-0.73435,0.29476,-0.15143,-0.41624,-1.47978,2.55714,0.40316,-1.63764,-0.53963,1.20667,0.07913,1.00838,0.31439,-0.98153,-0.02697,0.08109,-0.2675,0.80231,1.08651,-0.40066,1.01359,0.36623,0.57557,0.67191,1.33904,-1.37159,0.00438,-0.48608,-0.96661,2.42949,-1.52343,-0.52352,-0.73863,0
0.33942,1.22682,0.26604,-1.53831,-0.87027,0.90965,-1.11051,-0.69362,-0.31703,0.64224,0.05744,-0.13807,-0.69193,-1.64713,-0.21912,0.90412,-0.21249,1.26359,-0.4277,-2.19661,0.08564,0.40299,-0.41911,-0.11204,0.71257,-1.16277,-1.36158,-0.2875,0.2683,-1.08223,0.04574,-0.64079,-0.59089,0.2776,-1.84367,0.21893,-1.28236,-0.20226,-0.10013,-0.43176,-0.08709,0.75942,0.53125,-1.07485,-0.99468,-0.01479,0.48533,-0.3826,0.81313,1.48758,-1.84525,0.28545,0.80727,0.50919,0.78171,2.0257,-1.62556,1.18728,-1.03031,-0.12158,1.64208,-1.2603,1.08897,1.29988,0.4459,0.95461,1.17508,0.22579,-1.09235,0.24338,1.04227,-1.22471,-0.86156,-0.36886,0.10667,0.24176,-1.68229,0.44198,-0.12428,0.00686,-0.05154,0.53894,2.21448,-1.17478,0.88356,-0.11403,-0.49886,-0.79753,-0.83256,0.17151,1.10445,-0.55148,-1.36999,-0.27235,-0.02089,-0.94307,0.10225,0.34026,-0.54083,0.76782,1.38641,1.48651,-1.79299,0.37333,1.15243,-0.20979,0.29818,-1.0118,-1.05068,1.59644,-0.92978,0.24829,-1.05774,-0.21764,-1.6055,-1.13868,-2.04148,0.46614,0.50636,-0.84335,0.27342,-1.25824,-0.94056,0.27459,-0.67267,0.3415,0.20127,-2.07217,-0.4723,2.22155,0.5029,-0.40746,1.60376,1.39277,0.02505,-0.92467,-0.78966,0.21991,1.64044,-0.70746,-1.11359,-1.18955,-0.39094,-0.36303,-0.00095,-0.18421,0.87647,-1.42581,-0.1382,0.06812,0.11099,-0.18888,1.64375,0.06455,-0.03557,1.15362,-0.60671,0.44051,1.20799,0.32147,0.92826,-0.35249,0.58312,-0.38137,-0.7868,0.20719,-0.18183,0.03667,1.52975,1.63864,-1.2172,1.05826,0.71798,-0.26789,-0.06246,0.65542,-0.59893,-0.87768,-1.38554,-1.73299,1
