x1,x2,x3,x4,x5,x6,alvo
-0.46146,0.86257,-1.71685,-0.00956,0.40294,0.11691,0
0.45798,1.21016,1.17563,1.15543,1.41279,-0.00937,0
-0.09437,-1.37308,-0.85343,-0.48429,0.60295,0.46773,0
-0.65875,-0.08295,-0.6614,0.58987,0.46343,1.2425,1
-0.4001,-0.32526,-0.8169,-1.36432,0.4842,1.18648,0
-0.18736,3.37651,0.2504,-0.10631,-0.3022,2.80051,1
1.06163,0.09929,-3.03282,-1.05956,-0.00409,-0.41708,0
0.07198,-0.04489,-1.80466,-0.35836,-0.77686,0.27547,0
1.59622,-2.04904,-0.3981,-0.40583,0.93405,-1.1228,0
0.90406,1.1499,0.40972,-0.63979,-0.76501,1.45745,0
-0.51138,-1.69883,1.30643,1.1855,0.08759,1.18535,0
2.40117,-1.02766,-0.69943,-1.9629,-0.89197,-0.55474,0
0.81245,-0.66923,-0.25965,-0.26474,-0.06605,-0.03388,0
0.72463,-0.06705,-0.50447,0.62344,0.08875,-0.00476,0
0.91304,-0.48113,0.2506,-0.70371,-0.05957,0.70661,0
-1.77035,-0.44563,0.28033,-1.0231,0.27691,0.28739,0
0.64321,-0.56319,0.56197,-1.26016,-0.77565,0.46151,0
-0.42457,-0.89419,0.18042,-0.41174,1.08237,-0.64975,0
0.72453,-1.28296,-1.0924,-0.04228,-0.14088,-0.30208,0
-1.04197,0.61179,-1.09912,0.26654,-1.58297,0.02524,0
-1.05472,-0.66524,1.96159,0.7774,-0.02328,-0.94464,0
0.73586,0.24888,-0.50756,0.16729,-0.42018,0.55026,0
-1.50248,2.07739,-0.2216,1.06984,-0.0467,-0.13576,0
1.11834,0.5621,0.62984,0.48305,-2.49198,0.72594,0
0.24277,-2.24147,-1.48775,-0.41346,2.03703,-1.74909,0
0.35726,-0.29396,0.67755,0.37542,0.43834,-1.00907,0
-0.94173,0.18996,-1.70819,0.79448,0.62939,0.60381,0
-1.3465,0.05932,0.36406,-0.06788,0.42202,0.47667,0
1.88702,0.27016,1.33535,1.07834,1.97369,0.47678,1
-0.34714,-0.61734,0.21707,-0.78507,-0.396,1.87588,0
0.82799,-0.30787,1.77445,-1.07817,-0.59074,-1.84001,0
1.04324,-0.68108,-0.97869,2.78893,0.27168,-0.97346,0
0.33003,0.48692,-0.44298,0.54671,-1.32355,-1.00735,0
1.54426,0.84425,1.01732,2.03296,-0.76663,1.60051,1
0.72476,0.13781,-1.02787,-2.34511,0.63635,1.71616,0
1.20296,0.13706,1.37412,1.43856,-0.4653,0.26865,0
0.53037,0.20793,-0.90409,0.25673,0.60278,-0.86542,0
0.12575,-0.76811,-0.53498,0.39371,-0.66062,-1.01316,0
-0.99437,0.51514,-2.44644,0.43393,-0.10548,0.37329,0
-0.30035,-0.06998,0.67961,-3.12976,-0.65048,-0.14009,0
0.3952,0.99866,-0.00568,1.32584,-1.24388,-1.27692,0
1.00248,-1.78009,0.70808,1.24883,-1.14365,-0.35894,0
0.6589,0.80281,-0.8441,-0.80453,1.14772,-0.68445,0
2.91862,1.57859,0.1516,0.65898,0.21233,0.59737,0
0.83281,1.01025,1.26038,1.06507,-0.20888,1.02356,0
-0.28416,-0.48864,-0.94941,-1.10133,-1.21683,-0.407,0
-0.1533,-0.76705,0.92668,0.33771,-1.75673,1.54301,0
0.22254,0.05429,0.04141,1.15991,-0.75092,-0.00316,0
-0.08527,0.65295,0.30709,0.95786,0.40167,0.67284,0
-0.8975,0.26539,1.06636,0.42085,0.49935,-0.09581,0
1.17459,-0.08127,2.75269,1.10386,1.39814,1.77124,1
-0.52777,-1.34957,-1.54998,-2.09583,-0.43421,0.73508,0
0.27822,0.01587,0.94966,1.72171,-1.34855,-0.75733,0
-1.03095,0.92734,-0.89121,-1.43008,-0.78278,0.3858,0
1.50062,1.01355,-0.23141,0.99163,-1.12519,0.92622,0
1.33767,-0.32279,1.13693,1.61733,0.00792,1.31463,0
-1.69191,-1.03441,0.4996,0.76027,2.26774,0.12851,0
-0.5843,-0.91684,-0.28405,0.5668,1.746,0.29651,0
-0.17494,-0.94882,-1.29363,1.3781,-1.87326,0.21374,0
0.14905,-0.4153,0.72712,-0.6467,1.20557,1.004,0
-0.48216,-0.03075,-0.68162,-0.19386,2.20205,-1.55713,0
-0.3163,0.13416,0.4448,-1.45667,0.02761,0.00352,0
-1.6841,-2.6221,1.04429,1.42703,0.14962,0.41326,0
-1.41517,-1.06318,-0.18317,0.33275,-1.40294,-1.04228,0
