id_empresa,periodo,porte,margem,crescimento,endividamento,liquidez,superou_setor
E26,T10,0.49478,-1.52039,1.18002,0.42006,0.33824,0
E32,T03,4.93817,0.6183,-0.19145,-1.22094,0.75426,1
E40,T12,0.55334,0.66651,-1.61921,-1.3554,0.60242,0
E32,T05,4.97005,0.75545,1.01796,0.35665,-1.03711,1
E39,T01,2.30901,0.97786,-1.30848,0.74225,1.11924,0
E13,T10,-0.25113,-0.71003,-0.137,0.06538,1.09624,0
E18,T06,-2.2313,-0.06657,-0.24631,-0.45263,0.93438,1
E35,T08,0.11994,-0.15668,-0.84981,-0.33567,0.86152,0
E16,T02,-2.58703,0.21562,-0.49862,-0.67095,-0.51703,1
E39,T16,2.3009,1.43314,0.44723,-0.63965,0.24118,1
E05,T08,-0.56934,0.12975,-0.9532,0.14287,1.15744,0
E22,T05,1.50087,-2.03865,-0.43885,1.70546,-0.06319,0
E24,T16,-0.0532,-0.04945,1.23764,-0.30234,-0.26133,1
E30,T10,-1.39832,-0.19164,-0.04251,-0.93921,0.71617,0
E15,T13,0.97178,-0.03739,-1.8569,1.49443,0.31261,0
E26,T12,0.53702,-1.17445,0.26707,-0.81071,0.65133,0
E14,T13,1.37031,-0.54757,0.48449,-0.57537,-1.56786,1
E14,T08,1.35605,1.68657,0.27726,1.59623,-1.89571,1
E40,T15,0.51621,-0.50488,0.89566,1.329,0.93179,0
E33,T08,1.0055,0.35399,0.57972,-1.01842,-1.79918,0
E24,T06,0.00239,-0.36524,0.65488,-0.3068,-0.4241,1
E20,T03,-1.28885,-1.40677,0.78442,-0.64513,1.4818,1
E01,T06,-4.49983,1.1246,-0.68116,1.46037,-0.82348,1
E09,T13,-2.36592,-1.79742,-0.85367,0.18282,-0.00394,0
E34,T07,0.26339,0.94893,0.60992,1.06418,-2.64752,1
E21,T15,1.175,0.28292,0.74171,-0.72414,0.4242,1
E05,T02,-0.64562,1.04698,0.12426,-0.51139,1.20499,0
E06,T14,-1.43052,1.0159,0.39255,1.23332,0.58441,1
E31,T10,-2.88471,-0.69939,0.59632,1.26296,-0.33293,0
E05,T13,-0.6672,-2.22767,-0.22613,0.62218,1.44613,0
E31,T12,-2.90557,-0.87399,1.52441,-1.53561,1.62186,0
E04,T02,0.79505,-0.41407,0.65101,1.1333,0.65653,0
E11,T10,-2.39073,-0.92336,0.50935,-0.8854,-0.45613,0
E29,T01,-2.1187,-2.8784,0.62028,0.12876,-0.5666,0
E34,T02,0.27906,0.96734,0.23932,0.28232,1.80534,1
E33,T12,1.04422,1.03428,-1.24737,-0.38825,-0.71871,0
E14,T12,1.41169,-0.8671,-0.96487,-0.09101,-0.21014,1
E05,T09,-0.65284,0.69647,-1.85062,-0.06536,2.45365,0
E18,T08,-2.2193,-1.403,1.43563,-1.01122,0.81238,1
E38,T09,2.94413,0.53326,1.32049,0.25354,-1.32647,1
E01,T11,-4.54486,-1.33786,-1.31285,0.42486,1.10608,1
E13,T12,-0.22755,0.48071,-1.14276,-1.27083,-0.29172,1
E32,T06,4.9024,0.20244,-1.72306,1.46339,0.91796,1
E30,T09,-1.38319,0.11142,-0.34816,-0.72704,0.24504,0
E32,T16,4.93901,0.33716,-0.90076,-0.39526,0.37404,1
E28,T12,-0.58106,0.52671,-0.47549,-1.44521,-0.85563,0
E38,T11,2.97421,-0.17774,0.77337,-0.29327,-0.23651,1
E17,T10,0.31142,-0.23104,-1.0794,0.3597,1.33757,0
E11,T03,-2.35465,-0.26966,-0.05686,-0.25626,-2.73169,0
E27,T13,-2.67977,1.18861,0.25787,1.8667,0.52639,1
E32,T13,4.97943,-0.12722,0.43047,0.67476,-0.77441,1
E28,T05,-0.63123,0.77663,0.28918,0.12806,-1.32026,0
E21,T13,1.14982,1.17675,-0.5588,-1.06783,0.82802,1
E24,T05,-0.02179,0.07356,-1.00214,-0.29304,-1.28671,1
E35,T10,0.0907,-2.21252,0.43348,-0.48067,0.10521,0
