trimestre,ind_a,ind_b,ind_c,ind_d,alvo
0,0.6236,-0.50382,-1.33081,-1.42146,0
1,1.95554,0.67094,1.03031,0.25631,1
2,-0.31262,1.30718,-0.18667,2.34008,1
3,-0.21879,-1.12422,-0.10004,0.3961,0
4,1.05179,-1.63504,-0.49843,0.63471,0
5,0.2692,3.81289,0.0422,-1.22707,1
6,-0.74508,1.25038,-1.00835,-0.91945,0
7,-0.21392,-0.97858,-0.5444,1.12849,0
8,-0.91015,0.40096,-1.31206,-0.06729,0
9,1.37716,0.01779,0.10702,2.81144,1
10,-1.31088,0.57871,-0.24226,-0.06016,0
11,-0.02296,1.17936,-1.76065,0.0179,0
12,0.62164,0.3756,-0.20091,2.3558,0
13,0.18515,-1.79052,-1.57616,-1.07637,0
14,0.14594,0.77544,0.34926,-0.939,1
15,-1.21192,0.28926,-0.82695,-1.80988,0
16,1.81185,-0.36054,-0.41793,-1.29804,1
17,0.34401,0.00363,1.17166,1.71691,0
18,1.07471,0.52809,0.23722,1.4553,1
19,0.70687,-0.11787,0.65491,0.9325,0
20,1.23387,-1.90044,-0.66652,0.74177,0
21,-2.6684,-2.20368,-0.43761,-1.65698,0
22,-0.01993,-1.37067,0.65044,-0.77207,0
23,-1.65562,2.58362,0.81743,-0.92907,0
24,-0.14185,0.58961,-0.7914,-1.25799,0
25,-0.74632,-0.45645,0.06303,-1.32044,0
26,0.68045,-0.60341,2.71216,0.85995,0
27,-1.30871,-0.58905,-0.30862,1.55065,0
28,-0.2743,0.48199,-0.41015,-0.8463,0
29,-1.27446,1.1299,0.41866,-1.26901,0
30,0.14924,-2.20279,0.86034,-0.03501,0
31,0.35062,0.28411,0.12996,-0.31917,0
32,-2.08336,-0.53781,1.3336,-0.80609,0
33,-0.19262,-0.12255,0.40721,0.00966,0
34,-1.63133,1.02732,0.57714,-1.66913,0
35,-0.26543,-0.69009,-0.24577,-1.12589,0
36,1.8265,0.87672,0.30506,0.46425,1
37,-1.49449,1.07014,-0.31103,-0.18119,0
38,-0.27482,1.22359,0.82006,-0.77075,0
39,-1.72418,0.43532,-0.84181,0.1949,0
40,0.06563,0.87693,0.90892,-0.0761,1
41,-1.61828,0.59314,0.57198,0.96273,0
42,0.3253,-0.60541,-1.09569,-0.04805,0
43,2.27336,0.03999,-0.33724,-1.70371,1
44,0.43402,-0.34373,0.68178,0.29475,0
45,-0.69075,-1.76711,-0.21052,1.16393,0
46,-0.01089,2.28802,0.834,0.37402,1
47,0.46459,-0.75851,-0.51811,0.05811,0
48,-0.50898,-0.13504,1.20962,-1.14729,0
49,-0.56192,-0.86552,0.97813,-1.61825,0
50,-1.53525,-0.35974,-2.23769,-0.28738,0
51,0.74189,0.75034,0.37398,1.55912,1
52,-0.89067,0.97064,-0.19827,1.17932,0
53,-0.19907,0.14574,1.1176,2.03805,0
54,1.26793,-0.26816,-1.45362,0.2951,0
55,0.57927,0.99823,-0.27774,-0.13344,1
56,-0.90866,-1.14139,-1.03526,-1.11875,0
57,-0.24836,-0.18495,2.32125,-0.20592,0
58,0.29568,-1.39658,-0.28976,-0.75183,0
59,0.18105,0.39994,0.73372,0.06708,0
60,2.31656,0.58576,-0.47945,-0.11312,1
61,1.47079,0.87217,-0.07608,-0.21449,1
62,-1.02611,-0.90371,-0.03809,1.05208,0
63,0.77581,-0.05705,0.06173,1.50457,1
64,0.97147,0.28941,0.21508,1.03652,0
65,1.9116,0.18748,-0.9029,0.89945,1
66,-1.07038,-1.08475,-0.39744,-0.09729,0
67,-1.4327,0.40888,0.26036,-1.13542,0
68,-0.98471,-0.97263,1.76717,0.25431,0
69,-1.41549,-1.03382,-0.95377,-0.80408,0
70,1.48861,-0.80205,-0.23662,-0.19134,1
71,1.33275,0.04407,0.03106,-0.57822,1
72,-1.00408,-1.5322,0.86121,-0.82268,0
73,0.46529,-0.10154,-0.33204,-0.59897,1
74,-0.31845,-0.1201,-0.2672,1.02712,0
75,1.28287,-0.15198,-0.6678,-0.50368,1
76,-0.68851,-0.26317,-0.69248,0.30122,0
77,0.28199,-0.40509,0.47845,1.10676,0
78,0.11906,-0.34333,-0.74899,-0.25203,0
79,-1.49791,-1.70591,-1.3438,0.33457,0
80,0.32092,-0.14912,-0.16712,0.61101,1
81,0.32933,0.02519,0.69415,0.92222,0
82,0.55425,2.06368,-1.10768,0.88548,1
83,0.02128,-1.41157,1.12688,0.02046,0
84,1.28121,0.35924,1.09656,0.07247,1
85,-1.44042,-0.56421,-2.11754,-2.29246,0
86,-3.26131,-0.39929,0.47565,1.52499,0
87,-0.66333,-0.04912,-1.23275,0.11279,0
88,0.13592,-0.93822,-0.22235,0.02799,0
89,0.31993,1.28789,1.65742,-0.26156,1
90,0.41891,-2.16126,0.78041,-0.31043,0
91,-0.14958,-1.27242,1.55707,-1.59545,0
92,-0.51841,0.4214,-1.67593,0.93693,0
93,-0.00498,1.04607,-0.5188,-0.13513,1
94,1.59405,-0.05997,-0.16015,1.10097,1
95,-0.23988,-0.21978,-0.82674,1.11868,0
96,-0.11788,-1.60377,-0.80588,1.1796,0
97,0.14701,-1.49543,0.77876,-0.29822,0
98,-0.43039,-0.89069,-1.12796,-0.94832,0
99,-0.33567,0.68517,-0.60692,-0.96125,0
100,-0.17868,-0.33224,0.23177,1.10407,0
101,0.08844,-2.12449,0.78892,0.74897,0
102,0.33052,-0.01616,1.66254,-0.72778,0
103,-0.60269,0.12143,0.37336,-1.13546,0
104,-1.22386,-1.15394,-0.29226,-0.35645,0
105,0.00672,-0.75181,-0.8269,0.65925,0
106,0.20039,-1.40311,-1.87101,-1.07192,0
107,-0.2457,-0.08316,-0.02665,-1.27118,0
108,1.27331,1.00538,-0.57216,0.03464,1
109,0.7261,-0.51431,1.27845,0.36587,0
110,-0.63266,-0.13546,-2.38314,1.02495,0
111,-1.83304,-0.67026,-0.32608,0.45441,0
112,-0.13749,0.2161,1.80215,0.01647,0
113,0.78462,-1.54186,0.35399,-0.01351,0
114,0.87653,1.52684,0.24222,-0.32022,1
115,0.66957,-0.59256,-1.51815,0.50684,0
116,-0.12298,-1.14605,-1.00022,2.43518,0
117,-1.17517,1.57996,1.90106,-0.44985,0
118,-0.45531,-1.41479,0.83286,-1.18351,0
119,0.31094,0.1191,-0.18359,-0.49146,0
120,-0.47167,-0.35428,-1.92277,-0.89838,0
121,-0.29896,0.81023,-1.95517,-0.00821,1
122,-0.74845,-0.23828,0.8198,0.03153,0
123,-0.05203,-0.91514,-0.55104,0.63667,0
124,1.4083,0.4839,-0.52074,2.5605,1
125,0.32382,-0.16035,1.53768,-0.6019,0
126,0.75317,0.48673,1.04933,-0.12498,1
127,1.19817,-0.532,1.70136,0.16977,1
128,1.86356,1.12146,-0.41965,-0.20217,1
129,-0.18641,-1.83966,-0.76235,0.2399,0
130,-1.28434,-1.34667,-0.9931,1.27335,0
131,-2.01393,-0.52035,-1.73165,-0.69391,0
132,1.19317,-0.10448,-1.26113,1.58763,1
133,0.4969,0.02795,-0.63053,-0.46061,0
134,1.03907,0.29764,0.61124,-0.51433,1
135,0.22984,0.80676,-0.78993,-1.04896,1
136,1.08086,0.30814,0.17996,-0.40536,1
137,-0.92609,0.19001,1.99675,1.6138,0
138,1.12947,1.52932,-0.57905,0.76025,1
139,-1.42813,-0.08193,-1.0674,-1.49783,0
140,-1.09275,0.29352,0.05216,-1.25868,0
141,0.23246,1.55723,0.77632,1.42657,1
142,0.51399,-0.52084,0.21327,0.45653,0
143,-0.33974,1.03412,-0.47081,0.87815,1
144,-0.37524,1.85423,0.52748,-0.53701,1
145,-1.45425,0.72756,1.54822,0.99276,0
146,-0.20461,-0.88243,-0.6938,-0.72239,0
147,-0.40367,-0.48215,-0.31139,-0.75916,0
148,0.31738,0.95802,-1.40961,0.17665,1
149,0.88141,1.10193,0.68613,0.34174,1
150,-1.09627,0.13064,-0.93149,0.79234,0
151,0.83643,0.47865,-1.06669,1.26266,1
152,-0.74067,-0.96854,0.13802,-0.43852,0
153,0.57805,0.61571,0.88149,-0.97144,1
154,0.34642,-0.69006,0.13448,0.85541,0
155,-0.46698,0.52622,0.91283,-0.18295,1
156,-1.25136,0.89573,0.05382,0.37363,0
157,-0.45947,-0.00852,0.43164,-0.49811,0
158,1.47962,-0.12114,0.54444,1.45622,1
159,-0.24868,0.10283,2.14749,0.58786,0
160,-0.14315,0.75566,2.13026,2.17186,1
161,0.00966,-0.88275,-0.39691,0.93798,0
162,1.42031,1.58462,-0.7496,-0.09461,1
163,1.12811,-1.1361,0.23386,0.79489,0
164,0.48181,2.40976,-0.2453,-0.18315,1
165,1.66544,0.90837,0.4565,-0.19218,1
166,-0.06933,0.6423,0.56006,1.10972,0
167,-0.77783,1.00949,0.20162,0.16545,0
168,-0.18535,-0.93692,1.27276,0.11329,0
169,0.11096,-0.07275,-0.44274,-2.03888,0
170,0.12657,-1.03418,2.36991,1.0078,0
171,2.32943,-2.72707,1.63053,-0.10285,0
172,-1.80085,1.75218,0.71651,1.06358,0
173,-0.6074,-0.15648,-0.83657,-0.00109,0
174,-0.5167,-0.42001,0.08273,1.12678,0
175,-2.34351,1.02985,-0.87235,-0.68428,0
176,2.09515,-1.39394,0.61722,-0.74336,0
177,-0.16472,0.65535,0.42954,0.2178,1
178,0.90783,0.14978,-0.22589,1.19326,1
179,-1.3512,0.43584,1.63172,0.19401,0
180,-0.38564,1.02255,0.5465,0.26128,1
181,-0.61228,0.77623,-0.43479,1.3237,0
182,0.43028,-2.20578,0.1799,-0.75478,0
183,-0.49733,-1.13614,-0.18367,0.32533,0
184,-0.05513,0.64475,1.28399,-0.30547,1
185,-1.01358,-1.13822,0.29309,-0.61182,0
186,0.2054,0.02574,-0.61256,1.45201,0
187,-1.03784,-0.4137,-0.51562,0.07532,0
188,-0.11738,-0.77377,1.01838,1.17324,0
189,-0.32553,-0.39735,-0.72645,-0.14469,0
190,-1.79118,0.68481,-0.68836,1.07113,0
191,-0.37042,-1.21668,2.08639,0.78236,0
192,-0.61997,1.45365,-0.37948,1.56921,1
193,-0.36145,-0.94414,0.32948,1.71258,0
194,-0.60453,1.23378,-0.48045,0.12833,1
195,0.15353,0.3062,-2.17308,-0.26665,0
196,-0.27529,0.47807,0.59083,0.6784,1
197,-0.76236,-2.04493,-0.20002,-0.18931,0
198,0.09455,2.52681,1.21386,-0.4385,1
199,0.39662,1.14673,-0.28688,-0.36741,1
200,-1.39583,1.53419,0.3086,-0.74117,0
201,-0.31006,-0.59795,-0.14976,1.13091,0
202,-0.03194,1.70809,0.40119,2.43243,1
203,-0.50394,-1.07227,1.74518,-1.14465,0
204,0.07257,-0.10341,0.48528,-0.35407,1
205,-0.75144,-1.99473,0.83958,-0.58676,0
206,0.99653,-0.23101,-1.22244,-0.43171,1
207,-0.8099,-0.67072,-1.24947,-0.29509,0
208,-0.37723,1.7532,0.73456,0.80639,1
209,-0.70699,-0.66009,0.56331,-0.50202,0
210,0.99593,-0.02044,2.31364,-2.28636,1
211,-0.06454,-0.84208,-0.39257,0.51099,0
212,-0.99498,-0.43801,-0.22259,-0.54346,0
213,1.34132,0.61169,-0.02925,0.17607,1
214,0.84065,0.38889,-0.39263,-0.1515,1
215,1.41462,0.98431,-0.67282,-0.11254,1
216,-0.49895,-0.39988,1.19631,0.75486,0
217,-0.32109,-1.05272,0.49283,-0.21385,0
218,-0.76597,-0.24258,0.71038,0.09834,0
219,-0.50033,0.0116,0.13451,-0.1428,0
220,1.32217,-2.50256,1.20715,-1.40888,0
221,0.26799,1.43092,0.65618,-0.61607,1
222,-0.25961,-0.34683,-2.72262,0.18064,0
223,1.48912,0.44692,0.31416,-0.05848,1
224,0.25995,1.07377,-0.26215,1.87087,1
225,-0.56022,-0.04453,-0.03873,-0.57918,0
226,-3.45858,1.95849,1.06134,-0.63477,0
227,-0.916,0.30528,1.02736,-0.95149,0
228,-1.5253,0.22672,0.33103,1.49654,0
229,0.19103,0.09736,0.27021,0.43473,0
230,2.15005,1.61568,1.32135,-0.39687,1
231,-0.05141,-0.78768,-0.85917,0.55395,0
232,-0.25329,-0.47661,-1.28805,0.54462,0
233,0.52422,0.06751,0.70365,-0.63338,0
234,0.67149,-0.16276,1.14197,1.99809,1
235,0.51479,-0.68389,0.10814,-0.83892,0
236,-0.94123,1.08117,-0.26563,-0.37437,0
237,-0.86972,-1.43174,-1.0111,1.5195,0
238,0.19258,0.66048,0.33662,-0.15962,1
239,0.32021,0.17323,1.41274,0.50741,0
240,-0.78707,-1.12442,0.26104,-0.81968,0
241,-1.68038,1.0365,-0.17389,0.2033,0
242,0.95861,0.63777,-0.19766,1.4418,1
243,0.97508,-0.33382,0.77463,0.15468,1
244,-1.32748,-1.35696,0.61681,-1.23042,0
245,-1.39027,-0.22474,1.23764,0.41942,0
246,0.31666,0.17169,0.25569,0.65708,1
247,0.49521,1.41923,-1.55866,1.66799,1
248,-1.1436,2.84386,0.61635,0.35651,1
249,-0.61628,0.84252,0.76007,-2.80071,1
250,0.23668,0.28296,0.27003,0.49411,1
251,-1.09166,0.25768,0.55833,0.16919,0
252,1.76543,-1.49059,0.50237,0.76189,1
253,0.6073,-0.0193,0.15511,-0.02566,1
254,-0.99244,-1.01,-0.09568,0.65693,0
255,-1.93765,-0.25238,-1.04792,-2.42421,0
256,-1.36684,-0.23751,0.52915,0.28431,0
257,0.66016,0.13225,-1.20436,0.37424,1
258,0.12474,1.05942,-0.23379,0.24232,1
259,-1.28247,2.26912,1.05271,-0.42913,1
260,0.32161,-1.39782,1.47694,-0.04338,0
261,-1.53518,0.82312,-1.25196,-0.37547,0
262,-0.94845,0.56716,-0.54625,-0.36174,1
263,1.00398,0.76269,-0.90492,0.62435,1
264,1.4406,1.42917,0.00629,0.23346,1
265,-0.45709,-0.02247,-1.74467,-0.98087,1
266,0.62037,-0.13826,-0.12579,-0.73041,1
267,-0.24469,0.81643,0.49518,-1.06543,0
268,2.26631,1.52405,1.9759,-0.55339,1
269,0.24331,0.02256,0.69821,-0.6954,1
270,0.32159,0.32583,-1.10764,-0.00978,1
271,-0.02261,-0.18498,0.02619,1.5194,0
272,0.54801,0.29911,0.52434,0.43736,1
273,0.30949,0.44912,-1.42735,1.03924,1
274,-1.66308,0.06752,0.11702,-0.05472,0
275,-0.9749,1.09135,0.82959,-1.99544,0
276,-0.08213,0.4543,0.58675,-0.1029,1
277,-3.41843,1.03966,-2.29176,1.21634,0
278,-0.51655,-0.77932,-0.1842,1.19349,0
279,-0.01621,0.87485,0.55171,0.01734,1
280,1.11292,-0.34743,1.68486,-0.10584,1
281,0.43717,0.14925,0.24045,-0.46076,1
282,0.20642,0.01697,-0.07879,0.60597,1
283,2.2486,-0.76764,1.49252,-0.66211,1
284,0.39655,-2.10428,0.11583,-1.53804,0
285,-0.20228,0.5059,0.5709,-0.45731,1
286,1.26803,-0.58154,1.36971,1.32946,1
287,0.52573,-0.9008,0.6247,0.87741,0
288,-2.08576,-0.07171,1.4991,0.53907,0
289,0.2345,0.53095,-0.04749,-0.01953,1
290,0.98342,0.44225,0.50937,1.66522,1
291,0.23715,0.88354,0.10568,-2.142,1
292,0.49304,0.20713,2.31628,0.22041,1
293,0.23966,0.18357,-0.76041,0.83146,1
294,2.32168,0.67078,-0.03591,1.40641,1
295,-1.70527,-0.6394,1.59992,-0.09104,0
296,0.36169,-0.71734,1.19721,0.81431,0
297,-0.45903,2.51154,0.39928,1.44878,1
298,0.56985,-1.26549,2.95774,1.46086,0
299,-0.65522,1.76668,-0.32716,0.48968,1
300,1.96931,-1.36414,0.19494,-0.98612,0
301,0.82786,1.47733,-0.5463,0.09693,0
302,-1.08625,-0.49591,1.01126,-0.41747,1
303,-0.28933,1.81134,-0.41345,-1.2297,0
304,0.23781,-0.66126,0.12351,-0.91477,0
305,0.40699,1.67646,0.90803,0.07942,0
306,0.9449,0.50125,-0.51307,-0.51552,0
307,0.4596,-1.13393,-2.64316,-0.93924,1
308,0.72567,-1.40087,0.39862,-0.78947,0
309,1.20234,-0.00977,-1.34125,0.55733,0
310,0.84162,-0.36539,-2.23885,0.60825,0
311,2.80306,0.20097,0.46282,1.21621,0
312,0.45191,0.4653,0.74324,-2.1709,0
313,1.21555,0.61408,-0.30543,-2.26071,0
314,-0.04414,1.99705,2.46731,-0.48779,0
315,-0.2742,-0.68606,0.4494,-1.91258,1
316,-0.88008,-0.04863,0.72607,-0.12147,1
317,0.33181,-0.08121,-0.21209,0.79309,0
318,0.80286,0.2418,-1.03391,-1.89027,0
319,0.45645,1.75852,1.02351,0.36345,0
320,-0.24916,0.68568,0.57823,0.79469,1
321,0.73977,1.28434,0.83607,-0.56761,0
322,0.32311,-1.78497,-1.40876,1.33362,1
323,0.67219,-0.31097,0.58899,1.4941,0
324,-0.01525,-0.12027,-0.04678,0.60013,1
325,0.22577,1.28896,-0.79678,-0.97808,0
326,0.49992,0.234,-1.00759,-0.51548,0
327,1.3538,-0.36925,-0.03247,-1.1195,0
328,0.50107,-0.44807,-1.1029,-0.49883,0
329,-0.45794,-0.47782,-0.41768,-0.15111,1
330,1.23856,-0.54625,0.60391,0.00399,0
331,-1.04024,1.80612,-0.93965,-0.68247,1
332,-0.16549,1.4488,-0.22673,-0.00517,0
