f1,f2,f3,f4,f5,f6,f7,f8,alvo
0.27288,-0.37308,1.42582,-1.67096,0.53664,0.35016,1.914,-0.52972,0
-0.52856,-0.02996,1.97302,-1.04032,0.74012,-1.50205,-0.07579,-0.05972,0
0.69293,-1.50608,1.67045,0.5769,0.99969,-1.0563,0.27801,0.01521,0
0.43343,0.69414,-0.90987,0.08561,1.27956,0.65621,-0.36784,-2.66686,1
-0.79941,-0.78585,0.78942,-0.15319,0.62948,0.10956,0.90587,-0.3383,1
-0.27343,-1.24881,-0.02996,0.63837,1.10076,-1.73777,-1.00819,-0.31562,0
0.10286,-1.15927,-0.57616,0.02284,0.85267,-1.08506,0.93768,0.31156,0
-0.15208,1.08684,0.76577,0.3226,0.31605,-0.45527,-0.00596,1.69407,1
-1.09609,-0.32335,2.44456,-0.50863,-0.30401,0.65001,0.55535,-0.42905,0
-1.72496,0.33744,1.50908,1.11155,-1.29576,-1.0342,1.24552,0.01734,1
0.04817,0.05888,-0.23964,-0.62265,1.74242,1.4615,-2.42163,1.02428,1
0.11482,0.90023,-0.70272,0.23709,1.22111,0.13394,-0.70084,-0.45614,0
1.08661,-0.08205,1.14667,0.86116,0.65849,-0.89665,-0.03864,0.46732,0
0.53903,-1.04214,-1.02178,0.50019,-1.02314,-0.2632,0.09472,0.86698,1
-0.65745,0.82407,-0.14424,1.94575,1.16468,-1.55414,-0.70753,-0.32084,0
1.04316,1.40234,1.1293,-0.11356,-0.03033,0.23667,0.222,0.98177,0
-0.18092,1.96819,-1.34069,-0.3374,1.39621,-0.78606,0.55741,0.36016,1
-0.44674,1.37665,0.19477,1.92634,0.92431,1.66544,-0.00696,0.74034,1
-0.68688,-0.62035,-0.19703,0.42692,0.54662,0.74593,2.97644,-0.57059,1
-0.29341,-1.02397,-0.18487,-0.81529,1.98783,0.70866,-1.218,0.89288,0
-1.40861,-0.56396,-0.35923,0.78981,2.29291,-1.01909,0.32879,0.00692,1
0.92128,1.44825,-0.7723,-0.52896,0.24527,-0.80665,-0.5403,-0.48384,1
-0.54151,0.45366,-0.47218,0.5928,-0.04376,0.49731,0.2301,0.18224,0
-0.43339,0.86975,-1.40249,-0.15357,-0.54895,0.91915,1.48994,1.35857,1
-0.34877,0.50042,1.72549,0.90728,-2.43775,-1.34111,-0.53085,1.2317,0
-0.6282,-0.07889,0.7086,0.05265,-0.00973,-0.23847,-1.2539,-0.25618,1
0.15356,-0.60122,0.58505,0.08645,0.91171,0.13573,-0.7444,0.95773,0
-1.13767,-0.75804,0.57209,-0.59106,0.05531,0.47897,-0.24956,1.2441,1
-0.05439,-1.05103,0.14507,0.39625,0.51388,0.44173,-0.09129,-0.99702,0
-0.06915,1.2019,0.90351,-0.28075,0.09595,-0.3187,1.64699,-0.71401,1
-1.12226,1.94217,-2.72402,-0.3803,1.46454,0.5615,1.50563,-1.23253,1
-0.46282,0.02829,-1.00738,1.60265,1.52012,-0.84078,1.81994,-0.85711,1
