v001,v002,v003,v004,v005,v006,v007,v008,v009,v010,v011,v012,v013,v014,v015,v016,v017,v018,v019,v020,v021,v022,v023,v024,v025,v026,v027,v028,v029,v030,v031,v032,v033,v034,v035,v036,v037,v038,v039,v040,v041,v042,v043,v044,v045,v046,v047,v048,v049,v050,v051,v052,v053,v054,v055,v056,v057,v058,v059,v060,v061,v062,v063,v064,v065,v066,v067,v068,v069,v070,v071,v072,v073,v074,v075,v076,v077,v078,v079,v080,v081,v082,v083,v084,v085,v086,v087,v088,v089,v090,v091,v092,v093,v094,v095,v096,v097,v098,v099,v100,v101,v102,v103,v104,v105,v106,v107,v108,v109,v110,v111,v112,v113,v114,v115,v116,v117,v118,v119,v120,v121,v122,v123,v124,v125,v126,v127,v128,v129,v130,v131,v132,v133,v134,v135,v136,v137,v138,v139,v140,v141,v142,v143,v144,v145,v146,v147,v148,v149,v150,v151,v152,v153,v154,v155,v156,v157,v158,v159,v160,v161,v162,v163,v164,v165,v166,v167,v168,v169,v170,v171,v172,v173,v174,v175,v176,v177,v178,v179,v180,alvo
-0.61242,0.79092,-1.36461,0.21613,0.54519,0.09531,-1.22701,-0.46134,1.32953,-0.35557,-0.53451,-0.49953,-0.36045,1.10611,-1.45451,-0.05895,1.28863,0.19808,-0.38084,0.95309,0.64877,0.62333,-0.73111,-0.42536,-0.04529,-1.65281,0.54615,-0.41214,1.11541,-1.4366,-1.11769,0.47832,0.91607,-0.29132,-0.22406,-0.26985,0.01422,-1.72873,1.01215,-0.44516,0.12073,-1.58887,-1.26357,1.7889,-0.30857,-0.36995,1.72611,-0.71476,-2.0785,0.50875,-0.10083,2.01206,-0.51128,1.55895,-0.0999,-0.25246,0.75033,0.71111,0.21264,1.96621,-0.95304,0.06404,-1.37468,0.93052,-0.20065,0.06434,-0.94087,-0.29446,-0.03698,-1.01339,0.6963,-0.01343,-1.61891,-0.00966,0.4311,2.72384,2.86172,0.47096,0.22775,-1.17043,0.52341,-0.72443,1.17938,-0.23005,-0.29113,-1.00015,0.64137,0.08862,0.08539,1.24385,-0.15898,1.64839,-0.86449,0.22309,-0.71507,-2.02836,-2.35283,1.03653,-1.13163,0.36994,0.254,1.42359,-0.42137,1.5338,1.56403,-0.2129,-1.06575,-0.8461,0.72751,0.79189,-1.03487,-0.48804,-2.31907,1.5192,0.67962,-0.50588,0.83629,-1.06216,0.90279,-1.47667,-1.293,-1.82959,-0.29907,-0.21091,-1.29386,2.15506,2.209,-1.30514,-0.01821,-1.11504,1.76641,-0.52739,-0.35785,0.48017,-0.98456,-1.14585,0.05332,0.86558,0.56255,0.0688,-0.65367,-0.45292,0.30833,1.61788,1.032,0.09676,-0.42385,-0.06399,-0.39911,-0.02713,0.34177,0.70352,0.34605,-0.61477,-0.77048,-1.38998,0.21139,0.69225,0.52694,-0.19396,-0.50299,-0.3647,1.23098,0.31273,-0.24993,-0.31955,-0.09732,-0.50408,-0.90284,-2.12611,0.80327,1.69555,0.36692,1.49451,0.29974,-1.14483,-1.5543,-1.81009,1.83248,-0.88674,0
0.77928,-0.69564,-0.15599,0.31423,-1.43139,1.30621,1.13604,1.37391,-0.18824,-0.11672,-0.19229,-0.16768,1.0404,0.24356,0.10949,-1.26684,0.18738,-0.7865,2.04732,-0.33897,0.431,1.13611,0.16163,-1.23536,0.4554,-0.84827,-1.07358,0.88699,-0.68713,-0.59188,0.15251,0.70943,1.74389,0.09084,0.09958,-0.06625,-0.75054,-0.81874,2.32396,0.58882,-0.49295,0.01213,2.38078,1.21578,-0.39141,0.90919,-0.24686,-0.3054,-0.71771,1.07557,-1.23274,0.29418,-0.06227,1.8119,-0.85776,-0.54889,-2.31451,-0.37571,-0.86271,0.97406,-1.03087,0.71455,-0.03514,1.19645,0.19431,1.22949,0.00145,-1.21168,0.51681,-0.17066,0.32794,-0.58253,-1.02645,-1.24378,2.37429,0.7982,1.69577,-0.1408,0.21079,1.11703,1.42266,0.00394,1.73825,-0.84449,0.47448,-0.94733,-0.68658,0.45361,0.57797,0.99458,0.9362,0.59445,0.3517,0.09999,0.53896,0.43744,0.76179,0.99235,-0.55207,0.56148,-0.9151,0.45691,1.49672,1.8673,-0.60894,1.21334,0.21053,-0.10967,-0.37917,1.16464,0.64382,-0.06844,0.9985,-0.68375,-0.41077,-2.10637,1.6136,-0.20416,1.05698,-0.05429,0.57815,0.88699,-1.76642,-3.156,0.39741,-0.51831,-0.17666,0.71283,-0.94666,-0.52073,-0.39109,1.70005,1.16259,-1.25677,0.93278,-0.09382,0.09279,-0.84654,0.28476,1.61461,-1.20615,-0.61823,0.26946,1.24781,0.37939,0.90692,-0.3279,0.15571,1.06046,-0.1028,0.44331,-0.03983,1.94087,-0.8061,-0.64745,0.89969,-1.13962,-1.12891,0.71159,-0.92098,-0.22926,-0.25406,0.29936,-0.09149,-0.19298,0.36586,0.00491,-0.35963,-1.37403,-0.50531,0.88165,0.21644,0.5841,0.91311,0.02976,-1.28967,0.22017,-1.6426,0.55844,0.88778,0
0.0022,-0.14617,-1.63645,0.93707,0.11042,0.73859,0.09043,0.90484,-0.55104,-1.5818,-0.62566,0.06252,-0.61089,-0.8455,-0.47429,0.16519,0.94735,0.7359,2.30456,0.17458,1.40722,-0.04939,-1.9847,1.75261,1.01661,-0.79234,0.87191,-1.06939,0.94556,0.46868,0.83127,-0.57366,1.387,-0.54699,-0.45304,1.26435,1.58482,-1.20582,-1.19696,1.3129,1.7405,-0.34565,0.63193,0.80311,-1.03199,-1.11647,0.44106,-0.97285,0.1696,-1.04597,-0.49838,1.10063,1.6203,1.26019,0.28021,0.24364,0.3784,-1.43692,-1.01161,-1.32088,1.87061,-1.74137,0.37178,-1.57866,-1.43538,0.19768,0.22917,-0.05332,0.25611,-0.53492,-0.71028,1.0536,-1.39653,-1.42952,1.15092,-0.86748,1.12566,-1.43336,0.75532,0.05757,0.57074,-0.36761,-1.79707,0.2174,-1.68332,-0.16434,-0.11456,0.84292,-1.24519,-1.4582,-1.30411,0.05641,-0.99186,-0.52197,0.28308,-2.72741,-0.52565,-0.21009,0.51132,0.33148,-0.07394,-2.6382,-0.03255,1.87567,-0.10637,-1.98236,0.05314,0.97346,-1.07568,-0.00819,-0.02637,-0.12988,0.49644,1.49717,0.94044,1.1852,0.75466,-1.7421,1.18568,0.3454,1.84582,-0.78395,0.35939,-0.47481,0.7317,0.89104,0.37345,-1.24607,-0.05258,-0.23454,-0.45876,-1.27743,-0.37946,-0.8719,0.3711,-0.28266,-1.29667,-0.9098,2.08358,-0.3512,-1.1401,-0.3372,1.53529,1.2012,0.07487,-1.7439,0.62519,0.9125,-1.15099,0.92537,1.12941,-0.77774,-0.07424,0.15601,-0.6993,0.44478,-0.58496,-1.30316,-1.1704,0.46542,-0.01323,-0.13325,-0.08224,-0.33999,0.04773,-2.11269,0.28334,-0.32857,0.80017,1.12667,-0.61262,1.66364,1.83048,-0.49757,0.35506,0.73313,-0.41214,1.74477,-1.2277,0.68313,1
1.65395,0.50475,1.94467,1.9807,0.31375,-1.3354,0.07538,-0.09244,-0.06282,0.02936,-1.17368,-1.45467,0.49568,-0.32075,1.38392,-1.19335,0.60129,0.9056,-0.67796,0.00328,-2.13138,1.3719,0.59483,0.72266,1.39347,-2.04865,-0.17504,0.32188,-2.45894,-2.52605,-0.23193,-0.59372,0.2261,-0.22917,-1.09389,0.71767,0.24422,-0.69062,-1.35606,-0.10493,-0.03249,-0.8363,1.1387,0.7315,0.06513,-1.21417,-1.0195,-0.15381,0.16308,0.67035,-1.14339,-0.2457,-1.39437,0.48012,-0.11788,0.0396,0.74419,1.10518,-0.76557,-1.88296,0.58725,-1.0264,0.95624,-0.31726,-1.06507,-0.2649,0.15077,-1.45753,0.22837,-0.27521,-0.94276,0.37914,-0.56032,-1.12209,1.02344,1.09608,-0.69033,0.11781,1.62532,2.03138,-0.80073,0.6893,0.58115,0.339,1.64822,0.30664,0.06502,1.2965,-0.61366,0.11793,0.69548,-1.43876,1.1919,-0.46456,1.0908,2.67725,0.40316,-0.14336,0.6258,-0.41339,-2.2278,0.64154,-0.45395,0.80512,0.07226,-1.83486,-1.05477,1.13985,1.44131,-1.55994,0.88518,0.16048,2.25929,0.06238,-0.47939,1.54123,0.45426,-2.58923,0.8937,1.18312,-1.02164,-0.0923,0.75813,0.77498,-1.71477,-1.17898,-0.18403,0.82424,0.07006,0.65668,0.72096,0.63637,-0.35825,-1.7461,0.7768,1.67366,1.38924,-0.96186,-0.38672,1.48072,-0.14496,-0.07243,1.5384,0.05181,0.81684,1.28033,0.30312,-0.02431,-2.50779,0.6709,2.06529,1.85057,0.31926,0.04004,0.81897,0.36742,-1.10068,0.45613,0.40266,0.70803,1.19347,1.65251,0.51912,0.78274,-0.44439,-1.6963,1.05293,-1.06655,1.07461,-1.07296,-0.10557,-2.13857,2.23045,1.7328,0.31228,-0.11532,-0.97858,-0.18441,-0.93199,-0.80398,1
-0.11478,-1.05342,-0.80568,1.63582,1.29083,-0.34365,-0.22466,-0.28055,0.29233,-0.404,-1.61232,1.35333,-0.87492,0.88087,1.50647,-0.65279,0.23547,-0.70719,1.58123,0.90421,1.70031,-1.10364,1.54685,0.92741,1.00788,-0.42622,1.96972,-0.10006,-1.23274,1.91493,-0.7581,-1.04094,0.95844,0.55351,0.99349,0.14448,0.40697,-0.15803,0.3121,0.66487,-1.63646,-1.55034,-0.27614,0.45215,-1.08995,-0.70702,1.61114,-0.56584,0.28341,-0.91248,0.63364,0.68138,0.8643,-0.46341,-0.86228,-1.00981,1.37297,1.51817,-1.58638,-0.72262,-1.79979,0.76455,1.51383,0.36776,-0.74224,-1.02397,0.30367,0.39125,0.06546,-0.8696,0.42002,0.5502,1.92057,0.68484,1.22895,0.1991,-0.95514,0.17009,0.12126,0.15489,-0.51234,0.71732,0.61814,0.86998,1.66054,0.96555,0.39839,-0.18408,0.67964,0.41617,0.67922,-0.22655,0.28763,-0.19737,-0.99723,-0.26565,0.73561,-0.18392,-0.88919,-0.29334,1.35832,-0.91197,0.71431,0.20793,0.18724,-0.40784,-1.05168,1.67552,1.23639,-0.01678,0.515,-0.39751,1.62121,1.00433,0.49897,-0.30588,-0.80189,0.93965,-1.33844,0.05314,0.6409,-1.32212,0.24142,-1.83509,-0.16509,-0.70786,0.91366,-0.19451,-0.22209,0.86389,-0.2867,0.99124,-0.28984,-1.5543,2.4668,1.74804,0.02046,-1.1645,-0.8656,-1.55027,-1.12323,-0.25337,-0.07125,0.98809,3.19561,0.1498,-0.11838,1.59368,-0.81998,1.12277,-0.84441,-1.93502,-0.24116,1.21243,-0.67214,0.53882,0.83218,0.34761,-0.62219,1.92733,0.64496,0.42992,0.54276,1.08961,-0.37158,2.02817,1.2896,0.46457,1.20014,-0.62635,0.24562,-0.64431,0.94047,0.37778,0.91878,-0.27798,-0.95872,1.15146,0.57992,0.96673,0
-0.78672,1.4569,0.24086,-1.60081,-0.26578,0.74764,-1.7812,-0.59479,0.26721,-0.02522,-0.0748,0.9323,-0.66079,-1.48025,-0.22597,-1.29758,0.48115,1.34814,-0.65469,0.26849,-0.70065,1.04474,-0.1628,0.11172,-1.56725,1.33635,0.09367,-0.50185,0.61578,0.50261,-2.17171,-0.25466,-0.43207,0.27429,-1.12444,0.31418,-0.01963,0.27846,-0.75108,-0.60469,-1.92023,0.53987,1.43503,-1.772,-0.23748,-0.16533,-0.03806,0.86362,-2.06611,-0.28083,-0.00088,0.3131,0.39884,1.60883,2.1991,0.69058,-0.40514,0.40421,1.15312,-0.07497,-0.35909,-0.41651,2.03504,1.10718,-0.95067,0.28998,-0.99018,-1.99071,-0.7307,1.02083,1.77202,-0.56985,-0.91343,1.5087,0.27622,0.13361,-0.30721,-1.46264,0.59085,-0.02355,-0.19992,-1.82491,-0.86513,1.85356,0.61196,0.87277,-0.03474,1.53299,0.57004,-1.19613,0.42687,0.46676,1.55272,1.41035,0.00037,-2.36491,-0.99588,0.18565,0.26139,-1.77305,1.19756,0.02246,0.54251,-1.5227,-0.31831,-1.60965,0.49624,-0.40469,-0.04371,-1.07015,-0.00393,-0.6443,-0.55788,-0.03922,0.76786,-0.65609,0.4663,-0.28605,2.69627,-1.52378,-1.96166,0.30786,0.13563,-1.21124,0.8001,-0.02105,0.21691,0.09073,-2.10972,-1.20467,-1.45369,-1.22659,0.01279,0.33355,1.0015,-0.47886,-0.5741,-1.75249,1.96877,0.03618,-0.28072,0.62507,0.52772,-2.24755,-0.57578,1.0788,-0.69784,-0.5698,-0.51751,0.17029,0.69491,-0.77524,-0.6001,0.92509,-0.36408,-0.1573,-0.43723,-2.83897,1.64873,-0.57584,0.20242,0.466,1.08171,1.03968,0.27002,-0.66165,-0.4099,-0.44811,0.39695,0.07227,-0.42083,0.21554,-0.87683,-0.40482,-1.43933,0.64862,-0.18809,0.16762,0.31221,0.07342,1
-0.72269,0.35385,1.19796,1.38686,-0.52334,-0.48688,0.80728,0.89015,-0.50184,-1.17176,-0.21945,-1.26843,0.80795,0.85701,0.09399,-0.15245,1.19043,0.4411,-0.44301,-0.54342,-0.77744,0.57373,0.7892,-0.97785,1.82672,-0.19702,-0.29678,-0.71057,0.72938,-0.91259,-0.8791,0.18927,-1.41524,0.38827,-0.05032,1.29981,0.55247,0.47405,1.51153,0.61426,1.1295,0.25902,0.99552,0.34268,-0.18989,0.38703,-0.5561,0.80709,0.97728,-0.09945,2.25797,-0.35406,-0.21232,0.27012,0.05816,0.6559,0.2386,-0.77166,-0.02925,1.28135,0.59424,-0.54226,0.51491,0.08626,-0.53393,-0.44178,0.55634,-0.27379,0.44304,-0.41259,0.19901,-0.04261,0.84078,-0.62107,1.15883,0.82865,0.1617,2.029,0.35247,-0.73323,-0.08296,-0.26354,-0.63537,-0.16073,-0.539,-0.31227,0.64367,-0.39952,-0.59554,-1.95764,-0.14908,-0.79331,-0.56826,-0.7845,-0.67161,-2.68377,0.31452,-1.05264,-0.98401,-1.88963,-1.19807,0.23718,-0.16716,0.22892,0.24658,0.04217,-0.70682,-0.96068,0.03804,0.27374,1.5855,0.20815,0.42615,0.41285,1.44011,1.04796,0.0415,-1.1563,0.48818,-1.07179,-0.11434,-1.08752,-1.46846,-0.95751,-0.45474,-0.16,1.11807,-0.53818,-0.41492,-0.3919,1.58572,0.67675,-0.55877,1.9925,0.79198,-0.45535,-0.6347,-0.95312,-0.78713,-0.54819,-0.03111,-0.6721,0.75691,1.69535,-1.40269,-0.51871,1.0606,0.21273,-1.32146,-0.36691,0.27015,0.15971,0.25312,1.04845,0.22201,0.45773,0.78645,1.34972,0.20787,-0.8502,0.25065,-0.27223,-0.17827,0.3253,0.5284,-1.74691,-0.54467,0.35262,-0.13308,0.13504,-0.22845,-1.35376,0.20243,-0.14726,0.81601,-2.15875,-1.40455,-0.31541,-1.11272,0.7621,1
-0.61751,-0.35081,-0.56585,0.12613,3.09356,-0.02308,-1.11167,0.83269,-0.26024,0.86997,0.41511,0.89742,-1.75244,1.01653,-1.38285,-0.19295,-1.06297,-1.00661,-0.8763,-0.57834,0.50543,-0.1573,-0.7727,-1.85099,-0.21427,-0.43035,0.6242,0.23277,2.22276,-1.61707,-1.01138,-0.54493,0.69717,0.475,0.25511,0.41297,-0.76092,-1.16217,-1.69585,0.27725,0.72967,0.52514,1.39182,-1.4312,-1.19657,1.17009,-2.57157,0.92829,-0.08945,-0.66752,-0.88454,-0.89,0.32726,0.7771,0.89645,0.99145,0.69862,-1.18619,0.60983,-0.70093,0.1389,0.10332,-0.26741,-0.13915,-0.10954,1.29924,-0.4483,1.98895,1.24899,-1.05616,0.23222,-0.11067,-0.84977,1.04626,-0.92624,0.00078,-0.94001,0.13154,-0.24681,1.10644,1.65284,-1.36516,2.07459,0.68412,-2.87035,0.34193,0.13217,1.00835,-1.11108,-0.31367,0.791,1.32878,-1.01027,-0.19398,-0.05427,0.97201,-0.1003,-0.20574,-1.36106,-0.38453,-0.08535,-0.37204,0.03286,-0.08222,-0.90755,0.58217,-0.10366,2.58986,0.92221,0.05746,0.98182,-0.14961,0.30182,0.54864,0.4661,0.44413,2.05728,-0.54434,-1.57206,-1.38094,-0.20456,-0.06015,-0.22472,-1.20808,0.23351,1.3475,0.62788,1.30551,0.14712,1.26546,-0.28324,0.13877,-0.61328,0.86268,0.23401,0.0379,-0.20204,0.51772,0.95239,0.03309,0.45172,0.22229,1.01511,-0.35209,1.6022,0.02036,-1.05783,-0.6391,1.17203,0.78495,-0.51279,1.61435,-0.4714,-1.69064,-1.49255,1.04625,-1.00357,-1.48664,1.13924,-0.5786,0.128,1.20878,1.37103,-0.02356,-0.26246,1.27304,-1.4295,-0.67108,2.00965,0.47331,-0.30828,-0.54995,1.1195,0.56473,0.0933,0.4719,-0.35678,-3.14288,0.28977,-0.16385,0
0.68784,1.43412,0.77454,-1.14016,0.49066,0.65949,0.08873,-0.72474,1.13487,1.8244,-0.82158,0.20224,-1.96826,0.52481,1.07608,1.3837,-1.87372,0.07163,-0.32424,0.23205,1.24003,0.22054,-0.56076,-0.90526,-0.03989,0.89952,-0.45027,-0.29037,0.43929,-0.28582,-1.09057,0.48377,0.58882,0.79785,0.31615,-0.88349,-1.27101,-0.3608,0.03606,-1.61473,0.73503,0.99833,0.01285,0.49615,0.31821,0.74681,1.13522,-0.76636,0.94252,0.88632,-0.94593,0.50464,-0.24107,1.06603,-1.64714,-0.19961,1.82442,0.00682,-0.84573,-0.8787,-0.688,-0.47385,0.37393,-1.49019,-1.70992,-0.08653,0.42234,-0.02572,-0.4026,-0.41882,-0.22719,0.85327,0.67273,0.97094,-2.00318,-0.97811,0.97799,-1.02295,1.1601,-1.80389,-1.34123,1.85095,-0.70652,0.33677,0.88807,-1.70783,0.90101,1.40356,0.40928,2.27528,-0.9413,-0.78028,-1.09839,0.46893,0.21745,0.34338,-0.7249,1.30791,-0.03948,-0.15126,0.86809,-1.18559,-1.01678,0.11848,0.21622,1.40264,0.14144,0.69732,-1.33629,-0.09594,-0.42301,-0.32098,0.6487,-1.47044,-0.19584,0.46445,-0.36562,-1.3762,1.58349,-1.14387,1.20989,1.0044,-1.72165,0.11594,0.09159,-1.32195,-0.00324,0.66045,-0.51535,2.55822,0.25213,-0.76397,-0.59566,0.38752,-0.57863,0.92405,0.13623,0.12821,-0.63835,1.45519,-0.19733,-0.4483,-0.45631,0.79633,0.48311,0.55458,-1.23095,0.85329,0.7592,-0.87661,-1.29377,-0.48329,-0.90658,0.53025,-0.83672,-0.08593,-0.15548,-0.88115,-0.42918,2.07126,-1.02818,-0.37564,-0.26804,0.84349,0.72411,1.98781,1.24743,-0.02645,0.27315,0.30562,-0.97963,-0.39025,0.03515,-1.01612,-0.75472,1.09563,0.82807,-0.63238,-0.33913,0.15615,1
-1.2071,-0.67575,0.01728,1.68417,-0.09055,-0.72114,-0.31653,0.46118,0.86797,2.56892,1.00844,-0.48065,-0.02997,0.32548,0.55803,-0.38845,-0.97316,0.76257,0.5545,-1.26014,-2.18388,-1.68301,-0.74144,-1.51344,0.64106,-0.21333,-0.22824,-0.18455,-0.67452,-0.53911,0.35526,-0.08761,2.02371,-2.6841,-0.28798,-0.87842,0.83497,2.00358,-0.19308,0.21743,0.82818,1.06191,-1.6878,-0.69845,-0.65597,-0.31128,-0.02055,0.31419,-0.47998,-1.48373,-0.33697,1.26501,-1.8985,0.68357,0.57169,-0.87593,1.12762,0.85202,0.60634,0.76437,1.20238,1.11569,0.45853,0.63408,-0.99427,-0.48082,1.63748,-0.07007,0.75451,1.73227,0.09603,-0.0724,0.48221,-0.46378,0.52967,-1.05212,0.3936,-0.36796,0.28496,2.76799,0.2422,-0.76256,-1.06844,0.62802,-0.82294,-0.45139,0.47648,0.27566,-0.26665,0.28508,-0.22125,-1.4842,0.06855,1.43394,1.39775,-0.60453,1.20044,-1.34633,0.43468,-0.47498,1.46716,1.48049,0.14029,0.92883,1.34962,0.4404,-0.48876,1.33128,1.74307,2.98461,0.60016,-0.36831,2.91333,-0.36059,1.16393,1.08982,-0.08885,0.47136,-2.30795,-0.22988,0.31505,0.40599,-1.30936,0.41074,-0.98354,-1.63079,-0.01989,-1.29181,0.1368,-0.16183,-1.34001,0.06267,0.61373,-0.64096,0.35214,-0.99165,0.4384,0.36489,-1.86891,-0.03361,0.72716,0.30262,0.31376,0.16303,-0.76815,-0.07746,0.18984,-0.07223,0.26512,0.51249,-1.17974,2.54,1.88863,0.34812,1.35641,1.56518,-2.27589,-0.90604,0.9913,-0.44432,0.21673,-0.342,-1.74059,-0.20163,0.6257,-1.24294,1.19379,-0.42969,-0.74021,0.48005,0.05315,0.03664,0.15185,-1.05016,1.44099,-0.61031,1.34327,-0.79524,1.06742,0.8234,0
