id_empresa,periodo,porte,margem,crescimento,endividamento,liquidez,superou_setor
E21,T09,-1.19543,-2.65082,0.17223,-1.39719,0.54351,0
E28,T01,-1.14635,-0.88378,1.24429,-0.32739,-0.55951,1
E08,T08,0.60995,-1.70814,0.01034,-0.04545,-0.94183,0
E07,T08,2.84775,0.01875,0.56654,1.33916,-1.5865,0
E23,T06,2.40586,-1.37322,-0.47644,0.28123,0.37507,0
E31,T09,-0.31747,0.05077,-0.12744,2.47126,-0.11041,0
E30,T11,1.40767,-1.10464,-0.02271,0.29204,0.5729,1
E25,T07,-0.15251,-2.0193,0.29989,-1.33453,-1.35388,0
E12,T15,-0.22599,-0.60741,-0.20063,-0.6314,0.19246,1
E39,T12,-1.72023,-0.8445,0.56334,0.95311,-1.2452,0
E14,T01,-0.99786,0.23042,-1.04513,-0.52355,-1.46258,0
E34,T06,0.08078,-0.32288,-1.73275,1.16849,2.05286,0
E35,T15,0.96261,0.2574,0.13962,-0.06755,-0.07301,1
E18,T08,-0.78466,1.3845,0.11679,-1.3823,1.08857,1
E02,T08,5.78736,0.13653,-0.57171,-1.93132,-0.86051,0
E27,T04,-0.45815,-0.95726,0.72399,-1.03315,-0.2643,1
E03,T04,-1.14023,1.91919,0.46499,-0.68077,-0.14101,1
E17,T13,-0.51732,-0.76019,0.20049,-1.00754,-1.20891,0
E15,T03,0.76101,-1.133,0.90591,-1.94072,0.25299,0
E02,T10,5.83152,-0.81283,0.23284,0.22624,-1.85266,0
E08,T05,0.59323,1.15459,1.6422,-0.41185,0.66104,1
E38,T01,0.10539,-0.39237,-0.14528,0.41006,-0.95768,0
E09,T06,0.88415,0.60708,1.43252,-0.76451,0.23958,0
E25,T06,-0.10643,-1.47587,-1.65221,-1.62204,-1.54484,0
E15,T15,0.76331,-0.1629,-1.02787,0.35945,0.92688,0
E21,T04,-1.17752,0.60132,-0.03118,-1.19032,1.43107,0
E03,T11,-1.15675,-0.13878,0.11635,-0.31111,0.04521,1
E14,T15,-1.00975,-1.33201,1.56265,-1.24223,-1.50336,0
E07,T13,2.84532,-0.92576,1.43294,1.43753,-1.5031,0
E01,T04,4.67841,-0.99061,0.53608,-0.18565,-0.03779,1
E05,T12,1.60682,-0.72006,-0.04474,0.1924,-0.42227,0
E29,T03,1.15959,-1.57609,2.61889,1.35527,0.77958,0
E19,T09,1.07855,0.0609,0.20031,-0.34441,-0.29953,0
E26,T07,-0.37924,0.2169,0.45762,-0.73569,-0.12689,1
E25,T12,-0.17793,1.42542,1.35139,-1.18741,-1.15337,1
E28,T05,-1.1474,0.71913,0.34379,0.72033,2.29807,1
E32,T13,1.23641,-0.32582,0.03187,-0.1218,-0.38401,0
E10,T11,-2.71068,0.54281,0.42212,0.70415,0.65068,1
E06,T15,-2.67219,-0.45049,-0.97228,-1.86966,-1.6631,0
E31,T12,-0.33025,0.85469,0.60903,0.16437,0.7404,0
E08,T07,0.59578,-0.44176,1.61582,0.22961,-1.46676,1
E03,T16,-1.1369,0.86361,0.05346,0.36231,0.35586,1
E24,T11,0.91856,-1.4636,1.42084,0.93872,0.92264,0
E26,T02,-0.39416,-0.5696,-1.69072,0.54288,1.39209,1
E40,T15,1.83819,1.30643,0.98597,0.08411,-1.11974,1
E33,T02,-1.13747,1.89795,-2.31285,0.02664,-0.53887,1
E40,T12,1.822,1.35872,0.92189,0.3915,0.82664,1
E13,T09,0.354,-0.22873,0.4297,-0.33359,1.69963,0
E10,T02,-2.73993,0.4378,-0.9509,-0.52293,1.26646,0
E24,T14,0.87826,-1.11267,0.88268,0.50511,0.38711,0
E18,T03,-0.84799,0.46508,-1.43473,-0.3967,-1.23419,1
E11,T06,0.53007,1.59676,0.26046,2.51868,-0.34897,1
E23,T10,2.42913,0.8241,-1.98739,-0.49788,0.51927,0
E26,T16,-0.38123,-1.67342,1.15773,1.01454,0.50203,1
E23,T08,2.39802,-0.59872,0.77758,0.92433,0.56988,0
E28,T12,-1.15566,0.56504,-1.057,0.20584,0.07749,1
E39,T16,-1.71546,-1.65918,-0.49818,0.74969,-1.14578,0
E22,T14,-1.56252,0.17998,0.16694,0.20268,1.12387,1
E15,T08,0.76701,2.44706,0.47079,-0.38423,0.22488,1
E08,T11,0.58414,0.21969,0.48582,-0.71842,1.30821,1
E33,T16,-1.1365,-0.30355,1.60549,0.1007,-0.19464,1
E06,T14,-2.7095,-0.56881,-0.45683,0.35094,-0.84028,0
E40,T13,1.80242,0.14277,-0.64727,0.2877,0.9529,1
E29,T16,1.18326,0.79541,-0.47047,-0.09509,1.05449,0
E27,T05,-0.39778,0.03129,0.01281,1.16696,0.45807,1
E38,T09,0.12485,-0.84732,0.41474,-0.76931,0.31524,0
E12,T02,-0.20117,1.11423,0.41392,-0.69675,-2.23317,1
E33,T04,-1.11922,-0.63651,-0.29757,0.31921,1.53221,1
E34,T09,0.08481,0.43627,0.40519,0.25745,-1.02668,0
E07,T06,2.84235,0.24437,0.3416,0.98284,-0.60438,0
E25,T13,-0.17907,-0.15527,-0.47661,-2.49635,1.24586,0
E03,T15,-1.18353,0.21918,-1.86915,0.32474,1.31703,0
E01,T12,4.63102,1.22195,-0.05505,-1.18513,-0.09953,1
E07,T12,2.83682,1.29886,0.52887,-1.25349,-0.79677,0
E24,T01,0.8933,-0.24465,0.30915,-0.80534,-0.73051,0
E06,T05,-2.67824,0.62235,-0.05969,0.98309,-0.59105,0
E13,T07,0.35954,-0.81556,-0.34407,-0.29411,0.31929,0
E06,T06,-2.67324,1.45223,-0.72434,0.85325,-1.38562,0
E18,T04,-0.83255,0.5422,0.82862,-0.28684,2.20925,1
E34,T15,0.06496,-0.16546,-0.70435,-1.7951,-1.34808,0
E39,T04,-1.6828,0.60354,0.42203,1.03671,-1.40915,0
E27,T08,-0.43583,-0.96491,-0.27364,1.56624,-0.32852,1
E32,T05,1.24151,0.39271,1.288,1.4481,-1.95532,0
E16,T06,0.92632,0.93122,0.87103,0.76257,-0.87464,1
E17,T15,-0.5327,-1.87909,0.58557,1.94971,-0.1196,0
E26,T12,-0.37439,1.40227,-3.00842,1.03966,1.38663,1
E06,T09,-2.73556,0.97544,1.34907,-0.89164,0.34148,1
E29,T09,1.18795,-1.01105,-0.33523,0.8178,0.75953,0
E28,T16,-1.15399,2.11459,0.75659,-1.31314,0.46139,1
E40,T02,1.82682,-0.01646,2.06816,0.3695,-0.74852,1
E32,T10,1.25163,-1.63859,0.34152,-0.29073,-0.4869,0
E29,T01,1.1565,-0.36326,0.61314,1.19644,0.834,0
E14,T12,-0.97772,0.6046,0.82256,0.142,2.3072,0
E13,T05,0.32559,2.35943,-1.9828,-0.63009,0.33503,0
E15,T04,0.82323,-0.04597,-0.77616,1.50094,0.33418,0
E01,T14,4.6973,0.08403,0.42267,1.27423,-0.82104,1
E20,T08,1.13441,-0.42041,-0.15973,-0.54702,-0.996,0
E03,T06,-1.14864,-1.08878,-1.05716,0.73196,1.9523,0
E11,T02,0.54097,0.11269,-0.34054,0.45067,2.04575,0
E01,T09,4.61157,0.19424,-1.55046,-2.3475,-1.70109,1
E23,T16,2.35672,-0.60598,0.1029,0.47215,1.06104,0
E14,T05,-1.00544,-0.06542,-0.35467,-0.35158,2.71016,0
E26,T15,-0.39876,-1.98308,1.24492,0.1658,0.12843,1
E09,T13,0.86593,0.93425,0.13104,1.06134,0.08199,0
E15,T16,0.77423,0.45574,-0.20492,-0.77476,0.48775,0
E17,T12,-0.53842,0.92277,-1.60351,0.8556,-0.04819,0
E23,T11,2.37457,-0.94869,0.92946,0.98947,0.33689,0
E03,T12,-1.14477,0.0609,1.22858,-0.35055,0.05362,1
E20,T02,1.11533,-1.21277,2.69302,-0.68501,1.55936,0
E28,T11,-1.11132,1.16424,0.22369,-1.82158,1.52354,1
E01,T16,4.67254,-0.14303,-0.43407,-0.93622,-1.35817,1
E11,T03,0.51714,0.18772,-0.17839,-0.15646,1.28939,0
E13,T16,0.3472,-0.78681,0.05608,1.28518,0.52858,0
E35,T08,0.99613,-0.15245,-1.26106,-0.26851,0.22702,0
E06,T10,-2.64707,1.16564,1.04091,0.46067,-0.57004,1
E40,T11,1.81629,0.47615,0.18835,0.73537,0.57381,1
E30,T14,1.36578,1.35502,0.56424,-0.33717,0.36616,1
E21,T16,-1.23715,-0.01728,0.55529,-0.42625,0.19323,0
E11,T04,0.49902,-0.46027,-0.25347,0.31373,-1.32218,0
E31,T14,-0.32274,-1.51656,0.19622,0.9753,-0.04509,0
E31,T10,-0.35958,-0.07521,0.36673,-0.82258,-1.06208,0
E37,T08,-1.04449,-0.77327,0.84263,0.14732,-0.93216,1
E22,T10,-1.54872,-0.7042,-0.36339,-0.16511,-1.47959,0
E02,T06,5.82537,-1.30371,-2.67597,-1.02782,-0.04834,0
E24,T07,0.88254,-1.20092,0.23339,0.1853,-0.76525,0
E31,T03,-0.30822,0.85414,-0.62959,1.00418,0.12201,0
E38,T10,0.10049,1.84393,0.15876,1.7426,1.14425,1
E08,T06,0.60217,0.06783,-0.05159,0.09828,0.75633,0
E28,T10,-1.17008,1.04742,-1.89711,2.22596,0.42522,0
E24,T02,0.86394,-0.57878,0.90693,-1.9592,-1.44033,1
E36,T10,-0.54823,-0.38879,-0.03986,-0.02369,0.97096,0
E31,T15,-0.3178,-0.09358,0.669,0.71018,-0.03548,0
E39,T03,-1.70404,0.63622,0.28921,-0.30803,0.30519,0
E37,T02,-1.03303,-0.27909,-1.11157,0.90284,0.8384,1
E37,T09,-1.03175,0.84366,-0.64729,-0.60131,-0.32494,1
E04,T06,-1.817,-0.85244,1.57835,0.61274,-0.19519,1
E09,T12,0.87596,-0.21405,-0.96113,0.94232,-0.36636,0
E16,T13,0.88116,-0.76406,-0.44294,-0.09544,-0.48911,0
E24,T08,0.87228,0.83593,-0.44296,-0.63884,1.422,0
E36,T09,-0.54928,0.41606,1.19259,0.2596,1.86315,1
E37,T10,-1.05084,-1.58886,-1.10062,-0.38468,1.3248,1
E34,T12,0.0858,-0.26605,-1.31101,-0.22826,0.02796,0
E05,T07,1.6252,-0.03183,-0.90553,-1.27619,0.51439,0
E22,T03,-1.59098,1.47669,0.66864,-1.75912,-0.41856,1
E08,T12,0.58508,0.13156,-0.51917,-1.10988,-1.07739,0
E04,T16,-1.7956,-0.4206,0.09626,0.32536,-0.01569,1
E30,T10,1.41529,0.53333,-0.16842,-0.76912,-0.70066,1
E21,T05,-1.18898,1.04368,-0.14984,-0.37388,0.99421,1
E15,T12,0.78136,-0.15348,-0.98059,0.78857,0.09304,0
E28,T04,-1.15812,-3.12355,1.25359,0.0671,1.26576,0
E20,T15,1.11909,-0.87808,-1.75917,0.1702,-1.49683,0
E10,T13,-2.72754,-1.17053,0.29309,0.4487,-2.13065,0
E14,T03,-0.96629,-1.39154,0.21712,0.2134,-0.18599,0
E15,T09,0.77788,-0.68583,-0.16686,-0.07567,-1.15246,0
E33,T07,-1.13597,1.32953,-0.83168,-1.1147,0.04537,1
E15,T02,0.7979,0.13441,-0.91094,1.41847,-0.4069,0
E40,T08,1.84936,0.58617,0.66429,0.50489,0.51708,1
E02,T02,5.79483,-1.32602,-1.13705,0.97194,-0.34598,0
E33,T08,-1.12854,0.0932,-1.43464,0.0231,-0.4569,1
E02,T03,5.81382,0.5088,-0.4106,1.2253,0.70972,0
E01,T07,4.66857,1.00743,-0.91492,0.28807,-0.02386,1
E23,T03,2.39902,-1.04328,-1.41907,-0.74253,0.41768,0
E28,T13,-1.12421,-0.12189,1.42843,1.51337,-0.91548,1
E29,T02,1.15707,1.92412,0.37755,-0.293,1.33662,1
E22,T12,-1.58837,0.77194,2.90664,-0.1983,-1.35259,1
E16,T02,0.88439,-0.39201,0.00125,-0.84843,1.64547,0
E04,T03,-1.7596,-2.75175,0.73198,-1.60569,0.73674,0
E12,T09,-0.21582,-2.00492,-0.62466,0.47368,2.17132,0
E24,T16,0.88169,-1.48229,-1.41664,0.78799,0.6928,0
E30,T03,1.36669,-1.47906,-1.57744,0.76986,-0.93141,1
E36,T11,-0.52904,-0.52665,-0.04662,0.38318,-0.51184,0
E40,T10,1.85189,0.02288,-0.11082,1.24321,0.13421,1
E29,T13,1.17475,0.43457,2.81789,-0.24908,-2.05583,1
E10,T06,-2.72392,0.67737,0.48846,1.68448,1.57845,1
E29,T14,1.1925,-0.3226,-1.26479,1.18563,-1.53838,0
E27,T07,-0.42306,0.56392,2.76288,0.02904,0.13422,1
E09,T02,0.85572,-0.30679,0.67792,-0.2089,-0.6687,0
E06,T11,-2.66503,-1.67291,-1.48489,0.39572,0.85566,0
E16,T16,0.91683,1.77155,0.88325,-2.66842,0.07373,1
E23,T13,2.37631,0.50045,0.21115,-0.90418,-0.9358,0
E23,T09,2.44439,-0.81252,-1.53029,-0.13895,1.43699,0
E28,T15,-1.17369,-0.35729,0.07784,0.13887,1.55651,0
E11,T13,0.49569,0.36432,-0.35358,0.43961,-0.71927,0
E14,T07,-0.97894,-0.56158,0.41888,0.02081,1.28467,0
E17,T01,-0.52048,-1.87613,1.52478,0.45275,0.39224,0
