f1,f2,f3,f4,f5,f6,f7,f8,alvo
-0.94974,-0.64677,1.17437,-1.1308,-0.54785,-0.11997,0.42278,-1.6029,1
-0.27474,1.18035,-0.04662,0.23247,-0.38801,-0.54472,0.10777,-0.694,1
-1.38708,-1.2884,-2.10414,-0.86883,-0.31678,-0.37605,-0.004,0.56035,1
-0.13068,-0.45211,0.25425,1.05856,-0.26476,-0.91396,0.89595,0.44389,1
-1.96768,-0.25539,-1.82715,0.3086,0.45461,-0.61044,-1.97805,-0.36136,1
1.18682,-0.31063,0.89388,-2.79468,0.98001,0.55842,-0.37868,-0.48281,1
2.23643,-0.95963,0.92486,-1.20638,1.51455,1.18771,-0.11537,0.24804,0
-0.01493,-0.95651,-1.32049,0.41547,0.1199,-0.03801,1.08163,0.99837,0
-0.08514,1.31553,0.32844,-0.48439,0.66084,0.61253,0.67241,-0.29309,1
0.816,-0.37435,0.6371,-0.3598,0.49457,0.30132,0.21338,-1.72371,0
0.38886,0.62259,1.23064,0.50582,-1.08988,-0.68911,0.08139,0.77056,1
1.10693,0.40538,-0.10461,0.04661,-0.19268,0.80817,0.97889,0.58396,0
-1.61614,0.96543,-0.5636,-0.97654,-0.31537,-0.09738,0.41602,0.20085,0
-0.93281,-2.28429,-0.74629,0.94746,-0.19868,0.25441,-1.55487,-1.39298,1
0.37061,-0.56601,0.47058,-0.58501,1.37227,-1.07172,1.65084,2.01615,0
-0.35621,0.20695,-0.41116,0.59262,1.12829,0.10961,-0.18788,-0.99401,1
0.99161,0.16658,-1.41691,0.42683,-0.5635,1.14379,0.18272,-0.82974,1
-0.38454,0.4591,-2.79871,-0.61681,0.14625,-1.26735,0.3255,-0.72337,1
1.33371,1.60539,1.49013,0.25889,-1.54577,-0.72375,0.77602,1.66451,0
0.53622,-0.0227,-0.93508,-1.23895,0.09897,1.10537,0.85458,0.7317,0
0.19516,-1.35319,0.50907,-0.65764,1.06016,1.28205,-0.37828,-0.46972,1
0.44597,0.27016,-2.1739,1.93759,1.36028,-0.93357,0.19324,1.61188,1
1.65263,-0.18563,0.84339,1.84778,0.37567,-0.68534,-0.47058,2.81248,1
0.66326,0.15847,0.15256,0.19577,0.38488,-1.33077,1.09606,-0.63763,0
-0.31201,-0.6713,-0.01204,-0.19602,-0.67547,0.9263,-0.28399,-0.70691,0
-0.11989,-0.69589,0.75302,-1.94348,1.344,0.65928,-0.403,0.9481,0
-0.44471,0.42199,0.11872,0.17859,-0.32844,1.20828,-0.6944,0.92439,1
1.16452,-0.92329,-1.10191,-0.082,1.21604,1.21624,-2.13425,1.18537,0
0.03893,1.12321,1.37007,0.11615,0.59024,-2.28864,0.79096,0.92013,0
0.6405,1.4239,-2.10844,0.16502,0.709,-1.28355,-0.55172,0.17043,1
-0.51392,-1.63715,0.87253,-0.11887,1.54262,0.77303,0.23919,0.55099,0
-0.16732,0.89908,0.25037,-1.81301,1.31043,-1.29475,0.58864,-0.88198,0
1.75098,1.3759,2.64594,-1.14022,0.6057,-1.73962,-0.1832,-1.57769,0
-0.25842,-2.42006,0.18194,0.24731,-0.42092,1.01903,2.12627,-0.57492,0
-1.09528,-0.70441,1.11939,0.35352,0.25447,1.21677,0.23809,-0.14408,0
2.68539,-1.81763,-0.32474,-0.33129,0.43138,-0.48441,-1.54205,-0.74529,0
-0.64138,-0.26773,-0.18054,0.47866,-1.47662,1.06363,0.8759,-0.88825,0
1.73166,-0.79016,-2.07031,-1.13739,0.47947,-0.11386,0.57822,0.16901,1
