v001,v002,v003,v004,v005,v006,v007,v008,v009,v010,v011,v012,v013,v014,v015,v016,v017,v018,v019,v020,v021,v022,v023,v024,v025,v026,v027,v028,v029,v030,v031,v032,v033,v034,v035,v036,v037,v038,v039,v040,v041,v042,v043,v044,v045,v046,v047,v048,v049,v050,v051,v052,v053,v054,v055,v056,v057,v058,v059,v060,v061,v062,v063,v064,v065,v066,v067,v068,v069,v070,v071,v072,v073,v074,v075,v076,v077,v078,v079,v080,v081,v082,v083,v084,v085,v086,v087,v088,v089,v090,v091,v092,v093,v094,v095,v096,v097,v098,v099,v100,v101,v102,v103,v104,v105,v106,v107,v108,v109,v110,v111,v112,v113,v114,v115,v116,v117,v118,v119,v120,v121,v122,v123,v124,v125,v126,v127,v128,v129,v130,v131,v132,v133,v134,v135,v136,v137,v138,v139,v140,v141,v142,v143,v144,v145,v146,v147,v148,v149,v150,v151,v152,v153,v154,v155,v156,v157,v158,v159,v160,v161,v162,v163,v164,v165,v166,v167,v168,v169,v170,v171,v172,v173,v174,v175,v176,v177,v178,v179,v180,alvo
-1.22227,1.2587,-0.15207,-0.0354,-0.11593,0.79957,2.62411,1.46077,0.38596,-0.37195,-0.96964,-0.02334,-0.42754,-0.9134,-0.47907,0.78406,1.22193,-0.95585,0.22572,-1.64287,0.95121,0.65334,0.35229,-0.43573,1.8511,-1.13689,1.35363,0.47229,0.94164,1.52428,0.6817,1.4823,0.72884,0.43476,-0.01483,1.00748,0.10055,-1.0923,-0.05402,-0.58011,1.24944,1.1312,1.15929,-1.13464,0.16353,1.03247,-0.57557,-0.53198,1.18076,-0.68096,0.07684,-0.19556,-0.03702,1.39018,1.03469,-0.00293,-1.87413,1.21821,-1.4809,-0.37089,1.31923,-1.36522,1.40473,-0.78804,-1.62673,-0.00372,-0.44579,0.59237,-0.02953,-0.35358,0.29905,0.50764,0.03325,0.61564,0.42502,0.48108,1.6217,0.08932,-0.16541,0.37089,-0.56675,-0.64237,-0.70157,-0.13579,-0.58012,-2.47939,1.36372,-0.6373,-0.70319,-1.13273,-0.16623,-2.02016,-0.91912,-0.38112,-0.61837,-0.0804,-1.20857,-0.41195,0.88838,0.36805,1.72641,1.05365,-0.21735,0.83902,-1.16206,0.23771,-0.00069,0.99828,-0.03042,-0.35989,0.09987,-1.50013,-0.06239,-0.96844,-0.24361,-0.92378,-1.12519,-0.96037,-1.27852,-0.94572,-0.30377,0.41995,1.73833,-0.63939,-1.40636,1.69109,-0.20248,-0.28357,-1.39891,-0.41276,0.29411,0.66705,0.85387,-0.6609,-1.19394,0.0656,-1.12237,-1.07992,-1.15068,-1.19098,-0.27581,-1.91912,0.23834,-0.76456,2.90229,-1.11679,-1.06717,-1.33791,-1.87469,-0.08846,0.56687,-2.37001,0.95027,-2.35454,0.87911,-0.2934,0.30913,-1.67536,0.06527,-1.42064,-1.16569,0.43262,-0.17679,0.78282,1.97903,-0.85807,-0.09279,0.37444,-0.58098,0.62202,1.16022,-0.71976,1.28792,-0.56018,0.53597,-0.49811,-0.03273,-0.63138,-1.8191,0.47949,0
-0.04463,-0.12763,-1.57489,-0.5673,-1.5531,0.92076,0.00429,-1.38382,1.09629,-1.53225,1.28186,0.33799,-0.29435,0.44887,0.94286,-0.78875,0.38328,0.5934,-0.00253,-1.0674,0.26367,0.04228,-0.36722,-0.11919,0.45208,1.24421,-1.00806,0.95699,1.53181,-0.51492,-0.35156,0.48512,0.05044,0.7398,-0.3134,0.96943,-0.30808,-1.00698,0.18863,-1.08765,0.10765,1.48403,-1.58543,0.0212,-0.97565,0.68368,-1.13479,1.01684,0.56459,0.82554,-0.95616,0.00252,1.94799,-0.10167,0.46852,-2.22311,-0.25455,0.92727,0.27435,0.64723,1.06822,0.58284,-2.217,-0.86453,1.1742,0.37067,0.53796,-1.62768,-0.84374,-0.86874,0.02616,-1.00753,-1.35572,-0.34474,-1.91194,1.29649,-1.89946,0.18198,-0.66811,1.05496,0.11777,0.17397,-0.20898,-0.93543,1.19789,0.68405,0.28098,-1.26827,0.53396,1.70635,0.90159,1.46489,0.94572,-0.25535,-0.18535,-1.20569,0.91872,-0.79091,-0.42742,-0.25009,1.12559,0.13709,0.60788,-1.40308,-1.17023,0.66289,-0.87979,-1.27882,-0.23329,0.03842,0.12151,-0.70119,1.28294,-1.86682,-0.51881,0.94163,-0.58918,-0.3755,-1.41176,0.42709,0.99565,-0.10465,0.0969,-0.24981,-0.27001,-0.98139,0.71897,0.67315,-1.18946,1.2633,0.98331,0.10258,0.90948,1.41667,-1.19336,1.30432,-0.25554,0.42541,0.11558,0.06186,0.62035,0.83941,-0.75949,0.35875,-0.62421,-1.32702,0.92206,0.89955,-1.33077,-0.49336,0.94076,-0.35663,-0.35063,0.61966,-1.06947,1.40803,-0.89697,-0.40767,1.10863,0.82899,0.47324,-1.52076,2.32323,-1.18188,0.92225,-1.07632,-0.45358,-1.30162,-1.0539,0.99747,0.73952,0.10318,0.4082,0.30026,-0.43956,-0.3584,0.15639,-1.24957,0.05404,0.54792,0
-1.69889,0.06152,0.1065,-1.318,-1.0989,0.61215,0.03385,0.84863,0.76925,0.37153,0.71093,-0.34274,0.91755,0.09336,1.58204,0.56052,-0.85637,-1.14632,0.77296,0.48019,0.99032,-0.52889,1.0215,0.91594,-0.14468,-0.80345,-0.08724,0.56022,0.25811,0.10171,0.08192,-1.90734,0.5854,-0.6606,-0.46721,0.32744,-1.05464,-0.28833,1.14832,0.25126,-1.45531,-1.16313,0.31909,-1.22906,-0.84466,-0.97912,0.42808,0.29631,-1.19792,0.047,1.01553,-1.08443,-1.05825,-0.29364,0.09649,-1.0093,-0.32825,-1.37295,0.10454,-0.15567,0.06275,-0.5527,0.84289,0.88573,0.33136,-0.15852,0.96495,-1.97703,0.17586,1.75263,-0.57008,1.22903,-0.14889,-0.20602,-1.84773,-0.19405,0.4967,0.9038,-1.17505,1.03024,1.1483,-2.14939,-0.66238,0.75715,-2.00863,0.29895,-1.31236,-0.53469,0.42628,1.48221,0.40765,0.56363,-0.41058,-0.27727,-0.76352,-2.17431,0.43796,0.1955,-0.13786,-1.92215,1.06634,-2.51491,0.35098,0.42494,1.31701,0.93449,-0.83913,1.15225,-1.17611,1.84968,-0.45613,-0.63733,-0.04545,1.44356,-1.17877,0.33758,1.68919,0.23354,2.145,1.20219,1.25627,1.26567,0.0531,0.12157,1.8479,-1.19988,0.6743,-1.38707,0.08503,1.04516,-0.81129,1.0791,1.7147,-0.19696,-0.95626,0.28134,0.31383,-0.62234,2.29117,-0.56607,-1.1673,-0.84566,1.26897,-0.02329,-0.0535,-0.61915,-0.75496,0.15604,-0.5258,0.63619,3.0701,2.40713,0.56543,-0.10364,-0.76559,-0.27058,1.57267,1.1222,0.58758,-0.63588,-0.73736,-0.03721,-0.38049,-0.76187,-0.40241,1.05087,-0.4369,0.19302,-0.9683,1.00917,0.51548,-0.25417,-1.63683,1.95488,0.92355,0.05327,0.18545,1.31625,-2.09842,-1.96709,1
-0.02205,0.37218,-0.82811,-0.47121,0.12426,-0.97267,0.71996,0.99738,0.61816,0.73404,-0.63981,0.02206,1.8678,-0.84221,1.17903,-0.55651,-1.92431,1.83582,-0.86575,-0.25855,0.73611,0.45556,-0.51189,1.01338,0.95738,0.55658,0.46632,1.08334,1.65126,1.09851,0.05101,0.70017,0.69925,1.3601,-0.63832,-1.19572,0.58702,-1.47401,-0.26697,0.45505,0.00493,-2.24477,-0.51398,0.41,0.58268,-0.43634,-0.13125,-0.4842,0.18502,0.52085,-1.70986,1.76476,0.66793,0.19931,0.0667,0.26515,1.21374,0.14689,-0.29933,-0.50063,0.57506,0.35048,0.42762,1.0247,-0.59505,-1.15962,1.38552,-0.25971,-0.43544,0.62811,0.79063,-0.57319,-1.4774,-1.14046,-0.8268,0.61312,0.7764,-1.82347,0.1646,-0.20936,1.27354,0.63687,0.08811,-0.78384,-1.53886,1.26158,-1.30269,1.51031,0.39469,2.10017,1.91122,-1.31178,-0.16404,0.37888,-2.16042,1.85035,0.09095,1.51681,-0.05904,1.44442,1.05957,0.06601,-0.49531,0.35374,0.95316,-0.59285,-0.41316,0.70676,-0.84112,-0.26949,0.83011,0.12327,0.3816,-0.01371,0.63279,-0.91804,0.17408,0.11825,-1.40942,0.89227,1.08162,0.73892,1.54342,-0.28958,-0.89735,-0.76328,0.61561,-0.06138,-0.67414,1.7713,1.41822,-0.71516,0.2269,1.73599,-0.17762,-0.01275,-0.97291,0.64036,-0.0029,-1.30486,-0.82532,-1.57649,-0.2932,0.29405,-0.56341,-0.62881,0.63263,0.6013,-0.01142,-0.8427,-0.99773,0.5091,-0.13886,0.73924,-0.3109,-0.68769,0.28539,0.82355,0.08482,-0.2292,-0.64301,0.17665,-0.04675,-0.98885,1.22583,-0.31963,0.60172,-0.46492,-0.46262,-0.76322,-0.88178,-0.22309,-1.31292,-0.50367,0.18027,1.56977,0.77721,-0.57916,0.02738,0.30485,1
-1.11412,0.32777,-0.38428,-0.48028,0.72384,-0.22347,0.7748,0.1939,1.22599,-0.90146,0.12456,-0.65981,1.05698,0.1592,0.73361,0.33811,0.19465,-0.33178,0.34852,1.14823,2.54015,-0.00767,-1.06128,-0.69917,0.49246,0.29838,-0.49488,0.87557,2.09374,1.15626,1.65093,2.32544,0.11793,-0.23878,-1.31714,0.84872,-0.44983,-1.56293,-1.67798,-0.17105,-0.14185,-0.11384,0.06075,-0.02998,-2.17865,-0.21871,-0.96193,-0.38334,-0.42002,0.63942,0.93127,-0.65603,1.00002,-1.73972,0.32536,0.57929,2.15771,-0.00259,0.99752,-0.87223,-0.31646,0.83785,0.73547,0.38898,-0.14451,-0.14029,-0.22849,2.59873,0.15886,0.89628,0.16663,1.50898,0.34595,1.09166,-1.00938,1.70363,-0.14765,-0.87819,0.61689,1.09137,0.21149,2.29449,0.48996,0.98034,-1.2688,0.83598,0.06136,1.45185,0.2212,0.4828,0.40129,0.95635,0.80822,0.3707,0.34935,-0.9385,-0.03072,-0.17875,0.50202,0.34122,-0.64247,0.75472,-1.27824,0.90608,-2.24594,-0.34073,-0.57243,-0.83674,0.39613,2.36941,-0.36985,0.75453,2.67059,1.33895,1.2482,1.11492,-0.9846,1.12924,0.03559,-0.24627,-0.605,0.03828,0.80609,-0.04372,1.09693,0.71662,-0.44394,1.53159,1.93925,-0.10853,0.51379,-1.45048,-0.21985,-0.80814,0.83371,1.7561,-0.23085,0.84208,1.31904,1.52397,-0.37528,0.25547,1.24006,0.49244,1.28406,1.35479,0.14734,-1.43696,-1.19687,1.00854,0.88988,-1.12509,0.15366,-1.85627,0.1408,0.59251,-1.28385,-0.78904,0.81221,-1.45313,0.88953,-1.68016,-0.40018,0.09747,1.34476,0.23461,-1.47614,1.19409,-1.75924,0.07595,-0.07737,-0.02675,1.98486,-0.28619,1.09655,-2.01435,0.29701,-1.37311,-1.83305,1.81365,0
0.75184,-0.86167,0.37068,1.64073,1.97813,-2.08705,0.17883,-0.11449,-0.49785,-1.73573,-0.44178,0.03781,-0.38509,1.12997,0.74654,-0.73572,-1.2509,-1.15049,-1.87961,-0.141,0.03083,-0.03722,-0.53266,1.31623,0.42291,-1.01926,1.06292,2.20215,0.26805,-0.08075,-1.1883,0.05394,-0.3641,1.57129,0.03769,0.10066,0.29598,1.14112,-0.03034,1.10414,1.17421,-1.33691,0.96654,-0.07039,-0.57371,-0.24793,-1.3899,0.36442,0.73295,-1.81533,-0.82249,0.78942,0.66975,1.22243,0.70988,0.52121,1.50158,0.1498,-0.52893,1.16106,0.44592,-0.01957,0.2877,0.78589,-0.01086,0.89809,-1.83697,0.47098,0.12154,-0.17391,-1.81413,-0.98844,1.07152,0.61279,0.41474,0.76003,1.25209,0.29744,-2.11805,-1.71217,-0.69516,-0.50695,-0.6654,-2.043,1.02849,0.67351,-0.85701,1.77468,0.23058,-0.81566,-1.84357,-0.3317,-0.45839,-0.59409,0.16047,-0.74384,-0.25875,-0.30537,0.04727,-0.3916,-0.80005,-0.38592,-0.56044,1.72045,-0.58095,0.51043,-0.38416,1.46409,0.94546,-0.63951,1.42724,1.12126,1.07002,-1.23962,-0.83736,-1.20854,0.70908,-1.29193,-0.96561,0.76865,0.11057,1.13332,-0.72828,-1.27229,-0.23259,-0.36513,0.4345,0.03998,-0.28769,-0.88488,-1.36944,0.00315,-0.55257,-1.1754,0.03846,0.41192,1.90151,0.8389,1.57026,0.79479,0.31153,0.32075,0.66456,-0.44332,0.36822,-0.46951,0.18463,1.97082,0.76874,-0.60538,-0.93512,-2.41851,0.19575,0.3115,0.01852,-1.4494,-2.17984,-1.12907,3.06391,-0.1204,0.29432,1.50374,0.50716,-0.49621,1.13276,0.99776,-0.55337,0.86234,0.87556,-1.26437,-0.09508,0.1756,-0.72957,-0.86257,2.56719,-1.23732,0.38756,0.85803,0.74276,0.29194,0
0.45729,0.99023,-0.78676,-1.75797,0.45437,0.57723,-0.97237,0.89027,1.06629,1.10848,-0.88814,-0.49832,0.0513,-0.21318,-1.05262,1.34192,0.97827,0.11057,-0.80864,0.39953,0.3407,0.24785,-0.42405,1.22637,-0.12064,0.66549,-0.14612,1.17593,0.05988,2.33984,0.62064,0.92947,-0.28083,-0.46401,0.8562,-0.74227,-0.19626,-1.14325,0.723,0.232,0.21361,-0.78252,0.38311,0.8348,0.21604,1.33989,-1.31966,0.00812,-0.84863,1.18966,0.13158,0.95349,0.50365,0.16248,-0.04426,-1.52886,-1.24507,0.79266,-0.33782,0.58149,-1.0041,-0.51037,-2.54284,2.43525,1.14164,-0.0366,-1.29292,0.62168,0.06339,0.61838,0.79577,0.5092,0.16595,-0.31131,1.90172,-1.24541,1.14653,0.77906,0.39037,-0.2025,-0.43958,0.83139,-0.94349,1.93065,-0.61461,-0.95043,-0.14862,-0.59467,-0.2121,0.06067,-0.37914,-0.24604,0.46654,0.8398,1.04159,-0.26899,0.37528,0.85268,0.68673,2.06715,-1.04071,-0.03593,-0.81823,-1.07207,0.48558,-1.22069,-1.66292,-0.92106,0.24082,0.40509,-0.8182,-0.2342,0.31319,-0.80275,0.32582,0.75419,-0.03387,1.09885,0.32931,-0.23829,0.27599,-1.303,-1.73561,1.06373,-0.95179,-1.38298,-1.27069,0.83221,2.9957,-0.12275,-0.12264,-0.86544,0.09781,-0.57382,0.30357,-0.15542,0.59199,1.81204,0.34156,-0.27027,-0.19623,0.78545,-0.21175,-0.0314,-0.2252,2.38178,-2.08356,0.4394,0.11965,-0.30429,0.87069,-1.27138,2.03729,1.28471,0.98183,-0.48638,0.77434,-1.36154,0.0025,0.58268,0.01371,-1.19331,-0.76924,-0.76512,-1.76255,0.76034,-0.78855,1.72043,-0.0616,-0.49339,-0.9234,0.19405,0.08634,0.58922,-0.49904,-1.76096,-0.2204,-0.58854,-0.23144,-1.65813,0
1.94106,1.16531,-0.65396,1.26978,-0.65931,1.27684,0.01483,0.62435,1.76626,-1.31958,1.36111,-0.41693,0.17831,0.23276,-0.41788,0.84727,-0.88219,-1.70212,0.17946,0.60965,-1.80469,-1.82581,-1.59121,-0.93556,-0.15038,0.75345,-0.16106,2.08466,-0.03735,1.87936,-0.37273,0.10088,-0.56479,0.11268,-0.46891,1.11052,-0.02248,0.94183,1.88731,-0.76221,-0.7344,0.22651,-0.70622,-0.20232,0.0321,2.3191,0.39673,-1.71919,1.11647,0.71362,-0.72526,-1.6391,-0.27769,-1.70903,0.91152,-0.37675,0.41721,-1.57714,-0.12024,0.42393,-0.93059,2.52498,-0.18425,-1.31745,1.41113,0.64361,0.83344,-1.62292,0.47564,1.00451,-0.08175,0.50983,-1.23831,-0.18622,-0.80632,-2.02403,1.43038,-0.65097,-0.02486,0.41785,-1.65403,1.97545,-0.86149,2.5304,-0.76649,-0.51138,-0.46523,-1.35461,-0.35261,0.01657,-1.74147,0.21852,1.72532,-1.0593,-0.49862,1.88162,0.55471,-0.69419,1.26041,-0.40223,1.60888,-0.45817,1.76219,1.69091,-0.40128,0.56519,-0.13341,-0.91229,-0.92221,-0.15172,-0.36712,0.35886,-0.10568,-0.48752,-0.79004,-0.97843,1.45744,0.22073,0.86491,0.22885,1.72416,0.38988,1.22634,1.38804,-0.74973,0.75535,0.43462,-0.70501,0.49506,-0.65318,0.37359,0.60943,-0.43045,0.5338,0.2757,0.38078,-1.47927,0.75544,-0.41045,-0.86541,-0.22005,-0.57939,-0.49384,-1.00544,0.01566,0.34597,-0.42802,0.2741,-0.42849,-1.38922,-0.2456,0.68587,-0.66732,1.44287,0.56576,1.52448,-0.02055,-1.50665,1.12808,-0.53641,-2.009,0.00753,0.93101,0.06572,-1.05984,-0.04338,0.25582,-0.69831,-0.33377,0.2448,-0.04264,0.78488,0.03289,-1.10705,1.52253,-0.37149,-0.27657,-2.14032,1.43392,1.22863,0
-0.30994,0.02385,-1.20158,-1.00167,1.33064,0.24609,0.0205,-1.35161,-0.0916,1.45439,-0.01125,2.19646,-0.49051,0.51936,-1.58166,0.87064,-0.74908,0.23881,-0.84652,-0.45685,-1.10789,-0.68792,1.22534,-0.97909,0.0525,1.13886,1.72961,0.00872,1.56576,-0.04646,0.93517,-1.51941,-0.07697,0.81029,0.4887,-0.36685,-0.28885,-1.51255,-1.25472,0.50056,-0.62447,2.30953,0.58612,-0.22895,-0.71089,0.68227,-0.20733,0.9721,1.40144,-0.62656,-0.71179,0.71388,-0.07542,1.68217,1.37985,2.07167,0.31096,-0.94506,-2.71504,-0.28316,-0.37533,0.57154,-0.7118,-0.11126,0.93163,-1.09351,-0.57447,1.44157,0.00615,-0.70983,1.40779,-0.64483,-0.48842,-2.08638,-0.5795,-0.5502,1.01516,1.21435,0.68223,0.60353,0.76897,-0.5486,0.22846,-0.47411,1.53226,-1.13857,-1.11328,-1.83601,-0.40551,-0.85469,-0.46793,1.49761,-1.09598,0.06007,1.1148,-1.22016,-0.72455,-0.96411,0.08702,-0.55504,0.59727,-1.57376,-2.04031,0.27311,1.63547,0.47813,-0.61025,0.17209,-0.16451,-1.54185,0.1348,1.00828,0.51099,-1.35962,-0.23527,-0.64462,-0.28811,0.82051,-0.13991,0.30663,0.74286,-1.62138,2.00986,0.53836,-0.64899,1.2953,0.1568,0.98897,-0.2274,1.38715,-0.72378,0.61598,1.55754,0.13848,-1.10957,-0.04064,-0.30059,2.29164,-1.19754,0.79921,0.99414,-0.20204,-1.27987,0.24257,-0.19302,-0.56109,0.18535,-1.36266,0.34745,-1.18504,0.89637,0.6453,0.34961,-0.25044,1.8107,-1.02805,-2.32955,0.34339,0.22625,-2.16115,-1.63737,-0.52163,0.1072,0.09203,-1.66943,0.69138,-1.87369,-0.61383,0.41477,0.89081,-1.41495,-0.95436,1.16174,-0.00204,-1.59973,0.76107,-2.10108,-0.2359,0.36467,-0.45717,0
-0.37348,1.041,-0.99133,0.6318,-1.77945,-1.22907,-0.51972,1.89742,1.85871,1.6674,1.07904,1.23349,0.9236,-1.64111,-0.56141,0.63001,-0.72238,-0.44808,1.52895,0.38724,-1.4098,0.76725,-0.01013,-0.99349,0.02631,-0.14595,0.4016,2.3483,-0.2935,0.56241,-1.29898,0.72416,-0.81513,1.00762,-2.10595,-0.38562,-0.99713,-0.45277,0.1934,-1.25015,-1.44499,-0.29429,-0.70857,0.37341,0.62481,0.9862,0.92154,-0.45564,-0.49673,0.05139,-1.10187,-0.75926,-2.46258,-1.02248,-1.1744,0.35461,0.2909,-1.02945,-0.16352,-1.31613,-0.00249,-0.19089,-1.07814,-0.67171,-0.36827,-0.46147,1.71172,-0.67798,0.58035,0.45216,-0.02212,0.19569,0.14768,1.18861,-0.40784,1.2857,-0.4013,0.51177,-0.26068,-0.76779,-1.58104,1.78363,0.54056,1.69922,0.55529,-0.86277,1.38575,0.23505,1.22085,1.63907,0.37483,-0.47811,-1.68899,-0.15293,0.61181,-0.10781,0.1277,-0.26713,0.00356,1.23007,0.33132,0.18634,1.24106,-1.15225,-0.35253,-1.05262,-0.85992,-0.32761,0.21931,0.09155,0.10088,0.25418,0.73038,-0.16224,-1.51524,-0.01822,0.33712,-0.78601,-0.16029,0.53533,-1.1581,0.65634,-0.49873,1.33847,-1.10685,0.2944,0.37779,-1.48232,-1.25683,1.52535,0.76288,-0.0324,-1.43337,0.06674,1.26988,-0.03937,1.29728,-0.50579,1.36,0.87785,-0.15887,-0.17209,-0.4688,1.61137,-1.96739,-0.9784,-0.69733,0.87436,-1.16155,-0.20942,0.58306,-2.00967,2.20876,1.28475,-0.17641,0.38444,0.84968,1.40367,-1.8463,-0.62182,-1.73552,0.14936,-1.38453,-0.8862,-0.34644,-1.46549,-0.66402,0.38965,0.70605,-0.61894,-2.00914,0.89863,0.8859,-0.05939,-0.91522,0.0925,-0.27386,0.45285,1.60676,-0.71385,1
