x1,x2,x3,x4,x5,x6,alvo
-0.87955,0.68941,0.11861,0.86002,-0.09415,-0.82358,0
-1.36164,2.26168,-1.11698,-0.59583,-0.1731,-0.02352,0
-0.04014,0.6532,0.25194,0.67604,-0.91248,-0.31419,0
-0.00635,-0.50348,1.56054,-0.20062,0.20281,-0.85236,0
1.03597,1.69622,0.77581,-0.70444,0.57778,-0.12648,0
-0.31734,0.61622,-1.57727,0.15994,-1.40002,0.3437,0
0.2568,0.72687,1.68377,-0.52601,0.54554,-0.58858,0
-1.98269,1.00869,0.07567,-2.26523,1.24191,0.11013,0
0.80982,-1.21875,-0.90462,-0.80809,-3.40807,0.29904,0
-1.94584,0.48723,-0.28135,0.6233,1.85687,-0.04732,0
1.27626,0.44778,0.30139,-1.25223,0.06005,-1.09139,0
-0.50612,-0.11649,0.7528,0.17173,0.18069,-0.82213,0
-0.56107,-0.20795,0.15008,-1.53465,0.0502,-0.46163,0
0.73324,-0.01036,1.66411,2.39563,0.57562,-0.82046,0
0.80261,0.10554,0.24588,0.01626,-0.99206,-1.38151,0
1.09527,1.01605,0.59204,0.04671,1.79392,0.40624,0
0.97356,0.47227,-0.14857,-0.97885,0.21395,0.5375,0
1.52883,-1.42385,-0.42225,0.44991,0.97536,2.15038,0
1.42336,1.93489,0.08613,-1.34931,0.63469,0.01571,0
-0.70431,-1.5108,1.66675,-0.19183,0.77675,0.2036,0
-0.45793,-0.8975,-0.01458,0.10555,0.23735,-0.1673,0
0.62507,-0.54208,1.83856,-0.90582,0.06192,-0.43492,0
-0.31242,-0.4587,1.71357,0.47853,-1.12539,-0.92707,0
1.02722,-0.18212,-1.08497,1.00595,0.69353,-0.97743,0
0.60169,1.00073,-1.26947,1.33404,0.0414,-0.90202,0
-0.47361,1.73077,0.49367,-0.53004,1.10674,-0.56994,0
-0.38064,0.22624,-0.41609,1.70809,0.26835,0.17877,0
0.61252,-0.62324,-0.93069,-2.02636,1.62156,0.8474,0
-0.51443,0.76242,0.79858,2.11684,-0.76045,1.43951,0
-1.3341,0.52473,-0.09013,-1.13824,-1.62387,0.46323,0
0.57872,-0.71298,1.42872,-0.22698,-1.19965,-1.71105,0
