id_empresa,periodo,porte,margem,crescimento,endividamento,liquidez,superou_setor
E30,T03,-2.30108,0.3989,0.4134,0.76905,-1.32828,1
E36,T08,-1.64493,0.90463,-1.11138,0.72145,0.08177,0
E36,T15,-1.64033,0.26375,-0.17669,-0.29434,0.36609,0
E21,T13,-0.71722,0.55566,-0.73536,0.88416,0.29579,0
E29,T11,1.32982,-0.42152,-0.54893,-1.28,-2.15997,0
E03,T09,0.31663,-0.87443,0.12085,2.40064,0.26941,1
E33,T01,-0.08433,-0.03595,3.35291,0.07393,-0.78715,1
E18,T11,-2.46695,1.82297,1.12101,0.26975,0.67407,0
E31,T03,0.32431,1.5324,0.76748,0.01798,-0.6525,1
E19,T11,-6.16265,-0.32041,2.54287,-0.86718,-1.57164,1
E14,T02,0.26779,1.67874,-0.4088,-1.38202,-0.33063,1
E11,T16,0.67015,0.59528,0.01705,0.08451,1.12617,1
E01,T16,-1.53925,0.84472,-0.4951,1.11595,0.50369,0
E21,T06,-0.6905,0.54877,-0.4395,1.36145,1.34418,0
E36,T02,-1.60281,-1.75842,-0.3881,-1.52184,-1.11529,0
E11,T15,0.66391,0.23764,0.7769,0.76016,-0.76597,1
E31,T07,0.28403,-0.83204,-1.37456,1.98724,-1.16155,0
E09,T12,-0.89503,-1.5292,1.37703,0.41104,-0.50129,1
E12,T04,1.03531,-0.68739,0.71017,1.99597,1.56797,0
E18,T02,-2.43408,-0.28465,-0.32589,-1.02124,-0.55556,0
E10,T07,1.20737,-1.70501,-1.87686,0.30764,0.77138,0
E22,T15,0.75399,0.45642,1.59438,2.44981,0.33366,1
E18,T04,-2.4592,0.44749,0.08521,1.05242,-0.76206,0
E40,T07,-1.68138,-0.49586,-0.65846,-0.68412,-0.25477,0
E09,T07,-0.86981,-0.26474,0.87761,0.89085,-0.67071,1
E38,T13,-2.56994,-1.4838,-0.98419,-0.88037,-0.07465,0
E36,T03,-1.62112,0.55492,-0.47255,1.17187,-0.034,0
E34,T02,0.98342,0.61303,-0.20393,1.37807,0.60673,0
E11,T04,0.66097,-0.02391,0.65146,0.65812,-0.52306,1
E04,T06,-0.47615,-0.36306,-0.97562,-0.40919,0.06859,0
E15,T03,0.38708,0.84398,1.24821,0.87631,1.8701,1
E33,T07,-0.09693,-1.10765,-0.65047,0.54942,-0.9445,0
E37,T03,-2.19966,1.56715,-0.29022,-0.09803,0.75364,0
E08,T04,-4.11831,1.17501,1.33446,0.12529,-1.62304,0
E01,T01,-1.50182,0.88876,1.64056,0.78941,-0.87233,1
E40,T14,-1.69856,-1.53141,1.31245,0.00017,-0.26977,1
E05,T15,-0.17399,-0.54889,0.29447,0.35581,0.73379,0
E27,T13,3.60487,1.74759,0.65678,-1.25279,0.48551,0
E13,T05,-2.11896,-0.45452,0.77473,-0.60757,-0.27297,0
E02,T15,3.46544,-0.07555,1.08724,2.35025,-0.95918,0
E02,T06,3.52195,-2.235,1.71009,-0.58581,-0.36132,0
E32,T06,-0.94488,-0.54531,0.26544,0.54002,1.35828,0
E28,T10,-0.65532,0.69617,-0.00176,0.63615,-1.01896,1
E39,T10,-1.46836,-0.77299,0.23031,1.68119,0.6485,1
E19,T01,-6.14997,0.49726,1.80262,-0.71569,0.32829,1
E22,T11,0.79256,0.74384,0.88663,0.09092,1.01417,1
E10,T02,1.17856,0.03726,-2.11413,-1.69529,0.28072,0
E01,T13,-1.52514,0.50157,-0.22623,1.19772,-0.12961,1
E24,T14,0.45239,0.29421,0.22525,-0.53757,-0.80377,1
E25,T03,-2.65268,-1.66554,0.34858,0.61166,-0.37864,1
E32,T01,-0.92891,0.15909,0.34967,-0.27687,0.11271,1
E04,T09,-0.45181,0.03046,-0.46967,-0.57336,-2.2207,0
E06,T02,-2.31237,2.21976,-0.76348,-0.39667,0.90798,1
E12,T10,1.04917,0.88036,-1.6126,0.79032,0.69754,0
E14,T13,0.21897,-0.40596,1.36692,-0.15732,-0.48364,1
E16,T11,-2.52679,1.60193,-0.55149,1.59945,0.64195,1
E36,T14,-1.65092,1.5545,0.51812,-0.17705,0.94379,0
