f1,f2,f3,f4,f5,f6,f7,f8,alvo
1.35355,-0.3601,0.16542,-0.48981,-0.61811,-0.66443,-0.0818,-0.05341,1
2.31502,-0.46857,0.08114,0.64067,2.11337,-1.28596,2.59715,0.3366,1
0.34677,0.96479,-1.10071,-0.10061,-0.46747,1.20035,0.80751,0.49963,0
1.47315,1.04475,-0.22548,1.23358,-1.18418,-0.11308,-0.77507,-1.34813,0
1.83946,1.02949,-2.55496,-0.25474,1.1787,1.73348,-2.27907,-1.31471,0
-0.7951,0.06916,0.42817,0.62823,-0.45387,0.40878,0.98566,0.4461,1
0.53194,-0.73741,0.12362,-0.9977,2.57909,-0.63572,-1.09965,0.85747,1
0.1373,0.14271,-1.95513,0.16368,-0.29906,-0.56083,-0.35921,0.22227,0
-1.15223,1.62045,1.11572,-0.22712,0.44945,-0.49491,-1.17724,-0.75128,0
-0.25143,0.18109,-0.09903,-0.05235,-1.97531,0.38971,0.47696,0.45915,0
1.03421,-0.02604,0.53973,-2.13286,1.04851,0.09913,-1.85267,-0.6671,1
-1.09317,0.02043,0.22836,0.16068,0.13527,2.03179,2.45926,1.12621,0
-0.80007,0.19103,-1.20007,-1.9012,-1.37953,0.96221,2.12289,-0.38368,0
0.96072,0.36199,-0.80915,1.47794,1.06026,-0.78707,-0.27701,-1.57836,0
0.86602,-0.45264,-0.06493,-0.92417,-2.66171,0.20087,0.02563,0.26793,0
-1.46476,-0.21269,1.07918,-1.74071,0.15759,-0.64745,-0.16091,0.35893,1
-0.06419,1.73548,-2.07053,1.56472,0.89987,-0.95092,1.45191,1.14194,1
1.34168,-1.0447,-0.29367,-0.32443,-2.15893,0.38665,1.61728,1.03813,1
-1.03648,-0.28159,0.57929,0.13183,-1.58853,-1.40314,1.50636,0.29544,1
0.81966,-0.67101,0.79212,1.04588,-0.68147,1.12982,-1.80151,0.12229,1
-0.97164,-0.52281,0.12746,1.35498,2.59427,0.06549,-0.22781,-0.44443,0
-1.17336,1.46905,0.0952,1.08804,-0.52457,-1.07861,1.03381,0.22588,0
-0.32182,0.32848,-0.42795,0.21199,0.46303,0.5544,-0.60992,0.90574,1
1.18268,-0.86072,-1.01459,-1.08772,-0.77908,0.21041,0.92054,0.8379,1
-0.40249,-0.49796,1.12238,-1.23846,0.32952,0.68201,-0.14914,-1.27826,0
1.12529,-0.09833,-0.58432,-3.26416,0.21696,-0.85596,-0.30729,-1.68081,1
-0.94376,-0.23264,-0.04631,-0.04305,-0.35031,1.21184,1.76296,-0.63099,1
0.4678,2.70627,0.05187,-0.16022,-0.5366,-0.68137,0.54027,2.79078,1
-1.36567,-0.3625,0.42295,1.49277,0.38455,0.32547,1.22014,-1.75083,1
0.25794,-0.40625,1.71928,0.06251,-0.4803,0.481,-0.16756,-0.16894,1
0.66553,0.89162,1.12319,-1.72291,-0.81197,1.84653,-0.57057,0.26566,1
1.38222,0.09519,-1.35884,0.00536,0.01043,0.71872,-0.3746,0.66036,0
1.32095,0.63669,-0.50743,0.99552,0.68019,-0.48224,0.63591,-0.95796,0
-1.51339,-0.90532,-0.20192,-0.81287,1.69985,-0.54341,0.21619,0.10721,1
-0.8895,0.01905,0.98026,0.61684,-0.97918,0.67304,0.83787,-0.80823,0
-0.3714,-0.75035,-0.48369,0.43561,0.97433,-1.84729,0.01639,-0.90986,1
-0.88171,-0.63399,1.65548,1.44897,1.18093,-0.91595,-1.28523,-0.36936,0
-0.00576,0.64348,-0.46454,0.32923,0.55035,1.71167,0.94297,0.41957,0
-0.88451,-0.39366,0.09567,0.09637,0.16538,2.06764,-0.28399,-1.55028,1
-1.24713,0.55961,-0.15102,-0.80571,0.45621,0.49626,1.4087,0.30064,1
-0.98523,-0.18772,0.53911,0.16947,-0.14811,0.19704,-2.00809,0.84144,1
0.46628,-0.32985,-1.68044,-0.63699,-0.31635,-1.75034,0.23443,0.41744,1
0.80281,-0.07294,-0.0748,0.83561,-0.82216,-0.60529,0.49731,1.29273,1
-0.00889,-0.01348,0.51402,1.13888,0.2252,-0.2165,-0.86072,3.64922,1
1.63472,-1.19258,0.51489,-0.1642,1.33483,0.21852,-0.82691,-0.72349,1
1.48817,0.69605,-0.3412,0.72085,-1.63363,-0.25024,0.28688,-2.89495,0
-1.36312,1.37862,-1.31032,-0.07761,0.03349,-0.08246,0.70076,0.43015,0
-0.61135,-0.19543,0.42568,-0.96932,-0.63066,-0.20608,-0.93286,-1.05245,0
2.02528,0.00791,2.45334,-1.0647,3.311,0.7521,0.53553,-1.13312,1
0.35297,0.00319,0.51166,1.36983,-0.15145,0.99154,-0.87726,-0.52818,0
-0.42298,1.3987,-2.33469,1.50294,1.73515,-0.43519,1.32369,-1.1647,0
1.77549,-1.10198,-1.26776,1.04995,1.28099,-0.38251,0.1592,-1.32769,1
-1.46387,-0.54037,-0.52491,-2.82231,-0.29504,-0.64547,-1.45916,-1.54665,0
0.44638,0.31397,0.00582,-0.37587,-1.33566,0.07654,1.14281,0.76525,0
1.47614,1.21286,-0.31371,0.1594,-0.75164,-1.44086,-0.28229,0.35859,1
1.28103,-1.48011,1.86518,0.50386,-1.22214,0.58282,-1.07424,-0.54482,1
-1.60475,0.37385,-1.41115,-1.71812,-0.15108,-1.19844,0.42868,0.73465,0
-0.74296,0.9064,-2.78956,-1.58365,-0.61255,-1.39474,-0.21169,-0.49229,0
-0.60086,-0.09761,0.1743,1.41892,-0.86045,1.39689,-2.1966,0.56881,0
-0.67934,1.70907,2.33238,-1.11819,0.99624,0.35684,-0.01232,-1.37447,1
1.36065,-2.92287,1.78051,0.01218,0.20268,0.67776,0.04773,0.35355,1
1.37731,-0.25847,-0.58307,0.05111,-0.46641,0.10792,0.00627,0.40744,0
1.09266,-1.69082,-1.58988,-0.6916,-0.47994,1.78925,0.95121,1.01279,1
1.1328,0.36189,1.68282,-0.61849,0.11683,-0.2354,0.6667,-0.91718,0
-0.50484,-0.6307,-1.18306,-0.57973,-0.70492,-0.93412,0.24056,-0.14841,1
-0.14811,0.04668,1.04478,0.34142,0.28135,-0.63948,1.06916,1.37347,1
0.09,1.20359,1.06701,-0.27139,-2.73231,-1.1177,-0.76913,-0.79761,0
-0.70356,-0.39395,-0.61703,-1.08549,1.32219,-0.70222,-0.70254,1.23122,1
-0.69418,0.9822,0.894,-0.16041,-0.2419,-1.42072,0.0544,-0.83311,0
-0.96762,0.41379,0.10827,-1.46706,0.09912,0.05964,-0.55099,1.58695,1
-1.24641,0.15403,-0.74308,-0.48702,0.30214,-2.06255,-0.11167,0.69223,1
-0.34411,1.53944,0.11387,-0.18863,-2.48623,-0.57262,0.44517,-2.27243,0
-0.10755,-1.62693,0.84555,0.35824,-0.46492,-1.10487,1.82762,-0.5977,1
1.37272,-0.20408,0.81817,-0.1774,-0.39197,0.69938,-0.76764,-0.86906,1
-1.18281,-1.68477,0.27617,0.19748,0.10115,-0.0668,-0.42336,0.93062,1
-1.61744,0.33182,1.45227,1.32325,-0.06521,-0.28049,-1.88527,-1.21182,0
0.64638,0.29076,-0.39122,2.05161,-0.37135,0.35629,-1.65654,-1.35632,0
0.6486,-0.42615,-1.25325,0.33597,-0.68378,-0.06365,1.05242,-0.7821,1
1.14866,-0.9293,0.50185,1.23671,-2.23186,0.36652,-0.62272,0.98981,1
0.47631,-0.32245,-1.1449,-1.09491,-0.67204,-0.69137,-0.33904,0.12122,1
0.77196,1.77533,0.14751,0.41905,0.82056,-0.37833,-0.60791,0.10936,0
0.09208,1.311,1.2188,-0.41953,-0.11374,-1.05577,0.27691,-0.21124,0
1.73357,-1.59529,0.7127,1.17947,-0.24859,1.35508,0.19678,0.11126,1
0.3121,0.54667,0.40317,1.90183,-0.2857,-1.32527,-0.94954,0.53877,0
-0.53117,0.28192,-0.32921,-0.55532,-0.03865,1.10703,-0.87473,2.00832,1
-0.9052,-0.584,-0.00055,-0.94952,0.87837,-0.48914,1.23632,-0.1529,1
-0.02231,0.38824,-0.7184,1.61003,0.10186,-0.16447,-0.47063,-0.14238,0
-1.17186,-0.77239,-1.36217,-0.16075,0.69664,0.89163,0.54446,0.64668,1
1.51381,0.83262,1.18572,0.51804,-2.08679,1.11125,0.48818,0.76948,0
0.69051,0.82262,-0.31618,-0.37588,-0.82981,1.9917,0.8208,-1.39541,1
-0.07989,-0.48699,0.47581,-0.72918,0.16398,-1.38108,1.91829,0.40151,1
-1.13167,0.44394,0.25256,-1.0473,0.06742,0.33959,0.69021,-0.11184,1
1.08067,1.14467,-0.30716,1.25206,0.93385,1.52855,0.51177,-1.14482,0
-1.50173,0.66206,-0.4649,1.12847,-0.59628,0.46792,0.27333,0.34049,0
0.73296,1.35023,1.39157,0.25243,1.39635,-0.68335,-0.1995,-1.11283,0
-0.21773,-0.06717,-1.26001,-1.45384,-0.17217,0.39086,-0.9867,1.90766,0
0.20129,0.11614,0.72293,-2.22332,1.50667,0.88978,-0.07223,-0.74835,1
1.64853,1.41335,1.34843,-0.17277,-1.18455,0.62049,-1.0506,-0.01603,0
-1.27139,-0.66119,1.90862,-0.23389,0.00898,0.49527,-1.10238,1.81663,1
0.42532,1.34268,0.55304,-0.7992,-0.49342,0.51177,-0.08534,-0.80905,0
1.87808,0.76304,-0.74515,1.3078,-0.13323,0.27659,-1.19842,0.76336,0
0.43334,0.70794,-0.34697,-1.38578,-0.22303,1.66015,1.22076,-1.75055,0
1.20615,-0.37635,0.95257,-1.43195,-0.29576,0.1774,1.16924,-0.0784,1
0.37722,-0.03586,-1.19537,0.32423,-1.66321,-0.84897,0.07876,-0.70521,0
1.85412,-0.12491,-0.65292,-1.21846,-1.05763,-0.22577,0.32306,1.24466,1
-0.20397,-1.04632,-0.34214,-0.6865,-0.18568,-1.34126,0.76351,-0.70559,1
0.99481,-0.42803,-0.05841,1.67772,-2.1622,0.60227,0.49284,-0.47819,0
0.03166,1.22151,-0.6584,-1.35008,-0.29558,-1.54472,-0.61855,0.63027,0
-0.58932,-0.9274,-0.88836,-1.369,0.75988,0.06218,0.98755,-0.75432,1
-0.28139,1.11421,-0.71766,-0.44493,0.68713,-0.58272,1.75334,1.14779,1
-0.49095,-0.22049,-0.34884,-0.95287,-1.62965,0.90237,-0.82121,1.2723,1
-0.55748,1.03504,0.72142,0.2341,1.22851,2.55029,-0.10059,-1.02041,0
-0.95239,0.59286,-0.48111,0.38442,0.50144,2.2733,1.40713,0.9892,0
-0.78506,0.72503,-0.37532,-0.47644,0.5004,0.05642,1.21626,-0.08091,0
-1.08416,0.74697,0.43804,-1.46101,-0.53714,2.60626,0.94206,2.60733,1
-0.43174,1.12173,-0.52537,-0.32871,-0.75857,-0.78285,-0.91639,1.15089,0
