x1,x2,x3,x4,x5,x6,alvo
1.46265,-1.13492,3.15689,0.73406,2.26198,-1.1869,0
0.16807,-0.62246,0.24614,-1.00755,0.76219,-0.05907,0
0.06319,0.58009,0.31264,1.00901,-0.36325,-0.29375,0
1.15404,-0.61834,-0.02901,1.67869,-0.72991,1.39569,0
-1.45982,-1.28864,0.25904,-0.85603,0.5149,-1.44601,0
-0.50756,0.74152,0.40815,-1.74216,2.25242,0.7486,0
0.5394,-0.95126,-0.82368,-0.65743,0.50948,-0.777,0
-1.02898,0.6569,-0.9424,0.3275,0.81947,-1.48479,0
1.51348,0.27978,1.16376,-0.78206,0.97116,-0.48514,0
0.64625,-1.49856,-0.77319,-1.6208,-0.72296,-2.50947,0
-1.24497,-0.27175,-0.04667,-0.87303,1.34413,0.44271,0
0.72429,1.67175,0.0354,-0.74158,0.91151,2.30054,0
-0.87271,0.34788,-0.62757,1.6803,-0.26211,-0.11696,0
0.96161,0.56823,1.79927,1.02375,0.63195,1.54225,0
0.79106,1.18296,-0.49076,0.39654,-1.10824,-2.69028,0
-0.69127,-0.62744,-0.80927,1.01646,-0.37488,-1.54802,0
-1.51588,-0.7188,1.23244,0.0646,-1.19079,-1.67395,0
0.02924,0.21855,2.033,-1.33569,-1.28372,-0.81463,0
1.05524,-1.25518,1.17474,0.58387,0.94271,0.6369,0
-0.35551,-0.23524,-0.80366,0.07225,0.51912,0.2102,0
0.50084,2.77742,0.61772,0.565,0.16917,2.04535,1
-1.44541,1.67911,-1.42694,-0.79943,0.43037,-0.3283,0
1.24319,0.01759,1.59345,-0.35588,0.87845,2.27831,0
-0.14008,1.34717,-0.38177,-0.35264,0.32023,0.03816,0
0.08692,0.30743,0.8202,0.10563,1.3148,-0.25752,0
0.41416,-0.49219,-0.73665,-1.49344,0.83576,0.7831,0
-1.318,0.59604,-0.82997,0.09103,1.18432,0.7509,0
-0.10732,0.70849,0.56579,-0.82674,1.3794,0.13031,0
1.46339,-0.94541,-1.69399,-0.05901,-0.43382,-1.24,0
1.44483,0.14042,0.00993,-1.13614,0.70529,0.39586,0
0.16308,0.66409,0.43428,-0.34891,1.06176,1.55876,0
1.51578,-1.55541,0.39855,-0.91985,-1.6338,0.18747,0
