id_empresa,periodo,porte,margem,crescimento,endividamento,liquidez,superou_setor
E03,T13,-0.41485,1.90141,0.32097,-0.63984,0.81278,0
E36,T16,1.10323,-0.08993,-1.6581,0.41644,-0.75072,0
E09,T03,5.1026,0.44292,0.13359,-0.35453,0.70984,1
E27,T04,1.75737,0.07851,-0.88607,0.33577,0.13065,1
E29,T13,-1.36326,-2.5363,-0.94912,1.31236,-0.19105,0
E11,T10,-3.43676,-1.05719,0.33918,-1.3854,-0.77908,1
E22,T07,0.18574,-0.73583,-0.63297,-1.24467,1.01381,0
E31,T03,-2.19547,-1.3125,0.03112,-1.7108,0.4262,0
E35,T12,1.23141,-0.1517,-0.19581,-0.55554,-0.11095,1
E11,T13,-3.3677,-0.84325,-0.81299,-0.40986,-0.2935,0
E02,T14,-1.63295,-0.49096,0.98907,-0.76412,-0.31728,0
E24,T12,-3.48495,0.73064,1.61095,-1.15052,0.97435,0
E37,T04,-4.20771,0.27757,-0.58648,-0.70716,0.13934,1
E05,T12,-3.3062,-0.20282,-0.38238,0.02467,-0.72961,1
E40,T15,-3.10248,-0.88469,-0.30491,-0.53785,0.73739,1
E15,T07,0.03199,-0.70715,0.31001,0.6764,-1.00288,1
E30,T07,-0.42033,0.30969,-0.03926,-0.29363,-0.2577,0
E39,T05,-0.97893,0.99243,-0.46545,-0.10134,1.26873,1
E18,T09,2.0789,1.45296,-2.32993,0.97195,-0.37717,1
E40,T07,-3.09246,0.11981,1.53022,0.49938,-0.44403,1
E27,T03,1.76478,1.9177,-1.42939,1.25631,0.62538,1
E03,T11,-0.40716,0.17833,-0.47382,-0.89861,0.72947,0
E13,T08,-3.02509,0.82784,0.27563,-0.34896,-0.35087,1
E31,T13,-2.19903,1.65899,-0.01155,-0.05132,-1.21576,1
E08,T16,-2.42552,0.51107,-0.56251,0.34631,-0.57146,1
E22,T12,0.17254,-0.47917,-0.93934,0.0353,-0.10847,0
E29,T06,-1.35301,1.38166,-0.06137,-0.14564,-0.71375,0
E31,T06,-2.20792,-2.43035,0.8587,-1.1765,-1.83897,0
E30,T11,-0.47232,1.15577,-0.74192,1.99434,0.66003,1
E27,T09,1.77302,-0.77779,-0.14599,-1.66239,0.16535,1
E17,T03,0.83058,0.49227,-0.3749,1.03212,0.04146,0
E13,T02,-2.97595,0.4404,0.7907,-1.86914,-1.44242,1
E19,T09,3.20477,1.08339,-0.38927,1.71723,-0.02488,0
E02,T13,-1.63136,0.5105,-1.18357,-0.35226,-0.61017,0
E28,T12,-0.62457,-0.62537,1.94363,0.43689,1.19561,1
E12,T03,0.64428,-0.06384,-0.47359,1.11091,1.38605,0
E15,T13,0.0468,0.15086,0.82617,-0.1019,-1.41021,1
E07,T16,-2.34465,0.77548,0.28146,-0.4289,-0.17695,0
E04,T13,4.23933,0.88202,-1.74232,-2.24525,0.04226,0
E20,T08,2.49004,0.1417,-1.18837,0.80587,-1.03735,0
E03,T02,-0.46621,0.63927,0.84526,0.84031,-0.03155,0
E26,T09,-1.94897,-0.56432,2.11633,-0.07447,0.34415,1
E26,T01,-1.98763,-0.26995,0.62157,0.16245,0.38734,1
E19,T03,3.21362,1.18354,1.12808,-2.666,-0.97536,0
E32,T12,-0.76901,0.9265,0.28519,-1.2727,0.69429,0
E10,T13,-0.61617,-0.78613,-0.12535,0.76954,0.09359,0
E11,T05,-3.41973,-0.28545,-0.58912,1.89759,-0.05766,1
E09,T06,5.06444,-1.34353,0.31487,-0.21054,1.38163,1
E30,T13,-0.42801,0.19801,0.63012,-0.7106,0.16542,1
E16,T10,-2.87278,-1.02593,1.05777,-1.23901,-0.80718,1
E24,T04,-3.51519,1.39702,0.39341,-1.53769,0.81928,0
E08,T09,-2.42667,-1.02129,0.3827,-1.97903,-0.79445,0
E26,T04,-1.90718,-0.83135,-0.74435,-1.14686,1.10117,1
E16,T02,-2.84324,0.66618,1.05514,1.18546,-1.00055,1
E34,T05,-1.24364,1.43896,-0.09464,1.51171,-0.22939,1
E28,T08,-0.63279,2.51566,-1.91533,0.68791,-0.6876,1
E21,T10,-1.80589,-0.72487,-0.65667,0.61252,-0.78919,0
E10,T01,-0.63724,-0.35447,1.07619,0.98057,0.48789,0
E40,T12,-3.06261,-1.85143,-0.82791,-0.779,1.09872,1
E19,T11,3.20171,-0.32479,-0.40343,-0.54399,-1.0968,0
E18,T15,2.05652,1.12334,0.86702,-1.08368,-1.81142,1
E29,T03,-1.41934,-1.87945,-1.77693,0.63793,2.18017,0
E38,T02,4.47957,1.29174,-1.87459,0.29473,-1.13875,0
E24,T07,-3.48762,-1.65363,1.02196,0.49503,-1.19793,0
E39,T08,-0.9694,-0.40035,0.82221,-0.54051,-0.3215,1
E01,T10,0.4596,-0.747,-0.10417,-0.27272,0.10329,0
E08,T10,-2.42774,-1.30137,1.48677,-0.61728,-0.88938,1
E23,T05,0.49036,-1.5761,-0.82265,-0.27331,0.38507,0
E02,T05,-1.58676,-0.59509,1.37911,-0.12509,1.32568,0
E38,T14,4.47042,0.95685,1.98624,-0.16987,0.80508,1
E14,T09,-0.531,-1.18929,0.77612,-0.2699,0.20517,0
E37,T08,-4.21807,-0.20416,-0.74014,-0.07183,0.05643,0
E27,T14,1.72253,-0.77243,-0.31199,0.35903,-1.00661,1
E03,T04,-0.42846,1.01176,-0.01672,0.08975,-0.23278,0
E18,T16,2.03342,0.83247,-0.45112,1.14517,0.14599,1
E22,T06,0.16328,-0.53746,0.01766,1.46677,0.43303,0
E14,T13,-0.55368,0.55211,0.46935,0.67485,1.13248,0
E06,T01,-0.68236,0.94579,1.06321,0.38923,-1.62553,1
E05,T06,-3.30581,0.75983,-1.00796,0.44927,1.02087,1
E35,T01,1.24744,2.3852,-1.21798,0.5382,0.53853,1
E36,T09,1.02983,-2.4251,-0.31079,-2.20179,-0.19793,0
E39,T01,-0.95758,-1.66979,-0.21915,0.34995,-0.39544,0
E11,T06,-3.45728,-0.29781,-0.23335,-0.28784,-1.45964,1
E15,T09,-0.00688,-0.10225,-1.38374,0.91838,-0.56217,1
E39,T12,-0.96192,-1.19488,0.44101,0.21017,1.05137,0
E01,T03,0.45004,0.88582,-0.52747,-0.16107,0.85774,0
E15,T10,0.0254,0.79537,-0.10882,0.00907,1.21144,1
E35,T07,1.278,-3.06343,-0.14751,-0.74132,0.09254,0
E32,T02,-0.75689,-0.81861,-0.10978,0.34038,-0.06857,0
E32,T09,-0.77559,-0.13272,-0.77778,1.11734,-0.81628,0
E22,T10,0.2229,1.52001,0.63123,-1.42067,-0.26977,0
E14,T05,-0.55208,-0.16804,-1.39697,-0.0802,0.33406,0
E10,T07,-0.60686,-0.27017,-0.38367,0.5875,0.97616,0
E20,T01,2.46828,0.31255,0.63742,0.75996,-0.24419,1
E05,T07,-3.29095,0.00592,0.51902,-2.84148,-0.24802,1
E17,T06,0.85727,-0.9018,-1.22075,-1.31835,-0.74945,0
E20,T14,2.48726,0.89675,0.07195,0.26053,-0.88656,1
E01,T06,0.43321,-0.11197,0.7053,-1.08339,-0.0768,0
E37,T14,-4.26253,0.02352,-2.10614,0.3265,0.37183,0
E26,T13,-1.91047,-0.35103,2.34984,0.24611,-0.22039,1
E18,T13,2.06421,0.30583,-1.41978,-1.25789,-0.45419,0
E19,T05,3.21566,-1.54241,0.98319,0.08494,0.24947,0
E21,T05,-1.79149,0.72607,0.58896,-1.15048,0.61242,0
E20,T02,2.46097,-0.89229,-1.49121,-1.14242,0.27979,0
E20,T09,2.48372,-0.7046,0.46901,1.35702,-0.13705,0
E33,T14,0.37935,0.39013,-0.24798,-0.12924,1.67882,1
E29,T01,-1.38607,0.2171,0.51846,0.34768,-0.22526,0
E40,T16,-3.0463,-0.56138,-1.80166,0.14639,0.17734,1
E31,T07,-2.2052,-0.96501,1.22579,0.77095,1.52017,1
E17,T11,0.84061,-1.09727,-2.07288,-0.35405,0.455,0
E06,T16,-0.68657,-1.7086,0.28825,-0.28365,1.53756,0
E31,T11,-2.22336,-0.35928,-1.10765,0.42416,-0.37785,0
E11,T16,-3.41257,0.78399,-0.29154,1.99555,-2.96059,1
E13,T10,-3.02569,-0.32372,-1.44479,-1.67768,-1.94957,0
E09,T08,5.07114,0.37638,1.08979,-0.6265,-1.01461,1
E29,T16,-1.35664,-0.94973,0.85247,-0.38797,-0.56005,0
E38,T12,4.47288,-0.30609,0.52629,-1.71322,-0.60692,1
E04,T08,4.26446,1.30543,0.44822,-1.87047,0.03089,1
E32,T13,-0.76409,0.40361,0.22033,-1.34477,-0.58719,0
E29,T02,-1.34124,-1.21739,0.51358,-0.43972,0.89848,0
E07,T11,-2.37051,2.70066,0.55131,1.37141,-0.54518,1
E36,T10,1.08162,0.76347,1.51925,0.60503,0.79633,1
E17,T07,0.84206,-0.55032,0.27737,0.03594,0.8309,0
E03,T06,-0.41721,-1.01869,1.91944,-1.09217,-1.17779,0
E13,T03,-3.02853,0.40557,-0.50089,0.23405,-1.52075,1
E07,T13,-2.3277,-1.05425,0.90822,0.4139,0.1419,0
E28,T01,-0.67337,-1.34789,-0.27742,0.66372,-0.39984,1
E29,T08,-1.38414,0.35629,0.59553,-2.15128,-1.15835,0
E29,T14,-1.39991,0.37031,-0.75445,-1.66174,1.09435,0
E14,T01,-0.5244,-0.62874,0.14933,-0.29055,-1.78526,0
E26,T02,-1.945,0.59006,-0.19057,0.84868,-0.10067,1
E28,T06,-0.61064,-0.3852,0.15987,0.47073,-2.1538,1
E36,T06,1.07809,0.09474,-0.2659,-0.86244,1.43812,0
E03,T03,-0.42515,1.13305,0.15875,-1.87803,0.51474,0
E29,T15,-1.37488,0.40991,0.44042,0.61278,-0.39584,0
E07,T08,-2.3177,-1.2558,1.0539,0.32284,0.88307,0
E05,T04,-3.309,1.76422,-0.7563,-0.34585,-0.73884,1
E35,T15,1.22746,-1.77397,-0.46444,-1.01531,-1.10087,0
E33,T07,0.3567,0.4017,1.51241,-0.49914,0.08631,1
E14,T12,-0.55949,0.36166,0.19456,0.61895,1.69389,0
E29,T10,-1.37533,-1.25385,0.8615,-0.75855,0.14916,0
E22,T13,0.19243,0.35861,-0.15611,0.66129,0.9059,0
E34,T06,-1.25251,-0.07184,-0.79322,0.94236,0.44949,0
E36,T11,1.06987,0.22495,-0.29259,-0.49788,-0.11085,0
E20,T10,2.44625,-2.00349,0.09101,-0.69338,0.81234,0
E12,T10,0.66676,-0.56692,-0.17661,1.6954,0.54488,0
E15,T05,-0.01215,1.85372,0.19565,-0.5581,1.95075,1
E18,T02,2.0671,-0.36135,1.15477,-1.80078,1.19578,1
E10,T08,-0.60828,0.6967,0.65105,-0.44452,-0.02118,1
E28,T05,-0.62064,2.36841,-0.86567,-1.43929,0.36744,1
E25,T10,2.66301,-0.17263,0.71346,0.42217,1.41329,1
E09,T14,5.05713,0.65739,-0.74324,-0.62843,1.41787,1
E30,T15,-0.41231,-1.16814,2.40172,0.49024,0.27704,0
E07,T03,-2.30857,-1.86832,-1.3112,1.03891,0.48302,0
E15,T14,0.02803,-0.34941,0.65752,1.34443,0.1898,1
E36,T14,1.10394,-0.65751,-0.56521,-1.03149,1.62937,0
E16,T01,-2.84003,0.94296,1.20248,-0.23125,-1.38161,1
