trimestre,ind_a,ind_b,ind_c,ind_d,alvo
0,-0.93313,1.6456,0.39384,-1.11112,0
1,-0.78265,0.96264,0.60878,-2.26304,0
2,-0.53547,-0.19496,-0.81273,-0.94704,0
3,1.73129,0.49149,2.19983,-0.82382,1
4,-1.82131,-0.60342,-1.4809,0.28624,0
5,0.62375,-1.53135,0.10692,0.96862,0
6,-0.47778,-0.54784,-1.27442,-0.22039,0
7,0.18013,-0.07158,-0.36576,0.31601,0
8,-1.77221,-1.00359,1.81222,0.53771,0
9,0.55786,0.19289,-1.90813,1.03656,0
10,-0.10673,1.91763,0.0931,-1.15578,1
11,1.82134,0.42053,-1.59762,0.67419,1
12,-0.6327,-0.19931,1.71556,-1.54621,0
13,-0.8949,0.60673,-1.98145,0.57569,0
14,0.98778,-0.83908,-0.61008,1.03415,0
15,0.37584,-0.93522,0.24549,-0.01875,0
16,0.26313,1.6939,1.03613,-1.2617,0
17,0.77784,0.20752,-0.50874,0.79117,1
18,-1.43665,0.30315,-0.30086,-0.22671,0
19,0.37195,0.00762,-1.2592,-0.68848,0
20,-0.85081,0.09551,0.08953,-0.63409,0
21,1.5778,0.1508,0.47926,-0.00787,1
22,-0.23843,1.01616,1.60791,1.31224,0
23,0.06542,-0.73949,-1.13693,-0.4878,0
24,0.18356,-0.02322,0.74035,0.36944,0
25,-0.02748,-0.95374,-0.62043,0.17973,0
26,-1.63333,2.27447,-1.71085,0.49391,0
27,-2.45978,1.70467,-1.3912,-0.60681,0
28,-2.13394,0.21882,-1.24775,0.71384,0
29,1.05262,-0.97531,1.00159,-0.67917,0
30,0.07326,0.2058,-2.25873,-0.42938,0
31,0.83888,0.82078,-0.55696,0.3525,0
32,-1.20529,-1.7375,0.9113,-1.403,0
33,0.41747,0.07483,1.57111,1.79852,0
34,1.009,0.13592,0.15838,0.83875,1
35,0.38704,-0.72179,0.02471,-0.39813,0
36,1.544,-0.91255,0.3504,2.08044,0
37,-0.20386,-0.05911,-0.67093,-0.78274,0
38,1.17082,-1.58186,-0.37139,-0.59482,0
39,0.81267,0.52887,0.05656,-1.45219,1
40,0.00405,-0.59795,-0.23047,0.01763,0
41,-1.12753,0.20401,1.13816,-0.08291,0
42,1.1345,-0.11898,0.79006,0.72926,0
43,-0.89315,-1.08532,1.014,1.1161,0
44,-0.62658,-1.25622,-0.52299,-0.99802,0
45,-0.37384,0.26706,0.89996,-0.01939,0
46,-1.3175,1.1435,0.95253,1.03772,0
47,0.63046,0.00983,0.34797,0.21073,0
48,0.60175,-1.12085,0.11574,-0.16142,0
49,1.53936,-0.84821,0.61677,1.52993,1
50,2.31175,3.00084,1.51645,-0.58236,1
51,-0.23985,-0.14951,-1.14647,0.06015,0
52,-1.35653,-0.92644,-0.05248,0.95213,0
53,-0.04773,-0.91509,0.28821,0.33314,0
54,0.16398,-0.12891,-0.91831,-0.91052,0
55,-1.88315,0.45519,0.41999,0.31498,0
56,-1.38038,-0.24594,0.49758,0.10919,0
57,0.54563,1.56048,1.39396,0.80412,1
58,2.07775,1.32344,1.77582,-0.21431,1
59,-0.39924,-0.19237,-0.87209,-0.55784,0
60,0.92522,1.73155,0.93976,1.66683,1
61,0.98436,-1.49562,0.61823,1.29839,0
62,-1.07492,-1.20464,0.5025,-1.97248,0
63,-0.49756,-0.37748,0.56896,-0.44573,0
64,1.03208,-1.30609,-1.09508,0.74113,0
65,1.17137,0.96394,-1.39332,-0.79857,1
66,1.22802,-0.36721,-0.56376,-0.00391,1
67,0.33636,1.30245,-0.39464,-0.19783,1
68,-0.32388,1.279,0.43264,-2.17183,1
69,-1.03921,1.11539,-0.27407,-0.29265,0
70,0.23979,0.0935,0.37262,-0.1597,0
71,0.02363,1.06341,-1.9374,0.00322,1
72,0.72902,0.62351,0.24738,-1.83475,1
73,-0.43924,-0.58659,-0.04366,1.71112,0
74,-0.24335,0.06067,-0.16981,0.17536,0
75,-0.24612,0.9183,0.6995,-0.69017,0
76,-2.11582,0.42169,0.44809,-0.50541,0
77,-0.66442,-1.68313,1.02688,1.34777,0
78,1.12635,0.14839,-0.81858,1.7345,1
79,-0.36099,1.44058,0.21218,0.57768,1
80,-1.94767,0.99171,-1.37007,0.65819,0
81,0.15505,0.50424,0.10912,0.38333,0
82,-0.98982,-1.18037,-0.31992,-0.00505,0
83,-0.78406,-0.92837,0.38283,0.15525,0
84,-0.51455,0.52593,1.17247,2.31436,1
85,0.67927,-0.10847,0.34237,0.96813,1
86,-0.127,0.15748,1.43136,-1.23112,0
87,-0.056,-0.76648,-1.14738,-0.58769,0
88,0.06671,0.32857,0.71042,0.18999,1
89,-0.79167,-0.73861,0.01735,1.51443,0
90,0.56985,-1.41828,0.85225,0.30333,0
91,0.03687,-0.41499,1.38232,1.19653,0
92,0.17205,-0.09107,-0.23898,-0.63355,0
93,-0.65748,-0.9692,2.05217,-0.90771,0
94,-0.3289,-0.83694,0.52886,-1.27084,0
95,0.51122,0.08451,0.45041,-0.0101,0
96,0.33097,0.53717,-0.69643,-0.88971,0
97,1.30364,-0.62031,1.94072,-1.19651,1
98,1.59562,-0.93234,-0.47431,-1.75154,0
99,-1.64444,0.06982,-0.25991,-0.19839,0
100,-0.03669,1.45106,-0.24085,0.2605,1
101,0.36961,-0.27721,-1.16911,-1.0677,0
102,-1.21312,1.35544,-1.20477,0.24061,0
103,1.78317,0.92896,0.71589,-0.11883,1
104,-0.84002,1.0732,0.84576,0.73022,0
105,-0.73225,-0.18953,-1.02794,-1.64623,0
106,-0.5949,-0.27571,0.13517,2.76657,0
107,-0.14134,-2.08806,0.57835,-0.74708,0
108,-0.00497,1.32418,-0.07766,0.01656,1
109,-0.12036,1.33527,0.57475,-1.47034,1
110,-0.56479,-1.96465,0.58191,-0.07829,0
111,0.16298,0.11953,-1.34582,-0.83798,0
112,0.30601,-1.34412,0.0403,0.85529,0
113,0.88691,1.96089,-0.553,-1.7083,1
114,0.67767,-0.805,-0.26241,0.32781,0
115,0.5178,0.72319,1.19105,-1.22799,1
116,0.86708,0.2709,-0.67492,-0.16954,1
117,-1.37927,-1.83291,-2.2098,-0.94057,0
118,-0.15134,1.0103,0.62115,-2.12309,1
119,1.02859,0.06263,0.44269,0.12278,1
120,0.89214,0.20726,1.55948,-1.40984,1
121,-1.06783,0.66176,-1.15589,-0.89877,0
122,1.10034,-1.37765,1.41912,0.62439,0
123,-0.55687,-0.74602,-0.45099,-0.03392,0
124,-0.22075,-1.43872,0.65211,0.21327,0
125,0.35729,-0.59879,0.48231,0.64829,0
126,-0.35509,0.5485,-0.78993,-0.72623,0
127,1.6942,-0.42037,-0.12356,-0.85704,1
128,1.24476,2.17386,0.82039,2.44822,1
129,0.22264,-0.37526,-1.87735,-0.526,0
130,1.17375,0.67245,-0.90077,0.77371,1
131,0.71542,0.89715,-1.05065,-1.80808,1
132,-0.49395,2.14361,-0.36527,-1.18216,1
133,-0.71204,0.18118,-0.9643,-0.09609,0
134,-0.7498,1.64262,0.93964,-0.28204,1
135,0.89356,-0.11932,1.06387,0.59415,0
136,-0.76796,-0.9844,0.65286,1.24058,0
137,-0.18552,0.39214,1.67271,-0.62637,0
138,0.88339,0.46183,0.97082,1.90753,1
139,-0.50713,0.06005,1.36726,-1.04507,0
140,1.59055,-0.13844,-1.6826,0.00681,1
141,-0.72908,-0.84004,0.38403,-0.92954,0
142,1.07565,0.06435,-2.00245,-0.01001,1
143,1.02168,-0.95481,-0.8799,0.9556,0
144,1.88532,1.17988,0.39653,0.03091,1
145,-1.15838,0.41504,-0.68709,-0.21568,0
146,-1.20307,0.36913,-0.76196,1.21413,0
147,-0.42802,-0.81573,0.90286,0.67471,0
148,1.13954,-0.37943,-1.97054,-0.38433,0
149,1.20216,0.12124,0.3092,0.96151,1
150,0.05909,1.21708,-0.7888,0.33718,1
151,-1.484,-2.80873,-0.90703,0.15784,0
152,-0.67011,0.48838,-1.42804,0.35856,0
153,-1.14224,0.5564,-0.53872,-0.94528,0
154,-0.69498,0.95438,-0.08596,2.11601,0
155,0.50895,-1.28955,-0.19881,1.6853,0
156,0.54787,0.77715,0.57866,-0.85018,1
157,0.22421,-0.29629,0.05563,2.46896,0
158,-0.75421,-1.49129,0.64651,-0.22036,0
159,-1.21346,-1.4415,-0.10369,0.76627,0
160,0.36326,0.3001,-0.35051,0.58611,1
161,-2.28417,-1.29396,0.68163,-0.07229,0
162,-0.46083,0.71544,0.24641,1.1721,1
163,-0.58874,0.48527,1.22737,-0.10318,0
164,0.56129,-1.38656,1.4972,1.78837,0
165,0.21102,0.99715,1.74027,-0.34979,1
166,-1.88033,-1.87345,0.57563,-0.5966,0
167,-0.62744,-0.49839,1.33863,-0.09665,0
168,-1.26058,-0.20985,-0.92756,0.06837,0
169,1.17503,-0.68831,0.55751,-0.28511,1
170,-0.34748,1.27832,-1.50872,-0.53595,1
171,0.34729,0.48174,-0.75886,0.59178,0
172,-0.15302,-0.2103,-0.03182,-0.0602,0
173,-0.37074,0.1115,1.67955,0.65302,0
174,-0.81726,-0.70741,1.09662,1.9467,0
175,0.44895,0.82387,0.43571,-0.19201,1
176,-0.69998,0.59998,0.47764,-0.93208,0
177,-0.65983,-0.17638,0.16625,0.14442,0
178,0.2827,1.56727,1.18436,0.09612,1
179,0.27719,-1.6487,-0.88498,-0.75813,0
180,0.56601,-0.46733,0.37432,0.57585,1
181,-0.64172,-1.02188,0.6374,0.79283,0
182,-0.65196,0.11272,0.50554,-0.88902,0
183,-0.0417,-1.02364,-0.04287,0.69217,0
184,-1.98596,0.49287,-0.07102,0.14293,0
185,-0.92843,0.49243,0.34543,-0.18535,0
186,0.85678,-0.35886,0.91046,0.59731,0
187,-0.73169,1.49423,0.09832,2.45973,1
188,0.71526,0.24243,-0.40712,-1.99447,1
189,-0.46904,-0.57698,0.91175,1.08307,0
190,-0.5924,-1.16571,-1.56557,-1.19757,0
191,-0.0063,-0.31276,-1.21251,0.9681,0
