x1,x2,x3,x4,x5,x6,alvo
2.20173,1.79908,-1.45759,-0.64077,0.78062,0.43863,0
0.93778,0.4259,1.41988,0.50196,-0.47174,-0.60119,0
-0.36982,0.37691,-0.13946,0.05111,-0.62199,0.99991,0
-0.58377,-1.89883,-0.34739,-0.98265,-0.37838,-0.77088,0
1.22249,3.06083,1.9812,0.1788,0.71081,0.56308,1
-0.58886,0.53446,0.27281,-1.35912,0.32399,0.8684,0
-0.51275,0.75548,1.46261,1.76981,1.02024,0.65662,0
1.34965,0.31186,-0.48293,0.39911,0.43986,-1.76116,0
-2.91295,-0.40569,-0.82572,0.92965,0.16543,0.23652,0
0.74453,-0.87695,0.05503,-0.47852,-1.17692,1.00027,0
-0.31171,0.07222,-1.61087,1.0929,-1.44266,0.04004,0
0.39845,0.49487,1.16013,-0.07112,0.52242,-1.59266,0
0.45997,-0.42413,1.28899,-0.21958,0.06536,-1.06041,0
0.44977,0.02204,-0.38865,0.47971,-0.71695,1.50561,0
0.03901,-1.54291,-1.19986,-0.18086,1.10145,-1.06105,0
0.08883,0.16267,-2.24113,-1.14471,0.25947,0.51043,0
1.48473,-0.40156,0.2513,1.32655,-0.38881,-1.2287,0
1.45366,-0.47644,1.01095,-0.65573,0.64758,1.44925,0
0.54257,0.24395,0.50988,-1.51571,-0.47345,0.86144,0
-0.35017,1.86595,1.26838,-1.72401,-1.73566,2.14655,0
-0.30458,0.7344,0.90329,-0.67647,-0.32917,0.54386,0
1.364,0.07485,-0.28811,-0.35756,-0.95083,1.39652,0
-0.42902,1.5428,0.97582,0.30409,1.33252,0.04603,0
0.27551,-0.40484,-0.4576,1.94894,-0.28045,0.3076,0
-0.21095,-1.57779,0.96932,0.23676,-0.06231,0.77433,0
-0.39067,-2.01217,0.22043,-0.75703,-1.4433,0.91933,0
-1.49654,1.05185,0.39516,0.00447,0.01498,-0.32733,0
0.03946,0.58235,-1.94893,-0.50873,-2.09127,-0.79999,0
-0.23491,0.88356,-0.57141,-0.14183,0.76681,-0.90618,0
0.33704,1.12756,0.20933,0.27457,0.9973,0.47256,0
0.31679,-4.1088,0.67602,-0.76785,1.1111,-0.24304,0
1.77157,0.55082,-0.17445,0.9615,-1.4954,-1.04975,0
1.2785,-1.48674,0.24789,-0.96923,-0.518,-1.26891,0
-0.46655,-0.15963,-0.56118,0.38601,1.06696,-0.5543,0
-1.35095,-1.12526,-1.53322,1.07229,-1.89525,0.83033,0
0.1128,-0.00628,0.6047,-0.73459,0.80423,-1.04993,0
-0.21297,1.5223,-0.49521,-1.28759,-0.86586,0.47741,0
0.80418,0.79211,-0.75196,0.04648,-0.97788,-0.04219,0
0.77217,-1.25156,0.03673,-0.27462,1.21311,-1.30832,0
0.16468,-0.00181,0.26519,0.11481,0.30538,0.69159,0
0.33201,1.67291,1.00885,1.51595,1.56683,1.3763,1
-0.86809,0.40685,-1.89864,1.30456,-0.86067,0.38082,0
0.87084,-0.33806,-0.57918,-0.50146,0.73389,-1.15511,0
1.26921,1.40568,-0.86363,1.07742,2.41423,2.01704,1
1.17232,1.34909,-0.68371,-1.57842,-0.60938,-1.2388,0
0.21943,2.09969,0.75574,2.16932,0.60338,0.15079,0
-0.70464,-1.37936,1.07203,0.92885,0.21502,0.16337,0
-0.36444,-0.86992,0.50466,-1.3441,-1.41359,-0.97425,0
0.73811,1.37423,-0.32513,-0.94433,-1.21509,0.02556,0
0.8788,-0.2608,0.69426,-0.81161,-0.90992,-0.34511,0
-1.0172,1.48205,0.45117,-0.99075,1.33161,-1.75289,0
1.24419,0.37551,-0.21086,0.5924,0.54631,2.29644,1
-2.15496,-0.18711,0.32229,2.52861,0.05633,-0.3081,0
-0.46367,-0.89402,-0.94298,1.8698,-0.47129,-0.544,0
1.25313,1.93281,1.16331,-0.33685,0.31218,-0.70333,0
-0.26477,-2.48256,0.15338,-0.00379,-0.71104,1.13428,0
-0.04357,0.21925,0.44045,1.1704,0.58056,0.51334,0
1.5836,0.30025,-0.81277,-0.09267,0.27479,0.13315,0
-2.42547,1.53549,-0.75187,0.66802,0.60393,0.45065,0
2.19006,-0.52907,0.50087,-0.81414,-1.55807,-0.09148,0
0.73693,1.64287,-0.26346,-0.01859,1.42805,-0.26275,0
0.86773,-0.53731,1.06051,1.49214,0.68756,0.31486,0
0.15746,0.04379,0.24229,0.44236,0.18251,-0.10639,0
1.30136,2.34683,1.7909,-0.84483,0.709,0.93259,0
-0.65392,0.64314,0.42282,-0.57508,-1.03167,0.56017,0
0.31843,-0.80011,-2.22908,0.62769,-0.48101,0.2405,0
-1.18545,1.01085,-0.36109,-1.06772,-0.10104,1.49715,0
-0.45101,0.53454,-1.93239,-0.58113,0.423,0.65523,0
1.05288,1.63125,0.47754,-1.3585,-0.04103,0.19348,0
1.77158,-2.64181,1.28965,0.32642,0.65012,2.24292,0
-0.75965,-1.03704,-0.07694,3.14315,-0.81354,1.28573,0
-0.0022,-0.59813,-1.32241,1.43882,0.41266,-0.82262,0
0.02179,0.07492,-0.37267,1.1384,-0.678,0.78675,0
1.04937,-1.05771,-0.66618,0.48135,-0.38787,-0.31847,0
-0.23368,0.74854,0.97189,-1.91198,1.92038,0.42406,0
0.75589,0.62829,0.72196,-0.53809,1.82281,0.25368,0
0.47248,-0.13468,1.49369,0.09226,1.98837,-0.62685,0
-1.17356,-1.49033,-0.0224,0.56031,-0.03978,-0.02298,0
-0.5169,1.15996,-0.29785,-0.03282,-0.17646,-0.36837,0
-0.73959,-1.57915,0.44083,0.95056,-0.24527,1.58439,0
0.18721,-0.60578,-0.44419,0.11303,-2.0232,-0.93022,0
0.84182,-0.136,-0.47942,-0.51868,-0.15037,-1.78965,0
-2.44955,0.10858,0.69352,1.34421,2.56752,0.00434,0
0.33235,1.08277,0.22555,0.30898,1.34575,0.77908,0
-0.91237,-0.41595,0.70323,-0.69026,-0.38013,0.02052,0
-0.44508,0.45452,1.50631,0.54929,-0.43513,0.01528,0
0.52917,0.6031,0.73102,0.75614,-0.53474,-1.48934,0
-1.45244,0.89476,0.15079,-1.00197,-0.13265,-1.03801,0
0.02941,-1.57967,0.98469,2.20386,0.02023,0.89962,0
0.25613,1.74976,1.8585,2.85356,1.82888,1.02843,1
0.19165,1.03028,0.72671,0.67253,1.12745,2.38381,1
-0.20138,1.28145,-1.32465,1.01273,0.01453,0.03782,0
1.91523,-0.06109,0.53031,0.15341,0.16126,0.69188,0
-0.95869,-0.44681,0.02719,-1.45793,-0.89107,0.04016,0
0.39933,-0.22963,0.00693,0.34679,-0.73192,0.69668,0
-0.43253,-0.42428,-0.24737,1.00521,0.39293,1.06989,0
0.26136,1.25144,-1.66419,-1.88355,-0.46405,-1.30126,0
1.73824,-1.41967,-1.49415,-1.39997,-1.33714,-0.37443,0
0.57588,2.41749,-1.54331,-0.78597,0.26746,1.61907,0
-0.12428,-0.37563,-0.59953,1.15943,-0.17045,-0.67953,0
0.3687,1.23982,-1.43912,1.35983,-0.3389,-1.29865,0
0.77781,1.66893,2.2997,-0.70796,1.28618,2.1944,1
-1.41016,0.24122,0.59958,1.60649,-1.11227,-1.23478,0
-0.19001,0.59815,1.26739,-0.26317,-0.77166,0.13367,0
-0.37308,-0.11786,-0.04679,0.71316,-0.13875,-0.88301,0
-0.81344,1.93976,-0.51856,0.40127,2.56987,1.00496,0
-1.23312,-1.12254,-0.26401,0.71035,1.4675,-1.47858,0
